Date,Open,High,Low,Close,Volume
2000-03-10,6.38,6.5,6.12,6.19,330900
2000-03-13,6.31,6.62,6.12,6.62,334700
2000-03-14,6.81,7.19,6.62,6.94,424500
2000-03-15,7.0,7.25,6.94,7.0,549200
2000-03-16,7.19,7.19,6.69,6.94,370700
2000-03-17,6.25,6.44,6.06,6.12,589900
2000-03-20,6.25,6.75,6.12,6.62,448900
2000-03-21,6.69,6.75,6.25,6.69,345800
2000-03-22,6.69,6.88,6.62,6.75,249400
2000-03-23,6.75,6.88,6.56,6.62,217300
2000-03-24,6.62,6.62,6.25,6.38,359600
2000-03-27,6.56,6.62,6.31,6.38,167700
2000-03-28,6.38,6.44,6.25,6.31,230500
2000-03-29,6.25,6.5,6.25,6.5,184800
2000-03-30,6.0,6.0,5.5,5.81,2555900
2000-03-31,5.88,6.12,5.75,5.94,4609700
2000-04-03,6.0,6.19,5.94,6.06,1091800
2000-04-04,6.12,6.12,5.69,6.06,844900
2000-04-05,6.06,6.19,6.0,6.12,421200
2000-04-06,6.06,6.12,5.94,6.06,348300
2000-04-07,6.06,6.12,6.0,6.06,491400
2000-04-10,6.06,6.12,6.0,6.12,277200
2000-04-11,6.12,6.19,6.0,6.19,252100
2000-04-12,6.19,6.56,6.12,6.31,367600
2000-04-13,6.31,6.44,6.12,6.31,299300
2000-04-14,6.19,6.25,5.94,6.12,326600
2000-04-17,6.0,6.5,5.94,6.5,459000
2000-04-18,6.44,6.44,6.12,6.19,135900
2000-04-19,6.19,6.19,6.0,6.12,134300
2000-04-20,6.12,6.19,6.0,6.12,328400
2000-04-24,6.0,6.38,6.0,6.12,229700
2000-04-25,6.19,6.31,6.0,6.12,106600
2000-04-26,6.19,6.25,6.12,6.19,86900
2000-04-27,6.06,6.31,6.06,6.31,118900
2000-04-28,6.38,6.38,6.06,6.31,131600
2000-05-01,6.31,6.44,6.12,6.25,193100
2000-05-02,6.12,6.25,6.06,6.06,294100
2000-05-03,6.06,6.12,5.94,6.12,1129500
2000-05-04,6.12,6.12,6.0,6.06,115800
2000-05-05,6.06,6.12,6.0,6.06,105900
2000-05-08,6.06,6.06,6.0,6.06,97400
2000-05-09,6.0,6.12,5.94,6.12,179800
2000-05-10,5.94,6.12,5.94,6.12,123600
2000-05-11,6.12,6.25,6.0,6.19,161700
2000-05-12,6.19,6.62,6.0,6.56,368000
2000-05-15,6.56,7.06,6.5,6.75,323500
2000-05-16,6.81,7.44,6.62,6.69,762400
2000-05-17,6.62,7.19,6.62,7.0,437700
2000-05-18,7.0,7.31,6.94,7.25,332200
2000-05-19,7.31,7.56,7.0,7.5,329500
2000-05-22,7.5,7.5,7.12,7.31,249500
2000-05-23,7.44,7.62,7.19,7.31,166700
2000-05-24,7.19,7.38,6.69,7.38,278800
2000-05-25,6.94,6.94,6.69,6.81,85000
2000-05-26,6.75,6.75,6.5,6.5,66400
2000-05-30,6.62,8.0,6.5,8.0,148700
2000-05-31,7.31,8.0,6.94,8.0,356500
2000-06-01,7.19,7.31,7.06,7.19,186200
2000-06-02,7.38,7.44,7.06,7.12,124900
2000-06-05,7.25,7.25,7.06,7.12,73800
2000-06-06,7.12,7.19,7.0,7.06,65700
2000-06-07,7.06,7.12,7.0,7.12,54600
2000-06-08,7.25,7.25,7.12,7.19,100900
2000-06-09,7.19,7.44,7.06,7.44,161900
2000-06-12,7.38,7.38,7.12,7.25,106100
2000-06-13,7.25,7.25,7.06,7.25,99800
2000-06-14,7.25,7.44,7.19,7.44,126900
2000-06-15,7.44,7.44,6.69,6.69,375700
2000-06-16,6.88,7.19,6.69,6.81,227200
2000-06-19,6.81,6.94,6.81,6.94,63000
2000-06-20,6.94,6.94,6.75,6.81,114700
2000-06-21,6.69,6.81,6.69,6.75,136600
2000-06-22,6.75,6.75,6.5,6.5,88000
2000-06-23,6.5,6.56,6.12,6.25,310100
2000-06-26,6.25,6.25,6.06,6.12,48700
2000-06-27,6.12,6.12,6.0,6.0,172600
2000-06-28,6.06,6.19,6.0,6.06,80300
2000-06-29,6.12,6.19,5.88,5.94,136600
2000-06-30,5.94,6.0,5.88,6.0,104900
2000-07-03,6.06,6.12,5.94,6.12,43000
2000-07-05,6.0,6.19,5.94,6.19,68200
2000-07-06,6.12,6.25,6.06,6.25,46600
2000-07-07,6.25,6.38,6.06,6.12,64000
2000-07-10,6.0,6.19,6.0,6.12,215500
2000-07-11,6.06,6.25,6.06,6.25,147000
2000-07-12,6.31,6.31,6.12,6.19,163800
2000-07-13,6.12,6.38,5.88,6.12,290700
2000-07-14,6.06,6.12,6.0,6.0,94500
2000-07-17,6.06,6.06,5.94,6.0,197200
2000-07-18,5.94,6.06,5.94,6.0,147500
2000-07-19,6.0,6.0,5.5,5.81,3152800
2000-07-20,5.81,5.94,5.75,5.88,146100
2000-07-21,5.88,5.94,5.62,5.81,417400
2000-07-24,5.81,5.88,5.62,5.75,235200
2000-07-25,5.88,5.94,5.81,5.81,59100
2000-07-26,5.88,5.88,5.75,5.81,148300
2000-07-27,5.75,5.81,5.69,5.75,58700
2000-07-28,5.69,5.75,5.62,5.75,69400
2000-07-31,5.75,5.88,5.62,5.81,114200
2000-08-01,5.81,6.38,5.69,6.38,1081900
2000-08-02,6.38,6.44,6.06,6.19,224800
2000-08-03,6.12,6.19,5.88,5.88,197000
2000-08-04,6.0,6.25,5.88,6.06,325200
2000-08-07,6.06,6.19,5.88,5.88,92800
2000-08-08,5.94,6.06,5.81,6.06,226900
2000-08-09,6.0,6.12,5.94,5.94,91700
