Date,Open,High,Low,Close,Volume
2003-01-02,,22.0,21.02,21.51,150906
2003-01-03,,21.58,21.11,21.25,63200
2003-01-06,,21.49,21.25,21.3,94400
2003-01-07,,21.35,21.05,21.23,116780
2003-01-08,,21.2,21.0,21.08,96500
2003-01-09,,21.18,20.92,21.12,118400
2003-01-10,,21.15,20.75,21.15,79000
2003-01-13,,21.15,20.75,21.02,89400
2003-01-14,,21.15,20.75,20.91,172504
2003-01-15,,21.25,20.68,21.05,401500
2003-01-16,,21.05,20.5,20.89,145246
2003-01-17,,19.85,18.46,18.79,923872
2003-01-21,,18.84,17.89,18.1,214798
2003-01-22,,18.35,17.9,18.28,220460
2003-01-23,,18.37,17.85,18.0,142882
2003-01-24,,18.0,17.7,17.98,109600
2003-01-27,,18.01,17.64,17.75,102953
2003-01-28,,17.95,17.75,17.9,86500
2003-01-29,,18.37,17.6,18.37,88700
2003-01-30,,18.36,17.9,18.2,115264
2003-01-31,,18.39,17.97,18.39,106000
2003-02-03,,18.42,17.8,17.91,512300
2003-02-04,,18.07,17.04,17.48,264550
2003-02-05,,17.5,16.97,17.05,129156
2003-02-06,,17.21,16.61,16.73,118800
2003-02-07,,16.79,16.1,16.16,110300
2003-02-10,,17.37,16.65,17.24,719863
2003-02-11,,17.52,16.54,16.63,2534201
2003-02-12,,16.62,15.82,15.92,317285
2003-02-13,,16.11,15.63,16.0,417600
2003-02-14,,16.29,15.99,16.15,276135
2003-02-18,,16.28,15.9,16.04,260644
2003-02-19,,16.07,15.45,15.6,152100
2003-02-20,,15.75,15.51,15.58,298000
2003-02-21,,15.6,15.39,15.51,80700
2003-02-24,,15.47,15.24,15.4,247494
2003-02-25,,15.61,14.97,15.61,279600
2003-02-26,,16.36,14.84,15.77,339973
2003-02-27,,16.08,15.55,16.06,204337
2003-02-28,,16.58,15.94,16.26,103700
2003-03-03,,16.4,16.01,16.17,124705
2003-03-04,,16.38,15.88,15.95,151566
2003-03-05,,15.95,15.61,15.8,127418
2003-03-06,,15.99,15.21,15.82,77000
2003-03-07,,16.47,15.82,16.16,100254
2003-03-10,,15.97,15.54,15.75,121275
2003-03-11,,16.07,15.75,16.03,106400
2003-03-12,,16.06,15.82,16.05,64999
2003-03-13,,16.75,15.79,16.67,117790
2003-03-14,,16.79,16.0,16.38,137832
2003-03-17,,16.88,15.37,16.88,242822
2003-03-18,,17.3,16.74,17.3,175369
2003-03-19,,17.53,17.13,17.45,92254
2003-03-20,,17.74,17.11,17.57,120800
2003-03-21,,18.11,17.36,18.04,214860
2003-03-24,,18.07,17.06,17.1,197862
2003-03-25,,13.96,11.3,13.4,9442440
2003-03-26,,14.5,13.13,13.65,1267369
2003-03-27,,13.85,13.39,13.75,317757
2003-03-28,,13.85,13.65,13.69,201735
2003-03-31,,13.7,13.38,13.46,184706
2003-04-01,,13.63,12.97,13.0,393039
2003-04-02,,13.43,13.0,13.0,782600
2003-04-03,,13.35,13.01,13.11,346334
2003-04-04,,13.25,12.71,13.0,266070
2003-04-07,,13.52,13.18,13.45,306767
2003-04-08,,13.9,13.38,13.71,295404
2003-04-09,,14.0,13.56,13.65,112888
2003-04-10,,13.89,13.6,13.82,171996
2003-04-11,,14.06,13.65,13.96,102800
2003-04-14,,14.4,14.0,14.35,244700
2003-04-15,,14.88,14.16,14.72,161725
2003-04-16,,15.35,14.85,15.24,432262
2003-04-17,,16.23,15.37,15.9,492406
2003-04-21,,16.0,15.35,15.7,333500
2003-04-22,,15.7,15.3,15.44,392231
2003-04-23,,15.84,15.5,15.61,149496
2003-04-24,,15.91,15.4,15.55,86300
2003-04-25,,15.58,14.95,15.01,125167
2003-04-28,,16.0,14.97,15.55,65825
2003-04-29,,15.95,15.25,15.6,230799
2003-04-30,,16.0,15.55,15.8,116900
2003-05-01,,15.8,15.6,15.7,94200
2003-05-02,,16.5,15.7,16.4,170100
2003-05-05,,16.48,15.9,16.0,76600
2003-05-06,,16.49,15.87,16.39,169816
2003-05-07,,16.49,16.0,16.26,188986
2003-05-08,,16.33,15.9,16.31,81700
2003-05-09,,16.95,16.15,16.7,99875
2003-05-12,,17.01,16.11,16.56,99750
2003-05-13,,16.74,16.25,16.29,119050
2003-05-14,,16.91,16.25,16.8,164890
2003-05-15,,17.57,16.71,16.92,108830
2003-05-16,,16.9,16.53,16.72,103140
2003-05-19,,16.75,16.55,16.56,49100
2003-05-20,,16.93,16.52,16.74,44600
2003-05-21,,16.83,16.55,16.7,33300
2003-05-22,,16.84,16.4,16.41,163600
2003-05-23,,16.85,16.3,16.77,38300
2003-05-27,,16.8,16.35,16.46,95290
2003-05-28,,16.85,16.32,16.84,187880
2003-05-29,,17.72,17.01,17.49,110326
2003-05-30,,18.49,17.51,18.4,197002
2003-06-02,,18.45,18.0,18.15,109400
2003-06-03,,18.0,16.52,17.2,338354
2003-06-04,,18.05,16.95,17.83,95440
2003-06-05,,17.74,17.3,17.52,109034
2003-06-06,,17.96,16.87,16.9,277371
2003-06-09,,17.0,16.55,16.6,184386
2003-06-10,,17.08,16.57,16.95,133266
2003-06-11,,17.0,16.52,16.8,96600
2003-06-12,,16.94,16.61,16.7,142800
2003-06-13,,16.71,16.29,16.31,127281
2003-06-16,,17.02,16.17,16.63,236236
2003-06-17,,18.34,16.8,17.7,271880
2003-06-18,,17.8,16.97,17.2,191748
2003-06-19,,17.25,16.35,16.84,153900
2003-06-20,,17.1,16.55,16.59,98082
2003-06-23,,16.79,16.47,16.68,147530
2003-06-24,,16.5,16.15,16.4,95898
2003-06-25,,16.5,16.33,16.41,37510
2003-06-26,,16.54,16.41,16.43,45990
2003-06-27,,16.64,16.23,16.46,169500
2003-06-30,,16.5,16.09,16.37,183875
2003-07-01,,16.35,15.9,16.25,123732
2003-07-02,,16.5,16.2,16.27,76791
2003-07-03,,16.5,16.2,16.27,13719
2003-07-07,,16.51,16.24,16.5,386990
2003-07-08,,16.89,16.3,16.85,383900
2003-07-09,,17.15,16.76,17.11,134510
2003-07-10,,17.2,16.95,17.03,419645
2003-07-11,,17.22,16.96,17.06,178271
2003-07-14,,17.3,17.05,17.25,123000
2003-07-15,,17.08,15.66,16.4,727580
2003-07-16,,14.57,12.8,13.96,2985448
2003-07-17,,14.0,13.5,13.6,1317235
2003-07-18,,14.14,13.6,14.14,1226546
2003-07-21,,14.33,13.95,14.1,294508
2003-07-22,,14.69,14.02,14.69,451553
2003-07-23,,15.29,14.46,15.29,724647
2003-07-24,,15.29,14.85,14.98,170142
2003-07-25,,15.04,14.53,15.02,233700
2003-07-28,,15.63,14.89,15.5,146437
2003-07-29,,15.7,15.2,15.56,179184
2003-07-30,,15.64,14.71,15.58,196883
2003-07-31,,15.74,15.29,15.51,153200
2003-08-01,,15.42,14.39,14.75,263561
2003-08-04,,15.27,14.54,15.21,177193
2003-08-05,,15.07,14.73,14.75,171600
2003-08-06,,15.25,14.73,15.0,129994
2003-08-07,,15.67,14.85,15.25,231653
2003-08-08,,15.47,15.12,15.35,523335
2003-08-11,,15.71,15.3,15.56,139206
2003-08-12,,15.69,15.39,15.68,217263
2003-08-13,,15.62,15.42,15.62,90125
2003-08-14,,15.8,15.4,15.51,99544
2004-08-09,19.01,20.5,19.01,20.28,51741
2004-08-10,20.22,20.5,20.03,20.1,1648
2004-08-11,19.98,20.49,19.01,19.63,126452
2004-08-12,19.11,19.25,19.1,19.19,35227
2004-08-13,19.11,19.11,18.2,18.5,256018
2004-08-16,18.51,18.62,18.5,18.62,1241
2004-08-17,18.56,18.59,17.9,18.21,117437
2004-08-18,18.24,19.7,17.9,19.51,64462
2004-08-19,19.29,19.32,18.22,19.02,68306
2004-08-20,18.99,19.37,18.25,19.37,2513
2004-08-23,18.25,18.92,17.86,18.5,19849
2004-08-24,18.41,19.0,18.41,18.7,47743
2004-08-25,18.56,19.25,18.56,18.85,13304
2004-08-26,19.75,19.75,18.72,18.95,22594
2004-08-27,18.95,19.4,18.9,19.1,303398
2004-08-30,19.0,19.01,18.48,18.51,85594
2004-08-31,18.54,19.44,18.54,19.14,144685
2004-09-01,18.8,19.56,18.66,19.05,26099
2004-09-02,19.0,19.4,19.0,19.2,77447
2004-09-03,19.22,19.35,18.69,18.7,14856
2004-09-07,18.84,19.1,18.0,18.0,35189
2004-09-08,18.31,18.7,18.31,18.5,27535
2004-09-09,18.78,18.81,18.5,18.5,35643
2004-09-10,18.55,18.79,18.41,18.43,130752
2004-09-13,18.51,18.7,18.36,18.42,57985
2004-09-14,18.4,18.5,18.38,18.5,13189
2004-09-15,18.4,18.8,18.0,18.8,34751
2004-09-16,18.51,18.75,18.5,18.62,3416
2004-09-17,18.9,19.3,18.59,19.17,111229
2004-09-20,18.68,19.2,18.5,18.98,67117
2004-09-21,19.0,20.15,19.0,19.89,183698
2004-09-22,20.04,20.05,19.48,19.6,27934
2004-09-23,19.48,20.79,19.48,20.65,297600
2004-09-24,20.26,20.93,20.25,20.79,96071
2004-09-27,20.75,20.91,20.53,20.75,74560
2004-09-28,20.94,22.01,20.53,21.4,380701
2004-09-29,21.27,22.0,20.56,21.85,194101
2004-09-30,21.0,22.39,21.0,22.0,407419
2004-10-01,21.91,22.5,21.52,22.5,257417
2004-10-04,22.33,22.47,21.26,21.96,292370
2004-10-05,21.75,22.34,21.39,21.94,39330
2004-10-06,21.81,22.14,21.32,22.14,23646
2004-10-07,22.19,22.25,21.83,22.0,26001
2004-10-08,22.18,22.2,21.64,21.99,13562
2004-10-11,22.0,22.27,22.0,22.1,78440
2004-10-12,22.29,22.95,22.07,22.87,188203
2004-10-13,22.84,22.84,22.15,22.36,154510
2004-10-14,22.69,22.69,22.14,22.36,4839
2004-10-15,22.1,22.8,22.0,22.4,6673
2004-10-18,22.5,22.5,21.68,22.15,9108
2004-10-19,22.5,22.5,21.51,22.06,5567
2004-10-20,21.52,22.19,21.52,21.93,1413
2004-10-21,21.95,21.95,21.81,21.9,4528
2004-10-22,21.69,22.09,21.69,22.0,12129
2004-10-25,21.55,21.77,21.0,21.76,28064
2004-10-26,21.48,21.48,21.31,21.42,1168
2004-10-27,21.1,21.85,21.1,21.59,46345
2004-10-28,21.31,21.9,21.31,21.85,5971
2004-10-29,21.66,21.9,21.66,21.68,42077
2004-11-01,21.41,22.25,21.31,22.05,82548
2004-11-02,22.25,22.7,21.49,22.7,290761
2004-11-03,22.94,23.01,22.54,22.8,32042
2004-11-04,22.49,23.6,22.48,23.16,176065
2004-11-05,23.0,25.7,23.0,24.74,311666
2004-11-08,25.0,25.25,23.98,24.2,60938
2004-11-09,23.89,25.06,23.89,24.53,110279
2004-11-10,24.0,25.01,24.0,24.2,168748
2004-11-11,24.46,24.57,24.29,24.33,25351
2004-11-12,24.35,24.35,23.95,24.0,585272
2004-11-15,22.95,23.03,22.47,22.82,120395
2004-11-16,23.1,23.62,22.73,22.87,51329
2004-11-17,22.9,23.69,22.75,22.84,26748
2004-11-18,22.84,23.67,22.65,23.16,33604
2004-11-19,23.32,23.38,22.86,22.9,29327
2004-11-22,22.9,23.75,22.9,23.5,88998
2004-11-23,23.12,23.84,23.12,23.69,60954
2004-11-24,23.71,24.23,23.55,24.04,90294
2004-11-26,24.11,24.22,23.96,24.11,15402
2004-11-29,24.0,24.11,23.3,24.02,164005
2004-11-30,24.0,24.11,23.88,24.05,53379
2004-12-01,23.75,24.11,23.75,24.08,16157
2004-12-02,24.0,24.0,23.7,23.71,41836
2004-12-03,23.76,23.9,23.7,23.9,31379
2004-12-06,23.9,24.12,23.9,24.01,44113
2004-12-07,23.1,23.8,23.1,23.47,165699
2004-12-08,23.12,23.5,22.9,23.5,105650
2004-12-09,23.4,23.43,23.26,23.29,11364
2004-12-10,22.99,23.28,22.72,22.86,275149
2004-12-13,22.75,22.98,22.67,22.9,20029
2004-12-14,22.83,22.94,22.81,22.87,29326
2004-12-15,22.75,23.0,22.75,22.92,27376
2004-12-16,22.9,23.25,22.9,23.13,50611
2004-12-17,23.14,23.35,22.75,23.19,130823
2004-12-20,23.15,23.15,22.79,23.0,40881
2004-12-21,23.1,23.35,22.53,23.2,75187
2004-12-22,23.43,23.5,22.62,23.25,32557
2004-12-23,23.24,23.5,23.24,23.44,48905
2004-12-27,23.55,23.55,22.46,23.5,29616
2004-12-28,23.3,24.0,23.2,24.0,298880
2004-12-29,23.99,24.0,23.6,23.9,149772
2004-12-30,23.52,24.07,23.52,24.05,139614
2004-12-31,23.74,24.0,23.65,23.71,25107
2005-01-03,23.6,23.69,23.47,23.69,214036
2005-01-04,23.72,24.13,23.72,23.8,67450
2005-01-05,23.92,24.15,23.72,23.99,227926
2005-01-06,23.03,24.49,22.92,23.62,100899
2005-01-07,23.9,24.0,23.65,23.98,112142
2005-01-10,23.73,24.4,23.73,23.95,55030
2005-01-11,23.81,24.11,23.69,23.75,475147
2005-01-12,23.66,23.96,23.65,23.77,42022
2005-01-13,23.69,24.01,23.69,23.77,208697
2005-01-14,23.77,24.09,23.64,23.94,422301
2005-01-18,23.68,23.89,23.66,23.71,51197
2005-01-19,23.71,24.02,23.71,23.95,58730
2005-01-20,23.8,23.99,23.51,23.74,18686
2005-01-21,23.7,24.75,23.56,23.9,334738
2005-01-24,23.9,24.0,23.7,23.76,57778
2005-01-25,23.76,24.0,23.75,23.8,79479
2005-01-26,24.53,24.87,24.23,24.77,317821
2005-01-27,24.6,25.0,24.6,24.8,56508
