Date,Open,High,Low,Close,Volume
2000-03-06,0.0,6.25,5.88,6.22,39600
2000-03-07,6.03,6.12,5.53,5.94,82300
2000-03-08,5.53,6.0,5.31,5.88,21600
2000-03-09,5.91,6.0,5.81,6.0,33200
2000-03-10,5.98,6.12,5.88,6.06,64800
2000-03-13,6.0,6.0,5.53,5.53,24600
2000-03-14,5.59,5.94,5.5,5.66,17100
2000-03-15,5.73,6.0,5.69,6.0,6500
2000-03-16,6.0,6.0,5.88,5.88,2300
2000-03-17,6.0,6.0,5.91,5.91,19000
2000-03-20,5.94,5.94,5.53,5.59,49700
2000-03-21,5.59,5.69,5.5,5.53,23500
2000-03-22,0.0,5.62,5.53,5.62,9200
2000-03-23,5.5,5.75,5.5,5.56,7900
2000-03-24,5.59,5.75,5.53,5.53,5600
2000-03-27,5.59,5.59,5.5,5.5,31800
2000-03-28,5.75,5.75,5.75,5.75,300
2000-03-29,5.5,5.75,5.5,5.5,31100
2000-03-30,5.47,5.53,5.44,5.47,23600
2000-03-31,5.47,5.5,5.44,5.5,6000
2000-04-03,5.88,5.88,5.25,5.38,34000
2000-04-04,5.34,5.34,4.38,5.0,39100
2000-04-05,4.88,5.0,4.5,4.75,19300
2000-04-06,4.78,5.0,4.75,5.0,5800
2000-04-07,4.88,4.88,4.62,4.88,19500
2000-04-10,4.75,4.75,4.5,4.5,13100
2000-04-11,4.12,4.69,4.12,4.5,43900
2000-04-12,4.56,4.56,4.28,4.38,21700
2000-04-13,4.38,4.44,4.25,4.41,19300
2000-04-14,4.47,4.48,3.28,3.75,55700
2000-04-17,3.69,4.09,3.62,3.62,41800
2000-04-18,3.75,4.0,3.75,3.75,29800
2000-04-19,3.69,4.12,3.62,4.12,93800
2000-04-20,4.12,4.25,3.75,4.19,71600
2000-04-24,4.06,4.12,3.38,3.62,67100
2000-04-25,0.0,4.12,3.78,3.88,29000
2000-04-26,3.88,3.88,3.53,3.62,8200
2000-04-27,4.0,4.0,4.0,4.0,100
2000-04-28,4.0,4.0,3.81,3.88,75200
2000-05-01,4.0,4.0,3.81,3.81,6500
2000-05-02,3.88,3.88,3.88,3.88,11200
2000-05-03,3.88,3.88,3.72,3.72,8700
2000-05-04,3.72,3.72,3.38,3.62,49300
2000-05-05,3.81,4.0,3.69,4.0,23100
2000-05-08,3.88,4.12,3.81,4.12,123600
2000-05-09,4.19,4.44,4.19,4.44,93200
2000-05-10,4.5,4.5,4.03,4.31,16700
2000-05-11,4.41,4.44,4.03,4.03,12600
2000-05-12,4.25,4.25,4.25,4.25,100
2000-05-15,4.02,4.12,4.02,4.12,2900
2000-05-16,4.02,4.25,4.0,4.0,13400
2000-05-17,4.0,4.0,3.69,3.75,56400
2000-05-18,3.81,4.25,3.69,4.12,21300
2000-05-19,0.0,4.25,4.03,4.25,4400
2000-05-22,4.0,4.0,3.94,4.0,3900
2000-05-23,4.12,4.12,4.12,4.12,7300
2000-05-24,3.88,4.0,3.75,4.0,8100
2000-05-25,3.75,3.75,3.62,3.72,25100
2000-05-26,3.69,3.72,3.38,3.62,47500
2000-05-30,3.66,3.66,3.25,3.44,29100
2000-05-31,3.5,3.62,3.38,3.62,5100
2000-06-01,3.62,4.09,3.62,4.06,40900
2000-06-02,4.12,4.19,4.06,4.19,58000
2000-06-05,4.22,4.25,3.62,3.69,16400
2000-06-06,3.62,4.0,3.62,4.0,82100
2000-06-07,3.88,3.94,3.78,3.94,16700
2000-06-08,0.0,4.0,3.78,4.0,26200
2000-06-09,3.94,4.0,3.88,3.94,21600
2000-06-12,3.94,3.97,3.91,3.97,17800
2000-06-13,3.94,3.97,3.81,3.97,6500
2000-06-14,3.89,4.0,3.81,4.0,1400
2000-06-15,4.0,4.0,3.88,4.0,12100
2000-06-16,4.0,4.0,3.75,3.88,6400
2000-06-19,3.88,4.0,3.81,3.94,7500
2000-06-20,3.75,4.0,3.75,4.0,5700
2000-06-21,3.75,4.0,3.75,3.88,4200
2000-06-22,3.75,3.88,3.25,3.5,22100
2000-06-23,3.62,3.75,3.62,3.62,1600
2000-06-26,3.62,3.81,3.62,3.78,39600
2000-06-27,3.75,3.88,3.69,3.88,15400
2000-06-28,3.69,3.69,3.69,3.69,23100
2000-06-29,0.0,3.88,3.53,3.88,8500
2000-06-30,3.66,3.69,3.12,3.69,18300
2000-07-03,3.75,3.81,3.75,3.81,10600
2000-07-05,3.31,3.62,3.31,3.62,6600
2000-07-06,0.0,3.69,3.59,3.69,9500
2000-07-07,3.69,3.75,3.62,3.75,18900
2000-07-10,3.5,3.5,3.5,3.5,200
2000-07-11,3.75,3.75,3.5,3.75,3800
2000-07-12,3.59,3.97,3.0,3.75,85000
2000-07-13,3.62,3.84,3.53,3.53,5100
2000-07-14,3.75,3.81,3.75,3.81,6100
2000-07-17,3.81,3.81,3.72,3.75,16400
2000-07-18,3.81,3.88,3.72,3.88,18200
2000-07-19,3.88,3.88,3.88,3.88,28400
2000-07-20,3.53,3.69,3.44,3.69,10900
2000-07-21,3.69,3.75,3.5,3.75,5300
2000-07-24,3.75,4.0,3.75,4.0,19500
2000-07-25,4.0,4.06,3.81,4.0,23800
2000-07-26,3.56,4.0,3.56,4.0,10800
2000-07-27,3.62,4.0,3.62,4.0,20100
2000-07-28,4.0,4.0,4.0,4.0,13700
2000-07-31,3.88,4.06,3.88,4.06,7800
2000-08-01,4.06,4.12,4.0,4.0,37800
2000-08-02,4.12,4.16,4.0,4.0,62400
2000-08-03,3.94,4.0,3.72,4.0,35400
2000-08-04,4.0,4.12,4.0,4.12,5000
2000-08-07,3.91,4.0,3.75,4.0,6100
2000-08-08,3.75,3.75,3.75,3.75,500
2000-08-09,3.75,4.12,3.75,4.12,24400
2000-08-10,4.0,4.06,3.94,4.0,79900
2000-08-11,4.0,4.0,3.88,3.88,6100
2000-08-14,3.88,3.88,3.88,3.88,300
2000-08-15,3.81,4.0,3.81,3.88,10000
2000-08-16,3.88,3.88,3.88,3.88,4000
2000-08-17,4.0,4.12,4.0,4.12,22600
