Date,Open,High,Low,Close,Volume
2010-05-20,12.0,15.26,11.86,14.98,1264729
2010-05-21,14.4,16.99,14.2,15.26,191612
2010-05-24,15.26,15.98,15.07,15.5,60736
2010-05-25,15.45,15.88,14.84,15.51,42104
2010-05-26,15.97,16.2,14.79,15.0,109196
2010-05-27,15.23,15.5,14.57,15.05,71573
2010-05-28,15.94,15.94,14.52,14.68,44475
2010-06-01,14.69,14.71,13.04,13.54,62720
2010-06-02,13.61,13.61,13.05,13.29,50092
2010-06-03,13.05,13.27,12.8,13.12,79138
2010-06-04,13.0,13.34,12.86,12.96,22220
2010-06-07,13.39,13.39,12.03,12.68,9945
2010-06-08,12.04,12.18,11.8,12.0,48733
2010-06-09,12.01,12.76,12.01,12.25,23270
2010-06-10,12.45,12.78,12.05,12.76,17052
2010-06-11,13.0,13.0,12.0,12.96,11376
2010-06-14,12.92,14.14,12.78,13.66,64485
2010-06-15,13.9,14.23,13.35,14.23,13112
2010-06-16,14.39,15.8,14.17,14.86,28443
2010-06-17,15.01,15.57,14.55,14.87,21037
2010-06-18,15.06,15.72,14.64,15.49,38219
2010-06-21,15.7,15.7,14.84,15.08,13812
2010-06-22,15.2,15.2,14.1,14.76,54488
2010-06-23,14.59,14.99,14.41,14.89,26193
2010-06-24,14.93,15.99,14.88,15.78,73266
2010-06-25,15.78,15.78,14.36,15.1,511308
2010-06-28,15.16,15.43,14.26,15.22,73432
2010-06-29,14.92,14.92,13.9,13.91,37028
2010-06-30,15.35,15.35,12.96,12.97,51815
2010-07-01,13.1,13.11,12.25,12.5,32261
2010-07-02,12.78,12.78,12.33,12.35,24864
2010-07-06,12.5,13.53,12.25,12.27,40671
2010-07-07,12.35,13.28,12.26,12.88,21027
2010-07-08,13.03,13.15,12.25,12.33,33618
2010-07-09,12.25,12.62,12.25,12.33,24291
2010-07-12,12.33,12.64,12.33,12.37,9337
2010-07-13,12.5,12.61,12.26,12.6,39598
2010-07-14,12.6,12.92,12.33,12.72,6788
2010-07-15,12.7,12.75,12.33,12.69,11332
2010-07-16,12.57,12.58,12.48,12.5,59316
2010-07-19,12.6,13.0,12.37,13.0,24309
2010-07-20,12.97,12.98,12.74,12.94,15087
2010-07-21,13.04,13.45,12.44,12.5,31243
2010-07-22,12.69,12.7,12.55,12.6,12582
2010-07-23,12.65,12.75,12.52,12.6,12929
2010-07-26,12.7,12.93,12.6,12.7,46362
2010-07-27,12.83,13.17,12.8,13.0,29603
2010-07-28,13.05,13.37,12.82,12.9,96028
2010-07-29,13.42,13.65,13.0,13.5,51739
2010-07-30,13.37,14.87,13.26,13.89,40540
2010-08-02,14.09,14.61,13.5,13.64,19051
2010-08-03,13.72,14.49,13.56,14.01,15030
2010-08-04,14.26,14.54,13.86,14.0,25843
2010-08-05,13.93,14.22,13.85,13.87,19030
2010-08-06,13.88,13.89,13.06,13.36,58561
2010-08-09,13.49,14.57,13.49,14.25,17101
2010-08-10,14.1,14.79,13.95,14.28,29269
2010-08-11,15.2,15.25,13.59,13.61,28895
2010-08-12,13.41,13.42,13.1,13.15,48010
2010-08-13,13.17,13.63,13.06,13.07,50642
2010-08-16,13.07,13.88,13.07,13.4,11528
2010-08-17,13.56,14.26,13.26,13.46,24389
2010-08-18,13.48,13.78,13.35,13.65,10633
2010-08-19,13.65,13.65,12.92,13.16,38125
2010-08-20,13.04,13.59,13.0,13.21,11610
2010-08-23,13.37,13.68,13.25,13.5,29926
2010-08-24,13.29,13.36,13.09,13.14,32473
2010-08-25,13.24,13.25,12.84,13.01,24228
2010-08-26,13.2,13.2,12.75,12.95,36508
2010-08-27,13.13,13.25,13.0,13.23,8597
2010-08-30,13.21,13.24,12.97,13.15,26189
2010-08-31,13.2,13.46,12.8,13.01,27053
2010-09-01,13.25,13.25,12.8,13.05,12797
2010-09-02,12.95,13.69,12.95,13.06,9267
2010-09-03,13.26,13.54,12.9,13.38,4826
2010-09-07,13.37,13.69,13.14,13.51,5568
2010-09-08,13.62,14.05,13.25,13.95,11768
2010-09-09,14.13,14.16,13.86,14.03,2161
2010-09-10,14.15,14.15,13.51,14.02,7569
2010-09-13,14.12,14.16,13.6,14.13,15964
2010-09-14,13.99,14.42,13.81,14.26,25070
2010-09-15,14.15,14.2,13.48,14.05,20674
2010-09-16,13.53,13.92,13.53,13.82,15379
2010-09-17,13.85,13.85,13.45,13.45,39683
2010-09-20,13.5,14.64,13.5,13.97,14719
2010-09-21,13.64,13.9,13.42,13.47,61566
2010-09-22,13.47,13.6,12.69,12.91,348062
2010-09-23,12.89,14.04,12.86,12.88,75161
2010-09-24,13.0,13.0,12.82,12.87,31256
2010-09-27,12.81,13.34,12.75,13.17,86526
2010-09-28,13.26,13.71,13.1,13.59,29357
2010-09-29,13.59,13.88,13.5,13.8,22047
2010-09-30,13.95,13.95,13.5,13.78,21010
2010-10-01,13.79,13.98,13.68,13.98,14191
2010-10-04,13.97,13.97,13.5,13.77,63663
2010-10-05,13.97,14.44,13.8,14.36,47972
2010-10-06,14.36,14.36,14.04,14.22,33780
2010-10-07,14.29,14.36,13.5,13.6,92569
2010-10-08,13.51,13.96,13.51,13.93,37467
2010-10-11,13.87,13.97,13.43,13.82,14718
2010-10-12,13.75,14.76,13.52,14.75,14964
2010-10-13,14.71,16.13,14.16,15.86,36061
2010-10-14,16.05,16.2,14.88,15.56,26532
2010-10-15,15.71,16.08,15.61,15.83,26398
2010-10-18,15.82,16.5,15.82,16.34,25591
2010-10-19,16.5,16.5,15.99,16.15,19773
2010-10-20,16.26,16.29,16.05,16.12,12178
2010-10-21,14.94,16.34,14.94,16.25,8038
2010-10-22,16.23,16.5,16.02,16.41,24477
2010-10-25,16.41,16.44,16.02,16.4,13412
2010-10-26,16.39,16.62,16.15,16.33,53233
2010-10-27,16.51,18.18,16.5,17.33,151642
2010-10-28,17.74,17.74,17.0,17.02,42462
2010-10-29,17.09,17.13,16.4,17.09,44102
2010-11-01,17.69,17.69,17.0,17.0,35409
2010-11-02,17.05,17.62,17.0,17.35,17873
2010-11-03,17.41,17.41,17.0,17.2,7216
2010-11-04,17.4,17.67,17.02,17.53,26022
2010-11-05,17.56,17.75,17.2,17.48,12041
2010-11-08,17.5,17.75,17.37,17.56,13288
2010-11-09,17.56,17.59,17.34,17.39,26753
2010-11-10,17.22,17.99,17.22,17.96,16643
2010-11-11,17.99,19.13,17.94,18.93,95143
2010-11-12,18.95,21.14,18.95,20.08,76171
2010-11-15,20.24,21.02,20.03,20.45,107841
2010-11-16,20.11,20.23,19.5,19.81,85582
2010-11-17,20.0,20.02,18.56,18.96,42383
2010-11-18,18.96,19.62,18.21,18.79,91345
2010-11-19,18.65,18.81,18.04,18.22,143154
2010-11-22,18.35,18.56,17.19,18.07,201835
2010-11-23,18.08,18.08,17.38,17.58,93507
2010-11-24,17.58,18.22,17.37,17.59,254465
2010-11-26,17.44,17.74,17.23,17.51,37375
2010-11-29,17.3,17.49,17.01,17.24,67930
2010-11-30,17.0,17.72,16.88,17.24,219865
2010-12-01,17.85,18.26,17.67,17.96,107903
2010-12-02,18.04,19.11,17.4,19.11,150084
2010-12-03,19.07,19.65,19.05,19.48,79409
2010-12-06,19.68,19.68,18.46,19.48,73040
2010-12-07,19.5,19.66,18.6,19.0,213134
2010-12-08,18.94,19.35,18.25,18.38,62431
2010-12-09,18.57,18.57,17.52,17.83,51218
2010-12-10,17.96,18.15,17.34,17.64,73927
2010-12-13,17.43,17.65,17.0,17.26,100447
2010-12-14,17.33,17.46,16.82,17.05,100483
2010-12-15,17.05,17.4,16.99,16.99,55842
2010-12-16,16.96,17.09,16.95,17.02,67859
2010-12-17,16.98,17.15,16.82,17.06,96786
2010-12-20,17.0,17.18,16.97,17.1,62980
2010-12-21,17.29,17.57,17.02,17.32,26853
2010-12-22,17.37,17.45,17.13,17.28,52548
2010-12-23,17.39,18.8,17.36,18.31,66978
2010-12-27,18.4,19.05,18.16,19.02,168616
2010-12-28,19.1,19.1,18.72,18.85,102741
2010-12-29,18.96,19.66,18.95,19.42,32088
2010-12-30,19.45,19.66,19.42,19.6,44249
2010-12-31,19.46,20.05,19.31,19.91,75167
2011-01-03,20.17,22.87,20.0,21.33,287186
2011-01-04,21.36,22.55,21.36,22.01,148904
2011-01-05,22.12,23.85,22.12,23.18,167120
2011-01-06,23.32,24.39,22.96,24.3,111556
2011-01-07,24.45,25.6,24.28,25.53,230463
2011-01-10,25.3,25.48,24.4,25.32,155658
2011-01-11,25.6,26.01,25.2,26.01,110761
2011-01-12,26.02,28.13,26.02,28.02,152452
2011-01-13,28.09,28.39,27.29,27.56,160232
2011-01-14,27.63,27.63,25.88,26.0,257079
2011-01-18,25.77,25.82,24.52,25.44,126064
2011-01-19,25.44,25.44,22.42,23.22,216285
2011-01-20,23.0,23.61,22.52,23.0,130316
2011-01-21,23.08,23.7,21.67,21.82,112927
2011-01-24,21.73,22.86,21.7,22.5,99850
2011-01-25,22.55,22.64,22.08,22.45,54037
2011-01-26,22.57,23.57,21.85,23.47,137775
2011-01-27,23.61,23.72,22.24,22.48,87001
2011-01-28,22.48,22.73,21.27,22.1,159208
2011-01-31,22.21,22.29,21.65,21.8,86920
2011-02-01,21.85,23.28,21.04,22.71,92964
2011-02-02,22.7,23.35,22.5,22.73,41608
2011-02-03,22.76,22.76,21.91,22.13,81131
2011-02-04,22.03,22.52,21.77,22.46,52882
2011-02-07,22.45,22.65,22.13,22.44,51246
2011-02-08,22.52,22.99,22.3,22.87,42099
2011-02-09,23.0,25.0,22.88,24.77,171079
2011-02-10,24.59,25.56,23.79,24.74,123345
2011-02-11,24.56,25.28,24.18,24.44,90977
2011-02-14,24.41,24.91,24.25,24.41,97474
2011-02-15,24.4,25.0,23.71,24.14,237880
2011-02-16,22.6,22.6,20.1,21.28,970359
2011-02-17,21.3,21.72,20.8,20.98,300404
2011-02-18,21.15,21.46,20.96,21.25,169908
2011-02-22,20.8,21.25,20.4,20.7,192228
2011-02-23,20.6,20.96,18.91,19.31,175872
2011-02-24,19.33,21.0,19.33,20.02,208286
2011-02-25,20.44,20.5,19.93,20.22,80312
2011-02-28,20.3,20.3,18.9,19.04,137618
2011-03-01,19.0,19.24,17.73,17.85,265734
2011-03-02,17.86,18.38,17.68,17.97,134649
2011-03-03,18.04,19.19,17.92,18.63,185160
2011-03-04,18.68,19.32,18.49,18.83,126434
2011-03-07,18.97,18.97,16.88,17.02,102466
2011-03-08,16.98,17.38,16.9,17.1,159378
2011-03-09,17.23,17.78,16.92,17.67,143779
2011-03-10,17.79,17.79,17.02,17.26,83968
2011-03-11,17.14,17.32,16.54,17.1,124582
2011-03-14,17.01,17.79,17.01,17.5,102922
2011-03-15,17.13,18.42,17.06,17.44,130772
2011-03-16,17.46,18.43,17.26,17.74,279287
2011-03-17,18.01,19.44,18.01,18.86,257031
2011-03-18,19.25,20.77,18.78,20.68,227018
2011-03-21,20.95,22.11,20.59,21.59,247104
2011-03-22,21.7,21.74,20.44,20.95,218957
2011-03-23,20.92,20.99,20.43,20.66,106127
2011-03-24,20.1,21.22,20.1,20.92,104774
2011-03-25,21.02,21.02,19.6,19.81,130078
2011-03-28,20.09,20.29,19.59,19.92,138489
2011-03-29,19.83,20.76,19.83,20.55,119127
2011-03-30,19.65,20.98,19.65,20.76,50821
2011-03-31,20.74,20.74,19.9,20.0,361418
2011-04-01,20.05,20.6,19.28,19.66,275682
2011-04-04,20.01,20.01,18.4,18.7,195467
2011-04-05,18.7,19.05,18.29,18.5,158925
2011-04-06,18.63,19.01,18.31,18.52,92416
2011-04-07,18.52,19.52,18.49,18.66,97957
2011-04-08,18.66,18.69,17.72,17.82,206078
2011-04-11,17.84,17.98,17.37,17.58,145260
2011-04-12,17.4,17.44,16.1,16.29,221131
2011-04-13,16.54,17.7,16.43,16.95,548725
2011-04-14,16.94,17.02,16.3,16.59,190467
2011-04-15,16.59,16.9,16.5,16.9,127093
2011-04-18,16.68,16.68,16.17,16.52,144656
2011-04-19,16.58,16.72,15.57,16.05,150919
2011-04-20,16.45,16.97,16.17,16.44,157835
2011-04-21,16.59,17.49,16.55,17.19,376345
2011-04-25,17.33,17.46,16.53,17.1,106979
2011-04-26,17.2,18.14,17.13,17.99,279269
2011-04-27,20.25,25.17,20.0,24.03,1799207
2011-04-28,24.01,26.0,24.0,25.51,431962
2011-04-29,25.29,25.29,22.74,23.24,545271
2011-05-02,23.0,23.0,22.0,22.08,218505
2011-05-03,21.88,22.17,20.8,21.17,161669
2011-05-04,21.15,23.0,20.81,22.16,309073
2011-05-05,21.87,22.91,20.47,22.36,171231
2011-05-06,22.66,22.79,22.15,22.49,63823
