Date,Open,High,Low,Close,Volume
2009-08-05,14.28,14.69,13.7,14.2,1642862
2009-08-06,14.22,14.5,14.13,14.32,1693537
2009-08-07,14.9,15.91,14.46,15.58,2881697
2009-08-10,15.58,15.94,15.38,15.85,2159658
2009-08-11,15.73,16.0,15.52,15.75,2301273
2009-08-12,15.66,16.33,15.5,16.12,2410570
2009-08-13,16.07,16.8,15.97,16.76,2781571
2009-08-14,16.9,17.1,16.24,16.6,1843640
2009-08-17,16.25,16.43,15.78,16.21,3169460
2009-08-18,16.24,16.91,16.08,16.88,2211188
2009-08-19,16.74,17.03,16.41,17.01,3297894
2009-08-20,17.02,17.46,16.85,17.45,2275935
2009-08-21,17.58,18.06,17.44,18.01,2162533
2009-08-24,18.08,18.19,17.58,17.81,1989213
2009-08-25,17.92,18.04,17.62,18.01,2318979
2009-08-26,17.89,18.31,17.87,18.13,1768212
2009-08-27,18.21,18.3,17.64,18.21,1649470
2009-08-28,18.27,18.34,17.72,17.85,2058620
2009-08-31,17.84,18.0,17.56,17.84,1945428
2009-09-01,17.86,18.17,17.17,17.18,2010310
2009-09-02,17.16,17.48,16.9,17.44,2707344
2009-09-03,17.54,17.58,17.06,17.5,1845556
2009-09-04,17.49,17.65,17.18,17.65,1430112
2009-09-08,17.31,17.8,17.31,17.75,1485162
2009-09-09,17.57,18.93,17.56,18.72,9042998
2009-09-10,18.68,18.96,18.43,18.93,2374748
2009-09-11,18.88,19.4,18.76,19.12,1862342
2009-09-14,19.0,19.83,18.88,19.79,2405425
2009-09-15,19.79,19.99,19.69,19.85,2303554
2009-09-16,19.69,21.14,19.63,21.13,3948365
2009-09-17,21.08,21.6,20.9,21.18,4957122
2009-09-18,21.29,21.39,21.04,21.27,2902953
2009-09-21,21.05,21.12,20.57,20.8,2317482
2009-09-22,20.89,21.72,20.81,21.71,3753034
2009-09-23,21.7,21.9,21.04,21.08,2295732
2009-09-24,20.98,21.47,20.54,20.86,2385505
2009-09-25,20.48,20.86,20.31,20.45,1846558
2009-09-28,20.58,21.41,20.44,21.41,2174960
2009-09-29,21.45,21.78,21.32,21.46,3191689
2009-09-30,21.43,21.59,20.86,21.26,3218503
2009-10-01,21.23,21.41,20.46,20.75,3583830
2009-10-02,20.56,20.61,19.81,20.22,2587422
2009-10-05,20.32,21.12,20.22,21.12,2803505
2009-10-06,21.12,21.4,20.92,21.2,2451266
2009-10-07,21.17,21.3,20.75,21.3,1790517
2009-10-08,21.42,22.05,21.4,21.87,1832245
2009-10-09,22.01,22.23,21.71,22.2,1623688
2009-10-12,22.2,22.22,21.8,22.01,1182723
2009-10-13,21.8,21.96,21.36,21.62,2325888
2009-10-14,21.78,21.98,21.46,21.9,2219710
2009-10-15,21.67,22.1,21.57,22.08,1959580
2009-10-16,21.8,22.13,21.19,21.82,2285025
2009-10-19,21.83,22.2,21.79,22.06,1947178
2009-10-20,22.05,22.25,21.75,22.09,2241649
2009-10-21,21.9,22.14,21.5,21.7,2290129
2009-10-22,21.86,22.24,21.35,22.17,1650782
2009-10-23,22.25,22.25,21.16,21.37,1996692
2009-10-26,21.17,22.14,21.15,21.43,2513749
