Date,Open,High,Low,Close,Volume
2007-06-27,22.0,24.39,19.7,23.47,6137584
2007-06-28,23.89,26.27,22.5,25.59,804256
2007-06-29,26.2,26.2,22.26,23.15,603927
2007-07-02,23.49,23.49,22.0,22.41,324070
2007-07-03,22.77,22.77,22.0,22.39,86292
2007-07-05,22.22,23.2,22.05,22.94,221182
2007-07-06,22.91,25.08,22.91,24.71,219506
2007-07-09,25.24,25.4,23.22,23.8,130639
2007-07-10,23.42,25.05,23.42,24.21,158003
2007-07-11,24.49,25.17,24.42,24.98,132904
2007-07-12,25.23,28.27,25.23,26.86,418372
2007-07-13,27.22,28.0,25.5,26.04,175594
2007-07-16,26.37,26.37,24.78,24.89,58465
2007-07-17,25.0,25.1,24.0,24.29,142083
2007-07-18,24.23,24.42,23.57,24.08,69216
2007-07-19,23.8,25.09,23.8,24.52,74252
2007-07-20,24.54,24.54,23.86,24.02,66659
2007-07-23,23.83,24.8,23.07,24.19,105458
2007-07-24,24.01,24.25,23.39,23.74,62719
2007-07-25,23.56,23.83,22.79,23.78,77320
2007-07-26,23.5,23.5,22.0,23.22,73326
2007-07-27,23.4,23.49,22.73,22.99,63176
2007-07-30,23.13,23.47,22.88,23.2,55641
2007-07-31,23.02,23.9,23.0,23.48,205152
2007-08-01,24.0,24.55,22.0,24.4,70901
2007-08-02,24.2,24.66,23.99,24.12,81082
2007-08-03,24.52,25.7,23.29,24.35,136333
2007-08-06,23.88,24.35,22.0,23.02,86529
2007-08-07,23.06,23.17,22.65,23.01,51686
2007-08-08,22.0,23.02,21.08,22.14,210013
2007-08-09,21.64,22.59,21.64,22.59,47713
2007-08-10,22.02,23.54,22.0,23.54,57509
2007-08-13,23.24,23.42,22.98,22.98,8479
2007-08-14,22.51,23.65,22.38,22.58,39060
2007-08-15,21.98,23.04,21.98,22.55,68305
2007-08-16,22.02,23.28,22.0,22.15,136572
2007-08-17,24.4,24.4,22.0,22.29,83969
2007-08-20,22.12,22.29,21.86,22.0,226954
2007-08-21,21.95,22.94,21.5,22.61,76440
2007-08-22,22.0,22.75,22.0,22.59,19463
2007-08-23,22.5,22.75,22.5,22.73,21713
2007-08-24,22.45,22.57,22.03,22.3,9354
2007-08-27,22.3,22.41,21.01,21.25,141843
2007-08-28,21.3,21.44,20.63,21.17,81636
2007-08-29,21.25,21.97,21.15,21.5,59089
2007-08-30,21.5,22.19,20.86,21.75,73302
2007-08-31,21.62,21.8,21.28,21.42,30582
2007-09-04,21.42,22.3,21.4,22.05,53125
2007-09-05,21.94,22.22,21.94,22.22,10965
2007-09-06,22.44,22.53,20.62,22.28,19100
2007-09-07,21.05,22.52,21.05,22.06,6225
2007-09-10,21.62,22.57,21.62,22.39,25060
2007-09-11,22.46,23.2,22.45,23.19,17600
2007-09-12,23.08,23.19,22.61,23.18,7505
2007-09-13,23.48,23.6,22.43,23.52,15200
2007-09-14,23.66,24.24,23.28,24.22,63500
2007-09-17,22.34,25.14,22.34,24.71,41071
2007-09-18,24.86,25.96,24.86,25.91,34272
2007-09-19,25.96,26.88,25.96,26.7,57771
2007-09-20,26.56,26.83,26.08,26.43,44683
2007-09-21,26.3,27.19,26.25,27.19,43094
2007-09-24,26.93,27.75,26.69,27.55,13982
2007-09-25,24.78,28.0,24.78,27.77,61740
2007-09-26,28.15,30.52,27.92,30.47,58014
2007-09-27,30.59,31.65,28.84,29.15,148764
2007-09-28,29.15,29.6,27.0,27.0,574121
2007-10-01,27.0,29.0,26.97,28.85,131443
2007-10-02,28.95,30.47,28.38,29.03,133340
2007-10-03,32.56,33.6,31.13,31.18,1105077
2007-10-04,31.49,31.56,30.74,30.97,271873
