Date,Open,High,Low,Close,Volume
2011-09-26,67.11,72.0,67.1,69.71,552372
2011-09-27,72.94,72.95,70.36,70.57,301159
2011-09-28,71.45,71.88,69.06,69.27,340565
2011-09-29,70.25,71.42,65.53,67.55,761126
2011-09-30,66.71,67.33,62.49,66.12,568622
2011-10-03,66.0,66.5,60.89,61.11,484599
2011-10-04,60.34,62.91,58.51,62.82,483019
2011-10-05,63.29,64.15,60.83,63.09,646787
2011-10-06,63.07,65.77,63.07,65.61,341219
2011-10-07,65.91,67.45,64.7,65.22,861759
2011-10-10,65.27,69.92,64.2,68.51,530198
2011-10-11,68.66,72.75,68.66,70.95,649707
2011-10-12,71.41,74.35,71.41,73.69,662292
2011-10-13,72.98,75.29,72.92,74.71,653941
2011-10-14,75.27,77.32,75.21,76.36,473964
2011-10-17,75.78,78.1,75.67,77.21,540470
2011-10-18,76.65,77.36,75.34,76.25,484980
2011-10-19,76.16,76.27,73.24,73.69,430797
2011-10-20,73.55,74.22,72.01,73.64,270283
2011-10-21,74.62,75.69,74.51,75.44,277544
2011-10-24,75.45,77.99,75.44,77.94,291554
2011-10-25,77.5,77.54,75.97,76.26,205664
2011-10-26,76.24,77.81,75.75,77.12,312336
2011-10-27,78.9,79.83,77.63,78.43,349892
2011-10-28,77.74,78.52,77.01,77.66,260116
2011-10-31,76.52,78.62,76.39,76.82,238501
2011-11-01,75.36,75.63,73.14,73.23,543130
2011-11-02,74.16,75.1,72.73,73.21,423600
2011-11-03,74.02,75.11,73.24,74.1,509890
2011-11-04,73.31,75.4,72.59,75.4,233255
2011-11-07,75.05,76.45,75.05,75.91,340033
2011-11-08,78.01,78.76,74.44,78.53,605658
2011-11-09,77.1,78.25,74.35,74.56,454445
2011-11-10,75.28,77.98,75.0,76.78,593453
2011-11-11,77.39,79.67,77.15,79.67,898043
2011-11-14,79.06,80.45,78.46,79.48,668757
2011-11-15,79.24,80.0,78.53,79.32,324383
2011-11-16,80.79,80.85,77.51,77.7,813726
2011-11-17,78.1,80.46,77.57,78.19,2637034
2011-11-18,78.65,79.45,78.09,78.4,2064193
2011-11-21,76.91,77.13,75.13,75.41,1440542
2011-11-22,73.16,75.6,73.16,74.43,1593447
2011-11-23,74.0,75.06,73.47,73.83,1645363
2011-11-25,74.48,75.18,74.02,74.59,432830
2011-11-28,76.36,77.52,74.7,75.85,2172604
2011-11-29,77.5,104.34,73.52,75.68,1527993
2011-11-30,78.03,78.12,76.24,76.28,6151070
2011-12-01,76.27,77.26,73.82,75.22,2248779
2011-12-02,75.49,78.37,75.38,76.71,915169
2011-12-05,78.26,78.35,75.66,76.08,759540
2011-12-06,76.34,76.73,75.4,75.41,735413
2011-12-07,75.29,77.78,74.39,77.49,708343
2011-12-08,77.31,77.31,74.02,74.13,731620
2011-12-09,74.42,75.98,73.73,75.24,439128
2011-12-12,74.63,74.86,74.02,74.43,469893
2011-12-13,75.3,76.11,74.6,76.04,1126018
2011-12-14,75.77,75.78,72.75,73.72,829333
2011-12-15,73.89,74.97,73.04,73.45,771332
2011-12-16,73.93,75.71,72.7,75.55,1786254
2011-12-19,76.4,77.12,74.91,75.08,752870
2011-12-20,74.35,76.85,74.09,76.42,540560
2011-12-21,76.3,77.34,75.79,77.05,437873
2011-12-22,77.31,77.31,76.13,76.28,383052
2011-12-23,76.18,78.0,76.16,77.54,356171
2011-12-27,77.04,77.42,76.41,77.25,420446
2011-12-28,77.34,77.44,76.29,76.64,358052
2011-12-29,77.01,78.18,75.83,78.04,375239
2011-12-30,77.86,78.26,77.08,78.05,525555
2012-01-03,78.9,79.3,77.34,78.31,909195
2012-01-04,78.22,80.24,77.77,79.25,913291
2012-01-05,79.0,82.68,78.78,81.89,1053411
2012-01-06,82.15,82.5,80.99,81.49,304007
2012-01-09,81.72,82.39,81.35,81.8,507008
2012-01-10,82.4,82.87,81.96,82.13,639090
2012-01-11,81.78,82.29,81.46,81.69,436077
2012-01-12,81.98,83.3,81.65,83.18,460587
2012-01-13,83.01,83.87,82.3,83.29,499879
2012-01-17,84.43,85.31,84.15,84.32,567856
2012-01-18,84.7,85.63,84.15,85.45,570121
2012-01-19,85.36,85.97,84.93,84.96,558948
2012-01-20,84.65,85.06,83.02,83.19,524847
2012-01-23,83.15,83.75,82.19,82.87,358277
2012-01-24,82.86,84.2,82.04,83.51,267624
2012-01-25,83.35,83.92,82.52,83.0,334231
2012-01-26,82.69,83.6,81.95,82.67,301092
2012-01-27,82.46,82.67,81.77,81.81,486630
2012-01-30,81.03,81.78,80.17,81.04,526525
2012-01-31,81.34,82.49,81.19,82.41,403642
2012-02-01,83.14,84.42,83.1,83.64,870304
2012-02-02,84.3,84.3,82.87,83.59,1031917
2012-02-03,84.17,84.95,83.78,84.45,417884
2012-02-06,83.85,85.0,83.85,84.03,518185
2012-02-07,83.67,84.16,83.46,83.95,223758
2012-02-08,83.67,85.5,83.67,85.35,598999
2012-02-09,85.68,86.05,84.85,85.95,370801
2012-02-10,85.7,85.8,84.9,85.15,392153
2012-02-13,85.56,85.66,83.48,85.4,303225
2012-02-14,85.2,85.93,84.86,85.59,405065
2012-02-15,87.4,88.04,86.01,86.5,574690
2012-02-16,86.85,87.94,86.51,86.9,559105
2012-02-17,87.18,87.7,86.87,87.37,278436
2012-02-21,88.25,88.25,86.19,86.6,410347
2012-02-22,86.68,87.02,85.42,86.0,576973
2012-02-23,86.62,87.76,85.74,87.74,355548
2012-02-24,88.0,88.62,87.53,88.28,572465
2012-02-27,88.26,88.98,87.38,88.24,481147
2012-02-28,88.24,89.26,87.95,89.02,492864
2012-02-29,89.51,90.48,88.04,89.89,1623167
2012-03-01,90.0,91.64,89.03,89.3,821792
2012-03-02,89.3,90.71,88.9,89.66,484651
2012-03-05,89.3,89.59,87.79,88.05,568461
2012-03-06,87.3,87.3,84.71,85.32,1023086
2012-03-07,85.8,86.83,84.14,86.35,473462
2012-03-08,87.16,87.8,86.05,87.5,357117
