Date,Open,High,Low,Close,Volume
2014-02-10,9.1,11.1,9.1,10.37,157705
2014-02-11,10.34,10.7,9.41,9.85,440446
2014-02-12,9.85,9.85,9.05,9.42,351220
2014-02-13,9.3,9.58,9.26,9.39,212854
2014-02-14,9.5,9.5,9.11,9.4,121365
2014-02-18,9.47,9.5,9.15,9.42,204939
2014-02-19,9.93,9.93,9.3,9.53,785095
2014-02-20,9.58,9.6,9.4,9.55,405087
2014-02-21,9.62,9.74,9.5,9.66,205474
2014-02-24,9.72,9.99,9.46,9.6,319963
2014-02-25,9.63,9.98,9.48,9.97,560711
2014-02-26,10.01,10.87,10.0,10.79,359915
2014-02-27,10.9,11.63,10.75,11.51,596558
2014-02-28,11.78,12.46,11.75,12.39,760116
2014-03-03,12.39,12.8,12.01,12.53,328210
2014-03-04,12.68,13.05,12.6,13.04,666911
2014-03-05,13.0,13.17,12.79,13.1,271901
2014-03-06,13.13,13.13,12.85,12.97,198776
2014-03-07,13.09,13.14,12.86,12.98,235831
2014-03-10,12.95,13.25,12.82,12.89,271304
2014-03-11,12.97,12.97,12.19,12.39,251640
2014-03-12,12.36,12.83,12.15,12.66,169190
2014-03-13,12.64,12.66,11.39,11.66,267650
2014-03-14,11.58,11.81,11.19,11.44,133647
2014-03-17,11.57,11.78,11.4,11.58,205247
2014-03-18,11.64,11.75,10.91,11.2,258220
2014-03-19,11.15,11.27,10.64,10.97,174240
2014-03-20,11.01,11.21,10.89,11.18,95323
2014-03-21,11.26,11.33,10.75,10.75,493920
2014-03-24,10.62,10.99,10.25,10.54,152716
2014-03-25,10.63,10.71,10.5,10.64,124780
2014-03-26,10.74,10.88,10.5,10.54,227262
2014-03-27,10.57,10.67,10.31,10.38,200348
2014-03-28,10.08,10.77,10.08,10.41,192573
2014-03-31,10.51,10.95,10.33,10.63,198307
2014-04-01,10.69,11.19,10.67,11.12,192619
2014-04-02,11.18,11.21,10.84,11.08,128004
2014-04-03,11.12,11.2,11.0,11.16,157305
2014-04-04,11.27,11.49,10.96,11.09,247682
2014-04-07,11.01,11.4,10.66,10.78,468883
2014-04-08,10.81,11.28,10.72,11.22,181406
2014-04-09,11.29,11.95,11.08,11.9,248453
2014-04-10,11.85,11.93,11.21,11.4,175051
2014-04-11,11.28,11.44,10.74,10.87,133038
2014-04-14,10.99,10.99,10.26,10.41,148217
2014-04-15,10.4,10.45,9.74,9.79,285109
2014-04-16,9.8,9.92,9.53,9.71,172211
2014-04-17,9.69,9.98,9.58,9.76,194123
2014-04-21,9.81,10.13,9.56,9.97,155678
2014-04-22,9.98,10.1,9.91,9.99,110712
2014-04-23,10.0,10.03,9.81,9.92,100766
2014-04-24,9.98,9.98,9.58,9.75,168553
2014-04-25,9.67,9.86,9.45,9.58,170290
2014-04-28,9.61,9.74,9.28,9.4,214478
2014-04-29,9.47,9.64,9.43,9.59,136796
2014-04-30,9.54,9.72,9.43,9.58,239076
2014-05-01,9.53,9.87,9.47,9.76,150606
2014-05-02,9.79,9.95,9.38,9.44,93067
2014-05-05,9.39,9.53,9.1,9.44,130926
2014-05-06,9.33,9.4,8.8,9.03,191937
2014-05-07,9.19,9.89,8.4,9.79,394506
2014-05-08,9.74,9.88,9.1,9.36,226595
2014-05-09,9.3,9.49,9.09,9.45,159595
2014-05-12,9.46,10.08,9.35,9.95,142318
2014-05-13,9.97,9.97,9.41,9.72,159859
2014-05-14,9.67,9.86,9.5,9.67,85229
2014-05-15,9.61,9.63,9.35,9.6,95286
2014-05-16,9.58,10.0,9.55,9.88,109481
2014-05-19,9.81,10.05,9.71,9.77,66993
2014-05-20,9.7,9.74,9.42,9.63,182242
2014-05-21,9.72,9.72,9.38,9.56,57741
2014-05-22,9.62,9.62,9.37,9.53,53235
2014-05-23,9.56,9.94,9.56,9.8,84136
2014-05-27,9.94,10.0,9.38,9.79,77301
2014-05-28,9.76,9.86,9.56,9.68,46069
2014-05-29,9.69,9.71,9.59,9.63,29578
2014-05-30,9.67,9.79,9.51,9.74,75370
