Date,Open,High,Low,Close,Volume
2010-11-05,35.0,35.0,31.04,32.11,13148443
2010-11-08,32.66,33.0,30.97,32.04,1231598
2010-11-09,31.52,34.48,31.52,33.9,877493
2010-11-10,33.6,33.6,32.55,32.8,454656
2010-11-11,32.13,34.39,31.92,33.49,228717
2010-11-12,32.28,33.93,32.28,32.82,374290
2010-11-15,33.02,33.48,32.51,32.8,183776
2010-11-16,32.17,33.22,32.12,32.85,174299
2010-11-17,32.85,32.97,32.52,32.84,236819
2010-11-18,33.24,33.89,32.76,33.5,242676
2010-11-19,34.08,34.49,33.2,33.5,602758
2010-11-22,33.54,33.68,33.25,33.5,186306
2010-11-23,33.04,33.19,32.95,33.0,262379
2010-11-24,33.75,33.83,32.48,32.72,135450
2010-11-26,32.3,32.95,32.2,32.52,28282
2010-11-29,32.88,34.27,32.75,34.0,233662
2010-11-30,34.13,36.53,33.96,36.25,460857
2010-12-01,36.83,39.83,36.33,37.4,466343
2010-12-02,36.48,38.29,36.32,38.2,244787
2010-12-03,37.59,38.41,37.5,38.19,89979
2010-12-06,37.89,38.38,37.74,37.96,301643
2010-12-07,38.14,38.14,37.1,37.25,269879
2010-12-08,37.03,37.31,34.36,35.31,437737
2010-12-09,35.02,35.8,35.02,35.5,131750
2010-12-10,35.19,37.95,35.19,36.97,245576
2010-12-13,37.17,37.74,36.05,36.5,166686
2010-12-14,36.3,36.91,35.3,35.84,230401
2010-12-15,35.81,36.5,34.86,35.71,432622
2010-12-16,35.88,38.75,35.41,38.22,292083
2010-12-17,38.0,39.4,36.51,39.4,2511389
2010-12-20,39.6,42.71,39.38,40.8,583032
2010-12-21,41.14,42.37,40.83,42.22,282715
2010-12-22,42.67,44.45,41.92,43.56,473304
2010-12-23,43.65,44.38,43.65,44.23,242538
2010-12-27,44.62,44.62,42.61,42.79,265453
2010-12-28,42.75,42.99,40.77,42.65,231161
2010-12-29,42.85,43.01,42.0,42.07,202743
2010-12-30,42.24,42.34,41.45,41.69,158104
2010-12-31,41.69,42.27,40.99,41.2,209328
2011-01-03,41.74,42.07,38.88,40.97,304649
2011-01-04,40.04,40.39,38.01,38.73,406124
2011-01-05,38.84,39.29,37.69,38.77,285505
2011-01-06,38.7,39.57,36.52,36.89,249966
2011-01-07,37.13,37.63,35.9,36.07,189018
2011-01-10,35.91,38.3,35.91,37.19,238307
2011-01-11,37.33,37.57,36.55,37.32,95488
2011-01-12,37.69,38.3,37.44,38.27,73143
2011-01-13,38.44,40.11,38.16,39.64,177342
2011-01-14,39.8,41.25,39.8,40.85,219531
2011-01-18,40.88,40.88,38.7,40.24,113214
2011-01-19,40.22,40.99,38.58,38.68,134349
2011-01-20,38.65,38.66,37.52,37.54,61707
2011-01-21,37.67,38.97,37.29,37.82,67130
2011-01-24,37.98,38.3,37.0,37.44,91203
2011-01-25,37.4,37.62,36.75,37.07,124732
2011-01-26,37.13,37.4,36.53,36.73,72452
2011-01-27,36.93,37.28,35.81,37.21,118036
2011-01-28,37.6,38.65,36.25,36.29,77317
2011-01-31,36.62,37.22,35.62,36.77,101241
2011-02-01,36.87,40.34,36.87,39.4,192077
2011-02-02,39.35,39.9,38.26,38.37,101209
2011-02-03,39.57,39.57,37.41,38.27,111911
2011-02-04,38.22,39.44,38.16,39.4,133305
2011-02-07,39.27,39.66,39.0,39.29,83234
2011-02-08,39.3,39.3,37.91,38.18,113613
2011-02-09,37.99,38.9,37.82,38.2,44715
2011-02-10,40.1,40.94,39.09,40.84,309737
2011-02-11,40.74,43.89,39.75,42.27,234355
2011-02-14,42.07,42.5,41.45,42.19,79116
2011-02-15,41.93,42.5,40.52,41.0,107538
2011-02-16,41.09,41.74,40.56,41.54,98224
2011-02-17,41.42,43.15,41.42,43.13,126732
2011-02-18,43.43,46.85,43.43,45.55,405654
2011-02-22,46.29,46.39,44.29,44.89,207259
2011-02-23,42.76,42.93,39.3,41.95,546407
2011-02-24,41.26,42.44,41.06,41.91,307389
2011-02-25,42.01,42.74,41.09,41.25,143734
2011-02-28,41.41,41.95,40.29,40.8,114272
2011-03-01,41.2,41.2,40.0,40.04,132484
2011-03-02,40.18,41.27,40.07,40.5,71695
2011-03-03,40.8,41.5,40.52,40.68,122782
2011-03-04,40.8,41.2,40.49,40.98,80286
2011-03-07,41.25,41.67,39.79,40.26,86690
2011-03-08,40.24,40.3,39.26,39.64,76987
2011-03-09,39.5,39.61,38.77,39.18,60605
2011-03-10,38.78,39.43,38.26,39.09,163473
2011-03-11,38.71,40.74,38.71,39.95,56373
2011-03-14,39.68,42.09,39.63,41.51,201660
2011-03-15,40.12,41.73,39.92,41.42,72337
2011-03-16,41.4,43.04,40.1,41.02,90918
2011-03-17,41.85,41.85,40.5,41.02,95832
2011-03-18,41.41,41.77,40.51,41.33,191016
2011-03-21,41.94,41.94,39.61,40.33,148583
2011-03-22,40.24,41.13,40.01,40.48,123176
2011-03-23,40.11,40.11,36.63,37.6,331365
2011-03-24,37.89,39.0,37.74,38.25,149909
2011-03-25,38.49,38.62,37.72,38.17,88422
2011-03-28,38.14,38.43,37.51,37.69,54939
2011-03-29,37.69,38.2,37.59,37.7,69972
2011-03-30,37.66,37.93,37.53,37.69,92132
2011-03-31,37.53,38.0,37.51,37.74,83805
2011-04-01,38.02,38.39,37.26,38.04,149584
2011-04-04,38.0,38.31,37.78,37.96,87260
2011-04-05,37.99,38.34,37.28,37.8,76446
2011-04-06,38.05,38.44,37.52,37.87,59046
