Date,Open,High,Low,Close,Volume
2004-07-23,770.0,770.7,707.0,742.0,41675
2004-07-26,756.0,756.0,711.2,726.6,8598
2004-07-27,721.0,738.5,714.0,714.0,12181
2004-07-28,721.0,756.0,721.0,753.2,5878
2004-07-29,754.25,787.5,752.5,783.3,9450
2004-07-30,786.8,808.5,786.8,801.5,6739
2004-08-02,805.0,828.1,794.5,795.9,5307
2004-08-03,803.6,807.1,787.5,798.0,2553
2004-08-04,798.0,798.0,780.5,790.3,838
2004-08-05,791.0,791.0,742.0,768.6,3461
2004-08-06,763.0,763.7,742.0,763.0,846
2004-08-09,763.0,765.8,756.0,756.0,78
2004-08-10,763.0,784.7,763.0,777.7,1181
2004-08-11,773.5,784.0,773.5,782.6,810
2004-08-12,782.53,782.53,745.5,766.5,1628
2004-08-13,773.43,773.43,767.2,769.23,147
2004-08-16,770.0,770.0,762.3,769.3,1606
2004-08-17,749.07,787.5,749.07,773.5,7521
2004-08-18,772.8,780.5,772.73,772.73,739
2004-08-19,772.1,772.8,767.9,770.0,897
2004-08-20,772.1,772.1,764.4,767.2,2913
2004-08-23,763.0,767.9,735.7,758.8,1264
2004-08-24,787.5,787.5,739.9,763.0,300
2004-08-25,777.0,777.0,749.0,763.0,1617
2004-08-26,763.0,821.8,763.0,765.1,1226
2004-08-27,774.9,791.0,759.5,760.2,367
2004-08-30,787.5,787.5,763.7,767.9,342
2004-08-31,874.3,927.5,801.5,820.4,35678
2004-09-01,812.7,837.9,791.0,791.0,4492
2004-09-02,812.0,822.5,777.7,795.2,2347
2004-09-03,805.7,805.7,777.0,787.5,886
2004-09-07,787.5,805.7,767.27,803.53,2029
2004-09-08,805.0,812.0,794.5,794.5,496
2004-09-09,805.7,805.7,752.5,770.0,3128
2004-09-10,785.4,795.9,760.9,784.7,928
2004-09-13,787.5,840.0,778.47,829.5,4129
2004-09-14,835.1,842.1,815.5,822.5,2619
2004-09-15,836.5,836.5,815.5,824.6,1510
2004-09-16,819.0,839.3,805.7,819.0,899
2004-09-17,824.6,829.5,801.5,812.0,1987
2004-09-20,812.0,899.5,812.0,892.5,11827
2004-09-21,916.3,990.5,899.5,952.0,26544
2004-09-22,984.97,1098.3,947.8,968.1,45273
2004-09-23,1006.6,1058.4,987.7,1028.93,18511
2004-09-24,1036.0,1057.0,969.5,996.8,9506
2004-09-27,1010.1,1036.0,980.0,1003.1,5742
2004-09-28,1096.9,1106.0,1043.0,1085.0,25269
2004-09-29,1120.0,1158.5,1084.3,1102.43,38969
2004-09-30,1115.73,1127.0,1101.8,1119.3,10788
2004-10-01,1136.8,1136.8,1067.5,1117.2,11155
2004-10-04,1136.8,1138.2,1053.5,1077.3,12895
2004-10-05,1085.7,1225.0,1085.0,1218.63,39144
2004-10-06,1253.0,1358.0,1225.7,1291.5,45533
2004-10-07,1356.53,1356.6,1236.2,1304.1,28966
2004-10-08,1316.7,1330.7,1268.4,1316.0,16446
2004-10-11,1322.3,1325.8,1173.2,1209.6,29209
2004-10-12,1159.9,1203.3,1106.0,1120.0,31148
2004-10-13,1128.47,1139.6,1030.4,1053.5,30885
2004-10-14,1044.4,1207.5,1029.0,1190.0,37547
2004-10-15,1256.5,1260.0,1200.5,1224.3,34412
2004-10-18,1226.4,1260.0,1190.7,1208.2,16248
2004-10-19,1137.5,1180.9,1100.4,1135.4,24809
2004-10-20,1102.5,1171.1,1102.5,1149.4,12836
2004-10-21,1169.0,1176.0,1129.1,1153.6,8103
2004-10-22,1174.6,1176.0,1137.5,1148.0,5089
2004-10-25,1173.83,1246.0,1153.6,1197.7,16028
2004-10-26,1197.0,1220.8,1172.5,1190.0,7918
2004-10-27,1207.5,1221.5,1175.3,1197.0,7960
2004-10-28,1176.0,1220.8,1158.5,1183.77,7573
2004-10-29,1190.7,1214.5,1190.0,1197.0,4036
2004-11-01,1219.4,1219.4,1183.0,1198.4,7974
2004-11-02,1238.3,1260.0,1119.93,1127.0,23166
2004-11-03,1171.1,1175.3,1070.3,1107.4,15403
2004-11-04,1127.0,1151.5,1106.7,1122.8,7534
2004-11-05,1086.4,1134.0,1078.0,1099.0,32140
2004-11-08,1109.5,1134.0,1100.4,1127.7,16778
2004-11-09,1144.5,1154.3,1130.5,1144.5,10209
2004-11-10,1162.0,1184.4,1143.8,1180.2,12266
2004-11-11,1197.0,1200.5,1162.7,1173.2,9370
2004-11-12,1178.8,1181.6,1142.4,1169.0,7562
2004-11-15,1181.6,1202.6,1159.9,1182.3,14223
2004-11-16,1197.0,1283.8,1176.0,1283.8,47133
2004-11-17,1302.0,1367.8,1199.1,1245.3,56739
2004-11-18,1239.0,1297.17,1202.6,1294.3,19616
2004-11-19,1306.13,1312.5,1239.0,1293.6,14348
2004-11-22,1337.7,1441.44,1302.7,1437.1,55490
2004-11-23,1430.1,1470.0,1396.5,1460.2,32360
2004-11-24,1501.5,1546.3,1418.9,1543.43,34410
2004-11-26,1554.0,1610.0,1549.1,1606.5,18767
2004-11-29,1666.7,1689.8,1578.43,1604.4,27830
2004-11-30,1573.6,1610.0,1516.2,1578.5,18124
2004-12-01,1575.0,1601.6,1400.0,1470.07,32846
2004-12-02,1449.0,1472.1,1339.8,1340.5,46886
2004-12-03,1348.2,1493.1,1341.9,1482.6,29489
2004-12-06,1575.0,1575.0,1488.2,1505.0,20298
2004-12-07,1522.5,1526.0,1368.5,1389.57,24035
2004-12-08,1344.0,1439.9,1338.4,1377.6,17842
2004-12-09,1376.9,1400.0,1338.4,1354.5,11351
2004-12-10,1387.4,1424.5,1271.2,1284.5,33236
2004-12-13,1295.0,1384.6,1286.6,1372.7,29854
2004-12-14,1372.0,1383.2,1309.0,1320.97,14280
2004-12-15,1330.0,1365.0,1313.2,1348.9,10582
2004-12-16,1365.0,1381.8,1330.0,1345.4,9532
2004-12-17,1361.5,1365.0,1319.99,1329.23,5404
2004-12-20,1347.5,1366.4,1312.5,1330.0,8328
2004-12-21,1364.3,1364.3,1318.17,1329.3,8692
2004-12-22,1330.0,1342.6,1292.2,1292.2,10564
2004-12-23,1292.2,1295.0,1176.0,1207.5,34212
2004-12-27,1180.27,1211.0,1146.6,1169.0,25372
2004-12-28,1169.7,1206.1,1157.24,1189.3,10566
2004-12-29,1158.5,1182.3,1123.5,1131.2,22662
2004-12-30,1138.2,1147.3,1123.5,1141.0,6737
2004-12-31,1150.73,1151.5,1092.0,1137.5,10369
2005-01-03,1141.7,1141.7,1030.4,1050.0,35114
2005-01-04,1004.5,1060.5,997.5,1028.3,34799
2005-01-05,1064.7,1095.5,1043.0,1048.6,22239
2005-01-06,1059.1,1109.5,1050.7,1077.3,15410
2005-01-07,1085.7,1089.2,1036.7,1036.7,7981
2005-01-10,1061.9,1083.6,1043.0,1044.4,8290
2005-01-11,1042.3,1060.5,1008.7,1016.4,6692
