Date,Open,High,Low,Close,Volume
2013-01-04,48.5,50.0,48.38,48.67,1457770
2013-01-07,48.9,49.55,48.5,49.5,171392
2013-01-08,48.75,49.75,48.75,49.1,783492
2013-01-09,49.45,49.55,49.1,49.1,628964
2013-01-10,49.35,49.5,49.2,49.3,316031
2013-01-11,49.55,49.55,49.2,49.25,227184
2013-01-14,49.1,49.25,49.1,49.2,129280
2013-01-15,49.3,49.4,49.2,49.4,369645
2013-01-16,49.3,49.75,49.3,49.75,139642
2013-01-17,50.0,51.1,49.95,51.1,422122
2013-01-18,51.0,51.25,50.7,50.85,594357
2013-01-22,51.0,51.2,50.95,51.05,1091509
2013-01-23,51.15,51.25,51.1,51.16,756902
2013-01-24,51.2,52.35,51.2,52.3,1074486
2013-01-25,52.25,54.75,52.25,54.75,1009224
2013-01-28,55.0,55.0,54.0,54.1,351020
2013-01-29,54.0,54.0,52.25,53.5,111882
2013-01-30,52.75,53.75,51.5,52.0,719064
2013-01-31,52.0,52.0,52.0,52.0,40358
2013-02-01,52.0,52.0,51.95,52.0,190702
2013-02-04,52.0,52.0,51.75,51.95,570591
2013-02-05,51.95,52.0,51.4,51.5,503960
2013-02-06,51.5,52.0,51.5,52.0,252338
2013-02-07,52.0,52.0,51.85,52.0,223832
2013-02-08,52.0,52.0,51.9,52.0,68150
2013-02-11,52.0,52.5,51.97,52.0,307810
2013-02-12,52.0,52.25,51.9,52.2,1053847
2013-02-13,52.2,52.5,52.05,52.49,647643
2013-02-14,52.65,53.75,52.55,53.75,646769
2013-02-15,54.0,54.3,53.9,54.11,518307
2013-02-19,54.2,54.25,54.15,54.15,294850
2013-02-20,54.2,54.2,53.89,54.0,581020
2013-02-21,54.0,54.0,52.5,53.45,82767
2013-02-22,53.45,53.5,53.0,53.5,13913
2013-02-25,53.5,53.5,52.2,52.8,536352
2013-02-26,52.9,54.7,52.5,53.5,821830
2013-02-27,53.5,53.5,53.0,53.25,45913
2013-02-28,53.1,53.2,52.95,53.0,277333
2013-03-01,53.0,53.05,52.96,53.05,490322
2013-03-04,53.05,53.05,52.95,52.98,482203
2013-03-05,52.97,53.65,52.95,53.65,828683
2013-03-06,53.65,53.67,53.44,53.44,730799
2013-03-07,53.6,53.6,53.22,53.25,300099
2013-03-08,53.3,53.65,53.3,53.65,162048
2013-03-11,53.75,54.35,53.75,54.0,469757
2013-03-12,54.05,54.35,54.05,54.35,713836
2013-03-13,54.55,56.5,54.15,55.95,1259936
2013-03-14,55.99,56.55,55.99,56.5,797306
2013-03-15,56.55,56.71,56.4,56.7,600870
2013-03-18,56.65,56.8,56.5,56.75,467906
2013-03-19,56.79,57.0,56.66,56.84,291632
2013-03-20,56.84,57.09,56.84,57.0,596704
2013-03-21,57.0,57.09,56.38,56.99,344612
2013-03-22,57.0,57.35,56.85,57.27,280054
2013-03-25,57.4,57.4,56.85,57.0,221637
2013-03-26,57.0,57.05,56.9,56.98,273166
2013-03-27,56.97,56.97,56.83,56.85,99650
2013-03-28,57.0,57.0,56.85,56.85,148303
2013-04-01,56.85,56.89,56.05,56.05,83759
2013-04-02,56.1,56.1,55.25,55.5,153269
2013-04-03,55.5,57.0,55.5,56.2,302741
2013-04-04,56.1,56.2,55.3,55.7,283962
2013-04-05,55.7,55.7,55.01,55.5,131341
2013-04-08,55.5,55.5,54.9,55.5,101607
2013-04-09,55.5,56.4,55.3,56.3,801195
2013-04-10,56.2,56.4,56.05,56.3,244697
2013-04-11,56.3,57.15,56.3,57.1,364559
2013-04-12,57.15,58.0,57.1,57.9,230839
2013-04-15,57.9,57.9,57.65,57.72,125332
2013-04-16,57.6,57.72,57.5,57.5,67553
2013-04-17,57.65,57.65,56.5,56.5,92660
2013-04-18,56.42,56.65,56.15,56.35,41938
2013-04-19,56.25,56.45,56.1,56.4,262135
2013-04-22,56.75,57.15,56.7,56.95,248767
2013-04-23,57.0,57.2,56.9,56.9,137239
2013-04-24,56.95,57.05,56.92,57.04,201275
2013-04-25,57.05,57.05,56.95,57.0,305441
2013-04-26,56.96,57.0,56.8,56.8,188664
2013-04-29,56.85,57.2,56.8,57.03,468418
2013-04-30,57.1,57.1,56.67,56.75,134448
2013-05-01,56.75,56.75,56.5,56.6,40487
2013-05-02,56.6,56.85,56.6,56.73,626708
2013-05-03,56.75,56.8,56.7,56.75,275901
2013-05-06,56.71,56.75,56.4,56.45,174283
2013-05-07,56.5,56.75,56.5,56.6,209959
2013-05-08,56.6,56.9,56.6,56.75,70460
2013-05-09,56.85,57.25,56.75,56.95,393544
2013-05-10,57.03,57.03,56.85,56.85,138799
