Date,Open,High,Low,Close,Volume
2015-06-25,24.62,25.75,24.51,25.4,25923407
2015-06-26,25.49,25.89,24.75,24.85,3807885
2015-06-29,24.01,24.94,23.42,24.37,1871205
2015-06-30,24.85,25.74,24.5,25.1,846487
2015-07-01,25.01,25.3,24.52,24.95,779997
2015-07-02,25.03,25.1,24.6,25.0,450465
2015-07-06,24.31,25.1,24.31,24.77,131669
2015-07-07,24.98,24.98,24.5,24.59,519035
2015-07-08,24.75,24.86,24.21,24.42,657963
2015-07-09,24.55,24.72,24.18,24.33,538674
2015-07-10,24.45,24.56,24.19,24.45,774616
2015-07-13,24.56,25.3,24.56,25.26,377715
2015-07-14,25.33,25.39,24.9,25.05,302911
2015-07-15,24.94,25.17,24.5,24.75,196093
2015-07-16,25.0,25.2,24.74,24.78,446208
2015-07-17,24.79,25.06,24.53,24.92,542759
2015-07-20,24.85,24.9,24.71,24.72,125035
2015-07-21,24.7,25.0,24.61,24.87,187053
2015-07-22,24.9,25.02,24.77,24.89,616411
2015-07-23,24.87,25.25,24.87,25.25,320194
2015-07-24,24.99,25.35,24.76,24.85,175489
2015-07-27,24.51,24.95,24.02,24.39,389479
2015-07-28,24.51,24.8,24.34,24.6,311323
2015-07-29,24.35,25.35,24.35,25.18,815003
2015-07-30,24.94,25.26,24.69,25.11,277109
2015-07-31,25.04,25.27,24.9,25.1,221739
2015-08-03,25.02,25.33,24.9,25.27,313319
2015-08-04,24.8,25.85,24.66,25.74,409586
2015-08-05,25.7,27.01,25.59,26.65,1156391
2015-08-06,26.75,27.0,26.16,26.57,520750
2015-08-07,26.39,26.52,25.96,26.24,161579
2015-08-10,26.39,26.63,26.28,26.35,260508
2015-08-11,26.38,26.58,26.08,26.15,183879
2015-08-12,25.87,26.22,25.5,26.14,1475747
2015-08-13,25.93,26.19,25.41,26.0,301118
2015-08-14,26.0,27.02,25.52,26.85,317997
2015-08-17,27.0,27.0,26.37,26.75,777613
2015-08-18,26.25,26.5,25.64,25.73,749883
2015-08-19,25.86,26.41,25.66,26.23,538974
2015-08-20,26.08,26.44,25.89,25.94,192945
2015-08-21,25.89,26.01,25.17,25.41,375533
2015-08-24,24.02,24.97,23.3,24.13,778224
2015-08-25,24.99,25.25,23.83,24.29,657830
2015-08-26,24.81,25.19,24.12,24.99,349776
2015-08-27,25.45,26.18,25.14,25.52,265519
2015-08-28,25.39,26.0,25.25,25.76,200417
2015-08-31,25.69,26.07,25.38,25.86,434175
2015-09-01,25.17,25.89,24.81,24.93,236602
2015-09-02,25.05,25.68,24.93,25.5,410615
2015-09-03,25.43,25.98,25.37,25.9,377308
2015-09-04,25.35,25.94,25.24,25.37,893292
2015-09-08,25.63,26.35,25.53,25.78,709445
2015-09-09,25.9,26.35,25.68,25.72,702461
2015-09-10,25.53,25.65,25.2,25.61,318527
2015-09-11,25.35,25.73,25.35,25.64,195264
2015-09-14,25.57,25.75,25.24,25.35,270697
2015-09-15,25.24,25.81,25.17,25.78,274109
2015-09-16,25.86,26.11,25.52,25.91,422164
2015-09-17,25.93,26.34,25.76,25.94,452812
2015-09-18,25.46,26.07,24.68,24.7,2086915
2015-09-21,24.91,25.69,24.89,25.43,249204
2015-09-22,25.26,25.37,24.74,24.94,331069
2015-09-23,25.01,25.43,24.92,25.18,414138
2015-09-24,24.79,25.23,24.26,25.15,895720
2015-09-25,25.23,25.72,25.0,25.56,279881
2015-09-28,25.61,25.61,24.53,24.65,499397
2015-09-29,24.69,24.97,23.96,24.08,612037
2015-09-30,24.2,25.66,24.11,25.12,3035969
2015-10-01,25.13,25.82,24.19,24.54,850266
2015-10-02,24.24,24.67,23.66,24.66,452849
2015-10-05,24.77,25.09,24.57,24.62,225458
2015-10-06,24.47,24.98,24.17,24.53,347550
2015-10-07,24.6,25.01,24.36,25.01,263782
2015-10-08,24.93,25.07,24.37,24.95,299220
2015-10-09,24.97,25.59,24.86,25.0,279741
2015-10-12,24.95,25.02,24.58,24.85,211534
2015-10-13,24.69,25.11,24.47,24.81,321398
2015-10-14,24.75,24.86,23.87,24.34,513821
2015-10-15,24.42,24.62,24.11,24.34,728534
2015-10-16,24.25,24.81,24.06,24.4,253794
2015-10-19,24.34,24.63,24.0,24.1,202081
2015-10-20,24.04,24.71,23.9,24.54,728042
2015-10-21,24.57,24.75,23.93,24.08,208909
2015-10-22,24.12,24.36,23.12,23.19,525124
2015-10-23,23.34,24.11,23.15,23.71,561501
2015-10-26,23.67,24.16,23.66,24.11,285102
2015-10-27,24.12,24.29,23.9,24.27,187895
2015-10-28,24.87,25.46,24.47,25.27,734615
2015-10-29,25.05,25.54,24.85,25.52,164240
2015-10-30,25.35,25.9,25.35,25.71,447892
2015-11-02,25.69,26.19,25.44,25.91,308408
2015-11-03,25.94,26.09,25.46,25.95,429309
2015-11-04,25.99,26.07,25.69,25.96,227693
2015-11-05,26.01,26.02,25.43,25.72,126649
2015-11-06,25.81,26.01,25.52,25.87,201561
2015-11-09,25.82,25.87,25.26,25.65,85447
2015-11-10,25.64,25.83,25.25,25.66,150804
2015-11-11,25.75,25.88,25.45,25.59,107476
2015-11-12,25.37,25.87,25.37,25.76,208147
2015-11-13,25.64,25.94,25.41,25.7,339968
2015-11-16,25.58,25.97,25.31,25.92,198747
2015-11-17,25.85,26.04,25.62,25.86,185033
2015-11-18,25.89,26.06,25.67,26.02,272690
2015-11-19,25.96,26.16,25.35,25.64,289258
2015-11-20,25.77,25.93,25.39,25.75,214039
2015-11-23,25.65,26.08,25.46,25.63,153631
2015-11-24,25.17,25.71,25.15,25.7,159017
2015-11-25,25.7,25.92,25.39,25.63,151509
2015-11-27,25.58,25.9,25.24,25.35,74618
2015-11-30,25.43,26.18,25.16,25.57,516399
2015-12-01,25.71,26.78,25.67,26.39,353010
2015-12-02,26.27,26.69,26.19,26.52,270940
2015-12-03,26.59,27.0,25.99,26.26,292210
2015-12-04,26.19,26.66,25.91,26.34,344547
2015-12-07,26.17,26.32,25.76,26.24,181083
2015-12-08,26.14,26.37,25.9,26.29,179179
2015-12-09,26.19,26.61,25.97,26.49,223839
2015-12-10,26.4,26.67,26.2,26.51,317930
2015-12-11,26.2,26.39,25.87,25.91,389662
2015-12-14,25.9,26.5,25.9,26.43,263585
2015-12-15,26.48,26.69,25.73,26.2,418167
2015-12-16,26.38,27.15,26.38,26.85,588568
2015-12-17,26.82,27.41,26.73,27.02,340943
2015-12-18,27.02,27.08,26.56,27.02,592979
2015-12-21,27.11,27.4,26.78,26.91,423663
2015-12-22,27.05,27.23,26.74,27.17,380323
2015-12-23,27.35,27.78,27.25,27.74,174606
2015-12-24,27.77,28.08,27.65,27.98,110901
2015-12-28,27.95,27.98,27.34,27.44,371656
2015-12-29,27.65,27.82,27.39,27.7,420286
2015-12-30,27.7,28.01,27.44,27.8,203882
2015-12-31,27.75,27.76,27.43,27.57,238948
2016-01-04,27.2,27.54,27.01,27.51,292135
2016-01-05,27.52,27.67,27.23,27.57,589536
2016-01-06,27.21,27.57,26.93,27.41,530520
2016-01-07,27.05,27.26,26.64,26.87,222422
2016-01-08,26.94,27.07,26.07,26.14,332490
2016-01-11,26.27,26.57,25.79,26.34,552995
2016-01-12,26.64,26.9,25.82,26.24,447827
2016-01-13,26.24,26.37,25.61,25.83,588644
2016-01-14,25.87,26.07,25.23,25.67,349588
2016-01-15,25.13,25.52,24.77,25.28,566110
2016-01-19,25.32,25.7,24.74,24.78,307753
2016-01-20,24.47,25.23,23.97,24.86,456429
2016-01-21,24.86,25.15,24.21,24.25,577350
2016-01-22,24.55,24.73,24.22,24.73,690186
2016-01-25,24.74,24.84,24.22,24.48,274395
2016-01-26,24.52,24.67,24.25,24.37,439224
2016-01-27,24.4,24.53,23.89,24.12,221547
2016-01-28,24.29,24.33,23.87,23.98,210052
2016-01-29,24.06,24.9,24.01,24.74,517860
2016-02-01,24.63,24.81,24.36,24.65,790772
2016-02-02,24.46,24.46,23.89,23.95,154555
2016-02-03,24.09,24.42,23.64,24.3,395986
2016-02-04,24.28,24.4,23.99,24.2,318234
2016-02-05,24.15,24.15,22.99,23.35,400147
2016-02-08,23.06,23.06,21.28,22.0,734754
2016-02-09,21.76,22.24,21.47,21.71,730959
2016-02-10,21.9,22.12,21.35,21.5,313989
2016-02-11,21.22,21.51,20.43,20.98,609231
2016-02-12,21.08,21.78,21.02,21.17,505222
2016-02-16,21.29,21.92,21.03,21.36,897027
2016-02-17,23.95,26.07,23.21,25.07,1521263
2016-02-18,25.28,25.94,25.11,25.83,892933
2016-02-19,25.81,25.81,24.64,25.3,520759
2016-02-22,25.5,25.97,25.31,25.51,314657
2016-02-23,25.21,25.98,25.14,25.46,500761
2016-02-24,25.29,26.39,25.16,26.39,400997
2016-02-25,26.55,26.75,26.18,26.4,292568
2016-02-26,26.45,27.0,26.36,26.67,269441
2016-02-29,26.67,26.67,26.08,26.37,326922
2016-03-01,26.63,26.89,26.38,26.74,511509
2016-03-02,26.48,27.05,26.08,26.7,197662
2016-03-03,26.64,26.93,26.28,26.42,283792
2016-03-04,26.52,26.59,25.99,26.16,258118
2016-03-07,26.0,26.56,25.81,25.96,378437
2016-03-08,24.2,26.73,24.2,25.42,1256821
2016-03-09,24.6,24.85,24.41,24.76,10710196
2016-03-10,24.76,25.0,24.65,24.99,2725539
2016-03-11,25.11,25.81,24.97,25.74,2201836
2016-03-14,25.69,26.15,25.35,26.01,1081748
2016-03-15,25.93,26.0,25.54,25.91,867366
2016-03-16,25.66,26.24,25.63,26.09,1042398
2016-03-17,25.99,26.19,25.86,26.04,884421
2016-03-18,26.02,26.56,25.93,26.33,847462
2016-03-21,26.33,26.64,26.03,26.58,680122
2016-03-22,26.39,27.0,26.34,26.9,943860
2016-03-23,26.66,26.94,26.49,26.65,586118
2016-03-24,26.48,26.69,26.37,26.54,1043797
2016-03-28,26.66,26.89,26.43,26.74,316238
2016-03-29,26.76,27.42,26.62,27.31,922797
2016-03-30,27.74,27.98,27.65,27.71,590652
2016-03-31,27.62,27.9,27.44,27.61,327560
2016-04-01,27.62,27.98,27.28,27.89,555719
2016-04-04,27.82,28.11,27.65,27.69,393097
2016-04-05,27.5,27.64,26.99,27.38,385616
2016-04-06,27.43,27.6,27.25,27.45,206367
2016-04-07,27.24,27.39,26.94,27.07,173311
2016-04-08,27.5,27.72,26.89,27.0,371835
2016-04-11,27.14,27.2,26.61,26.67,253510
2016-04-12,26.64,26.94,26.48,26.78,206310
2016-04-13,26.97,27.31,26.84,27.19,742458
2016-04-14,27.19,27.71,27.19,27.49,330387
2016-04-15,27.63,27.68,27.37,27.62,160111
2016-04-18,27.61,27.99,27.61,27.76,234495
2016-04-19,27.84,27.99,27.7,27.94,209015
2016-04-20,27.95,28.0,27.85,27.95,159146
2016-04-21,27.84,27.92,27.44,27.46,149861
2016-04-22,27.35,27.85,27.34,27.55,159181
2016-04-25,27.5,27.7,27.4,27.46,170390
2016-04-26,27.54,27.95,27.32,27.75,302434
2016-04-27,28.38,30.44,28.38,30.1,1943937
2016-04-28,29.94,30.93,29.94,30.13,1086767
2016-04-29,29.87,30.24,29.64,29.95,644932
2016-05-02,29.92,30.72,29.85,30.59,551903
2016-05-03,30.51,30.58,30.02,30.35,688559
