Date,Open,High,Low,Close,Volume
2014-10-09,15.8,16.34,15.75,16.0,5280399
2014-10-10,16.0,17.1,15.9,16.7,350221
2014-10-13,16.49,16.98,16.49,16.58,525282
2014-10-14,16.6,16.61,16.2,16.2,678446
2014-10-15,16.2,16.59,16.2,16.25,130473
2014-10-16,16.2,16.87,16.2,16.64,122660
2014-10-17,16.92,16.92,16.26,16.47,83013
2014-10-20,16.4,16.4,16.31,16.38,32967
2014-10-21,16.41,16.96,16.4,16.91,172847
2014-10-22,16.81,17.48,16.6,17.2,137334
2014-10-23,17.23,17.37,16.92,17.19,175207
2014-10-24,17.08,17.22,16.63,17.0,131890
2014-10-27,16.99,17.16,16.75,16.93,59618
2014-10-28,16.84,17.18,16.84,16.92,81231
2014-10-29,16.96,16.96,16.27,16.39,44364
2014-10-30,16.42,16.5,16.22,16.24,40960
2014-10-31,16.32,16.7,16.25,16.62,36822
2014-11-03,16.47,16.95,16.23,16.7,33895
2014-11-04,16.62,16.95,16.43,16.7,67999
2014-11-05,16.6,16.75,16.4,16.75,70352
2014-11-06,16.68,16.75,16.3,16.6,44869
2014-11-07,16.5,16.75,16.47,16.74,57222
2014-11-10,16.75,16.9,16.51,16.75,108366
2014-11-11,16.68,17.0,16.65,16.75,48903
2014-11-12,16.66,16.75,16.51,16.6,38408
2014-11-13,16.53,16.75,16.16,16.45,129234
2014-11-14,16.63,16.73,16.34,16.43,29084
2014-11-17,16.42,16.82,16.32,16.6,23118
2014-11-18,16.54,16.68,16.4,16.42,41757
2014-11-19,16.45,16.6,16.21,16.47,365327
2014-11-20,16.31,16.56,16.31,16.5,19395
2014-11-21,16.45,16.69,16.36,16.5,50107
2014-11-24,16.38,16.44,16.15,16.15,26023
2014-11-25,16.1,16.64,15.99,16.45,58786
2014-11-26,16.27,16.27,16.13,16.18,7473
2014-11-28,16.08,16.09,14.68,14.93,57528
2014-12-01,14.93,15.2,12.11,12.14,112937
2014-12-02,12.14,13.53,12.14,12.32,153282
2014-12-03,12.37,13.23,12.32,12.65,113392
2014-12-04,12.56,12.98,12.1,12.77,101927
2014-12-05,13.02,13.02,12.61,12.66,29129
2014-12-08,12.81,12.88,12.11,12.45,45627
2014-12-09,12.3,14.78,12.14,14.25,125061
2014-12-10,14.22,14.91,13.19,13.29,260581
2014-12-11,13.3,14.25,13.18,13.94,187020
2014-12-12,13.69,13.69,13.19,13.2,20642
2014-12-15,13.26,13.53,12.59,12.74,64742
2014-12-16,12.9,13.25,12.78,13.25,64962
2014-12-17,13.3,13.3,12.86,13.23,236231
2014-12-18,13.51,13.71,13.18,13.42,212382
2014-12-19,12.95,13.31,12.57,12.67,79288
2014-12-22,12.7,13.11,12.6,12.83,39890
2014-12-23,13.06,14.1,13.0,13.55,100702
2014-12-24,13.22,13.6,13.22,13.6,6034
2014-12-26,13.56,14.07,13.56,13.86,6288
2014-12-29,14.0,14.21,13.74,14.19,48367
2014-12-30,14.05,14.14,14.05,14.14,6087
2014-12-31,14.11,14.74,14.03,14.17,305723
2015-01-02,14.06,14.57,14.0,14.41,10414
2015-01-05,14.65,14.89,14.2,14.2,14741
2015-01-06,14.38,14.49,14.01,14.08,121005
2015-01-07,14.07,14.47,13.25,13.3,143600
2015-01-08,13.31,14.35,13.31,14.0,54836
2015-01-09,14.21,14.83,13.73,14.03,110145
2015-01-12,14.38,14.88,13.95,14.7,31750
2015-01-13,14.91,14.91,14.03,14.45,18761
2015-01-14,14.45,14.5,13.58,14.01,61315
2015-01-15,14.23,15.06,13.98,14.26,39102
2015-01-16,14.46,14.55,13.57,14.45,58166
2015-01-20,14.39,14.39,13.78,13.97,29329
2015-01-21,14.31,14.61,13.79,13.79,14831
2015-01-22,13.79,14.0,13.59,13.96,15150
2015-01-23,13.73,13.98,13.66,13.98,14121
2015-01-26,13.77,14.08,13.61,13.79,10395
2015-01-27,13.6,14.31,13.58,13.58,29581
2015-01-28,13.86,13.98,13.0,13.0,28608
2015-01-29,13.26,13.99,13.0,13.02,10754
2015-01-30,13.26,13.56,13.01,13.06,14491
2015-02-02,13.51,13.56,13.05,13.06,10350
2015-02-03,13.38,13.4,12.96,13.0,60200
2015-02-04,12.82,13.18,12.74,12.83,20933
2015-02-05,12.99,13.52,12.56,12.89,22864
2015-02-06,13.0,13.31,12.8,12.97,31520
2015-02-09,12.93,13.39,12.58,12.58,9083
2015-02-10,12.61,12.92,12.61,12.87,11230
2015-02-11,12.67,13.38,12.56,13.21,13019
2015-02-12,13.68,13.68,12.76,13.09,12790
2015-02-13,13.13,13.13,12.78,12.78,50404
2015-02-17,12.87,13.25,12.68,12.89,25081
2015-02-18,12.9,12.9,12.77,12.83,22653
2015-02-19,12.9,12.9,12.83,12.9,1873
2015-02-20,12.9,13.19,12.8,13.19,24593
2015-02-23,13.23,13.23,12.78,12.89,15722
2015-02-24,12.71,13.0,12.61,12.89,17850
2015-02-25,13.04,13.04,12.51,12.51,37988
2015-02-26,12.5,13.0,12.5,12.87,16065
2015-02-27,12.94,13.21,12.94,13.21,7742
2015-03-02,13.3,13.31,12.89,12.92,11920
2015-03-03,13.12,13.13,12.25,12.36,62967
2015-03-04,12.25,12.47,12.25,12.26,41132
2015-03-05,12.25,12.9,12.1,12.75,16143
2015-03-06,13.08,13.18,12.8,12.8,4114
2015-03-09,12.74,13.0,12.74,12.9,6135
2015-03-10,12.74,13.4,12.71,12.97,18420
2015-03-11,12.76,12.99,12.64,12.65,11365
2015-03-12,12.65,13.0,12.54,12.74,19639
2015-03-13,12.64,13.0,12.63,12.8,24749
2015-03-16,12.72,12.96,12.61,12.72,63063
2015-03-17,12.66,13.03,12.61,12.62,11801
2015-03-18,12.61,12.94,12.6,12.86,36059
2015-03-19,13.06,13.6,12.77,13.45,18108
2015-03-20,13.4,13.77,12.6,12.6,37653
2015-03-23,12.65,13.21,12.4,12.92,17029
2015-03-24,12.9,13.46,12.9,13.04,9003
2015-03-25,13.27,13.76,13.15,13.37,8586
2015-03-26,13.54,13.73,13.29,13.33,8018
2015-03-27,13.5,14.11,13.5,13.56,66436
2015-03-30,13.83,14.09,13.6,13.92,16271
2015-03-31,13.9,14.06,13.71,13.98,80531
2015-04-01,14.0,14.32,13.7,14.09,44176
2015-04-02,13.9,14.1,13.81,14.04,146364
2015-04-06,14.08,14.4,14.08,14.08,11931
2015-04-07,14.04,14.56,13.71,14.39,77724
2015-04-08,14.42,14.81,14.12,14.64,21135
2015-04-09,14.52,14.61,14.4,14.47,4928
