Date,Open,High,Low,Close,Volume
2000-11-02,5.02,6.24,5.0,5.81,19450200
2000-11-03,5.99,6.16,5.7,5.83,1980201
2000-11-06,5.77,5.77,5.37,5.38,1070001
2000-11-07,5.57,5.58,5.41,5.41,98199
2000-11-08,5.41,5.64,5.33,5.64,152001
2000-11-09,5.58,5.58,5.37,5.54,200301
2000-11-10,5.37,5.39,5.29,5.33,109599
2000-11-13,5.31,5.49,5.29,5.45,415299
2000-11-14,5.49,5.68,5.29,5.49,729999
2000-11-15,5.45,5.49,5.41,5.45,36600
2000-11-16,5.54,5.58,5.35,5.35,90099
2000-11-17,5.35,5.54,5.29,5.37,363399
2000-11-20,5.24,5.37,5.2,5.24,229401
2000-11-21,5.27,5.29,5.16,5.2,432999
2000-11-22,5.18,5.18,4.95,5.0,703899
2000-11-24,5.08,5.08,5.08,5.08,1800
2000-11-27,5.08,5.08,4.95,5.0,339000
2000-11-28,5.14,5.22,5.02,5.22,791001
2000-11-29,5.16,5.7,5.16,5.68,190701
2000-11-30,5.54,5.62,5.37,5.52,162201
2000-12-01,5.49,6.24,5.49,6.24,243501
2000-12-04,6.2,6.24,6.04,6.04,89199
2000-12-05,6.08,6.08,5.87,6.04,117999
2000-12-06,5.95,6.04,5.95,6.04,22500
2000-12-07,5.99,5.99,5.33,5.39,94599
2000-12-08,5.62,5.62,5.33,5.39,806901
2000-12-11,5.35,5.41,5.33,5.39,2447400
2000-12-12,5.49,6.08,5.45,5.99,213501
2000-12-13,6.04,6.04,5.66,5.66,138699
2000-12-14,5.79,5.83,5.29,5.33,179001
2000-12-15,5.31,5.33,5.16,5.16,83199
2000-12-18,5.24,5.37,4.91,5.37,244101
2000-12-19,5.37,5.87,5.37,5.47,275700
2000-12-20,5.6,5.6,5.35,5.41,265200
2000-12-21,5.62,5.85,5.62,5.79,15900
2000-12-22,5.62,5.74,5.62,5.68,26100
2000-12-26,5.68,6.43,5.68,6.33,644100
2000-12-27,6.37,6.49,6.12,6.22,349800
2000-12-28,6.31,6.47,6.12,6.45,111099
2000-12-29,6.49,6.7,6.33,6.7,336600
2001-01-02,6.54,6.54,6.29,6.37,224001
2001-01-03,6.16,6.16,6.12,6.16,50799
2001-01-04,6.24,6.29,6.24,6.24,19800
2001-01-05,6.29,6.49,6.29,6.49,85899
2001-01-08,6.33,6.43,6.33,6.33,8100
2001-01-09,6.49,6.54,6.37,6.51,26700
2001-01-10,6.49,6.66,6.43,6.47,175101
2001-01-11,6.47,6.49,6.43,6.43,17400
2001-01-12,6.43,6.49,6.43,6.49,12600
2001-01-16,6.43,6.66,5.91,6.66,62199
2001-01-17,6.47,6.47,6.37,6.37,24900
2001-01-18,6.49,6.49,6.16,6.16,206301
2001-01-19,6.12,6.12,6.04,6.04,3300
2001-01-22,5.91,6.14,5.91,5.95,95499
2001-01-23,5.91,5.91,5.74,5.74,3600
2001-01-24,5.83,5.83,5.81,5.81,5100
2001-01-25,5.79,5.81,5.66,5.7,870000
2001-01-26,5.79,5.83,5.74,5.74,13800
2001-01-29,5.77,5.77,5.7,5.74,48900
2001-01-30,5.72,5.74,5.66,5.66,205401
2001-01-31,5.7,5.77,5.7,5.7,8100
2001-02-01,5.74,5.77,5.74,5.74,35400
2001-02-02,5.74,5.74,5.74,5.74,3900
2001-02-05,5.74,5.83,5.74,5.83,5100
2001-02-06,5.79,5.79,5.6,5.6,111399
2001-02-07,5.66,5.66,5.62,5.64,7500
2001-02-08,5.54,5.6,5.52,5.56,12900
2001-02-09,5.54,5.54,5.31,5.33,47700
2001-02-12,5.33,5.33,5.24,5.27,164301
2001-02-13,5.24,5.24,5.2,5.2,5700
2001-02-14,5.2,5.2,4.93,5.0,204801
2001-02-15,5.28,5.37,5.28,5.33,177201
2001-02-16,5.37,5.47,5.35,5.37,80199
2001-02-20,5.56,5.56,5.41,5.41,16500
2001-02-21,5.45,5.45,5.33,5.35,66099
2001-02-22,5.39,5.47,5.37,5.47,66099
2001-02-23,5.55,5.55,5.41,5.41,600
2001-02-26,5.44,5.54,5.43,5.54,326700
2001-02-27,5.49,5.6,5.45,5.6,54999
2001-02-28,5.54,5.6,5.49,5.6,414999
2001-03-01,5.56,5.56,5.45,5.52,1641999
2001-03-02,5.58,5.58,5.52,5.58,132699
2001-03-05,5.57,5.58,5.56,5.58,8100
2001-03-06,5.6,5.6,5.6,5.6,1500
2001-03-07,5.56,5.56,5.45,5.52,409299
2001-03-08,5.49,5.49,5.49,5.49,30600
2001-03-09,5.45,5.45,5.41,5.41,68199
2001-03-12,5.41,5.45,5.39,5.45,267300
2001-03-13,5.45,5.54,5.43,5.45,321000
2001-03-14,5.37,5.39,5.37,5.39,33900
2001-03-15,5.37,5.43,5.37,5.39,221301
2001-03-16,5.37,5.54,5.37,5.49,205401
2001-03-19,5.41,5.49,5.41,5.45,143499
2001-03-20,5.49,5.52,5.45,5.45,320400
2001-03-21,5.46,5.49,5.45,5.47,318300
2001-03-22,5.45,5.49,5.45,5.49,294600
2001-03-23,5.47,5.49,5.45,5.47,253200
2001-03-26,5.43,5.47,5.41,5.41,64299
2001-03-27,5.44,5.47,5.44,5.47,79299
2001-03-28,5.41,5.49,5.41,5.49,15900
2001-03-29,5.43,5.43,5.43,5.43,300
2001-03-30,5.43,5.54,5.43,5.43,88599
2001-04-02,5.49,5.52,5.41,5.47,111399
2001-04-03,5.49,5.49,5.47,5.47,48600
2001-04-04,5.49,5.49,5.47,5.49,14700
2001-04-05,5.49,5.49,5.33,5.33,268500
2001-04-06,5.37,5.41,5.33,5.41,26100
2001-04-09,5.33,5.43,5.33,5.35,66999
2001-04-10,5.34,5.41,5.34,5.34,42000
2001-04-11,5.33,5.33,5.33,5.33,4200
2001-04-12,5.32,5.33,5.27,5.27,128499
2001-04-16,,,,5.27,0
2001-04-17,5.33,5.36,5.25,5.25,467001
2001-04-18,5.39,5.53,5.39,5.53,107799
2001-04-19,5.46,5.5,5.46,5.47,453501
2001-04-20,5.53,5.63,5.53,5.63,12000
2001-04-23,5.47,5.66,5.47,5.58,9300
2001-04-24,5.66,5.74,5.58,5.64,13200
2001-04-25,5.73,5.73,5.64,5.71,9000
2001-04-26,5.64,5.69,5.43,5.43,243501
2001-04-27,5.44,5.44,5.23,5.34,57099
2001-04-30,5.34,5.52,5.33,5.52,33900
2001-05-01,5.44,5.59,5.44,5.59,12000
2001-05-02,5.59,5.71,5.58,5.61,332700
2001-05-03,5.61,5.67,5.59,5.59,23100
2001-05-04,5.68,5.68,5.58,5.58,30300
2001-05-07,5.55,5.66,5.54,5.54,105099
2001-05-08,5.54,5.69,5.54,5.66,53199
2001-05-09,5.61,5.63,5.54,5.59,63699
2001-05-10,5.55,5.69,5.55,5.69,67899
2001-05-11,5.68,5.71,5.68,5.71,10800
2001-05-14,5.68,5.81,5.68,5.78,118299
2001-05-15,5.83,6.66,5.83,6.24,501501
2001-05-16,6.36,6.37,6.09,6.19,22800
2001-05-17,6.09,6.09,6.08,6.08,33000
2001-05-18,6.06,6.17,6.06,6.17,90999
2001-05-21,6.06,6.19,6.06,6.16,263700
2001-05-22,6.16,6.19,6.16,6.19,103599
2001-05-23,6.18,6.18,6.08,6.16,15000
2001-05-24,6.13,6.13,6.13,6.13,5400
2001-05-25,6.09,6.15,6.09,6.15,35400
2001-05-29,6.05,6.05,6.03,6.05,136599
2001-05-30,6.01,6.08,6.01,6.01,186501
2001-05-31,6.08,6.08,6.03,6.04,171801
2001-06-01,6.04,6.09,6.04,6.08,15600
2001-06-04,6.13,6.34,6.12,6.29,83499
2001-06-05,6.31,6.33,5.9,5.91,241701
2001-06-06,5.9,5.9,5.63,5.66,158601
2001-06-07,5.76,5.76,5.69,5.73,119199
2001-06-08,5.79,5.81,5.78,5.8,57099
2001-06-11,5.83,5.83,5.71,5.73,132999
2001-06-12,5.74,5.74,5.54,5.58,112299
2001-06-13,5.63,5.63,5.54,5.6,17100
2001-06-14,5.52,5.66,5.52,5.64,29400
2001-06-15,5.64,5.64,5.62,5.64,27000
2001-06-18,5.54,5.54,4.95,5.15,141099
2001-06-19,5.24,5.37,5.18,5.33,1553799
2001-06-20,5.3,5.33,5.28,5.28,33600
2001-06-21,5.28,5.28,5.16,5.28,267300
2001-06-22,5.28,5.33,5.28,5.3,127899
2001-06-25,5.33,5.33,5.29,5.32,335700
2001-06-26,5.32,5.34,5.31,5.31,57699
2001-06-27,5.34,5.34,5.31,5.32,57099
2001-06-28,5.33,5.33,5.3,5.32,456801
2001-06-29,5.32,5.36,5.3,5.3,568200
2001-07-02,5.3,5.31,5.23,5.23,30000
2001-07-03,5.21,5.28,5.19,5.23,156201
2001-07-05,5.24,5.28,5.19,5.28,454701
2001-07-06,5.25,5.27,5.21,5.21,44700
2001-07-09,5.19,5.21,5.18,5.19,466401
2001-07-10,5.18,5.18,5.04,5.1,260700
2001-07-11,5.1,5.18,5.1,5.16,346500
2001-07-12,5.16,5.19,5.13,5.17,14400
2001-07-13,5.16,5.16,5.16,5.16,56499
2001-07-16,5.16,5.19,5.14,5.16,70599
2001-07-17,5.16,5.21,5.16,5.21,45600
2001-07-18,5.22,5.36,5.22,5.29,22500
2001-07-19,5.3,5.41,5.29,5.4,45000
2001-07-20,5.29,5.44,5.29,5.44,721599
2001-07-23,5.35,5.44,5.35,5.43,21900
2001-07-24,5.44,5.48,5.41,5.42,24900
2001-07-25,5.43,5.44,5.41,5.43,122199
2001-07-26,5.41,5.43,5.38,5.38,64899
2001-07-27,5.43,5.44,5.43,5.43,6000
2001-07-30,5.43,5.58,5.43,5.51,112599
2001-07-31,5.0,5.34,5.0,5.33,2335101
2001-08-01,5.36,5.43,5.33,5.41,999699
2001-08-02,5.45,5.61,5.38,5.53,81999
2001-08-03,5.62,5.76,5.6,5.76,127299
2001-08-06,5.76,5.76,5.69,5.76,193701
2001-08-07,5.78,6.03,5.78,5.95,276900
2001-08-08,5.97,6.06,5.94,5.99,66099
2001-08-09,6.03,6.03,5.93,5.93,201501
2001-08-10,5.96,5.96,5.78,5.81,33900
2001-08-13,5.82,5.82,5.76,5.78,24300
2001-08-14,5.78,5.88,5.78,5.83,22500
2001-08-15,5.78,5.86,5.78,5.83,332700
2001-08-16,5.82,5.82,5.68,5.69,138999
2001-08-17,5.76,5.76,5.53,5.66,156201
2001-08-20,5.53,5.68,5.41,5.6,40500
2001-08-21,5.41,5.49,5.36,5.46,27900
2001-08-22,5.49,5.61,5.34,5.61,21300
2001-08-23,5.49,5.66,5.49,5.55,93099
2001-08-24,5.54,5.68,5.46,5.68,44700
2001-08-27,5.68,5.69,5.66,5.66,18000
2001-08-28,5.65,5.69,5.48,5.58,107199
2001-08-29,5.45,5.54,5.45,5.54,51999
2001-08-30,5.47,5.76,5.47,5.76,67599
