Date,Open,High,Low,Close,Volume
2015-04-01,12.0,12.5,11.9,12.05,219982
2015-04-02,12.2,12.21,11.6,11.62,83281
2015-04-06,12.2,12.3,12.0,12.0,338013
2015-04-07,12.25,12.25,11.7,11.7,128010
2015-04-08,11.82,12.0,11.47,11.75,118050
2015-04-09,12.01,12.01,11.82,11.85,53827
2015-04-10,11.8,11.89,11.56,11.89,49254
2015-04-13,12.01,12.01,11.5,11.64,16310
2015-04-14,11.75,11.85,11.65,11.8,43500
2015-04-15,11.93,11.93,11.51,11.7,72150
2015-04-16,11.62,11.8,11.62,11.75,93450
2015-04-17,11.5,11.88,11.5,11.88,125462
2015-04-20,11.6,11.75,11.47,11.47,73842
2015-04-21,0.02,11.95,11.4,11.57,47098
2015-04-22,11.59,11.6,11.26,11.6,28924
2015-04-23,11.58,11.59,11.3,11.49,17590
2015-04-24,11.33,11.55,11.05,11.26,332237
2015-04-27,11.05,11.6,11.05,11.42,252675
2015-04-28,11.3,11.6,11.05,11.28,144397
2015-04-29,11.29,11.4,11.2,11.22,6702
2015-04-30,11.25,11.48,10.98,11.13,60163
2015-05-01,11.3,11.3,10.98,11.26,26484
2015-05-04,11.2,11.2,11.0,11.09,6237
2015-05-05,11.05,11.14,10.9,10.99,22008
2015-05-06,10.68,11.24,10.65,10.9,290189
2015-05-07,10.9,11.04,10.8,10.8,11146
2015-05-08,10.79,11.25,10.79,10.8,5748
2015-05-11,10.55,10.85,10.44,10.77,22438
2015-05-12,10.72,10.72,10.49,10.68,14870
2015-05-13,10.57,10.74,10.44,10.6,23460
2015-05-14,10.09,10.75,10.09,10.75,190386
2015-05-15,10.65,10.65,10.26,10.5,24888
2015-05-18,10.48,11.03,9.52,11.0,395588
2015-05-19,11.25,11.25,10.31,10.49,33753
2015-05-20,10.32,10.96,10.26,10.5,27489
2015-05-21,10.33,10.59,10.33,10.53,57845
2015-05-22,10.67,11.12,10.5,10.85,41867
2015-05-26,11.3,11.34,10.4,10.55,53530
2015-05-27,11.39,11.39,10.4,11.08,688418
2015-05-28,11.16,11.18,10.95,11.05,52063
2015-05-29,11.0,11.2,11.0,11.2,102542
2015-06-01,11.0,11.25,10.92,11.23,43300
2015-06-02,11.08,11.4,11.08,11.3,177749
2015-06-03,11.25,11.39,11.03,11.12,225146
2015-06-04,11.11,11.87,11.1,11.8,917335
2015-06-05,12.0,12.0,11.51,11.75,63659
2015-06-08,11.75,11.78,11.25,11.65,89641
2015-06-09,11.82,12.17,11.5,11.88,144646
2015-06-10,11.97,12.35,11.67,11.87,224921
2015-06-11,11.99,12.25,11.86,12.13,164777
2015-06-12,12.06,12.25,11.88,12.04,44323
2015-06-15,12.21,12.34,11.92,12.02,177911
2015-06-16,12.1,12.1,11.91,12.02,83628
2015-06-17,12.1,12.1,11.95,12.0,20071
2015-06-18,12.08,12.5,11.98,12.47,173077
2015-06-19,12.45,12.5,12.37,12.43,148204
2015-06-22,12.5,12.7,12.3,12.52,141948
2015-06-23,12.5,12.9,12.5,12.61,81770
2015-06-24,12.64,12.75,12.58,12.67,156511
2015-06-25,12.77,13.07,12.65,12.85,1095677
2015-06-26,13.03,13.03,12.24,12.75,215390
2015-06-29,12.65,12.74,12.5,12.61,56034
2015-06-30,12.55,12.99,12.49,12.61,160027
2015-07-01,12.75,12.75,12.5,12.67,93206
2015-07-02,12.7,12.99,12.61,12.87,102891
2015-07-06,12.82,12.95,12.64,12.65,133421
2015-07-07,12.71,12.75,12.29,12.65,76701
2015-07-08,12.49,12.68,12.39,12.57,168949
2015-07-09,12.01,12.78,12.0,12.56,40667
2015-07-10,12.67,13.05,12.52,12.8,125857
