Date,Open,High,Low,Close,Volume
2000-06-29,,,,3.12,0
2000-06-30,3.19,3.34,3.12,3.34,6400
2000-07-03,3.25,3.25,3.19,3.19,3400
2000-07-05,3.25,3.25,3.25,3.25,400
2000-07-06,,,,3.25,0
2000-07-07,3.06,3.06,3.03,3.03,3000
2000-07-10,3.25,3.34,3.25,3.34,2200
2000-07-11,3.34,3.34,3.03,3.03,3800
2000-07-12,,,,3.03,0
2000-07-13,3.12,3.12,3.12,3.12,4000
2000-07-14,3.03,3.12,3.03,3.12,8200
2000-07-17,3.06,3.06,3.06,3.06,400
2000-07-18,,,,3.06,0
2000-07-19,3.06,3.31,3.06,3.31,3000
2000-07-20,3.31,3.38,3.23,3.38,5600
2000-07-21,3.38,3.56,3.38,3.56,4000
2000-07-24,3.5,3.5,3.5,3.5,200
2000-07-25,3.47,3.47,3.47,3.47,400
2000-07-26,3.47,3.47,3.47,3.47,200
2000-07-27,3.5,3.59,3.5,3.59,5800
2000-07-28,3.5,3.5,3.19,3.31,4200
2000-07-31,3.34,3.34,3.34,3.34,400
2000-08-01,3.06,3.06,3.06,3.06,1000
2000-08-02,,,,3.06,0
2000-08-03,,,,3.06,0
2000-08-04,,,,3.06,0
2000-08-07,,,,3.06,0
2000-08-08,3.06,3.5,3.06,3.5,6000
2000-08-09,3.06,3.56,3.06,3.56,2400
2000-08-10,,,,3.56,0
2000-08-11,3.5,3.5,3.5,3.5,1800
2000-08-14,,,,3.5,0
2000-08-15,3.44,3.44,3.44,3.44,600
2000-08-16,,,,3.44,0
2000-08-17,,,,3.44,0
2000-08-18,3.25,3.25,3.0,3.12,33000
2000-08-21,,,,3.12,0
2000-08-22,,,,3.12,0
2000-08-23,3.12,3.12,3.12,3.12,1600
2000-08-24,3.12,3.12,3.12,3.12,1200
2000-08-25,0.0,3.12,3.0,3.0,6200
2000-08-28,0.0,3.19,3.19,3.19,2000
2000-08-29,,,,3.19,0
2000-08-30,3.06,3.12,3.0,3.12,11400
2000-08-31,2.88,2.88,2.88,2.88,200
2000-09-01,,,,2.88,0
2000-09-05,,,,2.88,0
2000-09-06,3.12,3.12,3.12,3.12,200
2000-09-07,3.12,3.12,3.12,3.12,800
2000-09-08,3.0,3.0,3.0,3.0,1400
2000-09-11,3.12,3.12,3.12,3.12,2000
2000-09-12,3.12,3.16,3.12,3.12,9600
2000-09-13,3.31,3.38,3.25,3.38,5800
2000-09-14,3.38,3.44,3.19,3.19,4600
2000-09-15,3.19,3.19,3.19,3.19,800
2000-09-18,3.25,3.38,3.03,3.03,2200
2000-09-19,3.22,3.22,3.22,3.22,400
2000-09-20,,,,3.22,0
2000-09-21,3.19,3.19,3.12,3.12,800
