Date,Open,High,Low,Close,Volume
2000-06-30,0.0,5.19,4.62,5.19,380800
2000-07-03,0.0,5.12,5.02,5.06,41400
2000-07-05,0.0,5.16,4.94,4.94,59600
2000-07-06,0.0,5.0,4.84,5.0,54800
2000-07-07,0.0,5.06,4.95,5.06,57000
2000-07-10,0.0,5.03,5.0,5.03,90600
2000-07-11,0.0,5.09,5.0,5.0,52600
2000-07-12,0.0,5.34,5.0,5.34,154200
2000-07-13,0.0,5.44,5.31,5.41,53000
2000-07-14,0.0,5.47,5.09,5.22,165000
2000-07-17,0.0,5.28,5.19,5.22,46200
2000-07-18,0.0,5.34,5.16,5.34,70600
2000-07-19,0.0,5.31,5.16,5.25,29000
2000-07-20,0.0,5.03,4.94,4.97,42600
2000-07-21,0.0,5.06,4.88,5.06,79600
2000-07-24,0.0,5.09,4.78,4.78,331400
2000-07-25,0.0,4.84,4.78,4.81,247000
2000-07-26,0.0,4.88,4.81,4.84,288800
2000-07-27,0.0,4.88,4.81,4.88,390000
2000-07-28,0.0,4.88,4.81,4.81,53400
2000-07-31,0.0,5.06,4.81,5.03,297400
2000-08-01,0.0,5.22,4.94,4.94,593600
2000-08-02,0.0,5.06,4.97,5.0,448400
2000-08-03,0.0,5.09,4.94,5.06,20400
2000-08-04,0.0,5.12,5.03,5.09,50800
2000-08-07,0.0,5.25,5.09,5.16,67600
2000-08-08,0.0,5.31,5.12,5.31,67200
2000-08-09,0.0,5.5,5.28,5.44,74800
2000-08-10,0.0,5.47,5.31,5.44,59000
2000-08-11,0.0,5.44,5.28,5.44,36000
2000-08-14,0.0,5.38,5.12,5.34,40600
2000-08-15,0.0,5.34,5.25,5.31,8000
2000-08-16,0.0,5.5,5.25,5.44,87600
2000-08-17,0.0,5.38,5.22,5.38,46200
2000-08-18,0.0,5.34,5.19,5.28,483800
2000-08-21,0.0,5.56,5.28,5.5,165400
2000-08-22,0.0,5.47,5.41,5.41,34200
2000-08-23,0.0,5.34,5.22,5.25,161000
2000-08-24,0.0,5.34,5.22,5.28,15000
2000-08-25,0.0,5.28,5.22,5.22,477400
2000-08-28,0.0,5.38,5.28,5.31,52800
2000-08-29,0.0,5.38,5.25,5.28,85400
2000-08-30,0.0,5.31,5.25,5.28,129600
2000-08-31,0.0,5.3,5.16,5.19,83400
2000-09-01,0.0,5.31,5.19,5.25,80400
2000-09-05,0.0,5.31,5.22,5.28,141000
2000-09-06,0.0,5.31,5.25,5.31,48200
2000-09-07,0.0,5.38,5.31,5.34,98400
2000-09-08,0.0,5.34,5.28,5.28,24800
2000-09-11,0.0,5.5,5.28,5.34,63600
2000-09-12,0.0,5.34,5.22,5.25,170600
2000-09-13,0.0,5.34,5.25,5.31,197000
2000-09-14,0.0,5.31,5.16,5.16,83000
2000-09-15,0.0,5.31,5.09,5.19,177000
2000-09-18,0.0,5.25,5.09,5.16,118200
2000-09-19,0.0,5.22,5.16,5.22,119800
2000-09-20,0.0,5.22,5.19,5.22,28200
2000-09-21,0.0,5.22,5.16,5.16,59000
2000-09-22,0.0,5.22,5.06,5.09,94800
2000-09-25,0.0,5.12,5.03,5.06,22200
2000-09-26,0.0,5.12,5.03,5.12,133200
2000-09-27,0.0,5.09,5.03,5.06,175200
2000-09-28,0.0,5.09,4.88,5.03,173200
2000-09-29,0.0,5.06,4.62,5.03,479600
2000-10-02,0.0,5.03,4.56,4.56,169000
2000-10-03,0.0,4.72,4.59,4.66,264400
