Date,Open,High,Low,Close,Volume
2000-06-29,182.63,194.25,171.88,193.5,2465000
2000-06-30,194.38,209.0,193.63,197.5,2248700
2000-07-03,201.0,205.0,198.75,201.38,1022400
2000-07-05,196.88,208.5,191.0,201.63,2057300
2000-07-06,204.88,240.0,199.0,236.0,7260000
2000-07-07,233.88,247.0,229.5,237.25,2413800
2000-07-10,236.0,251.13,235.5,244.63,1695800
2000-07-11,242.13,251.0,225.5,227.5,2415300
2000-07-12,241.75,269.75,233.5,250.88,3402600
2000-07-13,295.88,310.0,291.75,307.0,6795600
2000-07-14,300.5,313.0,293.5,311.13,2250100
2000-07-17,309.88,335.88,306.63,318.25,2694500
2000-07-18,312.63,317.0,303.0,306.0,1694500
2000-07-19,300.25,304.38,286.88,298.25,2451700
2000-07-20,301.13,324.88,300.88,318.5,1739200
2000-07-21,316.38,331.75,311.0,319.5,1613100
2000-07-24,321.13,335.88,312.0,316.88,1890700
2000-07-25,321.88,348.0,316.5,343.63,2496300
2000-07-26,339.0,339.88,314.75,325.75,2617300
2000-07-27,315.38,317.75,287.0,292.38,3098500
2000-07-28,288.63,296.25,263.5,267.13,3235500
2000-07-31,270.0,300.0,262.25,298.5,2688600
2000-08-01,292.5,296.5,271.75,272.13,2441700
2000-08-02,271.13,283.13,256.0,257.75,2927600
2000-08-03,240.75,285.25,232.0,282.25,5270000
2000-08-04,295.63,300.38,266.5,276.06,4037900
2000-08-07,287.38,293.0,272.25,290.88,1914500
2000-08-08,289.5,300.0,286.5,294.38,1612400
2000-08-09,301.5,318.0,301.38,302.88,2391500
2000-08-10,296.75,309.88,292.25,295.75,1800600
2000-08-11,290.0,308.0,280.0,305.75,1849800
2000-08-14,310.0,323.5,301.0,320.25,1876300
2000-08-15,317.88,326.63,315.25,322.25,2132900
2000-08-16,320.13,336.0,319.5,329.25,2234600
2000-08-17,327.5,342.25,320.75,338.75,1723700
2000-08-18,346.75,357.75,342.25,348.25,2371800
2000-08-21,353.88,359.5,334.0,340.75,1863700
2000-08-22,345.0,359.88,343.0,354.0,1535100
2000-08-23,350.13,382.0,340.0,377.88,2871600
2000-08-24,379.66,387.88,364.25,379.88,2543300
2000-08-25,376.25,386.5,368.25,377.13,1172900
2000-08-28,0.0,369.5,348.0,367.63,4422600
2000-08-29,370.09,397.75,366.25,391.13,3661600
2000-08-30,388.0,401.0,386.0,395.38,2641000
2000-08-31,398.25,409.0,394.25,405.88,1752900
2000-09-01,412.0,420.38,405.75,408.38,1441000
2000-09-05,397.0,401.75,375.75,379.63,3004200
2000-09-06,372.0,374.25,356.25,358.09,3712700
2000-09-07,365.62,398.38,361.88,397.88,3965200
2000-09-08,390.75,394.38,368.56,371.63,2926400
2000-09-11,367.5,391.0,360.63,365.5,3171500
2000-09-12,370.12,376.5,350.75,353.13,2794700
2000-09-13,343.5,365.5,342.0,359.75,4069100
2000-09-14,371.75,384.5,367.25,368.0,2917600
2000-09-15,372.0,372.0,347.5,350.0,2582200
2000-09-18,354.25,366.25,349.25,352.5,2954400
2000-09-19,359.75,388.0,354.0,386.63,3077100
2000-09-20,386.62,398.25,371.25,390.0,3126500
2000-09-21,385.38,392.75,350.0,378.0,2017500
2000-09-22,361.97,398.88,361.88,397.0,3853000
2000-09-25,405.0,428.5,395.5,398.0,4157800
2000-09-26,405.75,415.25,390.75,395.5,3214600
2000-09-27,407.75,422.5,397.88,405.38,3983000
2000-09-28,400.25,430.5,399.0,428.0,3088600
2000-09-29,423.5,439.0,408.0,414.13,2506800
2000-10-02,420.62,427.5,383.13,383.63,3211400
2000-10-03,393.25,397.63,355.0,356.91,4349700
2000-10-04,351.0,388.5,350.0,383.75,3928200
2000-10-05,375.25,382.88,352.0,356.5,3826600
2000-10-06,355.72,372.0,346.75,368.0,4633800
2000-10-09,362.12,382.75,350.25,370.88,3043900
2000-10-10,360.12,369.0,325.88,357.38,10200700
2000-10-11,347.38,378.13,328.88,335.47,7488300
2000-10-12,365.75,368.0,327.38,328.0,7790700
2000-10-13,321.25,364.25,320.75,363.5,5026200
2000-10-16,359.25,374.0,350.0,361.63,3363500
2000-10-17,374.25,378.38,352.0,355.25,3337500
2000-10-18,342.25,362.25,333.97,335.63,4035200
2000-10-19,356.75,390.0,352.0,389.25,3241600
2000-10-20,382.75,419.5,381.5,412.63,3316600
2000-10-23,408.12,437.0,407.88,418.38,3285200
2000-10-24,423.5,428.0,366.25,396.63,3312300
2000-10-25,324.0,327.25,274.0,296.0,19907100
2000-10-26,292.75,302.0,242.0,277.0,11988700
2000-10-27,293.72,309.0,274.0,282.75,7037100
2000-10-30,271.62,281.38,254.0,256.25,5838200
2000-10-31,266.5,308.0,264.0,304.0,3431700
2000-11-01,292.75,320.0,283.0,294.5,3330000
2000-11-02,311.0,311.0,268.5,271.5,4583800
2000-11-03,282.75,294.5,273.0,288.0,2791000
2000-11-06,309.75,320.0,287.75,305.5,3409300
2000-11-07,278.0,285.0,269.25,275.5,4950600
2000-11-08,287.31,287.75,239.88,245.25,6993900
2000-11-09,228.5,259.5,228.0,252.75,5304000
2000-11-10,250.5,269.0,240.0,246.0,4453500
2000-11-13,236.5,264.75,232.5,250.5,4604800
2000-11-14,265.5,277.94,260.5,274.69,3217500
2000-11-15,272.0,293.0,268.5,284.0,3857300
2000-11-16,254.0,269.0,241.5,243.75,4112400
2000-11-17,243.0,248.0,218.75,222.75,4815000
2000-11-20,205.0,237.25,204.25,218.25,4503200
2000-11-21,218.0,230.5,212.0,216.75,2979200
2000-11-22,211.5,223.75,210.0,211.25,2559100
2000-11-24,220.0,232.0,215.5,230.0,1439900
2000-11-27,238.5,242.0,200.5,204.5,3825700
2000-11-28,206.5,216.5,194.0,196.75,4273700
2000-11-29,200.5,211.25,182.5,204.0,3813600
2000-11-30,184.25,201.0,183.5,193.75,4498600
2000-12-01,200.25,231.75,199.75,211.0,4462500
2000-12-04,213.94,215.0,192.5,201.75,3125400
2000-12-05,209.25,250.0,208.0,249.0,4422800
2000-12-06,251.5,279.5,241.5,247.25,3983000
2000-12-07,237.0,261.38,232.25,254.5,2557300
2000-12-08,276.94,283.75,261.0,279.25,3110300
2000-12-11,279.25,300.0,269.0,298.0,3522100
2000-12-12,290.44,301.5,273.5,276.0,2302900
2000-12-13,290.0,291.0,258.5,267.25,5572200
2000-12-14,264.25,282.0,263.0,264.0,2859700
2000-12-15,258.75,284.25,256.5,270.0,3541300
2000-12-18,278.75,283.25,259.75,262.0,2523600
2000-12-19,263.0,275.5,230.0,246.25,2842700
2000-12-20,244.0,265.0,220.0,224.5,8658300
2000-12-21,217.75,248.75,208.75,215.5,4350600
2000-12-22,232.31,266.5,229.75,262.75,3504700
2000-12-26,266.25,273.0,248.25,262.25,2362500
2000-12-27,260.5,299.5,259.75,294.44,4364900
2000-12-28,298.0,315.0,295.0,309.75,4637900
2000-12-29,317.25,318.25,282.0,300.19,10379500
2001-01-02,300.25,300.5,251.0,255.0,6294700
2001-01-03,244.75,302.0,223.25,299.0,8055900
2001-01-04,294.75,314.0,289.0,293.5,4194600
2001-01-05,257.5,266.75,240.75,254.0,6794200
2001-01-08,249.25,257.75,230.5,256.5,3347500
2001-01-09,260.25,272.25,240.75,253.0,4251500
2001-01-10,244.0,276.0,242.0,273.75,3811300
2001-01-11,268.25,289.75,259.5,283.25,3092900
2001-01-12,282.25,303.0,276.5,286.5,3649200
2001-01-16,290.5,300.0,266.0,281.5,3293400
2001-01-17,312.5,325.0,307.0,321.5,6417000
2001-01-18,317.25,342.0,312.0,337.5,3970300
2001-01-19,348.75,353.0,333.75,346.0,3436100
2001-01-22,341.5,342.0,320.75,331.0,3737800
2001-01-23,329.25,340.0,327.06,339.25,2953700
2001-01-24,333.75,350.0,332.0,348.5,2962400
2001-01-25,342.0,342.25,300.5,312.0,2756300
2001-01-26,289.94,308.0,283.0,304.75,4738800
2001-01-29,300.44,317.5,296.5,313.5,1822800
2001-01-30,316.0,323.75,302.5,312.25,2220400
2001-01-31,314.75,322.0,290.0,294.0,2915000
2001-02-01,292.75,294.0,272.25,280.5,3491700
2001-02-02,282.75,284.25,258.5,263.0,3156700
2001-02-05,256.5,264.5,244.0,257.5,3243000
2001-02-06,226.5,229.5,206.0,220.25,8237800
2001-02-07,209.25,212.5,189.75,199.25,6346700
2001-02-08,199.25,207.75,183.25,187.0,4987100
2001-02-09,186.0,194.0,177.0,177.75,3659700
2001-02-12,180.75,189.75,169.75,172.5,4729900
2001-02-13,178.25,190.5,170.0,172.0,4257600
2001-02-14,174.75,191.44,161.5,188.5,5582500
2001-02-15,197.5,219.25,182.31,206.75,5855900
2001-02-16,176.0,187.25,174.0,175.25,4729900
2001-02-20,168.0,169.0,149.5,152.25,5140900
2001-02-21,152.0,161.0,144.0,144.25,4476600
2001-02-22,149.75,151.0,131.0,138.5,6426500
2001-02-23,138.25,152.25,131.5,148.25,4823300
2001-02-26,146.0,149.0,134.75,140.25,3700500
2001-02-27,135.75,138.5,120.5,121.25,4282600
2001-02-28,123.0,127.0,104.5,107.0,6120700
2001-03-01,105.75,126.0,91.75,118.25,12577100
2001-03-02,116.25,132.25,110.0,115.25,6018200
2001-03-05,118.25,119.5,111.0,116.75,3294100
2001-03-06,123.75,127.5,121.75,122.75,3592400
2001-03-07,125.0,125.25,114.5,116.0,3368600
2001-03-08,116.5,125.94,114.25,119.0,3327300
2001-03-09,115.25,119.0,102.75,105.75,3895800
2001-03-12,99.0,105.0,93.75,94.5,3376500
2001-03-13,97.25,108.0,94.25,107.5,3575800
2001-03-14,100.25,107.06,97.19,100.0,3853600
2001-03-15,105.75,106.38,93.5,94.5,2717200
2001-03-16,93.0,97.75,88.0,89.0,3245200
2001-03-19,89.5,92.25,83.0,91.0,3165600
2001-03-20,91.75,91.75,74.5,76.25,5949300
2001-03-21,75.75,83.94,75.75,79.0,4390500
2001-03-22,80.75,97.0,80.5,96.75,4666000
2001-03-23,103.62,103.75,88.25,92.75,4739500
2001-03-26,89.12,90.5,83.25,85.0,1930300
2001-03-27,82.62,92.25,80.5,86.5,2953400
2001-03-28,82.75,87.5,73.0,73.25,2743800
2001-03-29,72.44,74.31,66.0,68.0,3530000
2001-03-30,69.5,70.25,64.5,66.0,2541700
2001-04-02,65.5,65.5,55.0,56.44,3985700
2001-04-03,55.25,58.5,48.5,50.25,6360800
2001-04-04,49.25,52.0,45.0,45.25,5398700
2001-04-05,49.75,59.75,49.5,59.25,4896900
2001-04-06,56.5,58.75,51.75,54.75,3733900
2001-04-09,57.6,59.0,51.01,54.48,2741700
2001-04-10,55.96,69.92,55.68,65.52,4790000
2001-04-11,85.0,89.6,77.08,77.56,7530200
2001-04-12,75.2,88.4,69.52,88.04,6110500
2001-04-16,83.4,86.92,72.0,79.96,4220200
2001-04-17,74.84,90.32,74.04,81.36,4880900
2001-04-18,92.8,105.0,88.24,91.44,6047800
2001-04-19,94.92,117.2,92.6,115.68,7163300
2001-04-20,119.68,132.4,118.0,120.0,8846000
2001-04-23,110.04,111.4,101.2,102.4,4473900
2001-04-24,102.36,110.88,92.08,95.92,5060600
2001-04-25,87.8,99.76,87.2,97.2,7411400
2001-04-26,100.24,100.8,86.5,88.0,3926600
2001-04-27,94.64,95.2,84.36,91.8,4291000
2001-04-30,95.0,107.4,93.04,104.08,4619200
2001-05-01,103.72,107.2,96.0,105.84,4172400
2001-05-02,111.24,118.2,105.8,110.16,4980100
2001-05-03,103.0,108.24,96.0,98.16,3636300
2001-05-04,91.8,108.96,90.0,105.96,5347100
2001-05-07,104.44,111.08,101.83,102.88,3452300
2001-05-08,110.08,114.0,105.0,113.36,3862100
2001-05-09,105.56,113.36,101.8,104.4,5529100
2001-05-10,110.4,110.42,94.4,95.16,5216000
2001-05-11,95.68,98.84,91.01,92.08,4137300
2001-05-14,92.32,93.0,84.59,86.96,3798300
2001-05-15,88.04,96.76,86.68,88.32,4072400
2001-05-16,84.0,95.88,82.8,92.16,5289400
2001-05-17,93.96,98.14,92.0,93.12,4601400
2001-05-18,94.28,96.6,92.12,94.04,2198900
2001-05-21,94.24,113.16,94.0,105.96,4362400
2001-05-22,107.6,109.2,101.03,105.8,4497900
2001-05-23,102.76,103.16,94.44,95.28,3077100
2001-05-24,95.48,99.05,90.4,95.08,3177900
2001-05-25,96.92,97.2,90.32,91.0,1892900
2001-05-29,89.72,89.84,80.8,82.48,3492900
2001-05-30,76.48,77.96,72.2,74.6,3574000
2001-05-31,76.08,80.0,71.52,72.28,2928400
2001-06-01,76.76,77.6,72.48,74.72,2165600
2001-06-04,76.4,76.6,71.36,71.6,2013600
2001-06-05,73.6,82.04,73.2,80.16,3560500
2001-06-06,81.52,81.6,75.6,76.28,3457400
2001-06-07,75.44,85.44,75.32,84.0,5965200
2001-06-08,83.12,83.2,76.08,77.04,3333200
2001-06-11,75.6,75.8,69.52,71.68,3718300
2001-06-12,68.56,75.32,66.6,71.32,4173400
2001-06-13,72.8,72.96,67.8,68.0,3196300
2001-06-14,66.24,69.96,65.48,66.36,2707700
2001-06-15,62.72,64.8,59.2,61.68,4010200
2001-06-18,61.84,63.4,56.8,57.8,2837500
2001-06-19,61.32,62.52,53.2,54.0,5241200
2001-06-20,52.0,56.84,51.84,56.28,4334400
2001-06-21,55.8,58.52,53.16,56.2,4143800
2001-06-22,57.92,59.56,54.64,55.44,3131400
2001-06-25,57.92,58.04,54.4,56.8,2262600
2001-06-26,52.88,59.6,52.32,58.92,5788700
