Date,Open,High,Low,Close,Volume
2000-06-29,4.84,4.84,4.41,4.5,20800
2000-06-30,4.5,4.61,4.5,4.61,1500
2000-07-03,4.53,4.84,4.5,4.84,5700
2000-07-05,4.56,4.75,4.53,4.75,17000
2000-07-06,4.5,4.5,4.38,4.38,13700
2000-07-07,4.56,4.62,4.56,4.56,21300
2000-07-10,0.0,5.5,4.59,5.5,87600
2000-07-11,5.47,5.5,4.62,4.75,58400
2000-07-12,4.88,5.19,4.75,5.09,26700
2000-07-13,5.14,5.19,5.0,5.06,16000
2000-07-14,5.12,5.12,5.0,5.0,9600
2000-07-17,4.94,5.19,4.75,4.75,22900
2000-07-18,4.91,5.34,4.88,5.03,36400
2000-07-19,5.19,5.62,5.19,5.56,48900
2000-07-20,5.59,5.62,5.19,5.38,40400
2000-07-21,5.06,5.31,4.91,4.91,38500
2000-07-24,4.97,5.12,4.75,4.75,14000
2000-07-25,4.94,5.0,4.75,4.75,10400
2000-07-26,4.75,5.0,4.72,4.72,12000
2000-07-27,4.84,4.84,4.41,4.45,20400
2000-07-28,4.42,4.44,4.0,4.25,39900
2000-07-31,4.25,4.81,4.03,4.62,68400
2000-08-01,4.66,4.75,4.56,4.75,2500
2000-08-02,4.56,4.56,4.12,4.31,21800
2000-08-03,4.25,4.44,4.09,4.12,26500
2000-08-04,4.25,4.25,4.06,4.12,29900
2000-08-07,4.12,4.12,4.06,4.06,4000
2000-08-08,4.0,4.06,3.81,3.81,41900
2000-08-09,3.94,4.06,3.88,4.03,56600
2000-08-10,4.0,4.03,3.91,3.91,13100
2000-08-11,3.91,4.06,3.72,4.06,8800
2000-08-14,4.05,4.16,3.94,3.94,20500
2000-08-15,4.31,4.62,4.25,4.38,52400
2000-08-16,5.11,10.31,5.0,10.0,5511900
2000-08-17,14.62,17.81,13.75,14.62,11282100
2000-08-18,13.19,13.44,11.88,12.5,2362400
2000-08-21,11.53,14.5,11.0,14.25,2297300
2000-08-22,13.69,14.25,12.25,12.81,1009800
2000-08-23,12.31,13.88,12.19,12.56,599300
2000-08-24,12.69,19.88,12.5,19.44,3132400
2000-08-25,16.88,24.75,16.25,20.69,5778000
2000-08-28,0.0,26.5,20.25,23.94,4006800
2000-08-29,23.38,24.06,21.06,21.62,1559900
2000-08-30,21.0,23.0,20.25,22.41,916600
2000-08-31,22.5,25.25,21.5,21.56,724300
2000-09-01,23.25,23.31,21.0,22.16,584100
2000-09-05,21.19,22.31,19.0,19.94,606400
2000-09-06,19.06,19.69,17.5,17.88,874800
2000-09-07,19.81,21.31,18.69,19.25,1455100
2000-09-08,19.19,19.44,17.5,18.0,764800
2000-09-11,17.75,18.69,17.31,17.94,373100
2000-09-12,17.81,18.0,16.06,16.19,451100
2000-09-13,15.72,17.0,15.0,15.88,331400
2000-09-14,16.75,17.12,15.56,15.62,294600
2000-09-15,16.22,16.25,14.38,14.5,381700
2000-09-18,14.41,15.19,13.5,14.5,353000
2000-09-19,14.47,16.12,14.44,15.88,320400
2000-09-20,15.84,17.0,15.81,16.39,254200
2000-09-21,16.94,17.0,14.75,15.62,168100
2000-09-22,12.5,15.44,12.31,15.12,359000
2000-09-25,15.16,15.44,13.56,13.75,179200
2000-09-26,13.72,17.38,13.66,15.5,465700
2000-09-27,15.53,16.56,14.0,14.44,269700
2000-09-28,14.25,16.25,13.75,15.62,246300
2000-09-29,15.72,15.75,14.5,15.0,79900
2000-10-02,15.25,15.25,13.56,13.69,124300
2000-10-03,13.72,14.5,12.88,13.25,137600
2000-10-04,12.83,13.81,12.25,13.12,133300
2000-10-05,12.83,13.38,12.0,12.06,70900
2000-10-06,12.47,12.5,10.31,10.5,247100
2000-10-09,10.52,10.75,9.5,10.0,193000
2000-10-10,9.64,10.0,8.0,8.31,249400
2000-10-11,8.0,8.94,7.06,8.0,378000
2000-10-12,8.25,8.94,7.25,7.81,240700
2000-10-13,7.56,9.88,7.5,9.75,420400
2000-10-16,10.38,12.38,10.33,10.88,390200
2000-10-17,10.62,11.94,9.81,10.69,159300
2000-10-18,9.5,11.38,9.0,10.06,219100
2000-10-19,10.62,11.88,10.12,11.0,181600
2000-10-20,10.88,12.44,10.5,12.12,311400
2000-10-23,12.5,13.11,12.12,12.25,170600
2000-10-24,12.75,12.75,10.5,11.19,176800
2000-10-25,10.62,10.88,9.75,10.06,149000
2000-10-26,9.89,10.5,9.31,10.12,165400
2000-10-27,10.14,10.75,9.62,10.06,83800
2000-10-30,9.64,10.19,9.06,9.06,74900
2000-10-31,9.38,10.44,9.19,10.25,503600
2000-11-01,10.23,11.81,10.06,11.0,542900
2000-11-02,11.56,11.75,11.12,11.31,108100
2000-11-03,11.0,11.38,10.62,10.69,74800
2000-11-06,10.62,11.0,10.12,10.12,130800
2000-11-07,10.12,10.62,9.62,10.0,71900
2000-11-08,10.0,10.38,9.69,9.69,28700
2000-11-09,9.52,9.69,8.75,9.0,88900
2000-11-10,9.02,9.36,8.25,8.5,120400
2000-11-13,8.0,8.94,7.62,8.19,137300
2000-11-14,8.88,9.44,8.34,9.12,90200
2000-11-15,8.88,9.72,8.88,9.12,71900
2000-11-16,9.23,9.25,8.38,8.5,43100
2000-11-17,8.55,9.44,8.06,8.5,58100
2000-11-20,8.27,8.62,8.06,8.12,49000
2000-11-21,8.12,8.28,7.69,7.81,45900
2000-11-22,7.77,8.0,6.62,7.12,187300
2000-11-24,7.25,8.0,7.12,7.44,35200
2000-11-27,7.75,7.81,6.12,6.19,122800
2000-11-28,6.72,6.75,5.0,5.75,314900
2000-11-29,5.72,5.88,5.0,5.56,90000
2000-11-30,5.25,6.5,4.44,6.25,291000
2000-12-01,6.3,6.38,4.88,5.81,77300
2000-12-04,5.77,6.88,5.44,5.69,64500
2000-12-05,5.97,7.69,5.88,7.25,259500
2000-12-06,7.31,9.5,7.12,8.88,378600
2000-12-07,8.91,9.75,8.25,8.94,195800
2000-12-08,9.56,10.44,9.16,9.53,178900
2000-12-11,9.52,10.25,9.31,9.78,161200
2000-12-12,10.0,10.0,9.25,9.25,35000
2000-12-13,9.19,9.81,8.25,8.75,80300
2000-12-14,8.38,9.25,7.88,8.06,73700
2000-12-15,7.81,8.38,7.5,8.31,66300
2000-12-18,8.62,8.75,8.38,8.38,45500
2000-12-19,8.53,9.19,7.38,7.75,106600
2000-12-20,7.38,7.5,6.44,6.62,125800
2000-12-21,6.88,7.75,6.62,7.31,175000
2000-12-22,7.36,8.75,7.25,8.25,84800
2000-12-26,8.56,9.12,7.5,8.09,162700
2000-12-27,8.25,8.47,7.5,8.0,45400
2000-12-28,7.88,8.5,7.5,8.12,85400
2000-12-29,8.16,8.38,7.56,8.0,82000
2001-01-02,8.0,8.0,7.19,7.19,84500
2001-01-03,7.08,8.0,6.75,7.94,172900
2001-01-04,7.94,8.75,7.75,8.0,35900
2001-01-05,7.81,7.88,7.0,7.12,35200
2001-01-08,7.0,7.38,6.95,7.31,39400
2001-01-09,7.19,7.5,7.0,7.25,16800
2001-01-10,7.08,7.69,7.0,7.5,46800
2001-01-11,7.55,8.5,7.25,8.12,159400
2001-01-12,8.09,8.88,8.06,8.25,114900
2001-01-16,8.62,9.0,8.25,8.62,114200
2001-01-17,8.81,9.62,8.62,8.81,177700
2001-01-18,8.98,9.12,8.56,8.88,52400
2001-01-19,8.98,10.19,8.69,9.5,194000
2001-01-22,10.11,11.75,9.5,11.25,253600
2001-01-23,11.69,12.25,11.19,11.44,256900
2001-01-24,11.62,12.12,10.56,10.62,241000
2001-01-25,10.69,10.88,9.5,10.38,320700
2001-01-26,9.75,10.44,9.41,10.0,118100
2001-01-29,10.41,11.75,10.38,11.75,192500
2001-01-30,11.61,12.62,11.5,12.06,388500
2001-01-31,12.38,12.44,11.5,11.75,244700
2001-02-01,11.84,12.31,11.5,12.19,75100
2001-02-02,12.25,12.31,11.12,11.75,65400
2001-02-05,12.06,12.12,11.0,11.06,88100
2001-02-06,11.06,11.62,10.88,10.88,41000
2001-02-07,10.81,10.94,10.0,10.38,119100
2001-02-08,10.06,10.38,9.5,9.5,79400
2001-02-09,9.58,10.12,9.56,10.0,62600
2001-02-12,10.12,10.25,9.69,10.0,43800
2001-02-13,9.95,10.19,9.88,9.88,69200
2001-02-14,10.02,10.06,9.62,9.75,47300
2001-02-15,9.91,10.88,9.12,9.44,267300
2001-02-16,9.16,9.38,8.25,8.25,136900
2001-02-20,8.17,8.38,7.62,7.84,85300
2001-02-21,7.75,7.88,7.25,7.38,190700
2001-02-22,7.22,7.41,6.5,7.12,121500
2001-02-23,7.19,7.31,6.16,7.0,209900
2001-02-26,7.25,7.56,7.19,7.5,78400
2001-02-27,7.12,7.62,7.06,7.25,39000
2001-02-28,7.22,7.3,6.88,7.0,60900
2001-03-01,6.88,7.5,6.75,7.5,58900
2001-03-02,7.12,7.31,6.88,7.0,53700
2001-03-05,7.06,7.75,7.0,7.45,77200
2001-03-06,7.67,8.19,7.62,7.88,62900
2001-03-07,8.0,8.25,7.78,8.0,45000
2001-03-08,8.23,8.25,7.62,7.81,64700
2001-03-09,7.72,8.06,7.44,7.75,33300
2001-03-12,7.69,7.7,6.75,6.88,67900
2001-03-13,7.0,7.22,6.5,6.81,38500
2001-03-14,6.59,6.94,6.44,6.84,44400
2001-03-15,6.72,7.28,6.5,6.5,49800
2001-03-16,6.5,6.59,5.88,5.88,49600
2001-03-19,6.06,6.06,5.12,6.0,206800
2001-03-20,6.0,6.0,5.12,5.5,66500
2001-03-21,5.73,5.88,5.38,5.56,39900
2001-03-22,5.86,6.19,5.56,6.0,44700
2001-03-23,6.31,6.5,5.88,6.44,43900
2001-03-26,6.28,6.75,6.25,6.44,36600
2001-03-27,6.38,6.44,5.88,5.88,25800
