Date,Open,High,Low,Close,Volume
2000-06-29,85.0,85.12,78.75,81.0,195200
2000-06-30,81.69,82.69,79.0,79.17,146700
2000-07-03,80.06,81.12,79.25,80.25,46500
2000-07-05,80.34,81.19,78.25,79.75,109300
2000-07-06,79.84,79.94,77.5,77.94,57900
2000-07-07,78.44,83.25,77.62,82.97,104600
2000-07-10,82.84,84.0,80.25,83.31,64100
2000-07-11,85.0,89.12,83.56,89.0,270500
2000-07-12,90.5,92.25,89.31,89.94,160900
2000-07-13,89.44,89.44,52.62,55.94,3604800
2000-07-14,61.94,64.88,59.5,61.19,2249400
2000-07-17,63.31,63.75,56.0,57.0,1105600
2000-07-18,57.06,57.06,52.62,52.94,857500
2000-07-19,53.06,53.5,49.5,49.98,1192000
2000-07-20,51.0,53.25,50.5,52.75,882700
2000-07-21,52.75,52.75,50.0,50.12,876500
2000-07-24,50.25,51.38,50.0,50.0,479700
2000-07-25,50.5,51.31,50.0,50.69,534800
2000-07-26,50.66,50.75,47.75,49.0,228400
2000-07-27,47.81,49.0,45.75,46.12,238700
2000-07-28,46.5,47.0,42.75,43.5,315800
2000-07-31,44.0,46.0,43.38,45.25,269500
2000-08-01,45.5,45.5,44.56,45.25,207400
2000-08-02,45.5,48.44,45.25,48.0,423800
2000-08-03,47.12,49.38,46.0,48.38,306500
2000-08-04,49.47,50.38,47.75,49.88,168900
2000-08-07,50.75,51.06,49.88,50.94,158800
2000-08-08,50.94,56.0,50.88,55.38,394400
2000-08-09,56.09,56.12,53.5,55.0,259500
2000-08-10,55.25,55.25,54.25,54.5,182600
2000-08-11,54.31,54.5,53.0,53.5,192900
2000-08-14,53.72,54.44,53.56,54.12,131400
2000-08-15,54.06,54.38,53.88,54.0,101000
2000-08-16,54.12,54.12,51.5,52.88,247900
2000-08-17,52.97,56.66,52.25,56.25,442300
2000-08-18,56.38,59.25,56.12,57.0,427400
2000-08-21,58.97,60.94,56.81,58.0,302100
2000-08-22,58.22,61.75,58.12,59.12,235900
2000-08-23,59.56,59.75,57.38,59.62,105700
2000-08-24,59.62,61.5,59.06,60.19,121300
2000-08-25,60.69,60.75,58.25,60.5,151500
2000-08-28,0.0,61.31,58.81,59.5,177200
2000-08-29,60.0,60.06,59.25,59.38,184500
2000-08-30,59.62,60.0,58.81,59.0,130700
2000-08-31,59.0,60.62,59.0,59.5,158200
2000-09-01,59.88,61.62,59.5,60.42,156500
2000-09-05,60.06,62.75,60.03,60.44,155600
2000-09-06,60.5,62.62,60.25,62.06,110900
2000-09-07,62.97,64.0,62.25,63.12,285900
2000-09-08,63.19,64.0,60.25,60.5,130400
2000-09-11,60.31,60.38,58.0,58.0,231200
2000-09-12,58.31,58.38,56.38,56.5,142600
2000-09-13,56.5,58.0,55.12,57.69,127500
2000-09-14,58.03,59.0,58.0,58.38,176600
2000-09-15,57.88,57.94,54.75,54.81,207200
2000-09-18,55.03,56.0,53.81,55.0,321000
2000-09-19,55.0,56.19,54.25,54.81,303200
2000-09-20,55.06,55.06,52.0,53.19,179400
2000-09-21,51.19,52.25,50.5,51.12,333300
2000-09-22,50.25,54.31,49.81,54.31,100900
