Date,Open,High,Low,Close,Volume
2015-01-23,20.2,24.73,20.16,23.23,42593223
2015-01-26,23.67,24.39,22.5,22.6,8677164
2015-01-27,22.0,22.47,21.17,21.3,3272512
2015-01-28,21.62,21.84,19.6,19.78,5047364
2015-01-29,19.9,19.95,18.51,18.8,3419482
2015-01-30,18.47,19.48,18.22,18.81,2266439
2015-02-02,19.18,19.3,18.01,18.02,2071168
2015-02-03,18.22,18.64,18.12,18.24,1587435
2015-02-04,18.2,18.35,17.0,17.1,2912224
2015-02-05,17.3,17.31,16.41,16.66,2682187
2015-02-06,17.39,18.88,17.21,18.12,3929164
2015-02-09,18.86,19.95,18.45,19.6,3226650
2015-02-10,20.5,21.0,19.63,20.99,2804409
2015-02-11,20.89,21.0,20.2,20.96,1698365
2015-02-12,20.66,20.85,19.75,20.17,1370320
2015-02-13,20.19,20.68,20.0,20.18,711951
2015-02-17,19.5,20.1,18.8,19.05,2093602
2015-02-18,18.31,18.5,17.96,18.0,1849490
2015-02-19,18.33,19.25,17.91,18.96,1311518
2015-02-20,18.68,19.3,18.65,18.85,1001692
2015-02-23,18.8,18.89,18.11,18.21,670087
2015-02-24,18.46,19.0,18.27,18.83,759263
2015-02-25,18.83,19.48,18.47,18.67,915580
2015-02-26,18.64,19.2,18.64,18.94,461283
2015-02-27,18.8,19.12,18.55,18.66,617199
2015-03-02,18.66,19.09,18.65,18.79,519605
2015-03-03,18.79,19.21,18.45,18.59,832415
2015-03-04,18.64,19.05,18.32,19.0,539688
2015-03-05,19.2,19.2,18.8,19.14,486149
2015-03-06,19.03,19.1,18.7,18.91,685659
2015-03-09,18.98,20.15,18.96,19.4,1321363
2015-03-10,19.3,19.8,18.85,19.64,615743
2015-03-11,20.08,20.65,19.24,20.53,2167167
2015-03-12,17.17,18.2,16.76,18.2,6837638
2015-03-13,18.05,18.05,17.3,17.88,1715629
2015-03-16,17.91,18.0,17.01,17.13,1321313
2015-03-17,17.28,17.37,16.6,17.12,1272242
2015-03-18,17.1,17.27,16.91,17.01,530063
2015-03-19,17.0,17.28,17.0,17.06,536427
2015-03-20,17.13,17.24,16.88,17.21,1320237
2015-03-23,17.21,17.23,17.01,17.11,509798
2015-03-24,17.02,17.18,16.82,17.0,962149
2015-03-25,16.92,16.99,16.82,16.97,565673
2015-03-26,16.83,17.56,16.83,17.54,884523
2015-03-27,17.58,18.3,17.11,18.3,705626
2015-03-30,18.5,19.4,18.4,19.05,1151620
2015-03-31,19.08,20.58,18.4,19.75,2020679
2015-04-01,19.69,19.69,18.55,18.65,961078
2015-04-02,18.56,18.66,17.85,17.9,884233
2015-04-06,17.78,17.94,17.51,17.66,605252
2015-04-07,17.62,17.9,17.53,17.61,591988
2015-04-08,17.64,17.85,17.32,17.36,618855
2015-04-09,17.33,17.54,17.1,17.1,761855
2015-04-10,17.08,17.36,17.0,17.05,568373
2015-04-13,17.24,17.26,16.81,17.1,667142
2015-04-14,17.1,17.89,17.02,17.52,870138
2015-04-15,17.6,17.99,17.5,17.69,530456
2015-04-16,17.95,18.0,17.6,17.82,548730
2015-04-17,17.75,17.79,17.5,17.79,446373
2015-04-20,17.63,17.98,17.52,17.93,487017
2015-04-21,17.96,17.98,17.71,17.92,320302
2015-04-22,17.88,18.33,17.57,18.29,644812
2015-04-23,18.29,18.61,18.18,18.28,563879
2015-04-24,18.5,18.5,17.61,17.75,650762
2015-04-27,17.97,18.05,17.45,17.57,437294
2015-04-28,17.65,17.79,17.39,17.5,224519
2015-04-29,17.68,17.68,17.1,17.21,495706
2015-04-30,17.22,17.3,17.0,17.11,391040
2015-05-01,17.11,17.55,16.85,17.5,563075
2015-05-04,17.56,17.85,17.3,17.4,253138
2015-05-05,17.68,17.68,17.09,17.43,290935
2015-05-06,17.48,17.48,17.0,17.04,313662
2015-05-07,17.05,17.19,16.92,17.04,360284
2015-05-08,17.13,17.21,16.91,17.1,297653
2015-05-11,17.16,17.44,17.13,17.31,268504
2015-05-12,17.28,17.44,16.99,17.24,376961
2015-05-13,17.24,17.3,17.06,17.2,244617
2015-05-14,17.24,17.25,17.02,17.08,252526
2015-05-15,17.06,17.16,16.95,16.95,274783
2015-05-18,16.95,17.01,16.76,16.87,418513
2015-05-19,16.93,16.94,16.6,16.83,367660
2015-05-20,16.8,16.9,16.65,16.86,297914
2015-05-21,16.9,17.08,16.79,16.88,229346
2015-05-22,16.9,17.05,16.85,17.0,253279
2015-05-26,17.03,17.08,16.86,17.01,212640
2015-05-27,17.01,17.99,16.87,17.75,857109
2015-05-28,17.77,17.77,17.44,17.62,338482
2015-05-29,17.52,17.88,17.16,17.64,465776
2015-06-01,17.74,17.74,17.25,17.5,224684
2015-06-02,17.5,17.65,17.35,17.37,241942
2015-06-03,17.43,17.48,17.25,17.34,254315
2015-06-04,17.29,17.45,17.2,17.33,321624
2015-06-05,17.31,17.59,17.13,17.53,233516
2015-06-08,17.48,17.83,17.37,17.62,334447
2015-06-09,17.63,17.67,16.76,16.92,779192
2015-06-10,16.96,18.0,16.9,17.79,1887971
2015-06-11,19.64,20.6,18.06,18.29,7131876
2015-06-12,18.1,18.14,17.25,17.25,1661397
2015-06-15,17.09,17.47,16.83,17.12,851944
2015-06-16,17.07,18.07,16.97,17.9,1194679
2015-06-17,18.0,18.42,17.34,17.37,936238
2015-06-18,17.62,17.9,17.5,17.52,402166
2015-06-19,17.58,17.77,17.3,17.42,651786
2015-06-22,17.48,17.57,17.08,17.55,566092
2015-06-23,17.6,17.85,17.33,17.55,325068
2015-06-24,19.0,19.35,18.29,18.53,2438483
2015-06-25,18.83,19.5,18.54,19.35,1443268
2015-06-26,19.39,19.93,18.76,19.1,1090077
2015-06-29,18.7,19.33,18.07,18.1,762590
2015-06-30,18.93,19.15,18.46,18.64,648568
2015-07-01,18.96,19.14,18.6,18.76,520521
2015-07-02,18.83,18.99,18.22,18.56,488965
2015-07-06,18.36,18.5,17.85,17.99,640723
2015-07-07,17.67,17.83,17.01,17.57,804483
2015-07-08,17.36,17.36,16.63,16.74,1032266
2015-07-09,17.13,17.3,16.63,16.81,794962
2015-07-10,17.0,17.15,16.55,16.71,813146
2015-07-13,16.79,17.2,16.4,16.95,1265041
2015-07-14,17.34,18.3,17.25,18.05,2201277
2015-07-15,18.45,18.45,17.75,17.83,993909
2015-07-16,17.99,18.67,17.98,18.39,895457
2015-07-17,18.6,19.09,18.42,18.74,1739763
2015-07-20,18.49,18.62,17.5,17.55,1297370
2015-07-21,17.64,17.95,17.0,17.06,1050214
2015-07-22,16.85,17.01,16.55,16.63,2930231
2015-07-23,16.69,16.8,16.15,16.38,1568755
2015-07-24,16.41,16.79,16.15,16.29,775801
2015-07-27,16.93,16.93,16.4,16.64,1072264
2015-07-28,16.8,16.89,16.38,16.41,977559
2015-07-29,16.39,16.67,16.2,16.47,442103
2015-07-30,16.33,16.78,16.2,16.69,912867
2015-07-31,16.56,16.6,16.2,16.33,950779
2015-08-03,16.21,16.35,15.02,15.42,1448703
2015-08-04,15.35,15.35,14.17,14.45,1882326
2015-08-05,14.55,14.89,14.05,14.06,1324508
2015-08-06,14.15,14.35,13.8,14.01,901232
2015-08-07,14.57,15.59,14.34,15.53,1198286
2015-08-10,15.6,15.6,14.92,15.27,864970
2015-08-11,15.12,15.12,14.52,14.75,539947
2015-08-12,14.57,14.81,13.94,14.37,925001
2015-08-13,14.51,14.83,14.19,14.56,516997
2015-08-14,14.61,14.88,14.37,14.55,465622
2015-08-17,14.55,14.82,14.36,14.57,432938
