Date,Open,High,Low,Close,Volume
2015-06-11,400.0,405.0,399.84,399.84,8220
2015-06-12,395.0,395.0,376.91,376.91,500
2015-06-15,,,,376.91,0
2015-06-17,393.2,396.71,393.2,395.0,31381
2015-06-18,395.0,396.0,395.0,396.0,900
2015-06-19,396.0,397.2,395.0,397.2,1953
2015-06-22,397.0,420.0,397.0,420.0,9759
2015-06-23,420.0,430.0,420.0,430.0,3573
2015-06-24,435.0,435.0,429.5,430.0,16470
2015-06-25,,,,430.0,0
2015-06-26,,,,430.0,0
2015-06-29,,,,430.0,0
2015-06-30,430.0,430.05,425.5,425.5,41159
2015-07-01,450.48,450.48,380.0,399.0,142441
2015-07-02,401.51,409.5,395.39,399.71,205104
2015-07-06,395.0,404.92,392.37,395.75,142779
2015-07-07,395.87,400.0,393.81,393.81,80937
2015-07-08,390.01,400.0,365.0,380.5,116956
2015-07-09,384.0,393.38,382.02,382.73,86907
2015-07-10,387.0,392.04,382.59,383.8,168693
2015-07-13,386.03,391.0,382.05,387.9,69619
2015-07-14,390.01,394.43,384.42,390.36,87622
2015-07-15,391.0,396.74,388.21,394.68,86766
2015-07-16,392.2,397.72,390.91,396.5,121224
2015-07-17,397.0,401.8,392.48,399.84,226061
2015-07-20,400.33,405.0,393.01,393.56,45253
2015-07-21,393.01,400.57,388.46,399.99,36437
2015-07-22,399.0,402.49,391.4,397.16,307065
2015-07-23,398.03,401.89,398.0,400.49,73057
2015-07-24,408.14,424.6,402.5,422.72,159973
2015-07-27,418.97,420.9,408.42,412.65,30656
2015-07-28,407.61,412.81,405.97,409.61,38716
2015-07-29,404.0,416.38,404.0,416.04,25288
2015-07-30,415.0,416.0,410.0,412.73,20005
2015-07-31,415.9,416.0,410.0,415.22,27675
2015-08-03,414.86,419.18,412.7,416.6,41640
2015-08-04,415.6,417.0,407.49,414.62,44091
2015-08-05,434.82,440.18,411.52,417.0,38542
2015-08-06,414.93,420.63,409.95,415.53,51527
2015-08-07,412.6,418.77,412.6,415.42,70833
2015-08-10,417.04,436.05,415.48,430.3,31293
2015-08-11,427.21,430.0,427.21,427.54,10525
2015-08-12,424.82,430.0,417.51,425.61,15638
2015-08-13,426.46,430.97,420.65,424.95,31488
2015-08-14,425.0,437.97,420.25,424.25,14563
2015-08-17,425.25,444.51,425.08,440.0,37796
2015-08-18,427.41,439.46,427.41,439.03,6837
2015-08-19,436.55,439.96,430.01,432.88,15017
2015-08-20,430.29,442.91,423.5,424.9,29818
2015-08-21,422.01,430.0,405.0,419.75,72964
2015-08-24,401.3,418.12,396.98,409.99,74265
2015-08-25,411.1,422.1,411.1,413.23,35839
2015-08-26,421.0,428.36,411.0,413.92,22552
2015-08-27,419.05,431.54,413.37,416.01,20903
2015-08-28,415.86,422.99,410.0,418.18,12299
2015-08-31,413.0,427.7,411.02,415.34,23574
2015-09-01,416.85,420.19,406.15,410.73,62468
2015-09-02,414.39,419.15,386.4,405.93,61762
2015-09-03,405.4,416.2,405.0,408.91,22807
2015-09-04,406.57,416.23,400.43,415.63,34889
2015-09-08,419.64,427.89,419.64,425.0,21430
2015-09-09,433.78,434.81,424.21,427.43,10444
2015-09-10,427.87,432.47,411.02,412.86,14708
2015-09-11,409.62,419.0,401.01,417.57,38082
2015-09-14,417.0,421.22,411.11,420.08,11419
2015-09-15,418.9,430.19,415.13,420.08,19008
2015-09-16,419.08,424.71,414.1,422.01,57340
2015-09-17,421.87,441.62,421.87,424.36,77387
2015-09-18,420.0,428.94,420.0,423.92,102924
2015-09-21,424.0,428.08,418.0,426.86,33139
2015-09-22,421.23,437.98,419.64,433.51,22050
2015-09-23,434.49,442.0,430.52,434.7,15420
2015-09-24,431.96,436.59,423.26,424.51,31724
2015-09-25,427.76,438.29,423.99,426.85,52877
2015-09-28,427.1,441.5,425.95,427.98,56696
2015-09-29,428.98,436.0,427.0,427.71,30379
2015-09-30,430.45,435.0,418.0,419.42,48641
2015-10-01,420.49,435.98,420.0,428.36,40735
2015-10-02,426.99,436.44,426.29,431.0,48625
2015-10-05,432.85,433.0,420.0,429.0,111422
2015-10-06,426.99,427.47,414.64,416.59,26237
2015-10-07,418.05,433.0,413.64,427.86,35335
2015-10-08,430.5,430.5,420.01,421.96,24329
2015-10-09,422.33,429.78,422.33,429.16,11432
2015-10-12,429.84,438.45,426.9,438.28,12131
2015-10-13,439.25,440.3,432.23,433.26,13210
2015-10-14,435.72,439.96,430.26,435.01,12087
2015-10-15,434.92,441.81,433.35,440.0,21248
2015-10-16,440.04,448.69,440.04,443.48,19612
2015-10-19,440.0,446.76,440.0,442.4,9447
2015-10-20,444.5,444.5,432.39,434.97,17821
2015-10-21,430.42,430.42,422.6,425.09,19218
2015-10-22,441.5,441.5,413.77,421.42,38120
2015-10-23,420.81,425.76,417.29,424.28,22586
2015-10-26,425.26,440.31,423.61,432.43,18018
2015-10-27,434.11,436.59,422.4,427.76,36524
2015-10-28,428.0,436.48,427.12,436.33,18397
2015-10-29,434.1,436.0,429.0,434.1,21026
2015-10-30,435.42,442.49,430.28,433.44,17672
2015-11-02,435.0,448.0,430.06,444.61,39256
2015-11-03,444.6,444.6,437.32,439.56,14286
2015-11-04,442.09,442.49,438.06,439.35,37355
2015-11-05,439.35,441.2,430.01,437.01,25993
2015-11-06,436.0,458.0,436.0,457.95,16883
2015-11-09,456.54,474.99,455.6,474.5,21852
2015-11-10,472.27,492.81,456.45,490.48,26843
2015-11-11,490.0,492.05,474.97,478.57,20962
