Date,Open,High,Low,Close,Volume
2000-06-30,13.19,13.75,13.19,13.25,200600
2000-07-03,13.12,13.44,13.06,13.38,80000
2000-07-05,13.62,13.62,13.12,13.38,316800
2000-07-06,13.44,13.5,12.88,13.0,191400
2000-07-07,12.94,12.94,12.0,12.12,500600
2000-07-10,11.38,12.31,11.38,11.75,519200
2000-07-11,11.75,11.81,10.88,11.19,1033900
2000-07-12,11.44,11.69,11.06,11.19,226100
2000-07-13,11.06,11.25,10.88,11.06,472500
2000-07-14,11.06,11.06,10.75,11.0,225100
2000-07-17,11.0,11.44,11.0,11.38,242600
2000-07-18,11.38,11.94,11.25,11.62,326000
2000-07-19,11.62,11.75,10.75,10.75,216400
2000-07-20,11.0,11.25,10.81,10.88,157400
2000-07-21,11.0,11.0,10.5,10.5,208100
2000-07-24,10.75,11.75,10.5,11.62,343800
2000-07-25,11.62,11.88,10.81,10.94,363200
2000-07-26,11.19,11.69,10.81,11.44,306000
2000-07-27,11.81,11.88,11.06,11.12,173500
2000-07-28,11.06,11.12,10.69,10.88,302300
2000-07-31,11.25,11.69,11.06,11.69,309400
2000-08-01,11.38,11.69,11.25,11.31,225500
2000-08-02,11.31,11.44,11.12,11.38,182100
2000-08-03,11.25,11.25,10.88,11.19,148100
2000-08-04,11.44,11.62,11.31,11.44,185400
2000-08-07,11.69,11.88,11.38,11.88,161300
2000-08-08,11.81,11.88,11.12,11.19,153900
2000-08-09,11.31,11.69,10.88,11.0,169100
2000-08-10,11.0,11.12,10.75,10.75,126000
2000-08-11,10.81,11.0,10.5,10.62,173300
2000-08-14,10.38,10.38,9.94,10.0,438600
2000-08-15,10.0,10.62,9.94,10.25,198100
2000-08-16,10.38,10.62,10.0,10.19,156700
2000-08-17,10.19,10.44,10.0,10.31,142000
2000-08-18,10.44,10.44,10.06,10.06,162400
2000-08-21,10.19,10.25,9.94,10.12,169500
2000-08-22,10.06,10.38,9.75,10.12,187800
2000-08-23,10.0,10.06,9.75,9.88,189800
