Date,Open,High,Low,Close,Volume
2010-08-26,9.92,10.6,9.92,10.04,21005
2010-08-27,10.0,10.04,9.84,9.9,108148
2010-08-30,9.24,10.26,9.24,10.12,174362
2010-08-31,10.2,10.24,9.98,10.12,46252
2010-09-01,10.2,10.2,10.0,10.18,96380
2010-09-02,10.22,10.32,10.14,10.26,134626
2010-09-03,,,,10.34,0
2010-09-07,10.4,10.4,9.84,9.96,178222
2010-09-08,10.0,10.14,9.86,10.0,95258
2010-09-09,10.2,10.2,9.84,9.94,61308
2010-09-10,9.98,10.12,9.88,9.96,56875
2010-09-13,10.02,10.04,9.88,9.94,80338
2010-09-14,9.88,10.0,9.82,10.0,61435
2010-09-15,10.0,10.12,9.96,10.06,71035
2010-09-16,10.0,10.14,9.8,10.08,92504
2010-09-17,10.08,10.08,9.88,9.94,68306
2010-09-20,9.9,9.98,9.8,9.8,125568
2010-09-21,9.76,9.96,9.6,9.66,132922
2010-09-22,9.84,9.84,9.08,9.24,165826
2010-09-23,9.2,9.26,8.92,9.22,113614
2010-09-24,9.3,9.46,9.02,9.04,94678
2010-09-27,9.22,9.74,9.0,9.4,195857
2010-09-28,9.58,9.68,9.2,9.44,95990
2010-09-29,9.56,9.9,9.56,9.7,107730
2010-09-30,9.72,9.9,9.6,9.74,59026
2010-10-01,9.78,9.88,9.68,9.78,61938
2010-10-04,9.74,9.78,9.62,9.7,60742
2010-10-05,9.78,10.1,9.74,10.06,101466
2010-10-06,10.1,10.28,10.08,10.24,62262
2010-10-07,10.28,10.4,10.2,10.28,43064
2010-10-08,10.24,10.48,10.24,10.48,38414
2010-10-11,10.54,11.1,10.54,10.94,127974
2010-10-12,11.0,11.7,10.88,11.7,163488
2010-10-13,11.68,12.34,11.68,12.34,263774
2010-10-14,12.4,13.42,12.36,13.31,738486
2010-10-15,13.26,13.56,12.92,13.5,535204
2010-10-18,13.48,13.48,12.8,12.92,321078
2010-10-19,12.78,12.92,12.2,12.3,344064
2010-10-20,12.38,12.62,11.9,12.62,141902
2010-10-21,12.8,12.8,12.32,12.38,96326
2010-10-22,12.32,12.4,12.1,12.2,75587
2010-10-25,12.5,12.56,12.22,12.44,95912
2010-10-26,12.34,12.54,12.3,12.38,73162
2010-10-27,12.3,12.46,12.16,12.4,48322
2010-10-28,12.5,12.96,12.5,12.68,131568
2010-10-29,12.82,12.82,12.62,12.74,71682
2010-11-01,13.0,13.14,12.54,12.58,114974
2010-11-02,13.0,13.0,12.58,12.8,70360
2010-11-03,12.8,12.8,12.54,12.62,80604
2010-11-04,12.8,12.88,12.58,12.62,118262
2010-11-05,12.68,12.68,12.6,12.62,99442
2010-11-08,12.66,13.1,12.6,12.94,257472
2010-11-09,12.9,12.9,12.08,12.36,215705
2010-11-10,12.2,12.38,11.62,12.24,200717
2010-11-11,11.84,11.9,11.54,11.56,195334
2010-11-12,11.4,11.86,11.4,11.8,138722
2010-11-15,11.82,11.94,11.5,11.52,63876
2010-11-16,11.48,11.56,11.04,11.36,110836
2010-11-17,11.32,11.48,11.18,11.2,52800
2010-11-18,11.24,11.96,11.24,11.82,146838
2010-11-19,11.78,11.78,11.24,11.42,51112
2010-11-22,11.32,11.44,11.04,11.06,59170
2010-11-23,11.0,11.02,10.4,10.58,100996
2010-11-24,,,,10.58,0
2010-11-26,10.54,10.64,10.44,10.44,33764
2010-11-29,10.42,10.64,10.3,10.34,53921
2010-11-30,10.3,10.56,10.22,10.56,84545
2010-12-01,10.68,10.8,10.48,10.58,108646
2010-12-02,10.7,10.96,10.7,10.94,117949
2010-12-03,10.96,11.0,10.84,11.0,52550
2010-12-06,11.14,11.16,10.92,10.96,87285
2010-12-07,11.04,11.24,10.36,10.46,142886
2010-12-08,10.48,10.5,10.24,10.5,82161
2010-12-09,10.6,10.66,10.5,10.58,57315
2010-12-10,10.64,10.86,10.5,10.86,69094
2010-12-13,10.98,11.0,10.74,10.8,81648
2010-12-14,10.8,10.8,10.44,10.48,116732
2010-12-15,10.44,10.6,10.0,10.0,173474
2010-12-16,10.0,10.5,10.0,10.2,148913
2010-12-17,10.2,10.28,10.12,10.2,88688
2010-12-20,10.14,10.58,10.14,10.3,99256
2010-12-21,10.36,10.66,10.36,10.64,82636
2010-12-22,10.7,10.7,10.28,10.48,89534
2010-12-23,,,,10.4,0
2010-12-27,10.34,10.52,10.32,10.42,33978
2010-12-28,10.48,10.58,10.24,10.44,137470
2010-12-29,10.42,10.47,10.22,10.36,76878
2010-12-30,10.28,10.7,10.26,10.64,107260
2010-12-31,10.64,10.68,10.34,10.42,95378
2011-01-03,10.56,10.58,10.32,10.32,104521
2011-01-04,10.42,10.62,10.26,10.26,137798
2011-01-05,10.22,10.5,10.22,10.44,109911
2011-01-06,10.44,10.5,10.24,10.34,53108
2011-01-07,10.32,10.34,10.0,10.02,116502
2011-01-10,10.02,10.04,9.78,9.88,106564
2011-01-11,9.96,10.06,9.64,9.78,203746
2011-01-12,,,,9.92,0
2011-01-13,9.92,9.96,9.8,9.84,58888
2011-01-14,,,,10.16,0
2011-01-18,10.18,10.26,9.96,10.06,142648
2011-01-19,10.06,10.12,9.92,10.04,137678
2011-01-20,9.96,10.0,9.74,9.8,79164
2011-01-21,9.84,9.84,9.58,9.58,96839
2011-01-24,,,,9.48,0
2011-01-25,9.54,9.6,9.36,9.56,67600
2011-01-26,9.56,9.78,9.4,9.42,73678
2011-01-27,,,,9.34,0
2011-01-28,9.22,9.28,9.02,9.1,120416
2011-01-31,9.1,9.1,9.0,9.0,119736
2011-02-01,9.0,9.32,8.98,9.06,242168
2011-02-02,9.06,9.24,9.04,9.04,138638
2011-02-03,9.06,9.18,8.96,9.16,110524
2011-02-04,9.2,9.2,8.92,9.06,82434
2011-02-07,9.1,9.2,9.0,9.16,79431
2011-02-08,9.18,9.2,9.1,9.16,62556
2011-02-09,9.04,9.24,9.0,9.14,215445
