Date,Open,High,Low,Close,Volume
2013-10-25,15.0,15.42,14.72,14.99,21874424
2013-10-28,14.82,15.02,14.77,14.88,1480130
2013-10-29,14.84,15.25,14.81,15.25,1190891
2013-10-30,15.23,15.6,15.0,15.43,1549084
2013-10-31,15.54,15.54,14.85,15.28,506715
2013-11-01,15.44,15.83,15.2,15.58,2311725
2013-11-04,15.83,15.85,15.13,15.29,530006
2013-11-05,15.03,15.4,14.85,15.01,721704
2013-11-06,15.0,15.09,14.78,15.0,1002264
2013-11-07,14.9,15.14,14.78,14.97,589064
2013-11-08,14.95,15.3,14.86,15.27,248950
2013-11-11,15.1,16.22,15.09,16.14,433877
2013-11-12,16.04,16.17,15.59,15.75,241587
2013-11-13,15.59,15.9,15.35,15.82,306429
2013-11-14,15.89,15.98,15.41,15.8,513283
2013-11-15,15.86,15.87,15.56,15.79,218069
2013-11-18,15.72,15.75,15.57,15.67,116682
2013-11-19,15.26,15.4,15.0,15.34,140304
2013-11-20,15.21,15.31,15.09,15.13,523422
2013-11-21,15.2,15.48,15.04,15.18,71750
2013-11-22,15.17,15.56,15.1,15.5,240831
2013-11-25,15.5,15.5,15.33,15.44,133899
2013-11-26,15.4,15.67,15.16,15.46,147701
2013-11-27,15.47,16.19,15.47,16.19,409230
2013-11-29,16.2,16.21,15.85,16.09,159942
2013-12-02,15.71,16.8,15.71,16.74,604339
2013-12-03,16.56,17.12,16.33,16.96,612473
2013-12-04,17.35,17.4,16.72,17.02,1192317
2013-12-05,16.74,17.25,16.73,16.81,438147
2013-12-06,16.8,17.2,16.78,17.05,872271
2013-12-09,17.05,17.46,17.05,17.35,484498
2013-12-10,17.34,17.45,17.07,17.37,532795
2013-12-11,17.35,17.55,17.3,17.36,814953
2013-12-12,17.46,17.46,17.28,17.33,332635
2013-12-13,17.36,17.58,17.12,17.4,413473
2013-12-16,17.48,17.91,17.4,17.59,796321
2013-12-17,17.72,17.86,17.43,17.68,595748
2013-12-18,17.53,17.84,17.15,17.8,560590
2013-12-19,17.65,17.8,17.22,17.49,430351
2013-12-20,17.45,18.05,17.15,17.84,4762215
2013-12-23,17.84,18.15,17.47,18.05,352450
2013-12-24,17.93,18.13,17.69,18.03,171758
