Date,Open,High,Low,Close,Volume
2000-06-29,0.0,14.38,12.88,14.13,297600
2000-06-30,0.0,14.13,13.5,13.75,30400
2000-07-03,0.0,13.88,13.25,13.5,18200
2000-07-05,0.0,14.0,13.38,13.5,24200
2000-07-06,0.0,15.5,13.13,15.5,164600
2000-07-07,0.0,16.0,14.63,15.5,40100
2000-07-10,0.0,16.75,15.38,16.13,53400
2000-07-11,0.0,16.25,15.75,15.88,44200
2000-07-12,0.0,16.38,15.5,16.0,25900
2000-07-13,0.0,16.13,15.5,15.75,22200
2000-07-14,0.0,16.0,15.25,15.5,43400
2000-07-17,0.0,16.38,15.5,15.5,36800
2000-07-18,0.0,16.0,15.38,15.63,25200
2000-07-19,0.0,15.75,15.25,15.5,26700
2000-07-20,0.0,15.75,15.25,15.38,21500
2000-07-21,0.0,15.5,15.25,15.38,31600
2000-07-24,0.0,15.75,15.0,15.5,28700
2000-07-25,0.0,15.75,14.25,14.75,52400
2000-07-26,0.0,15.0,14.0,14.75,63500
2000-07-27,0.0,15.38,14.75,15.38,59900
2000-07-28,0.0,15.75,14.25,15.13,70600
2000-07-31,0.0,15.5,14.0,15.38,46300
2000-08-01,0.0,15.5,14.0,15.0,23500
2000-08-02,0.0,15.38,14.0,14.63,33200
2000-08-03,0.0,16.5,14.75,16.13,81500
2000-08-04,0.0,16.25,15.75,16.0,41200
2000-08-07,0.0,17.38,16.25,16.88,102600
2000-08-08,0.0,19.0,17.13,18.75,143000
2000-08-09,0.0,21.5,19.5,19.88,448800
2000-08-10,0.0,20.5,19.0,20.0,143400
2000-08-11,0.0,20.5,19.75,20.38,69800
2000-08-14,0.0,20.75,20.0,20.69,134000
2000-08-15,0.0,21.38,20.25,20.38,70800
2000-08-16,0.0,20.5,20.0,20.25,77100
2000-08-17,0.0,21.0,20.0,20.5,50000
2000-08-18,0.0,20.63,19.25,19.75,141500
2000-08-21,0.0,20.0,19.75,19.75,50700
2000-08-22,0.0,20.63,19.75,20.0,221300
2000-08-23,0.0,20.13,19.38,19.63,92800
2000-08-24,0.0,19.5,17.75,18.38,83300
2000-08-25,0.0,19.25,18.0,18.5,23800
2000-08-28,0.0,20.75,18.25,20.0,90500
2000-08-29,0.0,21.0,19.62,20.0,89400
2000-08-30,0.0,21.0,19.88,21.0,104900
2000-08-31,0.0,24.0,20.5,23.62,314600
2000-09-01,0.0,26.0,23.5,25.5,386100
2000-09-05,0.0,27.5,25.0,27.31,494000
2000-09-06,0.0,30.25,27.25,29.81,646600
2000-09-07,0.0,30.5,25.25,28.75,482800
2000-09-08,0.0,27.75,26.5,27.0,78000
