Date,Open,High,Low,Close,Volume
2000-06-30,71.94,75.31,71.88,74.69,820500
2000-07-03,74.62,74.88,73.38,73.5,230700
2000-07-05,72.0,72.5,68.0,69.25,1883900
2000-07-06,69.44,71.12,68.88,70.38,1079100
2000-07-07,71.0,71.44,68.25,69.5,1385600
2000-07-10,69.5,69.5,67.88,68.56,628500
2000-07-11,68.19,70.75,68.0,70.5,659600
2000-07-12,70.31,73.81,70.31,72.69,921200
2000-07-13,72.69,73.38,71.25,72.94,701000
2000-07-14,72.31,73.5,71.12,73.5,469600
2000-07-17,72.12,72.19,68.94,69.25,1125000
2000-07-18,69.19,69.19,65.75,67.94,1741900
2000-07-19,68.0,68.19,66.06,67.5,704000
2000-07-20,67.56,69.56,67.31,67.38,810900
2000-07-21,67.38,67.62,64.62,64.94,790000
2000-07-24,64.81,65.06,63.44,64.5,1098800
2000-07-25,64.69,67.31,64.69,66.75,611900
2000-07-26,66.94,66.94,63.94,64.31,1313200
2000-07-27,64.81,64.81,61.56,62.88,1007500
2000-07-28,63.56,63.56,61.25,62.38,1012100
2000-07-31,62.62,62.88,61.69,62.31,1086700
2000-08-01,61.62,68.12,60.38,67.81,2719200
2000-08-02,67.81,71.56,67.12,70.69,1606400
2000-08-03,70.94,72.0,69.25,71.56,823300
2000-08-04,74.0,74.0,71.62,72.62,877000
2000-08-07,72.69,73.5,71.94,72.88,528200
2000-08-08,72.69,72.69,71.0,72.31,750400
2000-08-09,72.38,73.44,72.06,73.38,741800
2000-08-10,73.31,74.94,72.94,74.12,1176200
2000-08-11,74.19,75.88,73.62,75.56,601100
2000-08-14,75.56,77.25,74.81,76.88,528100
2000-08-15,76.62,78.25,76.19,77.38,557800
2000-08-16,77.5,79.5,76.25,76.75,800200
2000-08-17,77.19,77.81,76.38,76.62,633600
2000-08-18,76.38,77.12,75.5,76.0,559700
2000-08-21,76.06,76.19,72.81,74.06,482400
2000-08-22,74.06,74.81,73.0,73.0,893100
2000-08-23,73.25,75.0,72.94,74.19,600700
2000-08-24,76.19,79.75,76.12,77.94,822700
2000-08-25,77.19,77.31,75.19,75.56,594200
2000-08-28,0.0,76.0,75.06,75.06,488300
2000-08-29,75.25,75.69,74.12,75.0,556300
2000-08-30,75.0,76.62,74.38,76.19,388000
2000-08-31,77.19,79.31,77.19,79.06,1032000
2000-09-01,79.12,79.44,75.25,75.88,631400
2000-09-05,75.94,75.94,74.5,75.38,287500
2000-09-06,75.38,78.25,74.75,77.94,547000
2000-09-07,77.88,78.75,75.81,78.5,461300
2000-09-08,78.25,78.75,77.62,77.88,493200
2000-09-11,78.12,78.12,74.31,74.88,1083800
2000-09-12,76.12,78.0,74.81,77.94,1057100
2000-09-13,77.69,78.25,76.69,77.62,658800
2000-09-14,77.38,78.75,77.31,77.94,717300
2000-09-15,78.0,81.44,76.88,79.88,1053300
2000-09-18,79.88,79.94,76.56,77.5,520800
2000-09-19,77.56,77.88,76.69,77.5,582400
2000-09-20,77.56,78.62,76.5,78.0,559400
2000-09-21,77.88,77.88,74.5,75.0,702100
2000-09-22,72.5,74.94,72.0,74.69,962400
2000-09-25,74.69,78.88,74.5,77.44,924400
2000-09-26,77.5,77.5,75.12,75.88,511600
2000-09-27,75.69,76.19,74.25,76.19,440200
2000-09-28,76.44,76.75,75.44,76.69,517000
2000-09-29,75.0,76.0,73.81,74.25,1111000
2000-10-02,74.5,75.12,72.75,73.88,522600
2000-10-03,73.88,73.88,70.94,71.0,767800
2000-10-04,69.75,71.25,69.12,70.5,1035800
2000-10-05,70.25,74.25,70.19,71.75,604300
2000-10-06,71.56,77.38,71.5,77.06,1227800
2000-10-09,70.88,70.88,67.81,70.25,1790000
2000-10-10,70.25,70.88,67.69,70.0,643800
2000-10-11,69.12,70.56,66.69,68.12,1111400
2000-10-12,68.19,69.19,64.31,65.44,772200
2000-10-13,66.0,68.56,65.5,68.0,1005100
2000-10-16,68.0,68.0,66.38,67.81,420000
2000-10-17,67.56,68.19,65.38,66.62,510200
2000-10-18,66.19,66.19,61.19,62.0,1477200
2000-10-19,62.5,64.31,62.38,64.12,1011600
2000-10-20,64.0,66.0,63.25,66.0,826100
2000-10-23,66.44,67.5,65.72,66.12,540500
2000-10-24,67.44,68.44,66.56,66.81,653000
2000-10-25,66.0,69.56,64.88,68.62,722400
2000-10-26,68.62,69.38,66.62,67.62,584500
2000-10-27,66.38,66.38,63.25,64.88,988900
2000-10-30,64.62,64.62,62.69,63.94,1053300
2000-10-31,63.94,63.94,62.0,63.0,1318700
2000-11-01,62.94,63.38,61.19,62.81,1344400
2000-11-02,62.62,66.75,61.44,65.75,1477100
2000-11-03,65.5,73.94,64.06,71.0,3095100
2000-11-06,71.12,71.81,68.69,70.19,1146500
