Date,Open,High,Low,Close,Volume
2013-08-02,18.7,20.7,18.14,20.05,3803535
2013-08-05,19.81,20.2,19.81,19.96,199393
2013-08-06,20.15,21.67,20.04,21.06,276834
2013-08-07,20.9,21.3,20.55,21.14,109849
2013-08-08,21.67,23.4,21.2,22.76,188021
2013-08-09,22.76,23.25,21.73,22.0,145794
2013-08-12,22.3,22.74,21.56,22.06,38215
2013-08-13,21.77,22.03,20.21,20.64,152238
2013-08-14,21.57,21.57,19.92,20.52,79798
2013-08-15,20.45,20.83,20.0,20.1,124972
2013-08-16,20.2,21.12,20.16,20.42,105602
2013-08-19,20.45,21.19,19.5,19.56,67426
2013-08-20,19.5,19.93,19.25,19.59,140359
2013-08-21,19.05,19.49,19.0,19.46,86586
2013-08-22,19.35,20.85,19.35,20.7,36801
2013-08-23,20.82,21.9,20.69,21.78,46540
2013-08-26,22.11,22.29,21.51,21.96,73961
2013-08-27,22.1,22.73,21.51,22.53,122755
2013-08-28,22.2,22.87,21.88,22.44,104342
2013-08-29,22.5,24.0,22.5,23.8,75323
2013-08-30,21.5,22.0,20.18,20.28,519686
2013-09-03,20.75,20.75,20.05,20.61,144084
2013-09-04,20.72,20.97,20.16,20.36,135000
2013-09-05,20.3,20.7,20.11,20.19,35181
2013-09-06,20.3,20.62,19.96,20.08,46162
2013-09-09,20.25,20.49,19.62,19.82,63796
2013-09-10,20.0,20.0,18.75,18.75,80353
2013-09-11,18.84,18.88,18.57,18.77,86214
2013-09-12,18.77,18.77,17.82,17.89,138986
2013-09-13,18.05,18.18,17.34,17.99,167090
2013-09-16,18.31,19.19,18.21,18.87,96581
2013-09-17,18.9,20.11,18.9,19.98,121661
2013-09-18,19.94,20.72,19.6,20.59,92869
2013-09-19,20.5,20.8,19.83,20.03,58331
2013-09-20,20.0,20.0,18.64,18.64,97549
2013-09-23,18.81,19.78,18.75,19.2,97280
2013-09-24,19.3,19.53,19.0,19.14,160495
2013-09-25,19.3,19.32,18.01,18.49,192357
2013-09-26,18.28,18.76,18.21,18.41,94347
2013-09-27,18.25,18.45,17.54,17.65,119048
2013-09-30,17.48,17.5,17.01,17.32,594699
2013-10-01,17.25,17.48,16.81,17.37,95075
2013-10-02,17.11,17.3,16.75,16.86,75458
2013-10-03,16.86,16.86,16.16,16.66,125730
2013-10-04,16.71,16.75,16.22,16.3,65747
2013-10-07,16.22,16.6,16.22,16.59,29421
2013-10-08,16.6,17.12,16.46,16.61,123889
2013-10-09,16.67,16.84,16.41,16.44,42194
2013-10-10,16.69,16.7,15.25,16.59,166086
2013-10-11,16.64,16.84,16.39,16.66,68172
2013-10-14,16.35,16.9,16.19,16.9,16424
2013-10-15,16.89,17.21,16.34,16.43,27829
2013-10-16,16.48,16.89,16.48,16.7,33227
2013-10-17,16.61,16.91,16.37,16.41,20002
2013-10-18,16.5,16.5,16.11,16.28,75395
2013-10-21,16.37,16.55,15.69,16.17,102692
2013-10-22,16.19,16.4,16.15,16.3,41220
2013-10-23,16.14,16.62,16.01,16.31,39625
2013-10-24,16.38,16.9,16.0,16.24,57992
2013-10-25,16.31,16.58,16.2,16.32,30879
2013-10-28,16.21,16.36,16.2,16.26,44134
2013-10-29,16.24,16.63,16.24,16.38,45914
2013-10-30,16.32,16.35,16.05,16.25,84708
2013-10-31,16.21,16.56,16.09,16.45,124226
2013-11-01,18.45,18.45,16.74,17.6,217642
2013-11-04,17.77,17.87,17.19,17.21,62743
2013-11-05,17.2,17.84,17.2,17.7,43997
2013-11-06,17.78,18.0,17.55,17.86,37840
2013-11-07,17.91,17.95,17.12,17.14,94722
2013-11-08,17.15,17.3,16.91,17.27,76510
2013-11-11,17.32,17.82,17.14,17.32,58010
2013-11-12,17.35,17.41,16.92,17.36,14115
2013-11-13,17.33,17.33,16.9,17.09,41181
2013-11-14,17.15,17.37,17.02,17.05,30366
2013-11-15,17.2,17.33,17.0,17.21,29892
2013-11-18,17.3,17.42,17.06,17.12,17350
2013-11-19,17.18,17.18,16.81,17.0,63405
2013-11-20,17.02,17.15,16.5,16.83,70031
2013-11-21,16.85,17.11,16.5,16.75,81071
2013-11-22,16.76,17.12,16.76,16.99,103575
2013-11-25,17.05,17.43,16.99,17.01,40278
2013-11-26,16.99,17.48,16.97,17.37,18106
2013-11-27,17.43,17.7,17.33,17.4,9777
2013-11-29,17.42,17.49,17.27,17.47,5187
2013-12-02,17.5,17.5,16.7,16.75,46512
2013-12-03,16.57,16.83,16.3,16.36,46383
2013-12-04,16.3,16.3,15.36,15.39,105051
2013-12-05,15.45,15.53,14.21,14.98,89076
2013-12-06,15.0,15.15,14.88,14.97,43671
2013-12-09,14.95,14.97,13.77,14.17,225633
2013-12-10,14.2,14.66,14.0,14.18,146850
2013-12-11,14.11,14.64,14.11,14.31,137258
2013-12-12,14.2,14.7,14.04,14.41,129719
2013-12-13,14.41,14.75,14.19,14.53,70773
2013-12-16,14.64,15.74,14.48,15.53,98325
2013-12-17,15.6,15.91,15.33,15.64,49798
2013-12-18,15.66,16.45,15.47,15.66,46350
2013-12-19,15.74,16.75,15.54,15.73,73543
2013-12-20,15.81,16.99,15.81,16.99,60867
2013-12-23,17.11,17.11,16.16,16.27,27029
2013-12-24,16.17,16.59,15.69,16.13,45056
2013-12-26,16.16,16.79,16.14,16.47,40454
2013-12-27,16.93,17.75,16.52,17.21,70573
2013-12-30,17.4,18.14,17.06,17.7,66946
2013-12-31,18.0,18.45,17.69,17.7,81657
2014-01-02,17.6,18.5,17.0,18.02,50401
2014-01-03,18.16,18.41,17.16,18.35,24781
2014-01-06,18.4,18.8,18.0,18.59,72056
2014-01-07,18.56,18.93,17.45,17.94,44047
2014-01-08,17.84,19.75,17.59,19.73,68229
2014-01-09,19.75,20.72,19.01,20.56,92096
2014-01-10,21.0,21.0,18.14,19.0,114559
2014-01-13,19.0,19.0,18.24,18.53,67931
2014-01-14,21.2,29.3,20.6,25.49,1542412
2014-01-15,26.25,31.45,25.01,31.45,915241
2014-01-16,32.0,32.5,27.89,28.43,270883
2014-01-17,28.51,28.88,25.75,27.79,181918
2014-01-21,27.82,30.87,27.51,30.85,241132
2014-01-22,31.23,31.23,28.01,29.29,169087
2014-01-23,29.0,29.0,26.45,26.61,116755
2014-01-24,26.04,27.78,24.28,25.0,184599
2014-01-27,26.68,26.68,23.8,24.88,177672
2014-01-28,26.69,27.17,24.88,26.53,273733
2014-01-29,24.37,24.5,22.51,23.32,457669
2014-01-30,23.5,24.21,22.81,23.11,309645
2014-01-31,22.22,23.38,22.22,22.92,377971
2014-02-03,22.54,22.82,21.01,21.33,314205
2014-02-04,21.65,22.52,20.39,21.0,633004
2014-02-05,20.9,21.49,20.19,20.56,433641
2014-02-06,20.59,21.19,20.19,20.54,549292
2014-02-07,20.53,22.86,20.53,21.22,629274
2014-02-10,21.15,21.75,20.94,21.08,191806
2014-02-11,21.2,21.66,19.83,20.15,597209
2014-02-12,21.5,24.0,20.68,23.41,1999074
2014-02-13,23.22,24.5,22.15,24.35,841641
2014-02-14,23.33,23.77,22.1,22.66,595564
2014-02-18,23.0,23.0,21.23,21.72,639919
2014-02-19,21.6,21.85,20.64,20.78,470120
2014-02-20,20.69,21.24,19.03,19.35,1022150
2014-02-21,19.3,19.72,19.0,19.42,503908
2014-02-24,19.45,21.46,19.36,20.71,758637
2014-02-25,20.68,21.5,20.59,20.85,462352
2014-02-26,20.91,23.33,20.86,22.65,1157460
2014-02-27,22.53,23.88,22.06,23.45,684561
2014-02-28,23.21,23.21,20.6,20.91,573128
2014-03-03,20.66,20.99,20.07,20.36,405534
2014-03-04,20.68,21.32,20.17,21.17,297034
2014-03-05,21.5,22.87,21.36,22.3,682333
2014-03-06,22.28,22.74,21.12,21.36,374398
2014-03-07,21.02,21.75,20.29,20.97,345853
2014-03-10,20.87,21.77,20.59,21.41,173571
2014-03-11,21.55,22.7,21.46,21.57,505174
2014-03-12,21.79,22.95,21.58,22.38,449273
2014-03-13,22.4,23.55,22.12,22.85,623114
2014-03-14,22.86,22.93,21.83,22.72,196792
2014-03-17,22.75,23.67,22.47,23.45,361337
2014-03-18,23.55,23.79,22.6,22.93,209970
2014-03-19,22.84,22.89,21.68,21.93,292082
2014-03-20,21.97,22.8,21.79,22.54,168784
2014-03-21,22.72,22.93,22.02,22.13,219087
2014-03-24,22.14,22.44,21.26,21.64,287316
2014-03-25,21.87,22.13,20.68,21.19,226665
2014-03-26,21.09,21.26,20.01,20.8,578692
2014-03-27,20.84,21.57,20.29,20.51,309463
2014-03-28,20.58,20.91,19.8,20.14,315303
2014-03-31,20.34,21.28,19.95,21.21,519767
2014-04-01,21.4,21.74,20.37,20.93,331938
2014-04-02,20.91,21.7,20.62,21.47,224823
2014-04-03,21.4,21.66,20.55,21.03,199313
2014-04-04,21.11,21.11,20.0,20.27,361648
2014-04-07,20.1,20.4,19.33,19.67,305598
2014-04-08,19.77,20.6,19.62,20.5,518709
2014-04-09,20.67,20.96,20.26,20.88,287870
2014-04-10,20.97,20.98,19.3,19.4,260496
2014-04-11,19.16,19.2,16.84,17.44,781882
2014-04-14,17.68,18.23,16.7,16.91,341690
2014-04-15,17.03,17.57,15.81,16.83,466266
2014-04-16,18.38,19.14,17.51,18.59,489867
2014-04-17,18.63,19.09,18.35,18.7,351467
2014-04-21,19.07,19.92,18.7,19.73,325231
2014-04-22,19.69,19.97,19.19,19.44,344892
2014-04-23,19.49,20.04,18.71,19.26,460781
2014-04-24,19.44,19.44,18.78,18.82,164922
2014-04-25,18.79,18.81,17.77,17.9,243486
2014-04-28,17.92,18.17,16.92,17.33,280316
2014-04-29,17.36,17.91,16.98,17.37,481479
2014-04-30,17.21,17.87,17.0,17.66,146953
2014-05-01,17.61,18.65,17.5,17.93,544879
2014-05-02,18.47,18.47,16.65,16.7,594574
2014-05-05,16.5,17.24,16.26,17.16,274793
2014-05-06,16.97,17.38,16.22,16.32,297698
2014-05-07,16.28,17.0,15.53,16.3,559909
2014-05-08,16.25,16.57,15.8,15.83,221742
2014-05-09,15.9,16.69,15.75,16.01,183902
2014-05-12,16.02,17.47,16.02,17.35,447140
2014-05-13,17.36,17.67,16.7,16.92,176375
2014-05-14,16.89,17.04,16.36,16.5,158839
2014-05-15,16.45,16.51,16.0,16.19,160005
2014-05-16,16.23,17.0,16.0,16.95,155569
2014-05-19,16.94,17.58,16.75,17.18,129543
2014-05-20,17.1,17.21,16.46,16.78,144980
2014-05-21,16.77,17.35,16.37,16.78,152547
2014-05-22,16.81,17.63,16.72,17.44,152577
2014-05-23,17.45,18.13,17.37,17.48,311245
2014-05-27,17.86,18.26,17.65,17.74,603784
2014-05-28,17.97,18.06,16.76,17.07,350443
2014-05-29,17.23,17.34,16.91,17.05,412608
2014-05-30,17.0,17.19,16.76,16.97,497831
2014-06-02,17.03,17.46,16.71,17.45,331379
2014-06-03,17.25,17.28,16.6,16.87,351786
2014-06-04,16.81,17.71,16.61,17.65,339135
2014-06-05,17.82,18.55,17.65,18.51,410131
2014-06-06,18.7,19.36,18.47,18.98,372713
2014-06-09,19.06,19.24,18.14,18.19,261520
2014-06-10,18.09,18.38,17.72,18.3,179560
2014-06-11,18.25,18.48,18.0,18.44,88728
2014-06-12,18.46,18.62,17.86,18.32,205020
2014-06-13,18.28,18.46,17.81,17.99,156074
2014-06-16,17.99,18.5,17.81,18.11,183921
2014-06-17,18.15,18.39,17.91,18.03,212288
2014-06-18,18.06,18.27,17.66,18.03,292637
2014-06-19,18.12,18.33,17.78,18.17,176168
2014-06-20,18.25,18.36,17.96,18.08,168860
2014-06-23,18.18,19.33,18.18,19.26,930923
2014-06-24,19.31,19.8,19.16,19.58,461008
2014-06-25,19.41,19.72,19.33,19.5,357232
2014-06-26,19.6,19.8,19.24,19.68,293965
2014-06-27,19.62,19.83,19.19,19.37,1220116
2014-06-30,19.34,19.7,19.12,19.56,221055
2014-07-01,19.63,20.12,19.3,19.77,260742
2014-07-02,19.75,20.2,19.64,19.89,364361
2014-07-03,20.0,20.17,19.49,19.61,146865
2014-07-07,19.55,19.83,18.83,19.08,184094
2014-07-08,18.99,18.99,18.25,18.62,299620
2014-07-09,18.76,19.52,18.76,19.21,346244
2014-07-10,18.84,19.9,18.65,19.75,397305
2014-07-11,19.73,20.0,19.41,19.47,160148
2014-07-14,19.64,19.8,19.31,19.35,106976
2014-07-15,19.35,19.47,18.68,18.75,289209
