Date,Open,High,Low,Close,Volume
2009-11-12,8.93,9.35,8.9,9.07,8381906
2009-11-13,9.47,9.69,9.25,9.56,10540804
2009-11-16,9.83,9.9,9.7,9.8,4635991
2009-11-17,9.79,10.01,9.62,9.95,5436747
2009-11-18,9.9,9.99,9.73,9.96,4061655
2009-11-19,9.86,9.86,9.5,9.69,7206242
2009-11-20,9.64,9.64,9.41,9.57,3569633
2009-11-23,9.79,9.9,9.66,9.71,4088636
2009-11-24,9.67,9.82,9.65,9.7,2847532
2009-11-25,9.71,9.75,9.62,9.62,2064511
2009-11-27,9.61,9.65,9.36,9.56,1368450
2009-11-30,9.51,9.59,9.38,9.57,3259366
2009-12-01,9.65,9.97,9.62,9.94,4005202
2009-12-02,9.96,10.39,9.96,10.2,6627311
2009-12-03,10.24,10.35,10.12,10.2,2976318
2009-12-04,10.37,10.39,10.1,10.31,3276574
2009-12-07,10.27,10.57,10.27,10.55,4324968
2009-12-08,10.36,10.78,10.33,10.68,6251344
2009-12-09,10.67,10.84,10.54,10.79,3721213
2009-12-10,10.85,10.89,10.51,10.54,2971546
2009-12-11,10.5,10.59,10.31,10.4,2063190
2009-12-14,10.43,10.57,10.42,10.53,1594922
2009-12-15,10.55,10.55,10.26,10.31,2467514
2009-12-16,10.41,10.61,10.36,10.5,1890797
2009-12-17,10.45,10.53,10.3,10.33,1455366
2009-12-18,10.4,10.57,10.28,10.55,4329965
2009-12-21,10.57,10.75,10.5,10.62,2160872
2009-12-22,10.65,10.74,10.62,10.67,1276222
2009-12-23,10.66,10.7,10.46,10.62,1358348
2009-12-24,10.69,10.75,10.65,10.73,486586
2009-12-28,10.73,10.8,10.5,10.56,987019
2009-12-29,10.53,10.57,10.43,10.5,1156958
2009-12-30,10.43,10.88,10.41,10.78,2034382
2009-12-31,10.74,10.81,10.54,10.56,2349038
2010-01-04,10.56,10.72,10.51,10.58,2143168
2010-01-05,10.53,10.87,10.52,10.82,3043280
2010-01-06,10.69,11.01,10.69,10.97,3187288
2010-01-07,11.0,11.05,10.8,10.88,2106528
2010-01-08,10.96,11.7,10.88,11.61,6849277
2010-01-11,11.76,11.76,11.39,11.55,2965150
2010-01-12,11.63,11.65,11.03,11.09,3337058
2010-01-13,11.14,11.48,10.84,11.44,3064461
2010-01-14,11.5,11.5,11.17,11.25,2016362
2010-01-15,11.3,11.3,10.96,11.04,2754031
2010-01-19,11.02,11.22,11.0,11.13,3229211
2010-01-20,11.09,11.11,10.91,11.05,2449802
2010-01-21,11.42,11.59,11.16,11.45,4914684
2010-01-22,11.42,11.44,10.57,10.7,4887864
2010-01-25,10.8,11.0,10.7,10.84,2222273
2010-01-26,10.91,11.03,10.74,10.86,2661017
2010-01-27,10.74,11.07,10.62,11.06,2968388
2010-01-28,11.26,11.39,10.47,10.75,4952194
2010-01-29,10.86,10.96,9.96,10.05,6702426
2010-02-01,10.18,10.89,10.15,10.85,6000974
2010-02-02,10.9,11.37,10.83,11.27,4935014
2010-02-03,11.13,11.42,11.07,11.37,4000001
2010-02-04,11.16,11.22,10.59,10.6,4262719
2010-02-05,10.58,10.96,10.45,10.84,5032793
2010-02-08,10.99,10.99,10.68,10.7,2215509
2010-02-09,10.94,10.97,10.67,10.89,3048189
2010-02-10,10.92,11.0,10.73,10.79,2170879
2010-02-11,10.85,11.32,10.7,11.3,3700578
2010-02-12,11.24,11.7,11.08,11.53,4974527
2010-02-16,11.71,11.96,11.6,11.83,3339024
2010-02-17,11.94,11.95,11.5,11.8,2799510
2010-02-18,11.75,12.02,11.64,11.91,5452124
2010-02-19,11.78,12.46,11.78,12.3,8116103
2010-02-22,12.33,12.45,12.09,12.15,3692066
2010-02-23,12.09,12.09,11.71,11.87,3506472
2010-02-24,11.92,12.03,11.76,11.94,3261340
2010-02-25,11.73,11.93,11.52,11.93,2610426
2010-02-26,11.78,11.91,11.65,11.83,3918345
2010-03-01,11.84,12.18,11.8,11.96,4999337
2010-03-02,12.01,12.3,11.98,12.11,4145358
2010-03-03,12.12,12.39,11.86,11.98,2815877
2010-03-04,12.12,12.12,11.76,11.98,2177845
2010-03-05,12.04,12.2,11.92,12.12,2952642
2010-03-08,12.1,12.17,11.85,12.13,2749544
2010-03-09,11.99,12.4,11.98,12.27,4496342
2010-03-10,12.25,12.46,12.23,12.37,2958998
2010-03-11,12.36,12.38,12.17,12.37,1935688
2010-03-12,12.46,12.53,12.32,12.43,3318590
2010-03-15,12.38,12.4,12.23,12.35,1865690
2010-03-16,12.35,12.47,12.2,12.3,3250171
2010-03-17,12.38,12.55,12.33,12.35,3209450
2010-03-18,12.31,12.4,11.86,12.07,6176226
2010-03-19,12.0,12.01,11.62,11.81,6609070
2010-03-22,11.62,11.97,11.55,11.88,2953391
2010-03-23,11.96,12.1,11.82,11.93,4263745
2010-03-24,11.93,11.93,11.56,11.78,5629334
2010-03-25,11.87,11.97,11.58,11.78,4633257
2010-03-26,11.84,11.93,11.42,11.47,3854522
2010-03-29,11.49,11.69,11.49,11.54,2862292
2010-03-30,11.56,11.68,11.44,11.63,1962643
2010-03-31,11.48,11.64,11.41,11.53,2744415
2010-04-05,11.57,11.8,11.49,11.8,2066553
2010-04-06,11.7,11.8,11.58,11.8,3059699
2010-04-07,11.76,12.0,11.65,11.92,3223005
2010-04-08,11.88,11.88,11.53,11.58,3173124
2010-04-09,11.66,11.72,11.52,11.56,3096069
2010-04-12,11.75,12.05,11.68,12.01,4171123
2010-04-13,12.01,12.25,11.97,12.21,3576994
2010-04-14,12.44,13.0,12.41,12.96,6765198
2010-04-15,12.85,13.1,12.82,13.04,3345628
2010-04-16,12.88,12.88,12.58,12.72,4541017
2010-04-19,12.57,12.81,12.45,12.7,3787679
2010-04-20,12.81,13.1,12.8,13.08,2676442
2010-04-21,13.2,13.49,12.83,13.11,4491447
2010-04-22,12.8,13.33,12.41,13.19,7966007
2010-04-23,13.2,13.29,12.85,13.2,4977737
2010-04-26,13.14,13.89,13.14,13.62,5475326
2010-04-27,13.58,13.75,13.31,13.32,4736476
2010-04-28,13.43,13.56,13.25,13.5,4155865
2010-04-29,13.56,13.72,13.43,13.58,3196195
2010-04-30,13.55,13.64,12.87,12.88,6253812
2010-05-03,13.21,13.29,12.82,13.07,3223808
2010-05-04,12.91,12.91,12.37,12.48,5045973
2010-05-05,12.32,12.68,12.12,12.25,3912758
2010-05-06,12.12,12.49,11.01,11.93,4505413
2010-05-07,11.8,11.96,11.05,11.37,7304813
2010-05-10,12.1,12.15,11.71,11.89,4088787
2010-05-11,11.67,11.95,11.6,11.63,5955004
2010-05-12,11.71,12.28,11.67,12.16,4712602
2010-05-13,12.16,12.29,11.6,11.75,5776441
2010-05-14,11.6,11.73,11.34,11.72,5873933
2010-05-17,11.7,11.79,11.17,11.71,5305130
2010-05-18,11.85,11.86,11.2,11.28,4684522
2010-05-19,11.18,11.68,11.08,11.6,5596975
2010-05-20,11.17,11.55,11.15,11.25,5729750
2010-05-21,11.07,11.59,10.92,11.28,4438745
2010-05-24,11.14,11.46,11.06,11.06,2466319
2010-05-25,10.74,10.98,10.47,10.94,5583138
2010-05-26,11.11,11.43,11.05,11.07,4879959
2010-05-27,11.39,11.72,11.33,11.71,3091831
2010-05-28,11.65,11.76,11.32,11.39,2538367
2010-06-01,11.26,11.51,11.11,11.11,2131629
2010-06-02,11.3,11.43,11.12,11.43,2376049
2010-06-03,11.49,11.62,11.38,11.57,2153399
2010-06-04,11.25,11.57,11.05,11.08,3685303
2010-06-07,11.12,11.21,10.57,10.61,3535232
2010-06-08,10.74,10.74,10.27,10.6,4330465
2010-06-09,10.65,10.81,10.3,10.36,2829662
2010-06-10,10.56,10.64,10.39,10.59,1890973
2010-06-11,10.45,10.78,10.34,10.77,1607390
2010-06-14,10.83,11.15,10.77,10.78,1780114
2010-06-15,10.91,11.37,10.9,11.3,2872860
2010-06-16,11.46,11.7,11.35,11.58,4797853
2010-06-17,11.63,11.67,11.34,11.56,2142001
2010-06-18,11.57,11.66,11.45,11.51,2039266
2010-06-21,11.67,11.74,11.34,11.44,2130383
2010-06-22,11.48,11.65,11.3,11.31,2457580
2010-06-23,11.3,11.48,11.15,11.27,2433639
2010-06-24,11.19,11.25,10.61,10.63,4248563
2010-06-25,10.62,10.88,10.43,10.7,3715815
2010-06-28,10.71,10.86,10.61,10.72,1383716
2010-06-29,10.5,10.59,10.06,10.18,3411537
2010-06-30,10.12,10.33,10.0,10.04,3235617
2010-07-01,10.02,10.23,9.8,10.11,4132181
