Date,Open,High,Low,Close,Volume
2010-10-07,49.9,53.65,49.75,51.25,769812
2010-10-08,51.25,52.85,50.5,50.65,227059
2010-10-11,50.95,60.0,49.25,55.65,142492
2010-10-12,55.25,63.75,54.8,60.25,155389
2010-10-13,61.25,64.0,59.3,63.55,282610
2010-10-14,64.5,73.95,63.75,69.7,379033
2010-10-15,72.2,74.45,70.55,71.05,329846
2010-10-18,72.8,72.8,66.5,67.0,162962
2010-10-19,64.4,66.0,58.05,58.55,257624
2010-10-20,61.0,64.5,58.45,60.0,118363
2010-10-21,61.9,61.9,57.75,59.55,116752
2010-10-22,63.5,67.65,60.5,67.0,156719
2010-10-25,70.45,71.0,68.0,69.2,182180
2010-10-26,70.0,70.0,65.8,66.25,108637
2010-10-27,66.65,69.5,65.8,67.5,74015
2010-10-28,68.55,68.95,65.6,66.6,47814
2010-10-29,67.0,67.0,60.65,63.8,98298
2010-11-01,64.1,65.95,60.5,60.6,68777
2010-11-02,61.0,65.2,59.35,64.5,68709
2010-11-03,64.95,67.35,64.94,66.95,126238
2010-11-04,68.25,71.25,67.4,71.2,197151
2010-11-05,72.2,74.25,68.0,69.05,107279
2010-11-08,70.0,71.9,66.35,71.6,58786
2010-11-09,73.9,75.0,69.34,71.95,126228
2010-11-10,71.0,72.8,69.25,71.2,30438
2010-11-11,70.0,73.45,70.0,73.05,57062
2010-11-12,72.5,77.15,68.5,69.8,186439
2010-11-15,71.05,72.5,69.0,70.65,47946
2010-11-16,69.5,71.0,66.25,66.95,99272
2010-11-17,64.95,64.95,54.2,55.95,339923
2010-11-18,58.6,60.75,56.6,57.45,115052
2010-11-19,58.0,58.55,56.1,57.6,75975
2010-11-22,58.0,59.45,56.05,58.4,77118
2010-11-23,57.75,57.88,56.75,57.5,20319
2010-11-24,59.0,60.5,58.1,60.25,58615
2010-11-26,61.25,61.55,56.45,57.85,53089
2010-11-29,57.5,58.0,54.05,55.5,51665
2010-11-30,54.65,55.6,51.1,52.55,80299
