Date,Open,High,Low,Close,Volume
2000-06-29,24.88,26.19,24.75,25.06,1127500
2000-06-30,25.0,26.5,24.62,25.31,1002400
2000-07-03,25.81,26.75,25.62,26.31,434800
2000-07-05,26.69,26.81,24.56,24.69,887700
2000-07-06,24.88,24.94,23.56,23.62,861700
2000-07-07,23.94,25.44,23.88,25.38,1170800
2000-07-10,25.5,26.38,25.38,25.88,902800
2000-07-11,25.88,26.12,24.44,24.56,1823800
2000-07-12,24.12,24.94,23.0,24.06,2141800
2000-07-13,25.31,27.5,25.19,26.69,3607700
2000-07-14,27.06,28.75,26.88,28.38,1837900
2000-07-17,28.75,28.75,26.75,26.81,1716100
2000-07-18,27.0,27.0,25.75,25.95,1430100
2000-07-19,26.28,27.0,26.0,26.19,519500
2000-07-20,26.38,26.5,25.0,25.31,1328500
2000-07-21,25.5,25.5,24.5,24.81,1268300
2000-07-24,24.88,24.94,23.88,23.94,1166000
2000-07-25,24.12,24.81,22.0,24.48,771600
2000-07-26,24.44,24.56,22.5,23.12,1743100
2000-07-27,22.88,23.25,22.56,23.12,1300600
2000-07-28,23.06,23.12,22.06,22.38,1173700
2000-07-31,22.62,23.0,21.62,21.81,1379300
2000-08-01,21.81,22.56,21.75,22.25,940500
2000-08-02,22.31,23.0,21.75,21.88,524000
2000-08-03,21.75,22.25,21.06,21.38,1397500
2000-08-04,21.44,21.94,21.38,21.38,921700
2000-08-07,21.81,22.56,21.5,22.12,1023800
2000-08-08,22.5,22.62,21.25,21.38,552100
2000-08-09,21.38,24.31,21.31,23.88,970800
2000-08-10,23.62,23.69,22.5,23.06,748500
2000-08-11,23.19,23.5,22.62,23.38,773400
2000-08-14,23.5,24.5,23.06,23.94,448400
2000-08-15,24.12,24.75,23.0,23.19,646400
2000-08-16,23.38,24.56,23.19,24.38,493100
2000-08-17,24.44,24.44,23.88,24.38,885300
2000-08-18,24.12,24.44,24.0,24.38,241300
2000-08-21,24.5,25.81,24.0,25.56,781500
