Date,Open,High,Low,Close,Volume
2014-01-02,5.08,5.2,5.07,5.12,823074
2014-01-03,5.14,5.21,5.08,5.19,960750
2014-01-06,5.2,5.22,5.1,5.18,712246
2014-01-07,5.21,5.62,5.14,5.58,3710328
2014-01-08,5.59,5.62,5.38,5.43,1379598
2014-01-09,5.45,5.48,5.3,5.35,640614
2014-01-10,5.37,5.38,5.09,5.12,1322517
2014-01-13,5.13,5.13,4.94,4.97,1439989
2014-01-14,5.01,5.04,4.95,5.02,987617
2014-01-15,5.05,5.1,4.91,4.93,1185123
2014-01-16,4.94,4.98,4.9,4.94,598181
2014-01-17,4.95,4.99,4.8,4.83,1078485
2014-01-21,4.86,4.9,4.68,4.73,1637508
2014-01-22,4.76,4.76,4.67,4.7,1432701
2014-01-23,4.71,4.72,4.59,4.69,1116865
2014-01-24,4.68,4.73,4.6,4.68,1339911
2014-01-27,4.72,4.72,4.57,4.6,987881
2014-01-28,4.62,4.66,4.5,4.51,904939
2014-01-29,4.48,4.54,4.4,4.41,830144
2014-01-30,4.46,4.54,4.39,4.46,1034734
2014-01-31,4.39,4.48,4.34,4.34,839000
2014-02-03,4.33,4.48,4.19,4.21,1456516
2014-02-04,4.25,4.27,4.17,4.2,921203
2014-02-05,4.18,4.2,4.01,4.04,1451753
2014-02-06,4.08,4.19,4.06,4.1,916649
2014-02-07,4.12,4.19,4.05,4.16,1437926
2014-02-10,4.18,4.29,4.16,4.25,833739
2014-02-11,4.28,4.3,4.15,4.23,745753
2014-02-12,4.25,4.27,4.17,4.22,461828
2014-02-13,4.21,4.26,4.17,4.25,492317
2014-02-14,4.26,4.3,4.21,4.26,595215
2014-02-18,4.3,4.38,4.27,4.36,1004042
2014-02-19,4.32,4.75,4.32,4.55,2687988
2014-02-20,4.64,4.64,4.07,4.27,3532824
2014-02-21,4.16,4.27,3.98,4.01,2185794
2014-02-24,4.02,4.06,3.82,3.87,2424554
2014-02-25,3.87,4.1,3.84,4.0,2556108
