Date,Open,High,Low,Close,Volume
2000-07-11,10.88,11.62,10.25,11.19,12872600
2000-07-12,12.25,12.59,11.06,12.19,2801500
2000-07-13,12.44,14.75,12.38,14.19,2627300
2000-07-14,14.56,15.25,12.88,13.25,1426100
2000-07-17,13.62,13.62,12.75,13.06,521500
2000-07-18,12.62,12.94,12.06,12.5,498700
2000-07-19,12.69,13.06,11.94,12.38,697600
2000-07-20,12.44,12.75,11.5,11.81,472000
2000-07-21,11.94,12.0,11.06,11.38,750900
2000-07-24,11.75,12.5,11.38,12.0,724800
2000-07-25,12.22,12.5,11.62,11.75,628600
2000-07-26,11.5,11.88,11.12,11.75,523300
2000-07-27,11.69,11.69,9.5,10.25,824800
2000-07-28,10.38,10.62,9.5,9.81,408100
2000-07-31,9.56,9.69,7.75,9.62,863100
2000-08-01,9.81,10.0,9.0,9.44,262600
2000-08-02,9.44,9.5,8.88,9.06,183800
2000-08-03,8.25,8.88,7.88,8.88,354700
2000-08-04,9.5,10.12,9.19,9.94,368000
2000-08-07,10.19,10.25,8.5,9.22,402000
2000-08-08,9.38,9.88,8.12,8.44,649500
2000-08-09,8.56,8.62,8.0,8.12,441800
2000-08-10,8.19,8.25,7.38,7.5,408400
2000-08-11,7.56,7.69,7.0,7.25,697100
2000-08-14,7.36,7.5,7.0,7.38,1106100
2000-08-15,7.88,9.97,7.81,8.75,2347700
2000-08-16,9.38,9.38,8.62,8.75,699100
2000-08-17,8.88,9.88,8.75,9.44,871600
2000-08-18,10.31,11.5,10.06,11.06,1250600
2000-08-21,11.12,12.0,10.88,11.06,832300
2000-08-22,11.19,11.25,10.75,10.81,330600
2000-08-23,10.59,10.62,9.5,10.12,360700
2000-08-24,10.25,11.12,10.25,11.0,393400
2000-08-25,10.69,10.88,10.0,10.88,164300
2000-08-28,0.0,11.25,10.75,10.94,221700
2000-08-29,10.97,11.12,10.5,11.12,205700
2000-08-30,11.09,11.25,10.75,10.88,224200
2000-08-31,10.94,11.25,10.75,11.12,231800
2000-09-01,11.12,11.38,10.75,11.0,147200
2000-09-05,11.0,11.0,10.56,10.72,117800
2000-09-06,10.91,11.12,9.88,10.06,322000
2000-09-07,10.06,10.75,10.0,10.56,108900
2000-09-08,10.62,11.0,10.38,10.56,218100
2000-09-11,10.5,10.88,10.31,10.56,163500
2000-09-12,10.72,11.0,10.12,10.25,203600
2000-09-13,10.38,10.5,10.12,10.12,157800
2000-09-14,10.12,10.88,10.12,10.81,197200
