Date,Open,High,Low,Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,781100
2000-08-14,419.0,420.0,368.0,384.0,80100
2000-08-15,389.0,396.0,384.0,388.0,45700
2000-08-16,386.0,418.0,386.0,396.0,40900
2000-08-17,392.0,400.0,382.0,384.0,46900
2000-08-18,401.0,478.0,396.0,458.0,59600
2000-08-21,482.0,520.0,446.0,486.0,66200
2000-08-22,492.0,502.0,432.0,432.0,33800
2000-08-23,434.0,440.0,408.0,416.0,17900
2000-08-24,414.0,418.0,386.0,386.0,17800
2000-08-25,402.0,416.0,388.0,412.0,20000
2000-08-28,0.0,433.5,400.0,420.0,18800
2000-08-29,430.02,432.0,404.0,428.0,22600
2000-08-30,427.01,470.02,424.0,454.02,19900
2000-08-31,482.02,536.0,476.0,518.02,78100
2000-09-01,516.0,520.0,480.0,504.0,27600
2000-09-05,506.02,520.0,496.0,498.02,22900
2000-09-06,516.0,520.0,488.0,496.0,20500
2000-09-07,512.0,512.0,428.0,460.0,23600
2000-09-08,456.51,464.0,440.0,448.0,15800
2000-09-11,442.02,448.0,432.0,444.0,34100
2000-09-12,435.01,442.02,412.0,416.0,33000
2000-09-13,408.0,420.0,384.0,400.0,10100
2000-09-14,444.0,444.0,400.0,406.02,8100
2000-09-15,402.02,416.0,400.0,402.02,3600
2000-09-18,420.0,424.0,382.02,386.02,18200
2000-09-19,419.01,420.0,344.0,360.0,48100
2000-09-20,368.0,370.02,312.0,332.0,23600
2000-09-21,330.02,352.0,326.02,340.0,24200
2000-09-22,307.01,346.02,302.02,338.02,8400
2000-09-25,340.0,346.02,300.0,302.02,21000
2000-09-26,316.0,318.02,288.0,296.0,19600
2000-09-27,300.99,302.02,276.0,299.01,14900
2000-09-28,296.0,344.0,292.0,320.0,20200
2000-09-29,323.01,324.0,279.01,284.0,18100
2000-10-02,300.0,302.02,268.0,272.0,6400
2000-10-03,275.01,284.0,248.0,254.02,9800
2000-10-04,256.0,258.02,216.0,228.0,14600
2000-10-05,222.02,260.0,208.0,210.02,14500
2000-10-06,222.5,224.0,190.02,195.01,11400
2000-10-09,210.02,214.02,184.99,198.02,10700
2000-10-10,202.02,204.0,176.0,182.02,12200
2000-10-11,168.0,184.0,130.02,132.0,39800
2000-10-12,163.01,168.0,144.0,166.02,36400
2000-10-13,182.02,263.49,176.99,242.02,39200
2000-10-16,260.0,264.0,236.0,260.0,33700
2000-10-17,272.0,274.02,242.02,250.02,10700
2000-10-18,248.0,268.0,190.02,258.02,19300
2000-10-19,272.0,298.02,216.0,220.99,24700
2000-10-20,240.0,240.0,224.0,234.02,21800
2000-10-23,236.0,268.99,228.0,264.0,17800
2000-10-24,265.5,272.0,260.0,270.02,18200
2000-10-25,267.49,272.0,252.0,272.0,13200
2000-10-26,271.01,308.0,270.02,290.02,8400
2000-10-27,291.49,292.0,276.0,288.0,3400
2000-10-30,286.02,300.0,276.0,286.02,7600
2000-10-31,292.0,328.0,280.0,312.0,10100
2000-11-01,311.49,336.0,288.0,312.0,11400
2000-11-02,311.49,316.0,284.0,296.0,7500
2000-11-03,287.01,302.02,287.01,292.0,7700
2000-11-06,296.0,300.0,278.02,284.0,8600
2000-11-07,288.0,288.0,280.0,284.0,6700
2000-11-08,284.0,284.0,240.99,258.02,20700
2000-11-09,240.0,256.0,240.0,252.99,12600
2000-11-10,244.51,248.0,236.0,238.02,15900
2000-11-13,222.02,228.0,218.02,226.02,13300
2000-11-14,224.99,234.02,208.0,212.0,15000
2000-11-15,220.0,222.02,202.02,202.02,19600
2000-11-16,208.51,212.0,200.0,203.01,3900
2000-11-17,219.01,220.0,204.0,212.0,13800
2000-11-20,208.99,210.02,202.02,202.02,5500
2000-11-21,203.01,208.0,198.02,198.02,8200
2000-11-22,200.0,200.0,192.0,192.0,11300
2000-11-24,194.5,196.0,192.0,192.99,1700
2000-11-27,204.0,212.0,190.02,192.0,5300
2000-11-28,196.0,196.0,172.0,174.02,3900
2000-11-29,174.02,178.02,144.0,156.0,17000
2000-11-30,152.0,155.01,136.0,140.0,10600
2000-12-01,140.0,162.02,139.01,154.02,6100
2000-12-04,155.01,164.0,155.01,158.02,2400
2000-12-05,162.5,166.02,156.0,162.02,4500
2000-12-06,160.99,162.02,146.02,154.02,3400
2000-12-07,152.99,166.02,144.0,144.0,13600
2000-12-08,152.0,192.0,152.0,176.0,5700
2000-12-11,176.99,186.02,176.0,176.0,2600
2000-12-12,181.5,234.02,176.0,212.0,9800
2000-12-13,235.49,244.0,220.0,226.02,6600
2000-12-14,233.5,234.02,218.02,224.0,4900
2000-12-15,222.5,225.5,214.02,214.02,2300
2000-12-18,227.01,228.0,180.0,187.01,3100
2000-12-19,172.99,190.02,164.0,178.02,5000
2000-12-20,176.0,178.5,150.02,156.0,8300
2000-12-21,144.0,148.0,126.02,130.02,16700
2000-12-22,146.5,148.0,128.0,128.0,14200
2000-12-26,130.02,142.02,122.02,126.02,10700
2000-12-27,126.02,128.0,112.0,122.02,6900
2000-12-28,120.0,122.02,104.0,112.0,30800
2000-12-29,111.01,151.01,110.02,140.0,14700
2001-01-02,141.5,142.02,108.0,114.02,12700
2001-01-03,110.02,144.0,104.0,116.0,25700
2001-01-04,125.5,134.02,112.0,116.0,9800
2001-01-05,120.0,130.02,114.02,128.0,4900
2001-01-08,128.0,130.02,120.0,126.02,5000
2001-01-09,128.0,128.0,114.02,119.01,2300
2001-01-10,120.99,124.0,114.02,122.02,5600
2001-01-11,122.02,130.02,115.01,124.0,7800
2001-01-12,125.5,148.0,125.5,148.0,16200
2001-01-16,152.0,168.0,144.0,160.0,6500
2001-01-17,168.0,192.0,166.02,180.0,6600
2001-01-18,189.5,196.0,184.0,186.02,6700
2001-01-19,188.0,194.02,184.0,188.0,8800
2001-01-22,192.0,200.0,184.0,192.0,8400
2001-01-23,192.51,208.0,190.02,204.0,4100
2001-01-24,216.51,240.0,202.02,224.0,12600
2001-01-25,222.02,224.0,208.0,208.0,5500
2001-01-26,190.02,196.0,176.0,192.0,7800
2001-01-29,196.99,204.0,192.0,194.02,2700
2001-01-30,198.02,198.02,188.0,190.02,2500
2001-01-31,193.5,200.0,184.0,190.02,7800
2001-02-01,190.02,195.01,188.99,192.0,1600
2001-02-02,192.0,194.02,188.0,192.0,1200
2001-02-05,191.01,192.0,172.0,172.0,2300
2001-02-06,160.0,172.99,156.0,168.99,3200
2001-02-07,168.99,196.0,166.02,196.0,4100
2001-02-08,210.02,224.0,200.0,208.0,14900
2001-02-09,216.0,216.0,186.02,198.02,4300
2001-02-12,192.0,208.0,188.0,192.0,2200
2001-02-13,196.0,199.01,176.99,188.0,5800
2001-02-14,187.49,188.99,168.0,174.02,1400
2001-02-15,176.0,188.0,164.0,164.0,3100
2001-02-16,167.01,168.0,128.0,143.01,39000
2001-02-20,144.0,158.02,138.02,140.0,3300
2001-02-21,136.0,138.02,126.02,128.0,7200
2001-02-22,130.02,132.99,120.0,126.02,4800
2001-02-23,126.5,128.99,120.0,126.02,15200
2001-02-26,127.01,128.99,120.0,122.02,9600
2001-02-27,121.5,123.01,116.0,120.99,11200
2001-02-28,120.51,123.01,116.0,120.0,3400
2001-03-01,119.01,120.0,99.01,100.99,13200
2001-03-02,103.01,104.99,88.0,91.01,9200
2001-03-05,95.49,96.99,88.0,92.99,12500
2001-03-06,96.51,136.0,92.0,96.0,24600
2001-03-07,100.99,100.99,92.0,96.0,7200
2001-03-08,97.5,98.02,88.0,94.02,5800
2001-03-09,96.0,98.02,88.0,88.99,5000
2001-03-12,90.02,90.02,70.5,76.0,18400
2001-03-13,66.02,74.02,64.0,72.0,14300
2001-03-14,68.51,71.01,64.0,64.99,10700
2001-03-15,68.0,72.0,62.02,62.02,13600
2001-03-16,64.0,66.02,50.02,56.0,10900
2001-03-19,59.01,67.01,59.01,62.02,16200
2001-03-20,65.5,66.02,63.01,64.99,19400
2001-03-21,64.99,66.02,62.02,64.0,12900
2001-03-22,64.99,66.02,64.0,64.99,5400
2001-03-23,64.0,66.02,62.02,64.99,10200
2001-03-26,64.51,64.99,62.02,64.0,2300
2001-03-27,64.0,64.99,52.0,52.0,6700
2001-03-28,48.0,56.51,44.0,50.02,15400
2001-03-29,52.99,56.0,44.0,44.99,20300
2001-03-30,48.0,48.0,34.02,40.0,30900
2001-04-02,44.0,46.02,32.0,36.0,17500
2001-04-03,38.02,40.0,32.0,35.01,24600
2001-04-04,38.02,40.0,32.0,32.99,11600
2001-04-05,36.0,36.0,31.01,32.99,25600
2001-04-06,32.99,32.99,16.0,19.01,59600
2001-04-09,26.56,29.44,23.07,29.44,36500
2001-04-10,33.44,41.63,33.25,35.49,51200
2001-04-11,39.49,44.19,36.8,43.2,75000
2001-04-12,44.8,45.76,40.0,41.63,20500
2001-04-16,44.8,46.37,43.2,44.19,20700
2001-04-17,41.63,42.88,40.32,42.24,9400
2001-04-18,43.49,48.0,43.2,46.75,28500
2001-04-19,51.49,59.2,51.2,52.19,37300
2001-04-20,55.07,55.36,46.37,48.0,20800
2001-04-23,48.0,48.93,38.05,39.36,14000
2001-04-24,39.36,41.63,38.37,41.25,9900
2001-04-25,40.93,43.49,40.0,40.64,15900
2001-04-26,41.25,41.63,40.0,40.0,4900
2001-04-27,41.63,44.51,39.68,41.63,16000
2001-04-30,43.49,44.19,40.64,42.24,13900
2001-05-01,43.2,44.19,40.93,42.24,15600
2001-05-02,43.36,61.12,42.24,55.36,25600
2001-05-03,56.93,57.25,48.0,54.37,13000
2001-05-04,54.24,54.37,48.64,51.81,14300
2001-05-07,52.64,52.8,47.68,50.56,14300
2001-05-08,50.56,54.37,50.56,51.81,5800
2001-05-09,52.19,52.19,48.0,48.93,4600
2001-05-10,49.95,50.88,47.36,48.0,6600
2001-05-11,49.95,49.95,38.37,44.51,20200
2001-05-14,45.44,45.44,32.0,37.12,21200
2001-05-15,37.95,41.63,37.76,40.64,12100
2001-05-16,39.36,43.2,39.07,41.63,4200
2001-05-17,41.95,43.81,38.37,40.0,6200
2001-05-18,40.0,40.93,37.12,38.37,18000
2001-05-21,38.56,45.76,38.37,44.51,6700
2001-05-22,44.8,47.68,42.24,46.05,4000
2001-05-23,46.88,47.07,43.2,45.76,5700
2001-05-24,45.44,54.37,44.8,49.25,10000
2001-05-25,51.07,52.51,46.37,48.0,3900
2001-05-29,49.63,50.24,46.05,46.75,4500
2001-05-30,47.36,47.68,40.32,41.63,8400
2001-05-31,42.05,44.19,40.0,41.63,5700
2001-06-01,44.19,44.19,39.68,43.2,7100
2001-06-04,46.88,48.0,41.95,47.68,9000
2001-06-05,48.0,49.95,46.37,48.64,4900
2001-06-06,49.25,49.63,46.05,46.05,2000
2001-06-07,45.25,47.07,41.95,43.49,5000
2001-06-08,45.44,45.76,41.25,43.2,6600
2001-06-11,43.49,43.81,40.93,43.2,2100
