Date,Open,High,Low,Close,Volume
2013-06-12,23.08,28.47,23.02,28.47,14835778
2013-06-13,28.6,28.75,26.0,26.1,2160855
2013-06-14,26.76,27.55,26.2,26.59,1157476
2013-06-17,27.25,27.79,26.57,26.69,715272
2013-06-18,26.85,27.16,25.61,25.87,778475
2013-06-19,25.87,26.47,25.66,26.26,476326
2013-06-20,25.6,26.35,25.21,26.04,410696
2013-06-21,25.81,26.29,25.8,26.1,304080
2013-06-24,25.28,25.87,25.15,25.7,271278
2013-06-25,25.98,26.16,25.85,25.96,115978
2013-06-26,26.31,27.16,26.1,27.07,323524
2013-06-27,27.24,27.89,27.18,27.79,309503
2013-06-28,27.49,28.0,27.05,27.56,193856
2013-07-01,27.6,27.68,26.4,26.69,258912
2013-07-02,27.14,27.14,26.4,26.8,137491
2013-07-03,26.82,27.37,26.74,27.2,112023
2013-07-05,27.41,30.82,27.33,30.82,590741
2013-07-08,29.32,31.47,28.85,30.22,790847
2013-07-09,30.35,30.59,29.55,30.58,249686
2013-07-10,30.58,32.4,30.5,32.2,358142
2013-07-11,32.97,32.99,31.8,32.29,201389
2013-07-12,32.51,32.91,32.08,32.8,112785
2013-07-15,32.65,32.77,30.5,31.45,290928
2013-07-16,31.5,31.51,29.05,29.49,427101
2013-07-17,29.56,30.4,28.9,29.33,314250
2013-07-18,29.5,30.08,28.88,29.18,168785
2013-07-19,29.1,29.58,28.5,28.5,185587
2013-07-22,28.17,29.27,27.35,28.0,937588
2013-07-23,28.28,28.74,28.03,28.34,145813
2013-07-24,28.69,28.75,27.82,27.99,123669
2013-07-25,27.93,28.52,27.51,28.07,172199
2013-07-26,28.36,30.36,28.34,30.2,275247
2013-07-29,30.7,31.95,30.2,31.62,497534
2013-07-30,33.09,34.99,32.5,34.92,1020098
2013-07-31,36.25,36.85,35.09,35.76,552040
2013-08-01,36.0,36.44,33.68,34.83,436600
2013-08-02,34.95,36.59,34.5,36.24,242935
2013-08-05,36.67,37.74,36.23,36.95,217874
2013-08-06,37.25,37.54,36.7,36.8,164498
2013-08-07,36.7,36.78,34.3,34.44,276122
2013-08-08,34.76,35.53,34.75,34.93,109227
2013-08-09,35.0,35.66,35.0,35.15,92183
2013-08-12,35.13,35.2,34.0,34.54,155728
2013-08-13,34.5,36.11,34.3,35.3,136673
2013-08-14,35.42,36.49,35.42,36.33,206513
2013-08-15,35.99,37.94,34.7,37.18,248118
2013-08-16,37.24,37.28,36.66,37.04,112625
2013-08-19,37.0,37.0,36.13,36.55,118503
2013-08-20,36.53,36.9,36.24,36.63,96903
2013-08-21,36.49,36.77,36.25,36.64,284455
2013-08-22,36.67,37.14,36.01,36.28,72512
2013-08-23,36.0,36.0,34.78,35.51,139501
2013-08-26,35.51,36.0,34.9,35.26,91256
2013-08-27,34.76,34.76,32.83,33.14,228127
2013-08-28,33.0,33.69,32.76,33.27,105797
2013-08-29,33.44,33.85,33.35,33.76,40078
2013-08-30,34.07,34.07,33.08,33.8,60234
2013-09-03,34.03,35.21,34.03,35.09,123785
2013-09-04,35.14,35.43,34.5,35.39,220673
2013-09-05,35.35,37.45,35.35,37.02,151399
2013-09-06,37.69,37.95,36.0,37.56,121558
2013-09-09,37.7,38.93,37.7,38.74,147324
2013-09-10,38.95,39.47,38.53,39.46,147813
2013-09-11,39.27,39.95,38.8,39.95,114913
2013-09-12,39.96,40.36,39.16,40.14,103209
2013-09-13,40.37,40.41,38.8,40.3,108217
2013-09-16,39.49,39.6,37.0,38.33,562753
2013-09-17,38.2,40.23,37.87,39.81,197529
2013-09-18,40.21,41.2,39.84,41.03,176422
2013-09-19,41.24,41.81,40.61,41.54,124050
2013-09-20,41.51,41.79,38.83,38.86,488449
2013-09-23,38.84,40.85,37.91,39.96,283325
2013-09-24,40.16,40.23,38.5,39.1,150696
2013-09-25,38.99,40.06,38.31,39.83,125594
2013-09-26,39.91,40.87,38.89,39.38,196229
2013-09-27,39.05,39.57,38.87,39.12,118319
2013-09-30,38.74,39.25,38.0,38.64,526937
2013-10-01,38.63,39.36,38.0,39.13,115371
2013-10-02,38.85,39.46,38.64,39.34,181989
2013-10-03,39.09,39.09,37.1,38.07,127030
2013-10-04,38.0,38.19,37.48,38.03,79528
2013-10-07,36.57,37.09,35.26,35.3,301465
2013-10-08,35.36,36.27,32.4,33.36,467742
2013-10-09,33.36,33.54,31.75,32.48,237730
2013-10-10,32.79,36.0,32.79,35.8,238111
2013-10-11,35.89,36.69,34.76,36.22,160867
2013-10-14,35.74,36.04,35.18,35.76,73016
2013-10-15,35.76,35.85,35.28,35.53,75990
2013-10-16,35.71,35.99,35.46,35.5,85327
2013-10-17,35.51,36.53,35.42,36.5,122860
2013-10-18,36.55,36.75,35.74,36.08,104221
2013-10-21,36.13,37.02,35.85,37.01,174278
2013-10-22,37.44,39.85,37.39,39.68,433527
2013-10-23,38.34,38.44,34.73,34.97,4955221
2013-10-24,35.16,35.16,32.45,33.07,1728182
2013-10-25,33.0,34.35,32.9,33.21,974343
2013-10-28,33.9,33.9,32.53,32.68,549038
2013-10-29,32.51,32.77,31.81,31.89,564232
2013-10-30,31.9,32.49,31.54,31.9,596716
2013-10-31,31.81,31.94,30.5,30.78,736567
2013-11-01,30.71,31.33,30.5,30.9,507451
2013-11-04,31.53,32.79,31.25,32.62,818594
2013-11-05,29.97,29.97,27.0,27.7,2355584
2013-11-06,27.75,27.81,26.61,27.69,714105
2013-11-07,27.93,28.45,27.48,27.65,384548
2013-11-08,27.56,28.55,27.56,28.44,424571
2013-11-11,28.37,28.88,28.07,28.66,261827
2013-11-12,28.5,28.71,28.12,28.5,296971
2013-11-13,28.25,30.12,28.25,29.99,292402
2013-11-14,29.98,29.98,28.92,29.36,216024
2013-11-15,29.29,29.5,28.67,29.01,205350
2013-11-18,29.37,30.0,28.52,29.0,275152
2013-11-19,28.82,28.89,27.59,27.61,372138
2013-11-20,27.68,28.39,27.41,27.69,345747
2013-11-21,27.8,28.61,27.27,28.43,135681
2013-11-22,28.5,29.14,28.02,28.98,196618
2013-11-25,28.95,29.41,28.24,28.61,368776
2013-11-26,28.68,30.0,28.26,29.56,362720
2013-11-27,29.53,30.0,29.06,29.62,196944
2013-11-29,29.57,29.82,29.16,29.21,44811
2013-12-02,29.15,29.2,28.73,29.15,273495
2013-12-03,29.01,29.17,27.63,27.75,292814
2013-12-04,28.15,28.75,27.92,28.18,238509
2013-12-05,28.08,28.94,27.9,28.69,230406
2013-12-06,28.87,29.6,28.83,29.27,384847
2013-12-09,29.16,29.75,29.05,29.73,239514
2013-12-10,29.6,29.86,29.33,29.47,161330
2013-12-11,29.38,29.47,28.45,28.63,190442
2013-12-12,28.41,28.51,27.57,27.73,205706
2013-12-13,27.37,27.37,25.18,25.46,821162
2013-12-16,25.19,26.52,25.19,26.49,284376
2013-12-17,26.45,26.84,26.02,26.21,167784
2013-12-18,26.35,27.7,26.17,27.43,262304
2013-12-19,27.38,27.78,27.2,27.38,105927
2013-12-20,27.48,29.09,27.48,29.05,388685
2013-12-23,29.14,29.69,28.59,29.03,256707
2013-12-24,29.22,29.22,28.62,28.67,50187
2013-12-26,28.69,28.77,27.9,28.07,106875
2013-12-27,28.01,28.66,27.73,28.29,127594
2013-12-30,28.27,28.36,27.19,27.36,262781
2013-12-31,27.32,28.26,27.13,28.08,187929
2014-01-02,28.1,28.1,27.39,27.8,113658
2014-01-03,27.95,30.38,27.95,29.99,252063
2014-01-06,30.1,30.29,28.58,29.07,240429
2014-01-07,29.06,31.8,29.06,29.96,583804
2014-01-08,29.96,31.52,29.56,31.48,239241
2014-01-09,31.49,31.58,29.51,29.71,238025
2014-01-10,29.86,30.18,29.53,29.9,136799
2014-01-13,29.82,29.98,28.12,28.72,271596
2014-01-14,28.79,29.88,28.79,29.12,137630
2014-01-15,29.31,29.31,28.55,28.69,212025
2014-01-16,28.75,30.44,28.75,30.38,383406
2014-01-17,30.23,30.25,29.27,29.74,358889
2014-01-21,29.6,29.96,28.52,29.11,391794
2014-01-22,29.05,29.19,28.79,29.16,309243
2014-01-23,28.97,30.62,28.22,30.16,488412
2014-01-24,30.22,31.75,29.72,31.55,678748
2014-01-27,31.47,31.54,29.1,30.21,258106
2014-01-28,30.35,30.35,29.94,30.01,162860
2014-01-29,29.64,29.64,28.03,28.08,342388
2014-01-30,28.35,28.8,27.66,28.02,282029
2014-01-31,28.64,31.37,28.41,30.46,805263
2014-02-03,31.1,31.35,29.38,29.83,334872
2014-02-04,30.08,31.93,29.74,31.29,480108
2014-02-05,31.99,32.5,27.71,30.88,1264284
2014-02-06,30.45,31.09,28.9,30.61,532760
2014-02-07,30.86,31.77,30.56,31.66,311757
2014-02-10,31.53,32.26,30.91,32.14,171813
2014-02-11,32.19,32.28,30.94,31.66,517603
2014-02-12,31.39,31.53,30.6,30.85,247933
2014-02-13,30.55,31.48,30.35,31.3,147714
2014-02-14,31.3,31.3,30.48,30.51,131252
2014-02-18,30.42,30.91,29.82,29.86,149688
2014-02-19,29.47,30.93,29.17,30.75,320977
2014-02-20,30.67,31.58,30.61,31.37,307696
2014-02-21,31.28,32.0,30.91,31.36,218669
2014-02-24,31.25,32.1,30.91,31.88,342931
2014-02-25,31.72,33.69,31.63,32.71,483963
2014-02-26,32.83,33.48,32.12,32.25,258534
2014-02-27,31.94,32.38,31.66,32.06,123711
2014-02-28,31.9,32.34,31.23,31.56,170367
2014-03-03,31.19,32.86,30.9,32.86,315323
2014-03-04,33.29,34.6,33.05,34.33,464930
2014-03-05,34.13,35.1,33.78,35.04,367689
2014-03-06,34.97,35.48,34.32,34.58,232919
2014-03-07,34.86,34.86,33.61,33.94,122729
2014-03-10,33.86,34.14,33.37,33.99,172256
2014-03-11,34.31,34.73,33.18,33.61,268604
2014-03-12,33.75,34.27,32.66,34.17,139808
2014-03-13,34.4,34.4,33.67,34.0,295263
2014-03-14,33.93,34.36,33.61,34.0,173560
2014-03-17,34.22,34.67,33.94,34.26,97597
2014-03-18,34.41,34.97,34.21,34.66,122707
2014-03-19,34.73,34.92,34.1,34.36,72893
2014-03-20,35.06,36.75,35.06,36.29,376846
2014-03-21,36.52,36.52,35.57,35.57,648586
2014-03-24,35.86,35.86,33.84,33.9,259920
