Date,Open,High,Low,Close,Volume
2012-01-25,16.75,18.0,16.45,17.12,7030831
2012-01-26,17.3,17.9,16.77,17.43,809445
2012-01-27,17.54,17.9,17.06,17.83,371700
2012-01-30,18.1,18.45,17.86,18.05,266830
2012-01-31,18.39,18.5,17.66,18.03,206491
2012-02-01,18.19,19.1,18.0,18.95,170707
2012-02-02,19.3,20.0,18.95,19.95,116611
2012-02-03,21.0,21.78,19.7,20.19,698413
2012-02-06,20.26,20.61,19.88,20.12,125578
2012-02-07,20.34,21.04,20.25,20.98,54271
2012-02-08,21.34,22.0,21.0,21.77,131744
2012-02-09,21.75,21.75,21.15,21.74,88082
2012-02-10,21.69,22.71,21.21,22.06,121968
2012-02-13,23.38,23.38,22.6,23.09,121824
2012-02-14,23.24,23.29,22.44,22.6,215584
2012-02-15,22.89,23.01,22.65,22.8,316669
2012-02-16,21.78,22.96,21.78,22.35,102606
2012-02-17,22.5,22.81,22.07,22.11,220373
2012-02-21,22.77,22.98,22.26,22.48,196905
2012-02-22,22.6,25.05,22.3,23.99,290490
2012-02-23,24.09,24.25,23.81,23.95,100072
2012-02-24,24.01,24.07,23.17,23.49,264363
2012-02-27,23.37,23.6,22.79,22.81,110665
2012-02-28,22.88,23.25,22.8,23.01,76578
2012-02-29,23.15,23.15,22.45,22.62,40577
2012-03-01,22.9,23.35,22.58,22.94,273503
2012-03-02,22.93,23.16,22.88,22.95,77498
2012-03-05,22.93,23.29,21.69,21.69,201870
2012-03-06,21.6,22.42,20.04,21.69,335288
2012-03-07,21.91,22.08,21.49,21.84,36434
2012-03-08,21.85,22.2,21.83,22.08,60908
2012-03-09,22.13,22.75,21.89,22.43,112664
2012-03-12,22.49,22.73,22.42,22.73,56179
2012-03-13,22.75,25.65,22.75,25.65,188722
2012-03-14,29.5,32.85,28.4,30.04,821645
2012-03-15,30.0,32.91,30.0,32.35,495943
2012-03-16,32.75,32.75,31.0,32.31,145106
2012-03-19,32.52,33.8,32.35,33.05,120345
2012-03-20,32.7,32.74,31.61,32.68,91003
2012-03-21,32.66,32.8,32.04,32.35,61022
2012-03-22,31.86,32.01,31.15,31.55,65378
2012-03-23,31.69,34.03,31.69,32.89,159561
2012-03-26,33.5,38.13,33.5,35.37,313584
2012-03-27,35.7,35.86,33.88,35.0,170579
2012-03-28,34.99,35.5,32.27,32.7,232185
2012-03-29,32.32,32.64,31.09,31.93,323659
2012-03-30,32.32,32.92,30.6,30.78,1047473
2012-04-02,30.83,30.89,29.4,30.0,548557
2012-04-03,28.13,29.7,27.86,28.02,649356
2012-04-04,27.64,29.36,27.15,29.23,307850
2012-04-05,29.16,31.71,29.05,30.65,252953
2012-04-09,30.06,30.28,29.2,30.24,109467
2012-04-10,30.24,30.69,27.55,27.67,274228
2012-04-11,28.39,28.64,26.7,27.85,150061
2012-04-12,27.91,29.19,27.71,28.45,140213
2012-04-13,28.49,28.55,27.42,27.98,93535
2012-04-16,28.15,28.17,26.7,27.09,166142
2012-04-17,27.21,28.68,26.85,28.49,241832
2012-04-18,28.5,29.7,28.4,29.14,474663
2012-04-19,29.2,29.89,28.54,28.65,4127024
2012-04-20,28.99,29.0,26.96,27.15,508880
2012-04-23,26.76,26.77,25.33,26.41,454765
2012-04-24,26.37,26.7,24.34,25.33,443351
2012-04-25,25.71,26.37,24.87,26.19,543550
2012-04-26,26.29,26.95,25.64,26.14,245564
2012-04-27,26.35,27.02,25.9,26.89,170186
2012-04-30,26.94,27.22,26.64,27.22,111419
2012-05-01,27.14,27.52,26.81,27.05,171014
2012-05-02,26.78,27.72,26.78,27.58,204708
2012-05-03,27.66,27.66,27.07,27.27,123935
2012-05-04,27.12,27.26,26.27,27.05,245724
2012-05-07,27.0,27.47,26.93,27.09,130568
2012-05-08,26.92,26.92,25.37,25.99,149100
2012-05-09,25.57,25.87,24.78,25.17,156507
2012-05-10,25.34,25.92,22.61,23.14,2286308
2012-05-11,23.14,26.0,23.14,25.77,202103
2012-05-14,25.5,27.06,25.08,26.72,280716
2012-05-15,26.63,28.0,26.6,27.11,219929
2012-05-16,27.3,27.65,25.67,25.9,179440
2012-05-17,26.02,26.05,25.21,25.38,123863
2012-05-18,25.32,25.95,24.81,25.45,174820
2012-05-21,25.51,26.26,24.91,26.0,170521
2012-05-22,26.02,27.11,26.0,26.25,105816
2012-05-23,25.91,27.03,25.88,26.92,108926
2012-05-24,27.04,27.04,26.35,26.5,97373
2012-05-25,26.55,26.55,26.0,26.2,82414
2012-05-29,26.54,26.99,26.24,26.66,63869
2012-05-30,26.36,26.36,25.42,25.7,106324
2012-05-31,25.77,26.27,25.05,25.91,228676
2012-06-01,25.04,25.57,24.11,24.19,172034
2012-06-04,24.34,24.48,22.4,23.03,232133
2012-06-05,22.93,24.72,22.68,24.26,362980
2012-06-06,26.2,27.28,22.76,24.07,904002
2012-06-07,24.57,24.65,22.61,22.77,434098
2012-06-08,22.77,24.41,22.51,23.46,370891
2012-06-11,23.89,24.4,23.16,24.22,318271
2012-06-12,24.18,24.35,23.7,24.27,323480
2012-06-13,24.16,25.35,23.95,25.07,357996
2012-06-14,25.0,25.99,24.91,25.84,252160
2012-06-15,26.0,26.97,25.93,26.72,440764
2012-06-18,26.45,27.8,26.26,27.6,203726
2012-06-19,27.81,28.81,27.69,28.76,169861
2012-06-20,28.39,29.5,28.17,29.36,220594
2012-06-21,29.05,29.05,27.51,28.3,401399
2012-06-22,28.46,29.15,28.02,29.12,1633384
2012-06-25,28.67,29.29,28.07,28.75,407914
2012-06-26,28.56,29.18,28.56,29.0,286347
2012-06-27,28.41,29.46,28.41,29.19,262442
2012-06-28,28.88,29.33,26.83,26.89,230089
2012-06-29,27.87,28.19,27.26,28.12,201094
2012-07-02,28.25,28.49,27.62,28.15,202723
2012-07-03,28.03,28.16,27.64,27.78,138125
2012-07-05,27.68,28.28,26.89,27.11,125307
2012-07-06,26.77,27.05,26.44,26.79,157790
2012-07-09,26.73,26.84,24.45,25.28,360201
2012-07-10,25.34,25.56,25.07,25.35,303185
2012-07-11,25.46,25.53,23.96,24.21,195789
2012-07-12,23.97,24.63,23.48,23.66,289201
2012-07-13,23.88,24.91,23.8,24.69,401496
2012-07-16,24.58,25.6,24.4,25.47,128938
2012-07-17,26.0,27.0,25.75,26.88,344424
2012-07-18,26.72,26.99,26.47,26.68,244141
2012-07-19,26.86,28.23,26.85,28.08,334817
2012-07-20,28.15,28.49,27.08,27.68,750948
2012-07-23,26.56,26.66,24.95,25.48,1424239
2012-07-24,25.42,25.5,24.58,25.0,472895
2012-07-25,25.0,25.55,24.44,24.51,606306
2012-07-26,25.15,25.5,24.6,25.14,477285
2012-07-27,25.39,25.89,24.9,25.86,359982
2012-07-30,25.67,25.78,24.7,25.66,423639
2012-07-31,25.33,25.84,24.7,25.66,367027
2012-08-01,25.74,26.47,25.11,25.69,308097
2012-08-02,25.29,26.0,25.26,25.74,190716
2012-08-03,26.16,27.55,25.9,26.92,590699
2012-08-06,26.96,27.27,26.39,26.5,254334
2012-08-07,26.56,26.59,25.87,26.27,349455
2012-08-08,26.01,26.22,25.63,25.74,215085
2012-08-09,25.54,25.85,25.06,25.37,399027
2012-08-10,25.59,25.9,25.05,25.29,270270
2012-08-13,25.29,25.29,24.3,24.81,199623
2012-08-14,24.92,25.0,24.0,24.64,400131
2012-08-15,24.6,25.57,24.56,25.47,627965
2012-08-16,25.5,26.43,25.1,26.37,328427
2012-08-17,26.38,27.0,26.38,26.99,260538
2012-08-20,26.83,26.99,26.12,26.97,221644
2012-08-21,27.0,27.67,26.8,27.67,372616
2012-08-22,27.51,28.05,27.5,27.94,341799
2012-08-23,27.64,27.96,26.85,27.87,400107
2012-08-24,27.46,28.05,27.29,27.64,272130
2012-08-27,27.48,27.97,27.38,27.63,263915
2012-08-28,27.65,28.2,27.5,28.03,569038
2012-08-29,28.14,28.51,27.71,28.38,253491
2012-08-30,28.23,28.41,27.95,28.09,155502
2012-08-31,28.45,28.6,27.97,28.55,181426
2012-09-04,28.44,29.5,27.96,29.35,747341
2012-09-05,32.94,33.15,31.32,32.25,2845810
2012-09-06,32.11,32.38,30.93,31.98,939832
2012-09-07,30.41,31.5,28.04,31.3,1381782
2012-09-10,30.04,30.45,29.08,30.23,1077902
2012-09-11,30.05,30.75,30.01,30.65,491034
2012-09-12,30.66,30.7,29.92,30.14,409477
2012-09-13,30.08,30.91,29.96,30.57,483176
2012-09-14,30.65,30.65,30.18,30.63,400138
2012-09-17,30.52,31.37,30.49,31.26,673465
2012-09-18,31.23,31.31,30.64,31.13,368718
2012-09-19,30.92,31.41,30.7,31.31,428661
2012-09-20,31.04,31.49,30.87,31.3,385227
2012-09-21,31.62,31.62,30.35,31.34,508438
2012-09-24,31.13,31.24,30.82,31.1,348319
2012-09-25,30.6,30.92,29.93,30.11,1227112
2012-09-26,30.17,30.17,29.02,29.59,416487
2012-09-27,29.87,31.0,29.66,30.97,411859
2012-09-28,30.79,31.29,30.53,31.05,597111
2012-10-01,31.24,31.3,30.46,31.17,572388
2012-10-02,31.05,31.27,29.52,30.72,802656
2012-10-03,30.78,31.2,30.64,30.97,301681
2012-10-04,31.23,32.26,30.82,32.15,1073004
2012-10-05,32.0,32.38,31.61,31.87,827924
2012-10-08,31.55,32.0,31.34,31.85,300527
2012-10-09,30.97,31.64,30.59,30.84,739050
2012-10-10,30.0,30.04,29.2,29.96,1112056
2012-10-11,30.39,30.93,29.93,30.24,314109
2012-10-12,30.29,30.58,29.97,30.17,376760
2012-10-15,30.13,31.05,30.1,31.0,602480
2012-10-16,31.06,31.24,30.81,31.0,408251
2012-10-17,31.0,31.0,29.41,29.59,451194
2012-10-18,29.71,29.71,29.03,29.37,340956
2012-10-19,29.2,29.26,28.32,28.7,466720
2012-10-22,28.89,28.99,28.42,28.76,365912
2012-10-23,28.39,30.03,28.08,29.94,747352
2012-10-24,29.95,30.15,29.56,30.06,326461
2012-10-25,30.41,30.41,29.65,29.93,364408
2012-10-26,30.01,30.11,28.73,29.56,400838
2012-10-31,29.82,30.74,29.6,30.64,422895
2012-11-01,30.75,31.84,29.15,31.74,693903
2012-11-02,31.85,31.85,30.02,30.06,238397
2012-11-05,31.32,31.52,30.32,31.4,350228
2012-11-06,31.57,31.62,29.86,29.99,286996
2012-11-07,29.59,29.87,29.01,29.29,372586
2012-11-08,29.12,29.36,28.05,28.68,396844
2012-11-09,28.34,29.44,28.29,28.62,398054
2012-11-12,28.68,29.29,28.4,29.06,192302
2012-11-13,28.82,29.67,28.57,29.24,342512
2012-11-14,29.39,29.82,28.84,29.06,482812
2012-11-15,29.35,29.81,28.96,29.5,463478
2012-11-16,29.41,30.9,29.17,30.87,460469
2012-11-19,31.05,31.16,29.75,30.84,440826
2012-11-20,30.72,30.82,29.86,30.17,1028757
2012-11-21,30.4,30.81,30.01,30.11,323000
2012-11-23,30.32,30.75,30.05,30.4,114331
2012-11-26,30.67,30.67,29.42,29.7,437338
2012-11-27,29.82,30.23,28.0,29.46,846802
2012-11-28,25.48,31.38,25.46,31.28,3465880
2012-11-29,31.42,31.85,29.98,30.8,697088
2012-11-30,29.24,29.99,28.95,29.9,4979794
2012-12-03,30.35,30.35,29.32,29.49,574919
2012-12-04,29.62,29.62,29.25,29.35,496305
2012-12-05,29.45,29.55,28.97,29.03,671744
2012-12-06,28.6,29.04,28.42,28.84,599963
2012-12-07,28.41,29.7,28.32,29.47,787743
2012-12-10,29.3,29.98,28.97,29.79,879653
2012-12-11,29.86,30.55,29.48,30.49,776581
2012-12-12,30.54,30.9,30.22,30.62,458822
2012-12-13,30.57,31.05,30.44,30.93,820663
2012-12-14,30.55,30.98,30.28,30.7,538653
2012-12-17,30.75,31.3,30.39,31.13,651036
2012-12-18,31.2,32.0,30.92,31.85,756777
2012-12-19,31.46,31.76,30.5,30.72,830278
2012-12-20,30.54,30.92,30.13,30.3,769892
2012-12-21,30.03,30.76,29.69,30.72,847799
2012-12-24,30.38,30.38,29.64,30.01,246454
2012-12-26,30.0,30.22,29.27,29.38,237440
2012-12-27,29.33,29.45,28.32,29.03,408228
2012-12-28,29.01,29.28,28.77,29.01,291917
2012-12-31,28.8,29.74,28.48,29.72,468721
2013-01-02,30.4,30.93,30.17,30.85,389576
2013-01-03,30.69,30.9,30.37,30.55,243352
2013-01-04,30.78,31.12,30.5,30.94,264142
2013-01-07,31.0,31.18,30.9,31.03,337780
2013-01-08,31.17,31.17,30.67,30.91,295383
2013-01-09,30.99,31.71,30.78,31.69,345174
2013-01-10,31.2,31.35,30.06,30.93,502109
2013-01-11,30.99,31.95,30.67,31.87,570603
2013-01-14,31.67,32.4,31.51,32.15,753000
2013-01-15,31.83,32.37,31.83,32.28,328756
2013-01-16,32.28,33.73,32.06,33.15,746878
2013-01-17,33.2,33.77,32.64,33.62,408163
2013-01-18,33.45,33.59,33.03,33.16,382409
2013-01-22,32.92,33.11,31.58,32.1,534538
2013-01-23,31.92,33.04,31.91,32.92,393125
2013-01-24,33.01,33.19,32.49,32.97,190960
2013-01-25,33.2,33.55,32.85,33.5,276554
2013-01-28,33.46,34.54,33.34,34.52,550211
2013-01-29,34.23,34.46,33.76,33.89,210177
2013-01-30,33.87,33.96,32.4,32.5,372189
