Date,Open,High,Low,Close,Volume
2000-06-29,13.5,13.88,13.25,13.81,170900
2000-06-30,13.66,14.25,13.31,14.25,87100
2000-07-03,13.62,14.5,13.56,14.25,115600
2000-07-05,14.0,14.5,13.75,14.06,89600
2000-07-06,14.56,14.59,14.0,14.31,151200
2000-07-07,14.28,14.5,13.88,13.94,127600
2000-07-10,14.09,14.5,13.62,14.06,158000
2000-07-11,14.0,14.19,13.38,13.62,195700
2000-07-12,13.75,14.12,13.38,13.62,83600
2000-07-13,13.69,13.94,13.25,13.75,107900
2000-07-14,14.0,14.06,13.25,13.5,107300
2000-07-17,13.53,13.62,13.12,13.56,105200
2000-07-18,13.62,13.62,13.25,13.38,87600
2000-07-19,13.56,13.59,13.38,13.38,126700
2000-07-20,13.31,14.5,12.88,14.0,274700
2000-07-21,14.25,16.0,13.75,15.69,767500
2000-07-24,15.84,16.25,15.38,15.5,429100
2000-07-25,15.5,16.0,15.38,15.5,272200
2000-07-26,15.88,15.88,14.75,14.88,240200
2000-07-27,14.62,15.06,14.12,14.12,386100
2000-07-28,14.12,14.62,14.0,14.19,488400
2000-07-31,14.06,14.88,14.0,14.88,162200
2000-08-01,14.75,15.0,14.5,14.88,56100
2000-08-02,14.62,15.06,14.62,14.88,67900
2000-08-03,14.62,15.5,14.25,15.44,116400
2000-08-04,15.25,15.69,14.5,14.88,267900
2000-08-07,14.75,15.75,14.5,15.19,196900
2000-08-08,14.31,15.0,14.31,14.56,330500
2000-08-09,14.69,14.88,14.38,14.38,84100
2000-08-10,14.12,14.25,13.94,14.0,95700
2000-08-11,14.0,14.56,14.0,14.12,38700
2000-08-14,14.0,14.5,14.0,14.38,49900
2000-08-15,14.12,14.62,14.0,14.5,55100
2000-08-16,14.62,14.88,14.38,14.75,202800
2000-08-17,14.62,15.06,14.5,14.81,69900
2000-08-18,14.91,15.56,14.5,15.25,135800
2000-08-21,15.44,16.75,15.38,16.73,251300
2000-08-22,16.75,19.94,16.5,18.12,1387200
2000-08-23,17.56,18.44,17.38,17.75,520200
2000-08-24,18.06,18.31,17.91,18.19,300600
2000-08-25,18.28,19.12,18.25,19.0,588800
2000-08-28,0.0,19.06,18.5,18.69,146400
2000-08-29,18.75,18.81,18.38,18.81,132200
2000-08-30,18.56,18.88,18.19,18.44,96000
2000-08-31,19.12,24.5,18.5,23.75,3787500
2000-09-01,23.5,24.5,23.12,23.75,935300
2000-09-05,23.75,23.75,22.62,23.25,655900
2000-09-06,22.88,23.0,21.62,22.0,738900
2000-09-07,22.12,23.62,22.12,22.94,449300
2000-09-08,22.91,23.25,22.31,22.44,576600
2000-09-11,22.44,23.0,21.69,22.06,207500
2000-09-12,22.0,23.44,21.88,23.0,183500
2000-09-13,22.94,23.12,22.38,22.81,297700
2000-09-14,23.03,23.06,22.12,22.31,165600
2000-09-15,22.25,22.5,21.88,22.25,156800
2000-09-18,22.38,23.0,21.12,21.75,119600
2000-09-19,21.62,21.94,21.5,21.94,119400
2000-09-20,22.0,23.38,21.5,23.06,258000
2000-09-21,23.06,25.0,22.56,24.75,406700
2000-09-22,24.0,24.0,22.38,23.56,607700
2000-09-25,23.0,24.44,22.5,23.0,215500
2000-09-26,23.0,23.12,22.0,22.06,228500
2000-09-27,22.19,22.38,20.56,20.56,128400
2000-09-28,20.44,22.81,19.27,21.62,227400
2000-09-29,21.19,22.19,20.0,21.06,181700
2000-10-02,21.0,21.5,19.0,19.25,138100
2000-10-03,19.44,20.75,19.44,20.5,120100
2000-10-04,20.16,22.19,19.88,21.94,348600
2000-10-05,21.27,22.5,21.0,21.94,325200
2000-10-06,21.64,22.25,20.88,20.94,231700
2000-10-09,20.48,21.62,19.94,21.38,179400
2000-10-10,21.31,21.88,20.69,20.88,95400
2000-10-11,20.59,21.38,20.5,20.88,311300
2000-10-12,20.75,21.25,20.69,20.69,108600
2000-10-13,20.64,21.5,20.25,21.5,251900
2000-10-16,21.5,21.69,20.88,21.38,115000
2000-10-17,21.69,21.94,18.62,20.06,221600
2000-10-18,19.75,19.98,18.94,19.62,138300
2000-10-19,19.28,22.06,18.0,21.81,214400
2000-10-20,21.33,21.88,19.62,21.0,160700
2000-10-23,20.97,21.44,20.02,20.81,150100
2000-10-24,20.88,21.69,20.38,20.75,161700
2000-10-25,20.47,20.69,19.0,19.44,138600
2000-10-26,19.31,20.0,17.62,19.56,324800
2000-10-27,20.25,20.31,18.31,19.56,142600
2000-10-30,19.81,20.94,19.12,20.0,97800
2000-10-31,20.06,23.12,19.56,21.94,133900
2000-11-01,21.0,21.0,19.56,19.94,269900
2000-11-02,19.95,20.12,18.44,18.69,695100
2000-11-03,18.69,19.31,18.67,19.12,104800
2000-11-06,19.0,19.0,17.94,18.69,160600
2000-11-07,18.69,19.19,17.88,18.94,118000
2000-11-08,18.94,18.94,17.81,17.88,144500
2000-11-09,17.88,18.12,17.25,18.12,215300
2000-11-10,18.25,18.88,16.5,16.81,68300
2000-11-13,16.81,17.88,16.0,17.19,130500
2000-11-14,17.62,19.12,17.02,19.12,132600
2000-11-15,19.0,19.38,18.5,19.12,111200
2000-11-16,18.72,18.81,17.88,18.38,145900
2000-11-17,18.31,18.44,18.0,18.12,71400
2000-11-20,18.0,18.36,17.0,17.06,88400
2000-11-21,17.44,17.48,16.31,16.44,101700
2000-11-22,16.31,17.0,16.31,16.62,279800
2000-11-24,16.62,17.12,16.62,17.0,34800
2000-11-27,17.0,17.44,16.0,16.12,51800
2000-11-28,16.0,16.62,15.88,16.31,157700
2000-11-29,16.31,16.75,15.0,15.5,166800
2000-11-30,15.25,15.75,14.88,15.5,208800
2000-12-01,15.12,16.25,15.12,15.44,221700
2000-12-04,15.12,16.75,15.12,16.56,163800
2000-12-05,16.56,17.88,16.5,17.75,157500
2000-12-06,16.81,17.69,16.5,16.5,51700
2000-12-07,16.5,16.94,16.31,16.44,42700
2000-12-08,16.28,18.0,16.25,18.0,78600
2000-12-11,17.5,19.38,17.5,19.19,177900
2000-12-12,18.75,19.5,17.75,17.88,257200
2000-12-13,17.75,18.75,17.62,17.69,108600
2000-12-14,17.62,18.0,16.19,16.38,128500
2000-12-15,16.25,16.38,15.25,15.94,136000
2000-12-18,15.88,16.25,14.62,14.62,151000
2000-12-19,14.62,15.23,14.19,14.75,185800
2000-12-20,14.25,14.5,13.75,14.12,170300
2000-12-21,13.88,14.5,13.69,14.31,194000
2000-12-22,13.62,14.25,13.5,14.06,699700
2000-12-26,13.94,14.75,13.69,14.25,140200
2000-12-27,13.69,14.5,13.69,14.38,205200
2000-12-28,14.25,15.0,13.94,15.0,245400
2000-12-29,14.31,15.0,13.62,13.75,190100
2001-01-02,13.94,14.62,13.69,13.69,81800
2001-01-03,13.5,16.81,13.5,16.81,172100
2001-01-04,16.27,17.88,15.88,17.88,173600
2001-01-05,17.62,17.94,17.44,17.62,119400
2001-01-08,17.97,18.0,15.38,16.25,91900
2001-01-09,15.88,16.69,15.81,16.44,74900
2001-01-10,16.5,17.62,16.25,17.5,45700
2001-01-11,17.69,18.5,17.12,18.5,75900
2001-01-12,18.25,18.75,17.75,18.75,103200
2001-01-16,18.0,19.5,17.81,18.81,261100
2001-01-17,17.5,17.75,15.94,16.06,619100
2001-01-18,16.25,16.3,15.5,15.98,322400
2001-01-19,15.81,15.94,15.25,15.44,210700
2001-01-22,15.06,15.06,14.75,14.94,388500
2001-01-23,14.88,15.38,14.88,15.06,326400
2001-01-24,15.06,15.31,14.75,15.05,302600
2001-01-25,14.69,15.38,14.31,15.31,309000
2001-01-26,15.25,15.38,14.75,14.88,140600
2001-01-29,15.11,15.12,14.69,14.88,682200
2001-01-30,14.94,16.0,14.75,15.44,408500
2001-01-31,15.56,16.69,15.08,16.25,437500
2001-02-01,16.25,16.31,15.44,15.56,83100
2001-02-02,15.56,15.75,15.19,15.38,104200
2001-02-05,15.38,15.5,15.0,15.06,115700
2001-02-06,14.75,15.94,14.75,15.12,225200
2001-02-07,15.0,15.62,15.0,15.25,122500
2001-02-08,15.42,15.75,15.0,15.19,104800
2001-02-09,15.0,15.44,14.75,14.94,115200
2001-02-12,14.81,15.19,14.69,15.0,378000
2001-02-13,14.75,15.75,14.75,14.88,71200
2001-02-14,14.81,15.06,14.62,15.06,62400
2001-02-15,14.88,16.31,14.88,16.25,150200
2001-02-16,15.95,16.25,15.12,15.19,96700
2001-02-20,15.25,15.75,15.12,15.38,149600
2001-02-21,15.0,15.31,14.88,15.25,110300
2001-02-22,15.06,15.38,14.75,15.02,188900
2001-02-23,14.94,15.5,14.77,15.38,66100
2001-02-26,14.89,16.12,14.89,16.06,57700
2001-02-27,15.78,16.0,15.38,15.38,52700
2001-02-28,15.56,16.0,15.25,15.62,41700
2001-03-01,15.69,15.69,14.94,15.31,67600
2001-03-02,15.44,16.19,15.25,15.62,65300
2001-03-05,15.69,15.88,15.31,15.56,40800
2001-03-06,15.81,16.75,15.25,16.56,107200
2001-03-07,16.38,17.19,16.38,17.12,87300
2001-03-08,17.0,17.0,16.38,16.44,45600
2001-03-09,16.0,16.62,16.0,16.38,46300
2001-03-12,15.88,15.94,15.62,15.75,41600
