Date,Open,High,Low,Close,Volume
2001-05-16,39.75,39.75,39.75,39.75,33
2001-05-17,,,,39.75,0
2001-05-18,,,,39.75,0
2001-05-21,,,,39.75,0
2001-05-22,,,,39.75,0
2001-05-23,,,,39.75,0
2001-05-24,,,,39.75,0
2001-05-25,,,,39.75,0
2001-05-29,42.0,45.0,42.0,42.0,400
2001-05-30,40.8,40.8,40.8,40.8,100
2001-05-31,39.0,39.0,34.95,34.95,5733
2001-06-01,34.8,40.86,34.8,40.35,36600
2001-06-04,40.05,40.05,37.95,38.37,20033
2001-06-05,38.25,38.28,36.6,38.1,27000
2001-06-06,37.8,39.3,37.8,38.1,17833
2001-06-07,37.95,38.1,36.75,36.75,63033
2001-06-08,36.45,36.75,35.4,35.43,8533
2001-06-11,35.4,35.4,34.35,34.77,18467
2001-06-12,34.74,35.25,34.44,34.5,11733
2001-06-13,34.5,34.65,33.06,34.05,31767
2001-06-14,33.75,34.95,33.06,33.78,18967
2001-06-15,32.55,33.75,30.0,33.6,81200
2001-06-18,33.0,34.86,33.0,34.44,28867
2001-06-19,34.2,34.23,30.6,33.0,41933
2001-06-20,33.0,33.45,32.76,33.03,88100
2001-06-21,33.03,34.08,33.0,33.24,93800
2001-06-22,33.15,33.15,32.7,33.06,18300
2001-06-25,32.85,32.85,31.8,32.25,25333
2001-06-26,31.95,33.3,31.95,32.7,74933
2001-06-27,32.85,34.5,32.85,33.45,8067
2001-06-28,33.3,35.25,33.3,34.35,12133
2001-06-29,34.2,35.7,32.4,33.0,79567
2001-07-02,32.85,34.35,32.85,33.27,25833
2001-07-03,32.85,38.25,32.85,37.5,32833
2001-07-05,36.0,36.0,33.9,34.5,25367
2001-07-06,34.5,34.59,34.5,34.5,18567
2001-07-09,34.5,34.65,34.47,34.65,72233
2001-07-10,34.5,34.65,33.0,33.45,17667
2001-07-11,33.15,33.18,32.4,33.06,9400
2001-07-12,33.45,34.5,33.0,33.0,22367
2001-07-13,33.0,34.44,32.7,34.44,19600
2001-07-16,33.0,33.15,32.58,32.88,22467
2001-07-17,33.0,33.45,32.7,32.94,37533
2001-07-18,33.0,33.84,32.79,33.84,13467
2001-07-19,33.75,34.41,33.3,34.2,20133
2001-07-20,34.05,34.47,33.75,34.47,12633
2001-07-23,34.2,34.68,33.0,34.68,12433
2001-07-24,34.38,34.38,33.15,34.02,5200
2001-07-25,33.72,34.8,33.3,34.8,16700
2001-07-26,34.5,34.56,33.33,34.53,23133
2001-07-27,34.35,35.97,34.05,35.97,11367
2001-07-30,35.67,35.67,34.2,35.55,20800
2001-07-31,35.25,35.97,35.04,35.94,18067
2001-08-01,35.64,35.7,35.04,35.55,5433
2001-08-02,35.4,35.64,34.65,35.43,8000
2001-08-03,35.25,35.25,34.5,35.01,10367
2001-08-06,34.8,34.8,34.53,34.68,3833
2001-08-07,34.5,36.45,34.2,35.31,16233
2001-08-08,35.25,35.37,34.65,35.37,11067
2001-08-09,35.28,35.4,34.71,35.1,14100
2001-08-10,35.1,35.55,34.5,35.55,5067
2001-08-13,35.46,35.55,34.74,35.49,3733
2001-08-14,35.4,36.03,35.4,36.0,13167
2001-08-15,35.7,36.0,35.28,36.0,6867
2001-08-16,35.85,35.85,34.5,35.85,9600
2001-08-17,35.67,35.97,34.74,35.73,10700
2001-08-20,35.55,36.45,35.4,36.45,16900
2001-08-21,36.3,36.57,35.73,36.33,16300
2001-08-22,36.15,36.54,35.7,35.94,10700
2001-08-23,35.76,36.3,35.64,36.27,11000
2001-08-24,36.06,36.06,35.43,35.7,3767
2001-08-27,35.67,36.0,35.07,35.07,12433
2001-08-28,35.25,35.46,34.86,35.34,4067
2001-08-29,35.04,35.04,34.83,34.92,7767
2001-08-30,34.8,34.8,33.6,33.6,18300
2001-08-31,33.75,34.05,33.21,33.57,28967
2001-09-04,33.45,33.75,33.06,33.36,49133
2001-09-05,33.24,33.3,32.97,33.15,28033
2001-09-06,33.0,33.03,32.79,32.79,27667
2001-09-07,32.61,32.85,32.4,32.55,27600
2001-09-10,32.43,33.12,32.4,33.12,7567
2001-09-17,31.5,33.0,31.5,32.7,13767
2001-09-18,32.67,32.97,32.67,32.82,9500
2001-09-19,32.82,32.82,31.35,32.37,8467
2001-09-20,32.19,32.25,30.3,30.42,12300
