Date,Open,High,Low,Close,Volume
2014-04-04,22.18,23.69,21.98,23.0,33214699
2014-04-07,23.5,23.5,22.82,22.99,3058467
2014-04-08,23.25,23.3,22.67,23.0,2560971
2014-04-09,23.08,23.96,23.0,23.7,1816414
2014-04-10,23.75,23.89,23.33,23.75,4838916
2014-04-11,23.68,23.86,23.41,23.46,1005261
2014-04-14,23.7,23.8,23.03,23.52,651797
2014-04-15,23.46,23.5,21.63,22.83,1809020
2014-04-16,23.11,23.44,22.6,23.38,524505
2014-04-17,23.15,23.75,22.83,23.7,511224
2014-04-21,23.63,24.43,23.5,23.64,698152
2014-04-22,23.82,24.04,23.64,23.99,1016308
2014-04-23,23.88,24.16,23.7,23.9,239341
2014-04-24,24.0,24.1,23.68,24.0,681586
2014-04-25,24.0,24.05,23.5,24.0,199297
2014-04-28,23.94,24.36,23.64,23.79,3563854
2014-04-29,23.67,23.91,23.18,23.33,818927
2014-04-30,23.5,23.93,23.29,23.74,317362
2014-05-01,23.88,24.72,23.28,23.42,837624
2014-05-02,23.83,24.37,23.62,24.08,182328
2014-05-05,24.07,24.07,23.3,23.54,447555
2014-05-06,23.64,23.92,23.5,23.74,482544
2014-05-07,23.73,23.99,23.51,23.78,694223
2014-05-08,23.7,23.98,23.67,23.95,269646
2014-05-09,24.0,24.38,23.85,24.13,526590
2014-05-12,24.29,24.94,24.12,24.59,316185
2014-05-13,24.62,25.36,24.42,25.21,226259
2014-05-14,25.47,25.49,24.31,24.44,841186
2014-05-15,24.34,24.34,23.56,23.97,606606
2014-05-16,23.82,24.02,23.08,23.22,603644
2014-05-19,23.01,23.54,22.75,23.43,919339
2014-05-20,23.29,24.39,23.18,24.02,1543206
2014-05-21,24.23,24.7,23.65,24.67,249603
2014-05-22,24.67,24.87,24.22,24.22,171714
2014-05-23,24.16,24.68,23.96,24.45,119760
2014-05-27,24.55,24.7,24.15,24.25,249339
2014-05-28,24.13,24.27,24.0,24.16,130607
2014-05-29,24.26,24.53,24.0,24.51,229192
2014-05-30,24.42,24.48,23.75,24.22,272438
2014-06-02,24.08,24.28,23.83,23.99,1086908
2014-06-03,23.9,24.51,23.82,24.29,1017178
2014-06-04,24.27,24.53,23.85,24.32,1084718
2014-06-05,24.3,24.39,23.97,24.31,437108
2014-06-06,24.33,25.55,24.16,24.4,569788
2014-06-09,24.47,25.11,23.96,24.99,789132
2014-06-10,24.86,25.09,24.83,24.86,248409
2014-06-11,24.85,25.02,24.57,24.7,523793
2014-06-12,24.45,24.66,24.02,24.43,618578
2014-06-13,24.46,24.82,24.28,24.37,909164
2014-06-16,24.51,24.56,23.73,23.83,1066140
2014-06-17,23.85,24.27,23.57,23.8,1209557
2014-06-18,23.79,24.0,23.02,23.39,1462806
2014-06-19,23.57,24.0,23.45,23.95,1440271
2014-06-20,23.88,24.48,23.79,24.19,3436184
2014-06-23,24.14,24.18,23.66,23.93,728333
2014-06-24,23.91,23.91,23.07,23.21,579663
2014-06-25,24.36,25.04,24.25,24.98,2218140
2014-06-26,25.03,25.34,24.68,25.21,564339
2014-06-27,25.24,26.56,25.06,25.45,4462973
2014-06-30,25.6,25.95,25.0,25.68,1086427
2014-07-01,25.83,26.14,25.56,25.9,541902
2014-07-02,25.95,26.14,25.56,25.69,231063
2014-07-03,25.74,26.15,25.55,26.15,140249
2014-07-07,26.03,26.05,25.6,25.8,520871
2014-07-08,25.83,25.95,25.46,25.5,688261
2014-07-09,25.65,25.9,25.23,25.65,387734
2014-07-10,25.5,26.43,25.26,26.04,728889
2014-07-11,25.76,26.36,25.69,26.01,608073
2014-07-14,26.08,26.49,26.0,26.12,362129
2014-07-15,26.22,26.42,25.85,26.23,283417
2014-07-16,26.32,26.36,26.08,26.28,411358
2014-07-17,26.2,26.5,26.09,26.25,407275
2014-07-18,26.25,26.75,26.07,26.65,213791
2014-07-21,26.47,26.76,26.29,26.62,629284
2014-07-22,26.47,26.98,26.34,26.66,410317
2014-07-23,26.69,27.03,26.5,26.9,582839
2014-07-24,26.85,27.64,26.85,27.18,608134
2014-07-25,26.98,27.1,26.45,26.91,761965
2014-07-28,26.8,26.95,26.39,26.6,507930
2014-07-29,26.59,26.84,26.3,26.59,681446
2014-07-30,26.65,26.66,26.41,26.48,569801
2014-07-31,26.41,26.43,25.95,26.1,367230
2014-08-01,26.0,26.23,25.4,25.92,600368
2014-08-04,25.89,26.29,25.85,26.25,444316
2014-08-05,26.32,26.36,25.97,26.25,531779
2014-08-06,26.14,26.67,26.09,26.52,164901
2014-08-07,26.62,26.62,26.0,26.1,385679
2014-08-08,26.08,26.45,25.99,26.41,202544
2014-08-11,26.51,26.69,26.34,26.41,360045
2014-08-12,26.36,26.55,26.09,26.17,310467
2014-08-13,26.26,26.41,26.12,26.16,480360
2014-08-14,26.24,26.56,26.01,26.4,273380
2014-08-15,26.46,26.99,26.46,26.96,333616
2014-08-18,27.06,27.81,27.0,27.37,349070
2014-08-19,27.44,27.68,27.37,27.54,160159
2014-08-20,27.44,28.0,27.4,27.74,256591
2014-08-21,27.7,27.93,27.63,27.82,313901
2014-08-22,27.75,27.84,27.41,27.77,175996
2014-08-25,27.84,28.21,27.69,27.78,142759
2014-08-26,27.75,27.99,27.64,27.78,291137
2014-08-27,27.73,27.96,27.6,27.84,216823
2014-08-28,27.85,28.1,27.72,27.84,148417
2014-08-29,27.77,27.94,27.72,27.9,151124
2014-09-02,27.97,28.38,27.7,28.22,271944
2014-09-03,28.26,28.41,27.63,27.93,620570
2014-09-04,27.97,28.2,27.56,27.72,287494
2014-09-05,27.74,28.29,27.7,28.26,280323
2014-09-08,28.2,28.29,27.91,28.15,142803
2014-09-09,28.15,28.29,27.86,28.2,160664
2014-09-10,28.11,28.19,27.8,27.86,238479
2014-09-11,28.0,28.47,27.86,28.23,482444
2014-09-12,28.16,28.36,28.0,28.02,183432
2014-09-15,28.09,28.21,27.83,27.95,468695
2014-09-16,28.1,28.48,27.83,28.18,667911
2014-09-17,28.37,28.41,27.93,28.01,209709
2014-09-18,28.13,28.29,27.76,27.97,161288
2014-09-19,28.16,28.19,27.63,28.02,410925
2014-09-22,27.99,28.0,27.11,27.22,349412
2014-09-23,27.05,27.37,26.64,26.68,301638
2014-09-24,27.09,27.41,26.7,26.8,214545
2014-09-25,26.8,26.92,26.06,26.4,383673
2014-09-26,26.46,26.52,26.0,26.19,220285
2014-09-29,26.19,26.46,26.0,26.12,806379
2014-09-30,26.38,26.48,26.0,26.19,242441
2014-10-01,25.23,26.1,24.83,25.97,1381256
2014-10-02,26.0,26.33,25.06,26.23,619216
2014-10-03,26.23,26.49,26.08,26.18,339607
2014-10-06,26.15,26.29,25.79,26.0,544590
2014-10-07,25.94,26.13,25.81,25.96,742719
2014-10-08,25.85,26.04,25.44,25.9,368454
2014-10-09,25.85,26.1,25.47,25.52,322902
2014-10-10,25.32,25.84,25.26,25.5,394356
2014-10-13,25.5,25.5,24.56,24.64,285280
2014-10-14,24.71,25.15,24.27,24.96,336199
2014-10-15,24.95,25.1,24.3,24.52,489370
2014-10-16,24.27,25.06,24.12,24.8,387007
2014-10-17,25.04,25.38,24.86,25.16,385068
2014-10-20,25.1,25.41,24.96,25.15,569459
2014-10-21,25.17,25.44,24.97,25.35,354598
2014-10-22,25.45,25.69,25.21,25.49,450078
2014-10-23,25.71,26.33,25.29,26.22,1058418
2014-10-24,25.41,25.63,24.0,24.5,5299902
2014-10-27,24.21,24.28,23.86,24.0,3411574
2014-10-28,24.11,24.5,23.94,24.38,1191212
2014-10-29,24.47,24.59,24.03,24.18,867857
2014-10-30,24.0,24.47,23.83,23.99,834084
2014-10-31,24.36,24.43,23.93,24.25,800784
2014-11-03,24.32,24.5,23.75,23.88,1269025
2014-11-04,23.74,24.07,23.58,23.92,437344
2014-11-05,23.98,24.25,23.86,24.17,610918
2014-11-06,24.12,24.44,23.96,24.32,338937
2014-11-07,24.31,24.61,24.15,24.46,641200
2014-11-10,24.55,24.62,24.25,24.42,464385
2014-11-11,24.38,24.5,24.19,24.42,172652
2014-11-12,24.27,24.76,24.25,24.7,250403
2014-11-13,24.65,24.8,24.49,24.75,338013
2014-11-14,24.71,25.0,24.52,24.95,534920
2014-11-17,24.83,25.06,24.73,24.98,374578
2014-11-18,25.02,25.53,24.85,25.48,571290
2014-11-19,25.44,25.74,25.33,25.52,532713
2014-11-20,25.4,25.82,25.28,25.76,333581
2014-11-21,25.86,25.97,25.11,25.18,565730
2014-11-24,25.18,25.56,25.14,25.33,392942
2014-11-25,25.34,25.7,25.3,25.58,223851
2014-11-26,25.56,25.9,24.57,25.19,976252
2014-11-28,25.12,25.34,24.85,25.0,147729
2014-12-01,24.99,25.33,24.85,25.12,268155
2014-12-02,25.13,25.13,24.81,24.91,469646
2014-12-03,24.95,25.3,24.95,25.22,174646
2014-12-04,25.22,25.73,25.22,25.53,621267
2014-12-05,25.6,25.8,25.42,25.65,901892
2014-12-08,25.52,25.7,24.9,25.05,464570
2014-12-09,24.93,25.55,24.71,25.49,324477
2014-12-10,25.41,25.7,25.15,25.49,619965
2014-12-11,25.56,25.71,25.18,25.35,1122515
2014-12-12,25.33,25.38,25.06,25.22,492957
2014-12-15,25.4,25.56,25.13,25.37,590207
2014-12-16,25.25,25.61,25.2,25.49,581121
2014-12-17,25.51,25.65,24.86,25.3,991132
2014-12-18,25.4,25.6,25.22,25.35,430779
2014-12-19,25.49,26.32,25.48,26.21,1749695
2014-12-22,26.16,26.68,26.0,26.21,504311
2014-12-23,26.25,26.39,26.06,26.33,248037
2014-12-24,26.36,26.37,25.96,26.3,331414
2014-12-26,26.3,26.46,26.24,26.28,122536
2014-12-29,26.32,26.59,26.06,26.26,437658
2014-12-30,26.23,26.3,25.68,25.96,632156
2014-12-31,25.97,25.99,25.59,25.64,186291
2015-01-02,25.8,25.88,25.29,25.63,279255
2015-01-05,25.46,25.57,24.97,25.15,415084
2015-01-06,25.22,25.31,24.75,25.02,508115
2015-01-07,25.19,25.35,25.03,25.26,426514
2015-01-08,25.48,26.01,25.47,26.01,371716
2015-01-09,26.01,26.53,26.01,26.3,265121
2015-01-12,26.36,26.36,25.7,25.91,490383
2015-01-13,26.15,26.86,25.99,26.83,746741
2015-01-14,26.86,26.86,26.36,26.46,219348
2015-01-15,26.55,26.55,25.94,26.0,267316
2015-01-16,26.06,26.64,26.04,26.64,171358
2015-01-20,26.5,26.76,26.32,26.43,685099
2015-01-21,26.42,26.79,26.26,26.66,940731
2015-01-22,26.66,26.84,26.19,26.7,917346
2015-01-23,26.56,26.56,26.02,26.08,2347746
2015-01-26,26.04,26.32,25.88,26.07,1017294
2015-01-27,25.95,25.98,25.26,25.44,747128
2015-01-28,25.49,25.65,24.85,24.97,249117
2015-01-29,24.94,25.2,24.69,25.08,227731
2015-01-30,24.95,25.12,24.54,24.61,890719
2015-02-02,24.72,25.1,24.51,24.99,749280
2015-02-03,25.27,25.65,24.56,24.6,443235
2015-02-04,24.8,25.02,24.59,24.74,260862
2015-02-05,24.54,25.19,24.47,25.15,346140
2015-02-06,25.15,25.3,24.89,25.15,339254
2015-02-09,25.07,25.18,24.75,24.91,229492
2015-02-10,24.75,25.11,24.75,25.02,197987
2015-02-11,24.91,25.41,24.91,25.23,242133
2015-02-12,25.33,25.56,25.11,25.46,296353
2015-02-13,25.45,25.82,25.44,25.68,456814
2015-02-17,25.67,25.74,25.45,25.59,251125
2015-02-18,25.67,25.86,25.29,25.56,298271
2015-02-19,25.4,25.9,25.4,25.9,211045
2015-02-20,25.9,26.22,25.61,26.22,233133
2015-02-23,26.58,26.75,26.28,26.59,576761
2015-02-24,26.51,26.83,26.33,26.45,356964
2015-02-25,26.51,26.74,26.33,26.61,295056
2015-02-26,26.45,26.58,26.3,26.52,217002
2015-02-27,26.45,26.7,26.29,26.32,307792
2015-03-02,26.3,27.16,26.16,26.85,915035
2015-03-03,26.8,27.01,26.42,26.56,249108
2015-03-04,26.5,26.88,26.47,26.68,376137
2015-03-05,26.75,26.98,26.11,26.27,417274
2015-03-06,26.28,26.34,25.69,25.81,425140
2015-03-09,25.88,25.88,24.92,25.22,466637
2015-03-10,25.06,25.32,24.85,25.03,393027
2015-03-11,25.03,25.06,24.72,24.77,397716
2015-03-12,24.89,25.33,24.82,25.19,455000
2015-03-13,25.25,25.61,24.96,25.55,533433
2015-03-16,25.61,26.21,25.5,26.21,492598
2015-03-17,26.08,26.21,25.79,26.09,280341
2015-03-18,26.02,26.44,25.82,26.4,215894
2015-03-19,26.08,26.71,26.06,26.53,467787
2015-03-20,26.55,26.77,26.36,26.71,1136840
2015-03-23,26.71,27.07,26.49,26.92,447155
2015-03-24,26.87,27.1,26.64,26.68,229774
2015-03-25,26.68,26.81,26.14,26.18,173681
2015-03-26,26.19,26.6,26.02,26.55,197254
2015-03-27,26.5,26.82,26.5,26.75,198054
2015-03-30,26.7,26.94,26.67,26.83,176656
2015-03-31,26.74,27.18,26.67,27.07,416385
2015-04-01,27.11,27.12,26.79,27.03,417033
2015-04-02,26.91,27.0,26.79,26.89,296441
2015-04-06,26.78,27.13,26.68,27.01,433320
2015-04-07,27.05,27.25,26.88,27.14,509162
2015-04-08,27.15,27.23,26.99,27.16,214673
2015-04-09,27.28,27.48,27.09,27.18,371943
2015-04-10,27.19,27.34,27.01,27.25,177092
2015-04-13,27.34,27.77,26.93,27.06,283983
2015-04-14,27.2,27.59,27.06,27.55,334869
2015-04-15,27.66,27.66,27.34,27.43,233846
2015-04-16,27.33,27.6,27.3,27.51,94127
2015-04-17,27.46,27.46,27.11,27.19,156945
2015-04-20,27.15,27.56,27.06,27.23,354515
2015-04-21,27.22,27.83,27.13,27.69,326973
2015-04-22,27.67,27.89,27.43,27.73,569089
2015-04-23,27.8,28.1,27.22,27.98,934526
2015-04-24,28.6,29.29,28.35,29.0,1821122
2015-04-27,28.9,29.0,28.28,28.42,1008309
2015-04-28,28.41,28.41,27.98,28.33,524770
2015-04-29,28.05,28.29,27.7,28.08,517083
2015-04-30,28.18,28.2,27.48,27.59,348904
2015-05-01,27.96,28.59,27.59,27.79,432223
2015-05-04,27.81,28.16,27.66,27.87,212997
2015-05-05,27.42,27.95,27.18,27.47,709246
2015-05-06,27.57,28.02,27.35,27.89,1316009
2015-05-07,27.72,28.06,27.44,27.95,14681285
2015-05-08,28.05,28.55,27.92,28.31,2556596
2015-05-11,28.31,28.86,28.28,28.79,1712912
2015-05-12,28.01,28.77,27.68,28.74,1364948
2015-05-13,28.86,29.09,28.65,28.95,1257038
2015-05-14,29.04,29.39,28.94,29.28,1767420
2015-05-15,29.37,29.49,28.66,28.71,2387644
2015-05-18,28.74,29.02,28.48,28.9,971396
2015-05-19,28.98,29.17,28.8,29.0,893153
2015-05-20,29.07,29.08,28.87,28.96,832210
2015-05-21,28.91,29.01,28.74,28.99,507727
2015-05-22,28.94,29.15,28.82,28.91,410454
2015-05-26,28.79,29.0,28.69,28.93,702959
2015-05-27,28.91,29.18,28.88,29.13,929965
2015-05-28,29.14,29.61,29.08,29.57,1043610
2015-05-29,29.46,29.84,29.43,29.76,944927
2015-06-01,29.86,29.97,29.65,29.87,1520377
2015-06-02,29.71,29.84,29.49,29.81,609694
2015-06-03,29.71,29.97,29.64,29.86,669453
2015-06-04,29.75,29.9,29.58,29.83,1513560
2015-06-05,29.76,30.07,29.56,29.97,968658
2015-06-08,29.85,30.08,29.8,29.96,1055476
2015-06-09,29.89,30.09,29.71,30.02,841866
2015-06-10,30.05,30.64,29.96,30.6,1000825
2015-06-11,30.6,30.68,30.34,30.61,722874
2015-06-12,30.46,30.6,30.19,30.21,877872
2015-06-15,30.11,30.15,29.85,30.05,1329142
2015-06-16,29.94,30.5,29.94,30.49,1220808
2015-06-17,30.55,31.06,30.55,30.79,739695
2015-06-18,30.79,31.03,30.74,30.8,723057
2015-06-19,30.88,31.6,30.79,31.37,1999064
2015-06-22,31.64,31.98,31.33,31.86,827464
2015-06-23,31.84,32.18,31.8,31.97,889304
2015-06-24,31.84,31.94,31.36,31.52,821892
2015-06-25,31.63,31.7,31.17,31.45,1245374
2015-06-26,31.47,31.62,31.08,31.14,2952335
2015-06-29,30.88,31.08,30.47,30.5,692051
2015-06-30,30.75,30.89,30.47,30.65,609802
2015-07-01,30.83,30.94,30.6,30.74,655210
2015-07-02,30.7,30.72,30.24,30.61,710787
2015-07-06,30.34,30.59,30.22,30.52,735836
2015-07-07,30.6,30.62,30.02,30.43,669459
2015-07-08,30.22,30.32,29.93,30.04,420384
2015-07-09,30.43,30.5,30.11,30.23,348009
2015-07-10,30.58,30.84,30.47,30.8,673432
2015-07-13,31.11,31.15,30.73,31.11,353680
2015-07-14,31.16,31.42,31.02,31.26,351065
2015-07-15,31.32,31.45,30.93,30.98,297877
2015-07-16,31.22,31.28,30.96,31.06,414231
2015-07-17,31.17,31.27,30.94,31.27,370401
2015-07-20,31.15,31.53,31.15,31.37,699456
2015-07-21,31.32,31.4,31.01,31.04,499833
2015-07-22,30.96,31.17,30.96,31.12,452025
2015-07-23,31.25,31.25,30.72,30.99,538572
2015-07-24,30.86,31.08,30.73,31.06,381487
2015-07-27,30.93,31.0,30.74,30.95,417669
2015-07-28,31.1,31.1,30.74,30.95,690459
2015-07-29,30.99,31.31,30.92,31.24,499655
2015-07-30,31.23,31.97,31.08,31.67,877469
2015-07-31,31.95,33.52,31.92,33.15,1940547
2015-08-03,33.26,33.26,32.46,32.54,962892
2015-08-04,32.65,32.65,31.98,32.02,835971
2015-08-05,32.1,32.32,31.9,32.1,1205676
2015-08-06,31.42,31.45,30.82,31.0,7125900
2015-08-07,31.08,31.29,30.02,30.55,2158140
2015-08-10,30.69,31.07,30.65,30.74,1825763
2015-08-11,30.54,30.91,30.31,30.64,1174535
2015-08-12,30.65,31.12,30.49,31.1,2595483
2015-08-13,31.0,31.17,30.95,30.98,1363047
