Date,Open,High,Low,Close,Volume
2000-06-29,52.0,53.62,49.5,52.5,232500
2000-06-30,52.75,55.0,52.5,54.06,752100
2000-07-03,53.94,54.75,53.0,53.81,134700
2000-07-05,53.75,56.23,53.25,53.62,795100
2000-07-06,53.25,54.5,53.12,53.44,532700
2000-07-07,54.0,55.81,53.12,53.25,840700
2000-07-10,51.0,51.94,48.12,48.5,740000
2000-07-11,51.88,53.12,50.0,51.0,828000
2000-07-12,52.12,54.75,51.5,52.75,708600
2000-07-13,53.25,55.5,49.5,54.75,698600
2000-07-14,55.0,55.0,52.5,53.06,254600
2000-07-17,52.94,57.06,51.75,55.0,288000
2000-07-18,54.75,59.25,54.0,56.81,2098200
2000-07-19,56.75,57.5,55.5,56.75,316400
2000-07-20,57.0,62.0,56.88,58.31,713600
2000-07-21,60.56,63.0,59.25,62.75,2290500
2000-07-24,62.88,63.88,61.56,63.06,663000
2000-07-25,63.03,67.31,62.38,67.0,569800
2000-07-26,65.5,66.25,62.88,65.0,1205400
2000-07-27,64.25,64.31,59.25,60.12,889900
2000-07-28,61.0,62.0,58.38,58.62,767100
2000-07-31,59.0,59.12,55.0,57.31,434900
2000-08-01,57.12,57.38,51.0,52.12,398200
2000-08-02,51.75,54.5,48.0,48.62,511800
2000-08-03,45.77,46.06,39.75,45.0,2786700
2000-08-04,45.12,47.88,45.06,46.5,442500
2000-08-07,47.0,48.0,46.44,47.31,934200
2000-08-08,47.72,49.12,46.38,46.75,885200
2000-08-09,47.12,47.12,45.0,45.25,1015900
2000-08-10,45.56,45.88,41.19,42.56,1105200
2000-08-11,42.62,43.94,39.75,43.0,393100
2000-08-14,44.0,45.19,40.94,44.62,487300
2000-08-15,44.22,46.5,44.19,46.12,533800
2000-08-16,46.88,48.5,46.25,48.0,467000
2000-08-17,47.94,49.0,47.38,47.5,334200
2000-08-18,47.5,50.38,47.5,48.25,740800
2000-08-21,48.75,48.75,46.75,47.0,232900
2000-08-22,46.88,46.88,43.94,45.0,398800
2000-08-23,44.5,53.0,42.0,51.25,1221400
2000-08-24,53.97,55.12,51.75,52.0,1255300
2000-08-25,52.25,52.62,48.25,49.5,237400
2000-08-28,0.0,53.0,47.0,52.88,465300
2000-08-29,52.88,54.12,51.5,52.0,435200
2000-08-30,51.03,51.38,49.0,49.12,597700
2000-08-31,49.0,56.62,48.5,54.0,1350000
2000-09-01,53.88,54.25,50.62,53.0,292700
2000-09-05,52.06,52.69,50.5,51.62,362500
2000-09-06,51.06,51.12,50.0,50.5,414000
2000-09-07,50.81,53.72,50.81,52.44,791200
