Date,Open,High,Low,Close,Volume
2010-05-14,11.0,11.4,10.8,11.01,1560580
2010-05-17,11.05,11.14,10.43,10.74,233925
2010-05-18,10.74,10.99,10.12,10.25,184272
2010-05-19,10.25,10.35,9.74,9.74,176665
2010-05-20,9.55,9.61,8.23,8.46,419878
2010-05-21,8.46,9.35,8.45,9.0,141014
2010-05-24,9.49,9.49,8.92,9.1,105691
2010-05-25,9.25,9.25,8.75,9.05,141000
2010-05-26,9.0,9.5,9.0,9.43,63439
2010-05-27,9.83,10.26,9.5,10.2,121720
2010-05-28,,,,10.45,0
2010-06-01,10.66,10.66,10.28,10.34,24309
2010-06-02,10.29,10.29,9.9,9.91,37484
2010-06-03,9.9,9.9,9.7,9.74,7750
2010-06-04,9.43,9.84,9.43,9.65,27729
2010-06-07,9.92,9.92,9.45,9.45,15961
2010-06-08,9.3,9.3,8.65,8.8,47226
2010-06-09,8.71,8.71,8.45,8.61,31293
2010-06-10,8.88,9.06,8.65,9.03,30772
2010-06-11,8.8,9.84,8.8,9.65,61965
2010-06-14,9.88,10.35,9.83,10.13,64300
2010-06-15,10.3,10.4,10.05,10.4,63271
2010-06-16,10.3,10.7,10.22,10.32,96723
2010-06-17,10.55,10.55,9.9,10.51,53725
2010-06-18,10.3,10.63,10.3,10.62,16750
2010-06-21,10.68,10.83,10.57,10.83,19300
2010-06-22,11.0,11.05,10.77,10.89,59978
2010-06-23,10.93,11.01,10.69,10.9,64100
2010-06-24,10.95,10.95,10.6,10.85,42100
2010-06-25,10.75,11.0,10.6,11.0,61300
2010-06-28,11.01,11.02,10.67,10.67,24640
2010-06-29,10.59,10.59,9.96,9.96,33000
2010-06-30,9.86,10.11,9.7,9.7,37220
2010-07-01,9.85,10.05,9.66,9.8,61314
2010-07-02,,,,10.21,0
2010-07-06,10.36,10.87,10.36,10.79,45940
2010-07-07,10.81,12.49,10.81,12.39,262104
2010-07-08,12.75,13.03,12.1,12.39,111634
2010-07-09,12.54,12.66,12.45,12.5,33247
2010-07-12,12.62,12.62,12.25,12.4,9650
2010-07-13,12.49,12.8,12.22,12.65,141172
2010-07-14,12.15,13.28,11.77,12.65,74210
2010-07-15,12.58,12.95,12.27,12.81,78180
2010-07-16,12.8,13.0,12.57,12.84,42886
2010-07-19,12.8,13.47,12.4,13.47,94170
2010-07-20,13.6,14.37,13.6,14.05,132191
2010-07-21,14.31,14.91,14.25,14.39,153765
2010-07-22,14.76,14.78,14.28,14.32,166960
2010-07-23,14.34,14.73,14.0,14.11,116309
2010-07-26,14.24,15.2,14.06,14.88,234262
2010-07-27,15.5,15.93,14.86,15.08,120491
2010-07-28,15.13,15.13,14.54,14.69,61420
2010-07-29,14.89,15.0,13.16,14.79,188162
