Date,Open,High,Low,Close,Volume
2000-06-29,63.5,63.5,58.25,58.81,4024500
2000-06-30,60.31,64.38,59.69,63.94,3429100
2000-07-03,63.5,65.5,62.0,64.38,1076800
2000-07-05,63.75,63.81,57.0,58.69,5526800
2000-07-06,59.62,64.38,59.0,64.0,3308600
2000-07-07,64.44,64.62,62.62,64.06,3318500
2000-07-10,64.25,67.06,63.12,63.81,2102500
2000-07-11,64.25,68.5,63.0,63.31,2765200
2000-07-12,64.62,67.94,64.25,67.75,1869900
2000-07-13,67.72,70.25,66.19,67.88,2621900
2000-07-14,68.75,70.5,66.44,69.88,1665100
2000-07-17,69.88,70.75,67.0,69.75,1733900
2000-07-18,69.56,69.62,65.0,65.5,1905700
2000-07-19,66.75,68.0,65.44,66.31,2118500
2000-07-20,67.12,69.44,62.62,64.19,2974000
2000-07-21,62.12,64.75,59.88,60.19,2730300
2000-07-24,61.69,63.88,59.5,60.0,3416200
2000-07-25,60.56,62.5,60.5,61.44,2913100
2000-07-26,61.0,61.88,57.94,59.0,3431800
2000-07-27,58.25,58.31,52.06,54.62,5214900
2000-07-28,55.84,56.5,50.25,50.44,5133700
2000-07-31,51.44,56.38,51.19,55.25,4222300
2000-08-01,54.94,57.06,54.0,54.81,2738700
2000-08-02,54.75,57.75,52.62,53.75,2347200
2000-08-03,51.62,57.25,49.75,57.0,4412100
2000-08-04,58.0,58.81,52.62,53.69,4717100
2000-08-07,54.88,58.5,53.25,57.0,2829000
2000-08-08,56.75,58.94,55.88,58.81,2726900
2000-08-09,59.0,61.12,57.38,57.81,2943400
2000-08-10,57.88,59.44,56.31,57.56,1934500
2000-08-11,57.56,62.94,55.62,61.69,2680000
2000-08-14,61.66,65.75,60.19,65.69,2421800
2000-08-15,64.75,67.0,64.5,65.62,1826200
2000-08-16,65.81,68.12,64.38,64.62,3254000
2000-08-17,64.84,70.38,64.69,70.0,4345200
2000-08-18,70.0,70.5,68.12,69.38,2789700
2000-08-21,69.88,71.44,67.06,68.38,2182300
2000-08-22,68.62,70.12,66.81,68.56,1685500
2000-08-23,67.75,69.81,66.5,68.88,2458900
2000-08-24,68.5,70.19,67.0,69.88,2127500
2000-08-25,70.12,71.69,68.06,68.62,1146900
2000-08-28,0.0,70.19,67.62,67.94,1243200
2000-08-29,69.5,71.06,67.75,68.56,3010300
2000-08-30,68.81,69.75,68.0,69.5,1391000
2000-08-31,69.88,72.25,69.44,71.94,2640800
2000-09-01,72.81,74.12,71.75,72.94,2573800
2000-09-05,72.5,72.81,70.25,70.62,2598500
2000-09-06,70.34,70.62,66.94,67.06,2619900
2000-09-07,67.41,71.0,67.38,70.75,2258200
2000-09-08,70.44,70.44,67.25,67.81,2195800
2000-09-11,67.12,69.5,65.5,67.25,2110700
2000-09-12,67.56,69.5,64.69,64.75,1696900
2000-09-13,64.12,68.62,63.94,66.75,2610000
2000-09-14,67.38,69.81,64.12,66.5,2726700
2000-09-15,67.5,67.5,62.75,63.94,4197800
2000-09-18,64.19,66.81,62.5,63.91,2624700
2000-09-19,65.61,67.12,64.38,66.94,2464000
2000-09-20,65.31,68.56,64.62,68.0,2124600
2000-09-21,67.69,68.69,62.0,66.31,2256800
2000-09-22,63.12,64.88,60.31,63.62,5673500
2000-09-25,64.5,65.06,59.06,60.25,2529800
2000-09-26,59.81,63.5,58.94,62.25,3444900
2000-09-27,62.75,66.5,61.69,65.75,4924400
2000-09-28,66.44,71.62,66.38,71.0,3753300
2000-09-29,69.75,70.44,64.12,64.75,3038100
2000-10-02,65.44,66.0,61.0,62.31,2649800
2000-10-03,63.5,63.88,60.0,60.12,3745100
2000-10-04,60.94,66.0,59.56,65.56,3427900
2000-10-05,63.94,65.5,63.31,64.12,2528300
2000-10-06,63.94,65.0,60.06,60.25,2580700
2000-10-09,60.66,61.5,57.06,60.06,2324100
2000-10-10,58.88,58.88,52.69,55.12,5455300
2000-10-11,54.06,62.56,53.88,59.56,4136700
2000-10-12,59.38,62.5,57.06,60.94,3453600
2000-10-13,61.0,67.88,60.5,67.44,3035800
2000-10-16,66.44,67.25,61.75,62.94,3387300
2000-10-17,64.31,64.75,54.75,56.94,5843300
2000-10-18,56.38,61.0,53.31,55.12,8353300
2000-10-19,58.0,64.81,57.75,64.62,6524100
2000-10-20,63.12,64.25,61.88,63.12,4163400
2000-10-23,62.62,67.62,62.5,66.12,2627700
2000-10-24,66.83,66.88,60.0,63.19,3143900
2000-10-25,0.0,60.5,53.25,54.56,8902800
2000-10-26,55.5,58.62,52.0,58.0,5228100
2000-10-27,58.38,59.88,55.12,56.62,4928500
2000-10-30,56.94,61.31,56.62,60.81,3653300
2000-10-31,61.69,66.0,61.56,64.56,3207500
2000-11-01,62.25,63.12,59.88,61.94,4186700
2000-11-02,62.69,66.38,62.62,65.69,3249600
2000-11-03,64.5,66.56,63.31,65.25,2285600
2000-11-06,65.81,68.06,64.94,65.88,1669400
2000-11-07,64.75,64.75,61.25,62.19,3056400
2000-11-08,62.81,62.81,56.94,57.5,3405400
2000-11-09,55.0,61.0,54.5,60.5,5107500
2000-11-10,59.94,60.62,56.31,57.06,3064900
2000-11-13,56.5,61.0,54.38,56.38,5687200
2000-11-14,58.25,62.75,56.19,60.38,3227000
