Date,Open,High,Low,Close,Volume
2012-10-03,8.38,9.04,8.36,8.36,15026174
2012-10-04,8.37,8.4,7.9,8.19,2243760
2012-10-05,8.18,8.18,7.3,7.32,2492543
2012-10-08,7.39,7.55,7.29,7.29,550670
2012-10-09,7.26,7.65,7.12,7.57,425744
2012-10-10,7.56,7.78,7.47,7.72,414494
2012-10-11,7.57,7.9,7.47,7.57,259151
2012-10-12,7.5,7.64,7.4,7.47,169746
2012-10-15,7.39,7.45,7.15,7.23,153249
2012-10-16,7.23,7.26,6.93,7.03,399629
2012-10-17,7.05,7.08,7.0,7.02,246369
2012-10-18,7.0,7.32,7.0,7.25,180650
2012-10-19,7.35,7.35,6.96,7.02,372229
2012-10-22,7.1,7.21,7.0,7.01,343154
2012-10-23,6.91,7.07,6.88,6.9,218419
2012-10-24,6.91,7.01,6.9,6.93,148693
2012-10-25,7.0,7.05,6.93,7.0,194943
2012-10-26,6.88,7.17,6.88,7.0,204804
2012-10-31,7.17,7.4,7.15,7.25,465776
2012-11-01,7.4,7.48,7.26,7.48,298026
2012-11-02,7.49,7.64,7.3,7.61,215522
2012-11-05,7.5,7.75,7.5,7.75,283398
2012-11-06,7.84,7.86,7.71,7.8,210492
2012-11-07,7.8,7.8,7.43,7.59,280077
2012-11-08,7.98,7.98,7.64,7.84,663192
2012-11-09,7.82,8.15,7.82,8.08,330531
2012-11-12,8.01,8.15,7.92,8.13,269755
2012-11-13,8.15,8.3,8.15,8.29,464260
2012-11-14,8.32,8.32,8.17,8.26,220099
2012-11-15,8.28,8.49,8.05,8.46,287658
2012-11-16,8.5,8.6,8.4,8.6,187939
2012-11-19,8.6,8.6,8.31,8.54,226603
2012-11-20,8.6,8.6,8.44,8.47,55549
2012-11-21,8.52,8.52,8.16,8.28,79718
2012-11-23,8.16,8.36,8.16,8.34,12932
2012-11-26,8.39,8.5,8.31,8.43,36811
2012-11-27,8.55,8.72,8.1,8.15,130562
2012-11-28,8.33,8.33,7.71,7.91,169358
2012-11-29,8.01,8.01,7.47,7.92,171725
2012-11-30,7.9,8.39,7.71,8.39,78576
2012-12-03,8.32,8.32,8.0,8.18,81565
2012-12-04,8.1,8.11,7.94,7.98,61371
2012-12-05,7.89,8.06,7.36,7.39,189405
2012-12-06,7.51,7.53,7.06,7.27,152077
