Date,Open,High,Low,Close,Volume
2000-11-17,9.0,9.03,8.0,8.62,943500
2000-11-20,8.69,8.69,8.12,8.5,352500
2000-11-21,8.66,8.69,7.94,8.06,276000
2000-11-22,8.09,8.12,7.94,8.0,433500
2000-11-24,8.0,8.12,8.0,8.0,234000
2000-11-27,8.12,8.31,8.0,8.25,394500
2000-11-28,8.28,8.88,8.25,8.75,178500
2000-11-29,8.75,8.94,8.25,8.75,259500
2000-11-30,8.75,15.36,7.94,14.94,544500
2000-12-01,12.0,12.17,9.12,9.62,705000
2000-12-04,9.69,10.0,9.25,9.62,72000
2000-12-05,9.75,11.0,9.12,10.38,184500
2000-12-06,10.5,11.94,10.31,11.38,397500
2000-12-07,11.72,13.0,11.25,11.94,270000
2000-12-08,12.75,14.12,12.12,12.19,621000
2000-12-11,12.44,15.94,11.0,15.44,720000
2000-12-12,15.56,16.25,14.0,14.88,997500
2000-12-13,15.12,15.25,12.0,12.88,393000
2000-12-14,13.0,13.12,10.75,11.25,354000
2000-12-15,10.94,14.23,10.38,13.12,465000
2000-12-18,14.0,14.62,12.0,12.06,420000
2000-12-19,12.25,14.0,11.25,12.19,232500
2000-12-20,12.06,12.06,9.19,10.44,399000
2000-12-21,10.14,10.38,9.25,9.62,531000
2000-12-22,11.12,12.0,10.38,11.94,126000
2000-12-26,11.94,13.0,11.31,12.62,154500
2000-12-27,12.56,13.0,11.5,11.56,165000
2000-12-28,11.47,11.75,10.94,11.75,75000
2000-12-29,11.88,13.5,11.88,12.38,148500
2001-01-02,12.66,13.0,11.38,11.69,48000
2001-01-03,11.44,13.0,11.0,12.19,438000
2001-01-04,11.83,12.75,11.5,11.5,153000
2001-01-05,12.0,12.0,10.62,10.94,76500
2001-01-08,11.12,12.06,10.75,10.94,69000
2001-01-09,10.92,11.25,10.12,10.38,45000
2001-01-10,10.5,11.88,10.5,10.5,231000
2001-01-11,11.44,12.12,11.25,11.62,262500
2001-01-12,11.75,12.0,11.0,11.62,304500
2001-01-16,11.56,12.0,11.25,11.56,160500
2001-01-17,11.62,11.94,11.19,11.44,300000
2001-01-18,11.73,12.25,11.38,12.0,394500
2001-01-19,12.12,14.69,11.62,14.69,450000
2001-01-22,14.44,14.5,13.0,13.94,372000
2001-01-23,13.84,13.94,12.69,13.25,184500
2001-01-24,13.5,13.88,13.0,13.44,240000
2001-01-25,14.81,14.81,11.0,11.44,297000
2001-01-26,11.19,11.75,10.19,10.56,562500
2001-01-29,10.75,12.38,10.69,12.0,303000
2001-01-30,12.47,12.88,11.56,12.0,138000
2001-01-31,11.91,12.25,11.62,11.88,109500
2001-02-01,12.0,13.5,11.98,13.28,355500
2001-02-02,13.06,14.5,13.06,14.0,507000
2001-02-05,14.31,15.69,14.31,15.0,633000
2001-02-06,15.44,15.75,13.75,14.31,357000
2001-02-07,15.38,15.5,12.5,12.88,1653000
2001-02-08,12.62,12.75,10.81,11.12,1419000
2001-02-09,11.14,11.19,7.75,8.12,2524500
2001-02-12,8.44,8.88,8.19,8.59,655500
2001-02-13,8.61,8.75,8.12,8.38,574500
2001-02-14,8.44,8.44,6.75,8.0,616500
2001-02-15,8.38,8.38,7.5,7.56,421500
2001-02-16,7.48,7.69,7.12,7.38,309000
2001-02-20,7.62,7.69,6.38,6.56,445500
2001-02-21,6.69,6.75,5.94,6.09,1041000
2001-02-22,6.03,6.06,3.81,5.5,1075500
2001-02-23,5.5,5.69,4.88,5.56,259500
2001-02-26,5.59,6.38,5.5,6.0,390000
2001-02-27,5.81,6.06,5.5,5.81,334500
2001-02-28,5.86,5.97,4.62,5.0,622500
2001-03-01,5.0,5.0,4.12,4.25,358500
2001-03-02,4.41,4.69,4.0,4.5,288000
2001-03-05,4.64,4.66,4.0,4.12,261000
2001-03-06,4.12,4.62,4.06,4.12,481500
2001-03-07,4.5,7.44,4.44,6.88,1794000
2001-03-08,6.88,7.44,6.25,6.5,997500
