Date,Open,High,Low,Close,Volume
2014-12-11,14.25,17.5,13.8,17.02,19850705
2014-12-12,16.5,16.5,14.89,15.15,6049406
2014-12-15,15.21,15.4,13.6,14.46,2894916
2014-12-16,14.46,14.46,13.81,13.92,1443883
2014-12-17,13.8,14.0,13.2,13.29,1947187
2014-12-18,13.24,14.17,12.91,13.76,2092225
2014-12-19,13.69,13.69,12.01,12.56,2624820
2014-12-22,12.29,12.3,10.82,10.83,2647892
2014-12-23,10.85,12.13,10.84,11.97,2735673
2014-12-24,12.29,12.38,11.75,12.03,678946
2014-12-26,12.14,12.35,11.5,11.53,779712
2014-12-29,11.63,12.2,11.45,11.53,516062
2014-12-30,11.4,11.95,11.32,11.87,300374
2014-12-31,11.82,12.22,11.67,12.0,476520
2015-01-02,12.0,12.8,11.95,12.77,781668
2015-01-05,12.77,13.63,12.42,13.09,1265955
2015-01-06,13.21,13.35,11.88,12.16,1168632
2015-01-07,12.34,12.67,11.99,12.25,394640
2015-01-08,12.38,12.38,12.06,12.08,386783
2015-01-09,12.01,12.33,11.75,12.07,658374
2015-01-12,12.09,12.43,11.76,11.97,366404
2015-01-13,12.0,12.07,10.05,10.78,1326066
2015-01-14,10.58,10.88,10.3,10.73,653410
2015-01-15,10.71,11.4,10.08,11.12,530241
2015-01-16,11.06,11.19,10.76,10.95,149685
2015-01-20,10.91,11.15,10.58,10.91,270269
2015-01-21,10.85,11.34,10.7,11.2,208767
2015-01-22,11.28,11.28,10.75,10.81,712036
2015-01-23,10.74,10.9,10.21,10.49,761894
2015-01-26,10.4,10.67,10.25,10.33,226155
2015-01-27,10.2,10.25,9.8,10.02,608092
2015-01-28,10.01,10.46,10.01,10.28,570974
2015-01-29,10.22,10.28,9.7,9.94,710108
2015-01-30,9.92,10.0,9.82,9.84,250140
2015-02-02,9.84,9.98,9.72,9.82,285349
2015-02-03,9.94,10.35,9.79,10.19,316686
2015-02-04,10.3,11.73,10.11,10.71,704647
2015-02-05,10.7,11.17,10.46,10.48,393209
2015-02-06,10.56,10.83,10.3,10.34,194379
2015-02-09,10.31,10.5,10.31,10.38,130016
2015-02-10,10.4,10.64,10.18,10.27,183104
2015-02-11,10.23,10.44,10.18,10.25,81769
2015-02-12,10.39,11.59,10.33,11.49,598419
2015-02-13,11.6,12.17,11.01,11.02,754785
2015-02-17,11.12,11.36,11.0,11.22,148163
2015-02-18,11.3,11.3,11.09,11.21,98894
2015-02-19,11.12,11.4,11.11,11.15,47531
2015-02-20,11.4,11.58,11.11,11.5,204533
2015-02-23,11.5,11.73,11.41,11.5,175946
2015-02-24,11.6,12.28,11.5,12.27,420650
2015-02-25,12.3,12.71,12.04,12.52,520046
2015-02-26,12.72,12.81,12.4,12.52,773411
2015-02-27,12.33,12.62,11.25,11.31,349716
2015-03-02,11.85,12.88,11.4,12.0,722264
2015-03-03,11.89,12.45,11.71,12.18,1382921
2015-03-04,12.07,12.85,12.03,12.55,1168011
2015-03-05,12.6,12.6,10.5,11.09,1982891
2015-03-06,10.69,11.25,10.58,11.03,996546
2015-03-09,10.99,11.08,10.7,10.93,336652
2015-03-10,10.85,10.95,10.37,10.44,768606
2015-03-11,10.5,10.69,10.3,10.62,1095649
2015-03-12,10.57,10.66,10.2,10.28,257506
2015-03-13,10.3,10.5,10.0,10.02,501965
2015-03-16,10.0,10.55,10.0,10.3,449336
2015-03-17,10.3,10.3,10.0,10.0,255377
2015-03-18,10.2,10.2,9.83,10.01,250126
2015-03-19,10.0,10.19,9.96,10.02,158992
2015-03-20,10.27,10.55,10.04,10.41,346074
2015-03-23,10.38,10.5,9.96,10.4,733284
