Date,Open,High,Low,Close,Volume
2013-12-13,31.1,35.13,29.51,33.93,8849864
2013-12-16,34.88,37.62,34.85,35.5,1233473
2013-12-17,35.75,35.75,33.14,33.86,325503
2013-12-18,34.2,35.17,33.86,34.55,172347
2013-12-19,34.71,35.49,34.57,35.45,156061
2013-12-20,36.4,39.49,36.07,37.5,349717
2013-12-23,38.27,38.39,37.5,37.84,228970
2013-12-24,37.97,38.25,37.26,38.0,90395
2013-12-26,38.25,38.85,37.72,38.74,136603
2013-12-27,39.25,41.5,38.6,41.12,255406
2013-12-30,41.12,44.72,40.79,43.88,203580
2013-12-31,44.65,47.25,44.36,45.3,327076
2014-01-02,45.54,47.85,45.17,45.45,658354
2014-01-03,46.25,46.25,42.0,42.96,360737
2014-01-06,45.37,45.37,42.69,42.95,164087
2014-01-07,43.26,44.37,43.0,43.33,207922
2014-01-08,44.1,44.3,40.43,41.04,273049
2014-01-09,40.84,41.19,38.28,38.53,517104
2014-01-10,39.74,39.74,37.52,38.16,193387
2014-01-13,39.55,42.7,38.59,41.73,279082
2014-01-14,41.79,41.79,39.12,40.97,157068
2014-01-15,41.45,48.17,41.45,47.7,403457
2014-01-16,47.1,49.41,46.02,47.66,244838
2014-01-17,47.55,49.41,47.01,48.67,261941
2014-01-21,47.56,48.65,47.51,47.92,132247
2014-01-22,48.65,48.79,46.19,46.2,52529
2014-01-23,46.0,46.0,44.52,44.88,87242
2014-01-24,44.75,46.0,41.51,42.21,169887
2014-01-27,43.19,45.04,42.75,44.43,83433
2014-01-28,45.19,48.49,44.77,47.94,154902
2014-01-29,47.5,47.73,43.99,43.99,160323
2014-01-30,44.21,45.21,43.02,44.9,88438
2014-01-31,44.0,44.72,43.02,43.23,80874
2014-02-03,43.0,43.12,39.38,39.57,252214
2014-02-04,40.3,40.98,39.25,39.78,134415
2014-02-05,39.78,40.53,39.75,40.35,180259
2014-02-06,40.88,42.3,40.88,41.67,97179
2014-02-07,41.5,44.8,41.5,44.32,130677
2014-02-10,44.97,45.0,43.79,44.39,58966
2014-02-11,44.34,45.65,42.99,45.56,96054
2014-02-12,46.0,47.92,45.56,47.81,198674
2014-02-13,47.85,48.75,45.84,47.77,196775
2014-02-14,47.75,47.99,47.0,47.55,81095
2014-02-18,46.79,50.0,46.79,49.99,179064
2014-02-19,49.9,53.47,49.29,51.14,267189
2014-02-20,51.1,52.82,50.91,51.56,177933
2014-02-21,51.7,53.3,51.54,52.74,269717
2014-02-24,53.0,57.29,53.0,56.23,242055
2014-02-25,56.25,57.94,53.25,53.37,166210
2014-02-26,53.69,54.49,49.5,50.54,246393
2014-02-27,51.5,54.98,50.75,53.0,284605
2014-02-28,57.0,58.0,47.26,48.01,1298620
2014-03-03,47.45,47.73,46.01,46.15,254794
2014-03-04,46.98,50.92,46.98,48.28,658404
2014-03-05,48.5,49.72,48.1,48.47,218257
2014-03-06,49.14,49.8,47.65,49.0,244427
2014-03-07,49.0,49.16,47.71,48.96,333854
2014-03-10,48.73,48.73,46.81,47.97,166517
2014-03-11,48.0,48.57,46.19,46.29,141611
2014-03-12,46.2,47.28,45.62,45.8,267944
2014-03-13,45.27,46.44,42.13,42.5,749315
2014-03-14,42.57,43.84,42.41,43.78,285143
2014-03-17,44.5,47.72,44.03,47.36,359506
2014-03-18,47.03,47.8,45.55,45.96,325622
2014-03-19,46.02,46.47,45.04,45.51,175793
2014-03-20,45.38,45.38,43.21,43.54,248555
2014-03-21,43.05,43.05,37.98,37.98,1002501
2014-03-24,39.04,39.06,35.44,35.74,692566
2014-03-25,36.53,37.15,34.66,35.89,418712
2014-03-26,36.48,36.94,34.01,34.2,500134
2014-03-27,34.31,37.87,33.77,36.15,864343
2014-03-28,36.75,36.98,35.11,35.64,231450
2014-03-31,36.35,38.44,35.82,37.89,909595
2014-04-01,38.36,40.8,38.02,40.47,428657
2014-04-02,40.89,41.1,37.65,38.04,347269
2014-04-03,38.01,38.11,33.38,33.76,875946
2014-04-04,35.44,35.65,31.62,32.15,850945
2014-04-07,32.15,32.48,29.85,30.44,621198
2014-04-08,30.75,32.39,29.71,32.32,435152
2014-04-09,33.19,34.52,31.35,34.44,742005
2014-04-10,34.63,34.91,31.77,32.14,757345
2014-04-11,31.51,31.97,30.39,30.59,374080
2014-04-14,31.53,31.57,30.2,30.42,213597
2014-04-15,30.42,31.5,29.75,31.06,303506
2014-04-16,32.49,34.28,32.37,33.98,650481
2014-04-17,33.61,36.4,33.49,35.91,434440
2014-04-21,36.23,37.19,34.82,35.0,420463
2014-04-22,33.95,34.98,33.12,33.55,376094
2014-04-23,33.55,34.03,31.05,31.42,398978
2014-04-24,31.85,31.98,30.08,30.13,491958
2014-04-25,30.07,30.53,27.92,28.41,645802
2014-04-28,28.85,29.2,25.33,26.97,1134552
2014-04-29,27.12,27.12,25.16,25.37,929338
2014-04-30,24.91,25.15,23.56,24.65,764342
2014-05-01,24.91,26.16,23.69,23.81,1195068
2014-05-02,24.1,24.8,23.82,24.34,613392
2014-05-05,24.05,24.24,23.22,23.48,478751
2014-05-06,23.4,23.58,22.3,22.39,530765
2014-05-07,22.23,22.36,20.15,20.6,764975
2014-05-08,20.42,22.65,20.38,20.55,704626
2014-05-09,20.37,20.77,19.17,20.59,681802
2014-05-12,22.4,24.18,21.77,22.98,1374179
2014-05-13,23.15,23.21,22.4,23.09,645718
2014-05-14,23.27,23.36,22.7,22.82,304475
2014-05-15,24.0,25.06,23.25,24.9,843923
2014-05-16,24.91,26.8,24.65,26.45,951361
2014-05-19,26.2,27.97,25.89,27.7,882699
2014-05-20,27.36,27.4,25.4,25.6,1040778
2014-05-21,26.45,27.4,25.24,25.52,543625
2014-05-22,25.6,26.52,25.0,26.38,638475
2014-05-23,26.4,29.53,26.28,29.28,1281249
2014-05-27,29.99,30.13,28.1,28.71,750373
2014-05-28,28.01,29.8,28.01,28.12,638044
2014-05-29,28.3,28.44,26.73,26.88,958435
2014-05-30,28.31,29.13,23.55,25.37,3150576
2014-06-02,25.02,25.2,23.86,23.91,748164
2014-06-03,23.64,25.13,23.13,24.28,621779
2014-06-04,23.85,24.41,23.58,23.77,356850
2014-06-05,23.74,25.02,23.74,24.88,433994
2014-06-06,24.88,25.5,24.03,24.08,341710
2014-06-09,23.99,25.45,23.99,25.24,528026
2014-06-10,24.79,25.05,24.01,24.61,538277
2014-06-11,23.28,25.25,22.4,25.06,2114067
2014-06-12,25.47,27.25,24.91,26.81,1352533
2014-06-13,27.42,27.42,26.07,26.5,1211050
2014-06-16,27.49,28.47,27.0,27.56,1659257
2014-06-17,27.67,28.24,27.37,27.88,796694
2014-06-18,29.69,31.66,29.42,30.7,3626020
2014-06-19,30.33,30.44,28.66,29.84,2158572
2014-06-20,29.84,30.68,29.26,30.15,994081
2014-06-23,30.19,30.53,29.66,30.21,601524
2014-06-24,30.04,30.9,29.69,30.17,1134083
2014-06-25,29.88,30.39,29.58,30.22,837338
2014-06-26,30.7,30.7,29.5,29.77,1287691
2014-06-27,29.5,30.25,29.5,30.03,1314247
2014-06-30,30.2,31.49,30.05,30.72,1446074
2014-07-01,30.78,30.89,29.74,30.43,1111753
2014-07-02,30.31,30.58,29.36,29.63,885608
2014-07-03,29.95,30.24,29.22,29.61,404358
