Date,Open,High,Low,Close,Volume
2006-02-09,24.2,24.2,22.4,23.9,3373232
2006-02-10,24.0,24.06,23.7,24.06,134212
2006-02-13,24.2,24.2,23.8,23.92,124632
2006-02-14,24.0,24.1,23.9,24.0,191506
2006-02-15,24.0,24.1,23.9,23.92,88520
2006-02-16,23.8,24.0,23.8,23.8,112650
2006-02-17,23.74,23.8,23.6,23.6,138368
2006-02-21,23.6,23.76,23.6,23.6,89974
2006-02-22,23.6,23.8,21.94,23.6,53450
2006-02-23,23.6,23.7,23.6,23.6,65775
2006-02-24,23.5,23.7,23.5,23.6,64800
2006-02-27,23.6,23.86,23.6,23.6,27072
2006-02-28,23.6,23.66,23.6,23.6,62705
2006-03-01,23.6,23.64,23.6,23.6,201485
2006-03-02,23.78,23.78,23.6,23.6,64950
2006-03-03,23.6,23.62,23.6,23.6,39650
2006-03-06,23.6,23.8,23.6,23.78,143409
2006-03-07,23.62,24.2,23.62,24.1,97730
2006-03-08,23.84,24.1,23.7,24.0,34701
2006-03-09,23.7,24.2,23.7,23.92,107075
2006-03-10,23.6,24.1,23.8,23.96,97078
2006-03-13,23.88,24.22,23.84,23.94,156310
2006-03-14,24.0,25.16,24.0,24.52,169244
2006-03-15,24.42,24.82,24.0,24.6,84637
2006-03-16,24.48,26.2,24.48,25.86,166314
2006-03-17,26.0,26.2,25.36,26.0,29658
2006-03-20,26.32,27.58,25.8,26.5,60326
2006-03-21,27.7,28.8,27.0,28.0,190506
2006-03-22,28.0,28.8,27.1,28.4,60602
2006-03-23,28.0,29.42,27.56,28.78,48122
2006-03-24,28.32,29.0,27.94,28.54,37288
2006-03-27,28.0,29.14,27.84,28.4,40088
2006-03-28,29.5,29.5,27.92,28.1,72464
2006-03-29,27.84,28.88,27.84,28.62,53326
2006-03-30,28.7,29.2,28.02,29.0,54190
2006-03-31,28.8,31.6,28.02,28.02,571108
2006-04-03,28.14,28.58,26.35,27.84,94588
2006-04-04,27.84,28.18,26.14,27.5,75751
2006-04-05,27.62,28.0,26.78,27.88,31308
2006-04-06,27.8,28.0,27.04,27.28,38264
2006-04-07,27.54,27.54,27.0,27.04,30693
2006-04-10,26.98,27.08,24.36,26.68,86088
2006-04-11,26.6,26.6,25.2,26.22,95088
2006-04-12,26.04,27.36,26.0,27.08,37944
2006-04-13,27.12,27.42,26.98,27.38,91103
2006-04-17,27.25,27.26,27.0,27.04,72736
2006-04-18,27.3,28.0,26.16,27.12,88024
2006-04-19,27.18,28.1,26.12,27.92,37289
2006-04-20,27.0,27.92,27.0,27.56,11210
2006-04-21,27.94,28.08,27.5,27.98,28422
2006-04-24,28.14,28.17,27.78,27.98,37408
2006-04-25,28.22,28.3,27.26,27.32,18448
2006-04-26,27.2,27.62,27.08,27.33,6759
2006-04-27,27.2,27.84,27.04,27.6,5407
2006-04-28,27.36,28.0,27.0,27.98,11750
2006-05-01,28.04,29.76,27.36,28.54,87174
2006-05-02,28.44,29.86,27.68,29.56,90001
2006-05-03,29.38,29.76,28.28,29.04,74315
2006-05-04,29.26,30.0,28.2,29.68,83040
2006-05-05,29.86,30.0,28.6,29.4,46518
2006-05-08,29.58,29.82,28.0,29.28,118886
2006-05-09,29.46,29.84,28.94,29.06,56881
2006-05-10,29.2,29.2,27.7,28.28,71973
2006-05-11,28.2,28.34,27.64,27.9,113125
2006-05-12,27.64,27.98,27.06,27.7,58970
2006-05-15,27.38,27.7,27.0,27.36,154365
2006-05-16,27.54,28.36,27.02,27.72,52932
2006-05-17,27.4,27.84,27.0,27.04,32505
2006-05-18,29.5,29.58,27.52,27.96,110656
2006-05-19,27.76,29.2,26.68,27.62,197362
2006-05-22,27.58,28.2,27.24,27.8,83128
2006-05-23,28.0,29.2,27.66,27.98,78734
2006-05-24,28.0,28.34,27.5,27.6,114726
2006-05-25,27.8,28.3,27.12,27.8,20937
2006-05-26,27.8,28.58,27.8,28.08,82511
2006-05-30,27.92,28.28,26.88,27.56,84224
2006-05-31,27.56,28.58,26.9,27.84,163118
2006-06-01,27.9,28.44,27.34,28.14,146116
2006-06-02,28.5,29.24,27.96,29.2,75883
2006-06-05,29.06,29.52,28.28,29.0,39089
2006-06-06,28.98,31.28,28.5,29.5,305647
2006-06-07,29.62,29.8,29.04,29.4,66368
2006-06-08,29.24,29.24,27.46,28.5,26136
2006-06-09,28.62,29.22,28.04,28.84,104272
2006-06-12,29.36,29.36,28.34,28.8,138312
2006-06-13,28.68,29.32,28.3,28.58,72236
2006-06-14,28.86,29.1,26.86,27.82,122001
2006-06-15,27.82,28.2,27.1,27.56,136574
2006-06-16,27.42,28.4,25.16,26.5,405365
2006-06-19,26.48,26.96,25.62,26.72,52378
2006-06-20,26.68,26.84,24.66,24.92,126950
2006-06-21,24.98,25.5,24.7,25.14,100412
2006-06-22,25.14,25.76,25.0,25.26,65824
2006-06-23,25.26,25.66,25.04,25.46,21827
2006-06-26,25.56,27.04,25.56,26.64,32264
2006-06-27,26.7,28.66,26.62,27.48,110265
2006-06-28,27.48,28.46,27.28,27.66,155109
2006-06-29,27.68,28.0,27.18,27.82,52746
2006-06-30,27.68,28.9,26.76,28.9,362921
2006-07-03,28.9,29.38,28.3,29.24,35276
2006-07-05,29.04,29.72,27.58,28.6,48534
2006-07-06,28.56,28.58,27.76,28.58,34793
2006-07-07,28.46,28.46,26.72,27.78,42296
2006-07-10,27.78,28.5,27.48,28.12,60148
2006-07-11,28.02,29.22,27.66,28.9,101328
2006-07-12,28.8,29.2,27.72,28.54,93438
2006-07-13,28.46,29.22,28.12,28.82,45592
2006-07-14,28.74,29.08,28.02,28.44,18118
2006-07-17,28.36,28.9,28.2,28.68,92208
2006-07-18,28.82,29.1,27.02,27.74,20824
2006-07-19,27.82,29.26,27.82,29.06,17696
2006-07-20,29.0,29.54,28.6,29.04,26916
2006-07-21,29.0,29.36,27.92,28.64,25076
2006-07-24,28.8,29.56,28.8,29.32,37354
2006-07-25,29.46,29.76,29.08,29.44,20196
2006-07-26,29.3,29.4,28.88,29.08,8810
2006-07-27,29.24,29.5,28.04,28.12,7348
2006-07-28,28.3,29.52,28.22,29.32,13571
2006-07-31,28.92,29.48,28.04,28.9,24609
2006-08-01,28.56,29.18,28.12,28.88,45232
2006-08-02,28.92,29.64,28.62,28.8,11988
2006-08-03,28.44,29.04,27.02,27.12,81326
2006-08-04,27.36,28.32,25.72,26.08,52370
2006-08-07,26.0,27.48,25.98,26.62,29752
2006-08-08,26.76,26.86,25.98,26.0,47911
2006-08-09,26.22,26.46,26.0,26.32,15958
2006-08-10,26.18,27.0,26.18,26.88,12563
2006-08-11,26.78,27.0,26.48,26.8,9159
2006-08-14,26.8,26.96,26.44,26.74,10631
2006-08-15,27.0,27.26,26.52,26.8,10656
2006-08-16,26.8,27.06,26.42,26.48,17052
2006-08-17,26.38,26.86,26.02,26.62,9205
2006-08-18,26.74,27.0,26.18,26.98,5948
2006-08-21,26.84,27.0,25.96,26.0,39550
2006-08-22,25.92,26.24,25.82,26.0,20670
2006-08-23,26.1,26.3,25.26,25.46,5714
2006-08-24,25.76,26.38,25.42,25.78,5811
2006-08-25,25.8,26.4,25.8,26.0,4212
2006-08-28,26.1,26.54,26.0,26.26,5376
2006-08-29,26.38,27.34,26.0,26.92,14027
2006-08-30,27.1,27.88,26.56,27.18,18632
2006-08-31,27.3,28.0,27.14,27.46,16836
2006-09-01,27.62,28.08,27.4,27.54,20942
2006-09-05,27.64,28.44,27.5,28.0,9674
2006-09-06,27.84,28.46,27.74,28.22,15498
2006-09-07,28.08,28.12,27.84,27.96,4116
2006-09-08,28.16,28.16,27.92,27.98,3218
2006-09-11,27.6,28.06,25.92,26.98,12769
2006-09-12,27.18,27.82,27.06,27.8,20117
2006-09-13,27.8,27.92,27.34,27.56,22201
2006-09-14,27.1,27.74,27.1,27.7,13490
2006-09-15,27.9,27.92,27.52,27.66,43478
2006-09-18,27.54,27.54,27.0,27.12,6696
2006-09-19,27.0,27.7,26.86,27.32,8332
2006-09-20,27.5,27.64,26.2,26.68,15406
2006-09-21,26.64,26.92,26.1,26.4,5738
2006-09-22,26.3,26.4,25.6,25.72,47360
2006-09-25,26.08,26.08,25.56,25.98,7652
2006-09-26,26.0,26.02,25.54,25.96,16422
2006-09-27,25.84,26.1,25.3,26.08,34244
2006-09-28,26.04,26.1,25.58,25.84,54536
2006-09-29,25.84,25.96,25.46,25.54,31234
2006-10-02,25.46,25.52,24.1,24.68,22110
2006-10-03,24.6,25.02,23.68,23.84,101062
2006-10-04,23.74,23.94,22.78,23.66,114314
2006-10-05,26.08,26.66,24.2,24.3,281909
2006-10-06,24.5,25.8,24.48,25.24,76704
2006-10-09,25.4,25.4,24.84,24.84,21838
2006-10-10,24.94,25.6,24.94,25.12,68232
2006-10-11,25.0,25.96,24.42,24.82,54465
2006-10-12,24.94,25.68,24.82,25.64,55822
2006-10-13,25.74,27.12,25.7,26.84,66411
2006-10-16,26.8,27.3,26.06,27.14,50848
2006-10-17,26.98,27.52,26.52,27.46,88614
2006-10-18,27.6,28.0,27.24,27.84,42973
2006-10-19,27.88,29.06,27.56,28.68,111618
2006-10-20,28.86,28.86,27.6,28.06,17216
2006-10-23,28.1,28.22,27.24,27.6,13021
2006-10-24,27.62,28.12,26.9,27.92,11556
2006-10-25,27.8,28.2,27.7,28.0,64662
2006-10-26,28.14,28.36,27.8,28.28,22918
2006-10-27,28.16,28.5,27.82,28.14,22967
2006-10-30,28.02,28.54,27.74,28.44,42713
2006-10-31,28.56,28.7,28.0,28.06,25756
2006-11-01,28.04,28.4,27.76,28.16,25746
2006-11-02,28.04,29.22,28.04,28.64,49266
2006-11-03,28.88,29.34,28.34,28.34,58234
2006-11-06,28.64,28.76,27.74,27.8,11994
2006-11-07,28.0,28.9,27.74,28.26,31246
2006-11-08,28.26,29.76,28.02,29.4,53310
2006-11-09,29.52,29.52,28.0,28.38,35182
2006-11-10,28.36,29.38,28.36,29.18,21802
2006-11-13,29.2,29.64,28.92,29.52,50674
2006-11-14,29.6,32.12,29.54,31.88,160640
2006-11-15,31.84,32.28,31.0,31.68,199002
2006-11-16,31.68,31.94,31.16,31.26,60592
2006-11-17,31.26,31.72,30.8,31.5,25110
2006-11-20,31.4,32.0,31.4,31.68,39985
2006-11-21,31.64,32.4,30.94,31.22,24792
2006-11-22,30.94,31.7,30.7,31.6,14450
2006-11-24,31.84,31.84,31.4,31.4,1650
2006-11-27,31.4,31.94,30.66,31.24,20648
2006-11-28,31.16,31.58,30.88,31.42,12316
2006-11-29,31.4,32.2,31.38,31.88,26814
2006-11-30,31.96,32.0,31.38,31.44,59632
2006-12-01,31.36,31.42,30.7,31.08,26310
2006-12-04,31.22,32.0,31.02,31.8,28172
2006-12-05,31.94,33.4,31.72,33.1,150157
2006-12-06,33.1,34.52,33.02,34.52,167008
2006-12-07,34.44,35.1,34.12,34.9,132648
2006-12-08,34.7,35.0,34.54,34.9,28377
2006-12-11,34.98,35.48,34.8,35.38,116736
2006-12-12,35.28,35.46,34.74,35.08,78072
2006-12-13,35.26,35.46,34.5,34.98,35904
2006-12-14,34.98,35.2,34.52,34.92,48987
2006-12-15,34.94,35.68,34.9,35.22,67701
2006-12-18,35.38,35.8,35.02,35.64,65439
2006-12-19,35.4,35.78,35.0,35.68,10146
2006-12-20,35.88,36.0,35.44,35.74,15264
2006-12-21,35.84,35.84,34.42,35.24,39536
2006-12-22,35.1,35.34,34.9,35.18,29146
2006-12-26,35.08,35.74,34.98,35.74,42278
2006-12-27,35.64,36.05,35.64,35.9,34858
2006-12-28,35.82,35.96,35.62,35.88,19412
2006-12-29,35.94,36.0,35.56,35.76,25044
2007-01-03,35.98,35.98,35.4,35.7,24861
2007-01-04,35.74,35.94,35.36,35.64,21171
2007-01-05,35.58,35.78,35.4,35.6,31787
2007-01-08,35.74,36.66,35.6,36.34,43797
2007-01-09,36.48,36.52,35.58,35.62,41174
2007-01-10,35.5,36.06,35.35,35.72,47850
2007-01-11,35.7,36.02,35.42,35.56,40817
2007-01-12,35.62,35.8,35.42,35.5,16104
2007-01-16,35.72,35.96,35.02,35.1,104934
2007-01-17,35.02,35.68,34.78,34.86,47859
2007-01-18,34.88,35.66,33.2,33.36,43980
2007-01-19,33.36,34.76,33.32,34.2,39180
2007-01-22,34.28,34.82,33.76,33.94,29694
2007-01-23,34.02,34.82,33.7,34.22,531512
2007-01-24,34.32,36.34,34.3,35.8,38871
2007-01-25,35.92,36.1,34.42,34.92,37355
2007-01-26,34.84,35.08,34.24,35.0,22984
2007-01-29,35.02,35.12,34.5,34.9,17548
2007-01-30,35.0,36.96,35.0,36.68,196720
2007-01-31,36.74,38.0,36.26,37.24,73666
2007-02-01,37.42,38.44,37.26,37.94,40848
2007-02-02,38.14,39.84,38.14,38.36,138763
2007-02-05,38.58,38.76,37.1,37.72,86320
2007-02-06,37.94,38.7,37.8,38.44,33691
2007-02-07,38.62,40.22,38.4,39.62,96632
2007-02-08,39.76,41.18,39.76,40.0,84170
2007-02-09,40.14,40.14,38.1,38.5,23486
2007-02-12,38.24,38.4,37.6,38.1,64176
2007-02-13,38.3,38.92,37.88,38.2,61362
2007-02-14,38.22,38.62,38.02,38.46,17534
2007-02-15,38.34,39.42,38.3,38.6,47776
2007-02-16,38.6,39.0,38.5,39.0,18962
2007-02-20,39.0,39.3,35.76,38.2,76450
2007-02-21,38.14,38.76,37.34,38.28,39208
2007-02-22,38.48,39.2,38.48,39.0,41048
2007-02-23,39.04,39.06,38.5,38.62,34774
2007-02-26,38.6,39.06,37.86,37.94,37800
2007-02-27,37.6,37.9,35.02,36.68,95502
2007-02-28,36.48,37.74,36.02,37.34,33796
2007-03-01,36.5,37.72,35.84,36.94,30989
2007-03-02,36.62,37.74,36.0,36.28,61455
2007-03-05,35.86,37.54,35.76,36.28,56865
2007-03-06,36.56,36.88,36.06,36.74,42672
2007-03-07,36.9,37.2,36.16,36.42,34776
2007-03-08,36.48,37.52,36.42,37.16,25639
2007-03-09,37.52,38.68,37.5,38.66,33483
2007-03-12,38.5,40.28,38.24,40.12,77142
2007-03-13,39.94,40.06,38.06,38.16,58078
2007-03-14,37.64,38.74,36.14,36.86,58880
2007-03-15,36.92,37.82,36.92,37.26,46646
2007-03-16,37.14,37.14,36.16,36.24,119475
2007-03-19,36.58,37.44,36.54,36.88,49729
2007-03-20,36.8,37.04,36.6,36.84,17075
2007-03-21,36.8,39.66,36.8,39.26,58376
2007-03-22,39.46,39.84,38.52,38.6,53680
2007-03-23,38.74,38.84,38.2,38.2,17419
2007-03-26,38.32,39.78,38.32,39.44,97880
2007-03-27,39.18,39.18,37.58,38.32,76232
2007-03-28,38.22,38.44,36.78,37.18,106278
2007-03-29,37.0,37.76,36.24,37.36,168644
2007-03-30,37.6,39.0,37.0,38.44,1447611
2007-04-02,38.24,39.0,37.5,38.44,164852
