Date,Open,High,Low,Close,Volume
2014-04-04,25.0,26.0,22.02,23.0,6715180
2014-04-07,22.71,22.92,21.35,21.75,698014
2014-04-08,21.75,22.39,21.0,21.51,332986
2014-04-09,21.57,22.5,21.17,22.4,415426
2014-04-10,22.49,23.47,21.97,22.15,335756
2014-04-11,22.0,22.07,21.11,21.59,438981
2014-04-14,22.02,22.32,20.96,21.67,294059
2014-04-15,22.03,22.28,21.33,21.5,247122
2014-04-16,21.82,21.89,21.15,21.32,113759
2014-04-17,21.5,21.63,20.63,21.56,127450
2014-04-21,22.25,22.44,21.7,21.89,64646
2014-04-22,22.49,25.87,21.91,25.23,321687
2014-04-23,25.23,25.23,23.0,23.07,80701
2014-04-24,23.37,23.59,20.75,21.59,289206
2014-04-25,21.49,21.83,21.1,21.52,45618
2014-04-28,21.6,22.0,19.84,20.43,196255
2014-04-29,20.29,20.68,18.74,19.13,478884
2014-04-30,19.0,19.25,17.84,18.25,356773
2014-05-01,18.47,20.27,18.28,19.52,211027
2014-05-02,19.95,20.35,19.03,19.47,116102
2014-05-05,19.22,19.35,18.61,19.05,144407
2014-05-06,19.0,19.09,18.17,18.45,208990
2014-05-07,18.5,18.64,16.5,17.04,306700
2014-05-08,16.9,17.2,15.84,15.89,69006
2014-05-09,15.94,16.8,15.83,15.9,215697
2014-05-12,15.93,17.18,15.9,17.0,87499
2014-05-13,16.89,18.38,16.62,17.32,152172
2014-05-14,17.42,18.83,16.42,17.29,184280
2014-05-15,17.93,18.58,16.1,16.6,132577
2014-05-16,16.87,17.31,15.98,16.18,115428
2014-05-19,16.18,16.47,16.1,16.12,55510
2014-05-20,16.34,17.14,16.1,16.17,106629
2014-05-21,16.23,17.11,16.23,16.98,52903
2014-05-22,16.98,18.64,16.54,17.15,103594
2014-05-23,17.29,18.35,17.15,18.09,60641
2014-05-27,18.09,18.09,17.0,17.01,74109
2014-05-28,17.08,17.51,16.18,16.72,90298
2014-05-29,16.75,16.92,16.4,16.55,125096
2014-05-30,16.48,17.11,16.03,16.65,78697
2014-06-02,16.84,17.48,16.55,17.0,154662
2014-06-03,16.62,16.86,16.1,16.18,237539
2014-06-04,16.14,16.57,15.86,16.14,414455
2014-06-05,16.14,16.34,15.52,15.9,193445
2014-06-06,16.07,16.7,15.83,16.68,149725
2014-06-09,16.68,17.38,16.31,16.96,170179
2014-06-10,17.05,18.57,16.7,17.4,148560
2014-06-11,17.16,17.32,16.66,17.1,115732
2014-06-12,17.28,17.33,16.84,17.19,107168
2014-06-13,17.34,17.76,17.1,17.75,74229
2014-06-16,18.22,19.04,17.59,18.52,278554
2014-06-17,18.87,18.98,17.41,17.6,134824
2014-06-18,17.48,17.63,17.01,17.15,95685
2014-06-19,17.25,17.89,17.07,17.64,98951
2014-06-20,17.64,18.69,17.35,18.19,503161
2014-06-23,18.41,18.68,17.62,17.98,95075
2014-06-24,17.95,18.1,16.86,17.21,88174
2014-06-25,17.55,18.84,17.44,18.7,341913
2014-06-26,18.64,18.98,18.28,18.83,157807
2014-06-27,18.74,20.45,18.4,18.82,1278133
2014-06-30,18.88,19.17,18.19,18.85,287795
2014-07-01,19.02,19.21,17.56,17.9,191310
2014-07-02,17.91,18.22,17.51,17.7,128308
2014-07-03,17.75,17.88,17.47,17.55,53564
2014-07-07,17.58,17.66,17.1,17.16,65547
2014-07-08,17.12,17.21,16.23,16.59,117266
2014-07-09,16.55,17.33,16.47,16.83,85245
2014-07-10,16.5,16.9,16.33,16.53,101206
2014-07-11,16.45,16.65,15.8,15.9,135975
2014-07-14,16.02,16.43,15.75,16.24,195794
2014-07-15,16.11,16.5,16.0,16.35,116083
2014-07-16,16.5,16.56,15.9,16.02,74650
2014-07-17,15.96,16.28,15.85,16.06,72986
2014-07-18,16.05,16.28,15.93,16.26,75714
2014-07-21,16.18,16.5,16.0,16.35,81263
2014-07-22,16.44,16.48,15.93,16.2,86859
2014-07-23,16.22,16.47,16.07,16.15,108178
2014-07-24,16.27,16.37,16.08,16.18,56407
2014-07-25,16.08,16.31,15.87,16.3,64965
2014-07-28,16.3,16.49,16.0,16.13,41188
2014-07-29,16.3,16.3,15.99,16.15,75842
2014-07-30,16.28,16.3,16.01,16.28,49779
2014-07-31,16.17,16.34,15.75,16.0,141291
2014-08-01,15.97,16.08,15.32,15.61,146522
2014-08-04,15.59,15.94,15.38,15.84,133052
2014-08-05,15.88,15.94,15.25,15.38,224897
2014-08-06,15.32,15.5,15.07,15.22,69494
2014-08-07,15.25,15.46,15.03,15.35,119481
2014-08-08,15.35,15.84,15.19,15.64,74411
2014-08-11,15.74,15.98,15.65,15.75,45788
2014-08-12,15.72,16.08,15.51,16.0,115109
2014-08-13,17.5,17.5,15.81,15.98,129205
2014-08-14,16.07,16.07,15.57,15.82,85093
2014-08-15,16.03,16.03,15.78,15.94,63413
2014-08-18,15.95,16.52,15.91,16.47,155047
2014-08-19,16.41,16.58,16.23,16.39,61887
2014-08-20,16.3,16.34,16.06,16.3,98564
2014-08-21,16.26,16.46,16.2,16.36,128125
2014-08-22,16.35,16.39,16.06,16.1,77492
2014-08-25,16.12,16.18,15.75,15.98,59332
2014-08-26,15.93,15.97,15.6,15.87,67223
2014-08-27,15.91,15.91,15.48,15.62,87143
2014-08-28,15.63,15.63,15.28,15.49,69083
2014-08-29,15.52,15.8,15.34,15.64,47709
2014-09-02,15.83,15.83,15.37,15.75,122268
2014-09-03,16.0,17.25,15.99,16.44,163277
2014-09-04,16.38,17.4,16.35,16.69,128393
2014-09-05,16.5,16.5,16.29,16.38,75417
2014-09-08,16.33,17.38,16.33,17.18,54346
2014-09-09,17.18,17.82,17.0,17.8,133656
2014-09-10,17.85,18.5,17.85,18.45,163135
2014-09-11,18.34,18.94,18.34,18.85,128624
2014-09-12,18.96,19.0,18.55,19.0,87037
2014-09-15,18.98,18.98,18.45,18.77,109974
2014-09-16,18.84,18.84,18.39,18.48,60623
2014-09-17,18.46,18.75,18.46,18.6,25458
2014-09-18,18.64,18.93,18.57,18.67,43519
2014-09-19,18.83,19.36,18.5,19.36,168732
2014-09-22,19.0,19.18,18.32,18.92,60036
2014-09-23,18.77,19.0,18.38,18.97,118868
2014-09-24,18.95,19.09,18.4,18.73,61190
2014-09-25,18.72,18.75,17.85,17.99,55580
2014-09-26,18.05,18.63,17.88,18.38,36533
2014-09-29,18.15,18.68,18.15,18.5,58909
2014-09-30,18.5,18.9,18.45,18.86,126995
2014-10-01,18.7,18.7,16.56,17.88,1172787
2014-10-02,17.83,18.09,17.52,17.97,276955
2014-10-03,18.05,18.6,17.79,18.45,516219
2014-10-06,18.44,18.58,17.81,18.36,359999
2014-10-07,18.34,18.34,17.4,17.85,121873
2014-10-08,17.4,18.6,17.2,18.08,278947
2014-10-09,18.0,18.03,17.19,17.61,251042
2014-10-10,17.56,17.86,17.07,17.31,177033
2014-10-13,17.25,17.93,16.74,16.9,367527
2014-10-14,16.98,17.78,16.98,17.6,131918
2014-10-15,17.15,17.8,16.94,17.58,118547
2014-10-16,17.0,17.89,16.89,17.1,124204
2014-10-17,17.41,17.77,16.57,16.75,116023
2014-10-20,16.62,17.2,16.62,16.84,28997
2014-10-21,16.72,17.09,16.72,17.09,61470
2014-10-22,17.01,17.04,16.67,16.88,44265
2014-10-23,17.01,17.38,16.84,16.94,88471
2014-10-24,16.71,17.05,16.41,16.86,119118
2014-10-27,16.7,16.81,16.6,16.77,22275
2014-10-28,16.75,17.38,16.7,17.38,54040
2014-10-29,17.35,17.76,17.14,17.66,68407
2014-10-30,17.51,18.09,17.4,17.91,160495
2014-10-31,18.25,18.25,17.89,18.16,85235
2014-11-03,18.02,18.25,16.64,17.05,403898
2014-11-04,16.96,17.2,16.4,16.74,377528
2014-11-05,16.75,17.03,15.97,16.48,269628
2014-11-06,16.38,16.59,16.21,16.35,115131
2014-11-07,16.29,16.9,16.29,16.59,192715
2014-11-10,16.81,17.36,16.69,17.32,280567
2014-11-11,17.3,17.76,17.19,17.35,276591
2014-11-12,18.19,18.74,17.48,17.97,506072
