Date,Open,High,Low,Close,Volume
2000-06-29,25.66,29.0,24.62,28.62,70800
2000-06-30,28.75,31.88,25.25,26.44,164200
2000-07-03,24.75,26.12,23.0,25.0,50700
2000-07-05,25.06,25.06,23.75,24.19,20600
2000-07-06,24.25,24.81,23.38,24.06,29800
2000-07-07,24.06,24.56,23.56,23.88,55100
2000-07-10,24.25,24.75,23.75,24.12,5900
2000-07-11,24.56,25.88,24.19,25.69,23800
2000-07-12,25.31,28.62,25.31,27.5,76200
2000-07-13,28.0,29.31,27.5,28.5,68700
2000-07-14,28.69,29.69,28.5,28.88,50000
2000-07-17,29.03,30.0,28.88,29.94,28600
2000-07-18,29.94,30.5,28.62,30.06,66700
2000-07-19,30.0,30.0,29.12,29.25,16100
2000-07-20,29.88,29.88,27.25,28.38,20700
2000-07-21,29.0,29.0,27.0,28.0,10300
2000-07-24,27.75,27.75,27.25,27.25,6000
2000-07-25,27.25,27.75,26.62,27.0,23200
2000-07-26,26.94,27.25,26.5,27.19,8600
2000-07-27,26.56,26.94,23.5,23.88,20200
2000-07-28,23.81,23.81,23.0,23.62,66200
2000-07-31,23.5,24.0,23.5,24.0,7000
2000-08-01,23.62,24.56,23.06,23.62,13600
2000-08-02,23.38,23.62,23.25,23.56,6300
2000-08-03,23.5,23.81,23.44,23.5,17900
2000-08-04,23.31,23.5,23.0,23.12,7700
2000-08-07,22.94,23.44,22.88,22.94,19000
2000-08-08,22.81,24.25,22.81,24.19,21900
2000-08-09,24.19,25.0,23.75,24.25,32100
2000-08-10,24.56,25.25,24.0,24.62,30700
2000-08-11,24.44,24.44,21.25,21.94,37200
2000-08-14,21.12,21.12,18.5,19.81,91800
2000-08-15,19.94,20.12,18.69,18.69,27200
2000-08-16,19.0,20.12,18.56,19.12,19400
2000-08-17,19.12,20.12,18.94,19.88,19900
2000-08-18,20.0,20.0,19.25,20.0,27700
2000-08-21,19.94,20.06,19.25,20.0,25200
2000-08-22,19.94,19.94,19.44,19.5,14600
2000-08-23,19.5,19.94,19.5,19.94,3600
2000-08-24,19.88,19.94,19.44,19.44,8600
2000-08-25,19.75,19.94,19.75,19.75,34500
2000-08-28,0.0,19.88,19.38,19.75,31700
2000-08-29,19.75,19.75,19.19,19.62,28200
2000-08-30,19.38,19.94,19.25,19.88,54400
2000-08-31,19.88,19.88,18.38,19.56,37400
2000-09-01,19.62,19.62,18.75,19.0,44800
2000-09-05,18.88,19.06,18.62,18.94,10100
2000-09-06,18.78,18.94,17.56,17.88,41000
2000-09-07,17.94,17.94,17.5,17.75,75800
2000-09-08,17.53,17.81,17.5,17.62,12300
2000-09-11,17.81,17.94,17.44,17.69,27200
2000-09-12,17.47,18.62,17.47,17.88,18300
2000-09-13,17.88,17.94,16.0,17.38,75300
2000-09-14,17.56,17.94,17.2,17.94,34500
