Date,Open,High,Low,Close,Volume
2000-06-29,34.12,34.68,32.53,33.31,4158000
2000-06-30,33.31,34.44,31.12,33.03,4717600
2000-07-03,32.72,35.59,32.5,34.81,2373400
2000-07-05,34.31,34.41,30.12,30.25,4015000
2000-07-06,31.22,35.5,31.12,35.5,6645400
2000-07-07,35.06,36.94,34.66,35.47,4599200
2000-07-10,35.47,37.5,35.25,36.81,3368600
2000-07-11,36.06,38.19,35.5,38.0,4808400
2000-07-12,38.84,40.75,38.16,39.66,6690200
2000-07-13,40.38,45.5,40.25,44.94,7646000
2000-07-14,46.31,49.25,45.5,47.56,8050200
2000-07-17,47.75,47.91,45.12,47.0,4026800
2000-07-18,45.56,45.97,42.69,44.88,5106600
2000-07-19,43.25,43.5,40.5,42.0,5309200
2000-07-20,40.84,43.38,40.56,43.0,5519200
2000-07-21,42.12,42.31,39.0,39.0,3359400
2000-07-24,39.69,41.5,38.81,40.38,4312200
2000-07-25,41.25,42.0,40.66,41.84,3853400
2000-07-26,41.12,41.38,36.88,38.97,4358600
2000-07-27,37.75,38.12,34.5,35.0,3410400
2000-07-28,35.5,38.25,34.5,37.09,5126000
2000-07-31,37.12,39.0,34.81,37.25,5611000
2000-08-01,37.91,37.94,32.94,33.84,3694600
2000-08-02,34.19,37.5,33.0,37.19,5019800
2000-08-03,34.59,37.38,34.25,35.69,4647400
2000-08-04,37.31,40.0,37.31,37.91,6139800
2000-08-07,39.09,41.47,38.38,40.88,3913400
2000-08-08,40.81,41.5,38.75,40.38,3734600
2000-08-09,41.28,41.88,38.5,38.81,2982400
2000-08-10,38.84,39.75,37.72,38.66,2245200
2000-08-11,38.59,40.0,37.12,39.91,2518400
2000-08-14,39.69,39.96,38.53,39.44,2671200
2000-08-15,39.19,41.22,39.12,40.03,2486200
2000-08-16,40.69,41.69,40.44,41.25,3222400
2000-08-17,41.28,44.31,41.06,44.16,3957200
2000-08-18,44.66,47.0,44.5,46.5,6420200
2000-08-21,47.0,49.62,45.75,47.62,7084800
2000-08-22,47.59,49.44,46.09,49.0,5555800
2000-08-23,47.94,53.75,46.62,53.19,7227000
2000-08-24,53.98,56.5,53.81,54.84,7050200
2000-08-25,54.19,55.0,37.0,51.94,33237800
2000-08-28,0.0,53.06,50.12,50.19,3328600
2000-08-29,50.01,52.25,48.5,51.38,3216800
2000-08-30,51.3,53.09,50.69,52.69,3213400
2000-08-31,53.75,57.62,53.38,56.75,5792400
2000-09-01,59.19,59.62,56.88,58.0,3634400
2000-09-05,58.12,59.0,53.88,54.06,3460800
2000-09-06,53.78,54.31,49.56,49.97,4416000
2000-09-07,50.81,57.0,50.75,56.88,6124000
2000-09-08,55.06,55.31,51.31,51.66,5574000
2000-09-11,50.99,54.56,50.12,50.31,5365400
2000-09-12,52.25,52.44,48.5,49.44,3871400
2000-09-13,48.09,50.31,47.5,49.03,5972000
2000-09-14,51.06,52.25,49.81,50.12,4632800
2000-09-15,49.25,49.75,45.97,46.69,6098400
2000-09-18,47.5,49.0,43.62,44.44,5275200
2000-09-19,45.44,49.81,44.75,49.47,4495600
2000-09-20,48.75,49.75,45.75,48.34,6072000
2000-09-21,47.38,48.38,41.0,45.81,4433400
2000-09-22,42.28,48.75,42.12,48.38,5743600
2000-09-25,49.5,50.75,48.5,49.47,6050600
2000-09-26,49.5,49.88,45.56,46.38,5832400
2000-09-27,48.38,48.44,43.75,44.5,4770400
2000-09-28,43.84,47.06,43.0,46.94,6791600
2000-09-29,45.78,47.0,43.94,44.0,3761800
2000-10-02,44.94,46.31,43.19,43.66,2654800
2000-10-03,44.62,45.25,39.12,39.34,4978800
