Date,Open,High,Low,Close,Volume
2005-06-10,12.26,12.75,11.62,12.2,4074917
2005-06-13,12.44,12.44,11.75,11.89,511677
2005-06-14,11.8,11.85,11.65,11.75,94680
2005-06-15,11.75,12.05,11.75,12.0,146876
2005-06-16,12.01,12.12,12.0,12.12,395752
2005-06-17,12.11,14.01,12.03,13.08,593647
2005-06-20,12.87,13.5,12.75,13.44,71969
2005-06-21,13.5,13.64,12.57,13.01,129521
2005-06-22,13.44,13.44,12.77,12.9,119183
2005-06-23,12.9,12.96,12.5,12.6,48105
2005-06-24,12.5,12.68,12.2,12.2,48005
2005-06-27,12.17,12.24,11.75,12.24,241317
2005-06-28,12.3,12.4,12.17,12.28,51659
2005-06-29,12.35,12.5,12.1,12.23,99811
2005-06-30,12.79,12.79,11.75,11.9,251599
2005-07-01,11.9,12.2,11.9,12.0,107041
2005-07-05,11.66,12.1,11.62,11.71,28100
2005-07-06,11.72,11.98,11.72,11.72,23888
2005-07-07,11.76,11.9,11.15,11.9,73248
2005-07-08,11.5,11.95,11.23,11.95,127336
2005-07-11,11.83,12.2,11.55,12.2,84382
2005-07-12,12.1,12.4,11.91,12.35,165036
2005-07-13,12.35,12.44,12.0,12.0,35868
2005-07-14,12.2,12.35,12.0,12.06,41210
2005-07-15,12.0,12.02,11.62,11.85,189723
2005-07-18,11.9,12.35,11.6,11.9,87651
2005-07-19,11.9,12.1,11.9,12.1,11766
2005-07-20,12.3,12.35,12.1,12.2,30812
2005-07-21,12.4,12.4,11.74,11.91,111868
2005-07-22,12.15,12.2,11.75,12.1,60768
2005-07-25,12.35,13.55,11.95,13.03,112221
2005-07-26,13.29,13.95,12.3,12.72,247180
2005-07-27,12.56,12.9,12.25,12.46,35977
2005-07-28,12.56,12.61,12.3,12.49,40390
2005-07-29,12.3,13.0,12.19,12.99,41669
2005-08-01,12.97,12.97,12.5,12.9,30802
2005-08-02,12.74,13.8,12.71,13.6,68382
2005-08-03,13.5,13.84,13.15,13.6,57455
2005-08-04,13.75,13.98,13.46,13.74,48477
2005-08-05,13.8,14.5,13.3,13.85,171361
2005-08-08,14.1,14.1,12.75,13.02,17969
2005-08-09,13.79,14.18,12.7,13.75,269595
2005-08-10,14.0,14.0,12.68,13.74,19525
