Date,Open,High,Low,Close,Volume
2013-03-13,22.0,22.49,20.64,22.0,5363934
2013-03-14,22.23,22.23,21.21,21.95,383374
2013-03-15,21.86,22.0,21.25,21.3,232896
2013-03-18,20.71,21.49,20.5,21.1,149692
2013-03-19,21.05,21.44,20.65,21.05,231339
2013-03-20,21.1,21.1,20.67,20.87,260797
2013-03-21,20.69,21.15,20.66,21.0,263529
2013-03-22,21.0,21.03,18.5,20.1,455770
2013-03-25,19.99,19.99,19.12,19.34,227045
2013-03-26,19.05,19.28,18.49,18.57,414739
2013-03-27,18.6,18.93,17.15,17.15,288345
2013-03-28,17.29,18.15,16.28,17.33,315350
2013-04-01,17.49,17.5,16.72,17.19,161952
2013-04-02,17.33,17.5,16.8,17.01,185939
2013-04-03,17.08,17.25,16.92,17.23,74483
2013-04-04,17.5,19.5,17.33,19.04,424556
2013-04-05,19.02,19.21,18.45,19.21,84032
2013-04-08,18.58,19.61,17.25,18.1,353474
2013-04-09,17.85,18.65,17.85,18.45,80916
2013-04-10,18.89,19.93,18.54,19.93,118380
2013-04-11,20.24,20.24,19.71,20.08,132006
2013-04-12,19.8,20.14,19.75,19.93,55057
2013-04-15,19.8,19.8,18.28,18.28,199269
2013-04-16,18.81,19.95,18.56,18.69,76978
2013-04-17,18.3,18.88,18.3,18.52,82954
2013-04-18,18.86,18.99,17.59,17.76,45419
2013-04-19,18.0,19.47,17.97,18.45,171865
2013-04-22,18.21,18.95,17.17,17.89,92504
2013-04-23,17.86,18.48,17.86,18.17,87888
2013-04-24,18.02,18.5,17.2,17.9,126973
2013-04-25,17.73,17.99,17.5,17.6,114723
2013-04-26,17.52,18.13,17.09,17.82,121196
2013-04-29,17.6,17.86,17.6,17.66,43261
2013-04-30,17.7,18.18,17.68,18.05,51303
2013-05-01,18.0,18.7,17.56,17.62,62621
2013-05-02,18.4,18.69,17.27,17.32,137658
2013-05-03,17.63,18.28,17.0,17.17,90351
2013-05-06,17.38,17.65,17.11,17.26,30253
2013-05-07,17.56,17.65,17.25,17.37,42772
2013-05-08,17.33,17.55,17.1,17.26,62861
2013-05-09,17.36,17.48,15.99,16.17,127293
2013-05-10,16.05,16.55,15.35,16.42,80246
2013-05-13,17.1,17.22,16.6,16.96,30104
2013-05-14,17.0,17.32,16.81,16.99,34609
2013-05-15,16.98,17.15,16.45,17.1,59420
2013-05-16,17.03,17.03,16.05,16.42,152303
