Date,Open,High,Low,Close,Volume
2015-07-01,29.9,31.9,27.82,28.5,10513518
2015-07-02,28.09,29.25,26.16,28.0,1199150
2015-07-06,26.11,27.8,26.01,26.69,512787
2015-07-07,26.93,27.85,25.66,27.01,700672
2015-07-08,26.8,27.25,26.0,26.25,403894
2015-07-09,26.61,27.08,26.5,26.66,334029
2015-07-10,27.1,31.0,26.7,29.28,1234590
2015-07-13,30.06,32.45,29.69,30.96,680778
2015-07-14,31.33,32.5,30.97,31.96,512637
2015-07-15,32.0,32.2,30.44,30.69,302964
2015-07-16,31.06,31.42,30.2,30.95,368193
2015-07-17,31.21,31.68,30.49,30.6,200049
2015-07-20,30.63,31.0,29.88,29.89,218823
2015-07-21,29.57,30.7,29.57,30.5,285967
2015-07-22,30.2,31.09,30.13,31.09,404229
2015-07-23,30.8,31.0,30.27,30.54,373896
2015-07-24,30.72,32.24,30.4,32.15,529338
2015-07-27,32.64,32.9,30.5,31.31,385491
2015-07-28,31.15,31.17,29.75,30.83,251617
2015-07-29,30.6,31.7,30.51,31.57,165943
2015-07-30,31.37,31.7,30.65,30.91,287384
2015-07-31,31.06,31.79,30.91,31.57,143296
2015-08-03,31.74,34.0,31.51,33.2,458495
2015-08-04,33.15,35.32,33.05,34.82,263818
2015-08-05,35.2,35.42,32.51,33.06,318512
2015-08-06,33.6,33.6,30.08,32.07,554289
2015-08-07,32.0,32.3,30.77,30.83,209197
2015-08-10,30.85,30.89,30.0,30.47,209649
2015-08-11,30.1,30.6,28.25,28.76,436197
2015-08-12,28.81,29.38,28.17,28.51,253694
2015-08-13,28.25,31.0,28.25,29.79,688852
2015-08-14,30.1,30.97,27.87,28.52,523936
2015-08-17,28.14,29.5,27.15,29.23,472954
2015-08-18,29.2,29.24,28.09,28.3,378136
2015-08-19,28.17,28.34,26.19,26.85,772482
2015-08-20,26.4,27.31,24.56,26.5,563851
2015-08-21,26.76,26.76,24.67,25.64,662302
2015-08-24,23.94,25.03,21.81,23.88,961445
2015-08-25,24.11,25.04,22.5,23.2,1178103
2015-08-26,24.72,25.63,22.75,25.28,1477994
2015-08-27,27.66,28.5,25.74,26.13,1596802
2015-08-28,26.28,27.79,25.91,27.72,662873
2015-08-31,28.05,28.05,25.72,25.74,564047
2015-09-01,25.15,25.3,22.69,22.85,1682613
2015-09-02,22.96,23.02,20.26,22.15,3355775
2015-09-03,22.35,23.4,21.56,22.41,2480247
2015-09-04,21.63,22.24,20.08,20.82,1714216
2015-09-08,22.0,22.0,20.25,20.53,1089137
2015-09-09,20.78,22.91,20.63,22.56,1114816
2015-09-10,22.07,23.38,21.1,22.98,614476
2015-09-11,23.28,23.77,21.6,23.5,593969
2015-09-14,24.23,24.75,22.5,23.07,665874
2015-09-15,23.56,23.94,22.54,22.99,524131
2015-09-16,22.69,22.92,21.72,22.06,670131
2015-09-17,22.29,23.0,21.77,22.15,324627
2015-09-18,21.82,22.29,21.1,21.96,912126
2015-09-21,22.3,23.19,22.15,22.24,494858
2015-09-22,22.05,24.5,21.73,24.5,496862
2015-09-23,23.47,24.55,22.29,24.46,701781
2015-09-24,24.38,24.69,23.84,24.33,310818
2015-09-25,24.21,24.5,21.89,22.35,852217
2015-09-28,22.32,22.39,19.45,20.63,705151
2015-09-29,21.13,23.25,20.55,21.0,848673
2015-09-30,21.41,22.81,21.03,22.29,2992391
2015-10-01,22.84,23.0,22.1,22.81,912724
2015-10-02,22.09,22.24,17.37,18.24,3055202
2015-10-05,18.64,18.65,15.63,17.49,2135078
2015-10-06,17.49,17.49,16.12,16.64,1389491
2015-10-07,16.77,16.91,15.62,16.23,578121
2015-10-08,16.05,16.85,15.95,16.8,367189
2015-10-09,16.57,17.42,16.48,17.25,557161
2015-10-12,16.91,18.37,16.85,18.03,468363
2015-10-13,17.59,18.3,17.51,18.0,283714
2015-10-14,17.92,18.55,17.92,18.08,309090
2015-10-15,17.65,18.46,17.65,18.12,218283
2015-10-16,18.25,18.3,17.99,18.0,162107
2015-10-19,17.9,18.36,17.9,18.21,229030
2015-10-20,18.12,18.98,17.51,17.84,395820
2015-10-21,18.11,18.85,17.8,18.59,331195
2015-10-22,18.68,18.72,16.62,17.27,563506
2015-10-23,17.09,18.45,17.09,18.2,161280
2015-10-26,18.31,18.75,18.0,18.42,180464
2015-10-27,18.18,18.98,18.03,18.94,92895
2015-10-28,18.97,20.37,18.84,20.07,272341
2015-10-29,19.9,20.53,19.54,19.67,184270
2015-10-30,19.49,19.9,18.7,19.67,227275
2015-11-02,19.77,19.85,19.3,19.59,316927
2015-11-03,19.88,20.58,17.37,17.59,1913517
2015-11-04,17.64,17.9,17.08,17.19,440690
2015-11-05,17.45,17.45,15.65,16.0,470080
2015-11-06,15.93,15.99,15.32,15.61,295118
2015-11-09,15.81,16.9,15.43,16.2,410511
2015-11-10,16.33,16.41,15.77,15.84,189123
2015-11-11,16.0,16.34,15.64,16.25,166265
2015-11-12,17.21,17.88,16.45,17.36,221513
2015-11-13,17.25,17.72,17.17,17.58,115486
2015-11-16,17.5,18.25,17.5,18.23,126671
2015-11-17,18.13,19.4,18.13,19.36,213102
2015-11-18,19.5,20.53,19.1,19.25,243748
2015-11-19,18.85,19.0,18.1,18.46,116877
2015-11-20,18.7,19.46,18.53,19.0,112984
2015-11-23,18.95,19.32,18.62,19.28,102580
2015-11-24,19.55,19.92,19.34,19.82,136768
2015-11-25,19.82,20.19,19.17,19.25,105001
2015-11-27,19.32,19.83,19.0,19.52,47974
2015-11-30,19.7,21.25,19.51,21.25,203393
2015-12-01,21.11,21.66,20.81,21.52,126221
2015-12-02,21.55,22.0,20.73,20.91,221323
2015-12-03,21.0,21.42,20.76,21.28,130418
2015-12-04,21.41,21.48,20.84,20.88,98547
2015-12-07,20.98,20.98,20.46,20.64,139506
2015-12-08,20.48,20.78,19.69,19.79,80875
2015-12-09,19.7,19.78,18.63,18.78,183537
2015-12-10,18.72,19.68,18.52,19.56,115273
2015-12-11,19.39,19.41,18.75,19.0,95839
2015-12-14,18.9,18.93,18.35,18.39,83070
2015-12-15,18.59,18.95,18.37,18.45,102371
2015-12-16,18.85,18.98,18.48,18.65,100143
2015-12-17,18.8,18.96,18.3,18.36,117167
2015-12-18,18.21,18.5,17.61,18.1,218036
2015-12-21,18.1,18.45,17.88,17.94,203933
2015-12-22,17.77,17.82,17.5,17.68,94471
2015-12-23,17.61,17.76,17.06,17.4,116061
2015-12-24,17.4,17.72,17.4,17.67,30398
2015-12-28,16.4,17.47,16.19,17.43,228277
2015-12-29,17.54,17.86,17.25,17.78,74155
2015-12-30,17.82,18.49,17.75,18.31,73192
2015-12-31,18.15,18.98,17.82,17.96,119237
2016-01-04,17.67,18.75,17.39,17.99,186396
2016-01-05,18.0,20.0,17.87,19.5,373329
2016-01-06,19.29,20.8,18.46,20.66,509778
2016-01-07,19.91,20.44,19.79,20.18,277404
2016-01-08,20.16,20.18,17.91,19.17,193112
2016-01-11,19.24,19.75,18.3,19.0,191427
2016-01-12,19.26,19.26,17.91,18.63,262022
2016-01-13,18.54,18.72,16.33,16.91,473970
2016-01-14,17.05,17.9,15.83,17.73,304352
2016-01-15,17.37,17.64,16.77,17.02,200703
2016-01-19,17.24,17.24,16.25,16.63,228082
2016-01-20,16.35,16.84,15.0,15.74,473636
2016-01-21,15.91,16.7,15.84,16.34,580695
2016-01-22,16.57,17.98,16.55,17.44,216576
2016-01-25,17.46,17.85,16.7,16.78,327484
2016-01-26,16.68,17.0,16.04,16.7,219116
2016-01-27,16.59,16.59,16.0,16.25,163891
2016-01-28,16.31,16.44,14.65,15.52,425643
2016-01-29,15.5,16.24,15.38,16.24,191195
2016-02-01,16.25,16.25,15.63,15.99,434148
2016-02-02,16.06,16.12,15.0,15.88,212417
2016-02-03,19.53,15.98,15.03,15.85,257878
2016-02-04,15.83,15.99,14.86,15.2,377495
2016-02-05,15.18,15.18,13.54,14.13,372811
2016-02-08,13.92,13.92,12.6,12.68,145081
2016-02-09,13.08,13.08,11.84,11.86,257755
2016-02-10,11.96,12.76,11.91,11.99,214073
2016-02-11,11.78,12.61,11.32,11.89,588667
2016-02-12,11.94,12.11,11.54,11.92,190187
2016-02-16,12.27,12.49,12.01,12.36,284366
2016-02-17,12.41,14.09,12.41,14.05,568224
2016-02-18,14.05,15.25,14.05,14.52,280796
2016-02-19,14.55,15.1,14.02,14.96,229558
2016-02-22,15.05,15.85,14.96,15.12,176707
2016-02-23,15.01,15.7,14.58,14.72,251855
2016-02-24,14.62,15.0,14.16,14.91,124515
2016-02-25,14.99,15.11,13.81,13.85,280511
2016-02-26,13.8,15.13,13.8,14.57,206258
2016-02-29,14.64,14.89,13.63,13.83,335227
2016-03-01,13.92,14.04,13.58,13.76,201102
2016-03-02,13.78,14.07,13.25,13.47,356894
2016-03-03,13.5,13.99,12.59,12.75,421986
2016-03-04,12.5,12.5,11.85,12.21,348351
2016-03-07,12.16,12.75,12.16,12.5,225183
2016-03-08,12.3,12.51,11.96,11.98,189437
2016-03-09,12.1,12.43,11.85,12.36,165074
2016-03-10,12.43,12.5,11.93,12.14,225763
2016-03-11,12.19,12.39,12.04,12.28,266121
2016-03-14,12.12,12.25,11.78,11.84,292852
2016-03-15,11.65,11.9,11.43,11.47,198714
2016-03-16,11.51,11.88,11.44,11.59,165511
2016-03-17,11.28,11.48,10.22,10.65,566704
2016-03-18,10.7,11.58,10.64,11.21,835926
2016-03-21,11.3,11.48,11.02,11.23,304652
2016-03-22,11.15,11.38,10.9,10.94,460697
2016-03-23,11.0,11.0,10.25,10.34,293943
2016-03-24,10.21,10.25,9.85,9.94,325659
2016-03-28,9.89,10.04,9.08,9.5,452132
2016-03-29,9.5,10.16,9.4,9.95,261267
2016-03-30,9.8,9.95,9.51,9.9,479195
2016-03-31,9.84,9.9,9.58,9.6,218377
2016-04-01,9.56,10.1,9.55,10.04,562408
2016-04-04,10.05,10.15,9.7,10.02,183176
2016-04-05,9.84,10.22,9.75,10.13,254727
2016-04-06,10.11,10.2,9.62,10.07,314053
2016-04-07,10.05,10.5,10.05,10.3,192391
2016-04-08,10.5,11.36,10.41,10.52,555639
2016-04-11,10.45,10.61,9.8,10.07,285956
2016-04-12,10.03,10.55,10.0,10.37,157935
2016-04-13,10.46,11.39,10.37,11.22,251649
2016-04-14,11.16,11.33,10.93,11.19,103875
2016-04-15,11.22,11.32,11.12,11.24,200409
2016-04-18,11.14,11.32,11.07,11.14,255388
2016-04-19,11.22,11.49,11.16,11.4,318958
2016-04-20,11.43,11.68,11.36,11.58,323264
2016-04-21,11.65,12.06,11.65,12.03,284787
2016-04-22,11.9,12.23,11.76,11.9,111178
2016-04-25,11.85,12.02,11.82,12.0,143978
2016-04-26,11.92,12.13,11.75,12.08,151000
2016-04-27,12.01,12.46,12.01,12.05,165755
2016-04-28,12.06,12.32,12.03,12.07,72425
2016-04-29,12.05,12.36,11.9,12.15,137632
2016-05-02,12.16,12.49,11.94,12.34,187756
2016-05-03,12.24,12.4,11.5,11.63,163685
2016-05-04,11.56,11.7,11.2,11.25,157284
2016-05-05,11.2,11.41,10.58,10.76,145800
2016-05-06,10.75,10.93,10.71,10.85,129064
2016-05-09,10.94,11.9,10.94,11.82,197042
2016-05-10,11.91,11.91,11.37,11.8,111311
2016-05-11,10.94,11.86,10.32,11.64,386663
2016-05-12,11.6,11.71,10.98,11.07,220624
2016-05-13,10.61,10.8,10.02,10.05,412420
2016-05-16,9.93,10.21,9.4,9.58,309183
2016-05-17,9.59,10.27,9.28,10.25,411912
2016-05-18,10.07,10.39,9.89,10.03,271919
2016-05-19,9.95,10.22,9.69,9.72,122851
2016-05-20,9.71,9.78,9.51,9.77,189032
2016-05-23,9.65,10.23,9.59,9.99,210588
2016-05-24,9.92,10.28,9.68,9.92,230111
2016-05-25,9.92,10.38,9.9,10.28,193965
