Date,Open,High,Low,Close,Volume
2014-02-27,12.0,12.0,12.0,12.0,667
2014-02-28,12.3,12.3,12.3,12.3,301
2014-03-04,12.0,12.0,12.0,12.0,667
2014-03-11,12.3,12.3,12.3,12.3,1228
2014-03-18,12.3,12.3,12.3,12.3,50
2014-04-04,12.3,12.3,12.3,12.3,619
2014-04-09,12.3,12.3,12.3,12.3,189
2014-04-29,14.1,14.1,14.1,14.1,817
2014-05-22,14.4,14.4,14.4,14.4,338
2014-05-23,14.22,14.22,14.22,14.22,574
2014-06-05,14.22,14.22,14.22,14.22,448
2014-06-16,13.62,13.62,13.62,13.62,167
2014-06-18,13.92,13.92,9.0,9.0,272
2014-07-01,14.22,14.22,14.16,14.22,722
2014-07-03,14.22,14.22,14.22,14.22,774
2014-07-09,14.1,14.1,14.1,14.1,983
2014-07-16,14.22,14.22,14.22,14.22,115
2014-07-21,13.63,13.63,13.63,13.63,1518
2014-07-23,14.22,14.22,14.22,14.22,438
2014-07-25,11.09,11.09,11.09,11.09,167
2014-09-05,14.22,14.22,14.22,14.22,5880
2014-09-12,13.74,13.74,13.74,13.74,833
2014-09-16,14.22,14.22,14.22,14.22,700
2014-10-07,13.62,13.62,13.32,13.62,1250
2014-10-10,13.92,13.92,13.92,13.92,833
2014-11-19,14.22,14.22,14.22,14.22,2130
2014-11-24,13.91,13.91,13.91,13.91,402
2014-12-04,14.7,14.7,14.7,14.7,1861
2014-12-11,14.67,14.67,14.67,14.67,520
2014-12-22,13.87,13.87,13.87,13.87,113
2015-02-25,15.72,15.72,15.72,15.72,1190
2015-03-03,16.44,16.44,16.44,16.44,1347
2015-03-12,16.5,16.5,16.5,16.5,232
2015-04-09,16.68,16.68,16.68,16.68,6042
2015-04-20,17.1,17.1,17.1,17.1,406
2015-05-05,17.4,17.4,17.4,17.4,333
2015-05-08,17.4,17.4,17.4,17.4,458
2015-05-18,16.32,16.32,16.32,16.32,2067
2015-06-05,15.0,15.0,15.0,15.0,2406
