Date,Open,High,Low,Close,Volume
2013-09-27,7.5,7.98,7.02,7.02,20754451
2013-09-30,7.0,7.46,7.0,7.35,3644563
2013-10-01,7.5,7.9,7.42,7.85,2603721
2013-10-02,7.74,7.9,7.53,7.53,1412192
2013-10-03,7.64,7.68,7.38,7.5,795880
2013-10-04,7.52,7.59,7.44,7.51,468214
2013-10-07,7.5,7.51,7.24,7.27,686816
2013-10-08,7.4,7.4,7.0,7.07,1322853
2013-10-09,7.02,7.05,6.81,6.87,759607
2013-10-10,6.87,7.1,6.87,6.93,416615
2013-10-11,6.87,7.32,6.87,7.27,514057
2013-10-14,7.3,7.31,7.05,7.3,235906
2013-10-15,7.26,7.34,7.22,7.24,664534
2013-10-16,7.31,7.31,7.2,7.2,296476
2013-10-17,7.07,7.26,7.07,7.19,190768
2013-10-18,7.2,7.28,7.15,7.25,250263
2013-10-21,7.36,7.37,7.2,7.3,245088
2013-10-22,7.5,7.57,7.22,7.25,816299
2013-10-23,7.27,7.45,7.16,7.25,411580
2013-10-24,7.39,7.4,7.11,7.16,351903
2013-10-25,7.15,7.19,6.97,7.03,442175
2013-10-28,7.19,7.28,6.99,7.01,309724
2013-10-29,7.1,7.16,6.95,7.0,175893
2013-10-30,7.1,7.1,6.78,6.89,737868
2013-10-31,6.88,6.96,6.5,6.65,401607
2013-11-01,6.56,6.56,5.91,6.1,1210362
2013-11-04,6.15,6.28,5.96,5.97,666058
2013-11-05,5.97,6.0,5.57,5.78,819755
2013-11-06,5.8,5.98,5.65,5.93,629339
2013-11-07,6.0,6.34,5.9,6.2,832649
2013-11-08,6.38,6.39,6.2,6.28,348724
2013-11-11,6.25,6.25,5.93,6.0,774023
2013-11-12,6.0,6.08,5.92,6.0,254742
2013-11-13,6.0,6.1,5.9,5.95,291811
2013-11-14,6.0,6.0,5.8,5.85,268226
2013-11-15,5.89,5.95,5.6,5.72,472234
2013-11-18,5.75,5.8,5.5,5.5,423611
2013-11-19,5.5,5.76,5.5,5.76,304197
2013-11-20,5.8,5.97,5.76,5.88,364518
2013-11-21,5.88,6.21,5.83,6.0,991392
2013-11-22,3.02,3.45,2.99,3.11,11853266
2013-11-25,3.13,3.3,3.0,3.25,2156046
2013-11-26,3.28,3.29,3.16,3.29,584354
2013-11-27,3.29,3.47,3.2,3.45,1297355
2013-11-29,3.47,3.51,3.43,3.45,635828
2013-12-02,3.34,3.49,3.3,3.33,393185
2013-12-03,3.3,3.33,3.2,3.32,350528
2013-12-04,3.31,3.44,3.25,3.42,344479
2013-12-05,3.4,3.47,3.4,3.42,206248
2013-12-06,3.39,3.48,3.35,3.38,167118
2013-12-09,3.42,3.43,3.34,3.39,494740
2013-12-10,3.39,3.42,3.34,3.36,384816
2013-12-11,3.35,3.36,3.07,3.08,659739
2013-12-12,2.99,3.0,2.5,2.56,4115754
2013-12-13,2.56,2.79,2.52,2.69,1096340
2013-12-16,2.68,3.35,2.62,3.27,3984546
2013-12-17,3.25,3.39,3.13,3.36,1556368
2013-12-18,3.37,3.54,3.3,3.5,1568600
2013-12-19,3.54,4.37,3.35,4.0,3755003
2013-12-20,4.0,4.1,3.71,3.82,2676790
2013-12-23,3.95,4.06,3.7,3.93,785636
2013-12-24,3.93,3.99,3.82,3.84,148544
2013-12-26,3.84,3.95,3.82,3.94,277511
2013-12-27,4.0,4.03,3.83,3.85,368418
2013-12-30,3.9,4.17,3.8,3.99,705614
2013-12-31,3.99,3.99,3.8,3.96,498193
2014-01-02,3.93,3.93,3.81,3.92,430331
2014-01-03,3.95,3.98,3.71,3.77,593978
2014-01-06,3.79,3.95,3.64,3.92,470513
2014-01-07,4.01,4.01,3.85,3.98,461301
2014-01-08,3.99,3.99,3.76,3.85,568436
2014-01-09,3.86,3.95,3.78,3.9,548097
