Date,Open,High,Low,Close,Volume
2011-05-04,12.5,13.15,11.54,12.1,6961747
2011-05-05,11.75,12.38,11.55,12.18,825423
2011-05-06,12.38,12.4,11.85,12.1,180939
2011-05-09,12.34,12.36,11.75,12.0,53929
2011-05-10,12.0,12.1,11.4,11.76,253850
2011-05-11,11.65,11.94,11.4,11.82,155842
2011-05-12,11.83,11.85,11.51,11.68,85357
2011-05-13,11.64,11.64,10.61,10.75,56834
2011-05-16,10.57,10.79,9.01,9.38,306871
2011-05-17,9.19,9.25,8.83,8.88,172481
2011-05-18,9.01,9.61,8.92,9.33,197090
2011-05-19,9.41,10.37,9.37,9.95,81337
2011-05-20,9.88,10.08,9.6,9.71,109118
2011-05-23,9.53,9.55,8.91,9.5,336229
2011-05-24,9.38,9.84,9.38,9.83,56408
2011-05-25,9.85,9.9,9.6,9.67,14305
2011-05-26,9.58,9.7,9.5,9.65,27300
2011-05-27,9.61,9.91,9.21,9.53,45021
2011-05-31,9.56,9.88,9.25,9.35,50449
2011-06-01,9.37,9.88,9.1,9.72,70895
2011-06-02,9.46,10.0,9.37,9.96,55686
2011-06-03,9.8,10.7,9.8,10.17,34917
2011-06-06,10.55,10.57,9.33,9.6,300796
2011-06-07,9.94,10.0,8.75,8.87,131523
2011-06-08,8.84,9.13,7.25,7.41,251940
2011-06-09,7.48,7.95,7.41,7.67,220855
2011-06-10,7.62,8.06,6.98,7.65,273548
2011-06-13,8.07,10.42,7.98,10.11,3510415
2011-06-14,10.5,10.95,9.38,9.65,1447986
2011-06-15,9.5,9.62,9.05,9.51,332182
2011-06-16,9.23,9.8,9.23,9.58,280667
2011-06-17,9.82,9.89,8.59,8.91,293697
2011-06-20,8.91,8.91,8.14,8.37,247631
2011-06-21,8.36,8.65,8.03,8.2,319399
2011-06-22,8.13,8.85,8.13,8.78,190343
2011-06-23,8.78,9.2,8.53,9.13,180754
2011-06-24,9.24,9.45,8.65,9.0,924047
2011-06-27,9.29,9.44,9.05,9.12,177151
2011-06-28,9.19,9.79,9.02,9.06,121941
2011-06-29,9.38,9.38,9.0,9.26,168952
2011-06-30,9.34,9.46,9.01,9.08,125047
2011-07-01,9.1,9.1,8.9,8.98,158165
2011-07-05,9.1,9.2,9.0,9.11,110016
2011-07-06,9.04,9.36,9.02,9.36,136165
2011-07-07,9.5,9.68,9.23,9.27,175326
2011-07-08,9.21,9.7,9.1,9.67,150495
2011-07-11,9.7,9.88,9.31,9.55,107140
2011-07-12,9.37,9.63,9.1,9.1,100397
2011-07-13,9.68,9.82,9.29,9.43,121055
