Date,Open,High,Low,Close,Volume
2014-06-24,14.21,15.55,14.2,14.9,10653232
2014-06-25,15.13,16.18,15.0,15.26,3570084
2014-06-26,15.15,15.87,14.91,15.14,1204459
2014-06-27,15.25,15.45,14.9,15.09,744448
2014-06-30,15.2,15.3,14.9,14.97,695691
2014-07-01,14.95,15.08,14.49,14.58,958036
2014-07-02,14.85,15.1,14.5,14.69,732364
2014-07-03,14.74,14.86,14.51,14.55,245623
2014-07-07,14.5,14.79,14.21,14.33,494502
2014-07-08,14.35,14.45,13.52,13.79,952138
2014-07-09,13.53,13.75,13.24,13.5,462320
2014-07-10,13.4,14.54,12.8,14.25,515887
2014-07-11,14.27,14.28,13.8,13.82,286570
2014-07-14,13.7,14.02,13.7,13.77,372057
2014-07-15,13.8,13.98,13.6,13.65,167794
2014-07-16,13.72,13.72,13.18,13.22,324624
2014-07-17,13.22,13.4,13.0,13.02,313420
2014-07-18,13.05,13.06,12.5,12.95,449971
2014-07-21,12.63,12.73,12.04,12.28,450967
2014-07-22,12.25,12.72,12.11,12.25,420795
2014-07-23,12.25,12.72,12.25,12.59,325374
2014-07-24,12.16,12.85,12.16,12.7,233362
2014-07-25,12.75,12.85,12.53,12.75,162486
2014-07-28,12.84,12.84,12.36,12.5,313356
2014-07-29,12.41,12.8,12.41,12.58,696238
2014-07-30,12.58,12.72,12.41,12.42,64156
2014-07-31,12.4,12.45,12.0,12.01,283049
2014-08-01,12.03,12.7,12.0,12.69,180318
2014-08-04,12.77,13.17,12.5,13.03,308339
2014-08-05,12.74,13.1,12.6,12.81,148965
2014-08-06,12.7,12.87,12.6,12.77,143402
2014-08-07,12.68,13.5,12.66,13.3,363862
2014-08-08,13.14,13.65,13.1,13.23,257756
2014-08-11,13.38,13.4,12.88,12.95,205053
2014-08-12,13.02,13.05,12.81,12.9,80501
2014-08-13,12.88,13.05,12.57,12.62,110407
2014-08-14,12.62,12.79,12.25,12.26,161177
2014-08-15,12.39,12.47,12.1,12.11,230180
2014-08-18,12.36,12.4,12.01,12.03,221319
2014-08-19,12.08,12.23,11.13,11.36,580965
2014-08-20,11.2,11.26,9.96,10.39,1891453
2014-08-21,10.5,11.95,10.42,11.83,1860457
2014-08-22,11.81,12.0,11.32,11.87,659712
2014-08-25,11.94,11.94,11.34,11.39,485411
2014-08-26,11.3,11.4,10.88,11.06,432442
2014-08-27,11.0,11.13,10.7,10.87,436491
2014-08-28,10.8,11.47,10.77,11.2,450903
2014-08-29,11.19,11.33,11.11,11.23,126055
2014-09-02,11.06,11.48,11.0,11.48,255537
2014-09-03,11.5,11.68,11.11,11.48,204413
2014-09-04,11.44,12.69,11.38,12.08,1007980
2014-09-05,12.1,13.33,12.1,13.33,1415828
2014-09-08,13.08,14.31,12.88,13.85,772949
2014-09-09,13.84,14.2,13.11,13.88,910839
2014-09-10,13.85,13.85,13.16,13.35,325187
2014-09-11,13.35,13.35,13.03,13.15,505683
2014-09-12,13.37,13.4,12.65,12.8,473167
2014-09-15,12.9,13.1,12.1,12.25,511365
2014-09-16,12.2,12.25,11.62,12.06,441241
2014-09-17,12.0,12.41,11.8,11.8,470664
2014-09-18,11.9,12.05,11.15,11.5,636626
2014-09-19,11.45,11.77,11.25,11.51,290619
2014-09-22,11.5,11.5,10.8,11.14,247761
2014-09-23,11.12,11.3,11.01,11.16,106754
2014-09-24,11.13,11.46,11.0,11.3,268561
2014-09-25,11.3,11.43,10.73,10.92,364030
2014-09-26,11.0,11.16,10.5,10.5,267020
2014-09-29,10.5,11.08,10.4,11.01,177805
2014-09-30,11.1,11.12,10.71,10.75,145338
2014-10-01,10.75,10.78,10.51,10.68,176517
2014-10-02,10.82,11.07,10.52,10.92,137904
2014-10-03,10.99,11.43,10.9,11.24,196387
2014-10-06,11.43,11.57,10.8,11.17,180232
2014-10-07,11.0,11.0,10.65,10.74,94119
2014-10-08,10.69,10.87,10.4,10.74,134362
2014-10-09,10.71,10.82,10.51,10.55,71549
2014-10-10,10.51,10.53,10.05,10.16,171414
2014-10-13,10.11,10.21,9.83,9.89,195903
2014-10-14,9.92,10.27,9.92,10.01,77362
2014-10-15,10.19,10.2,9.88,10.16,99278
2014-10-16,9.9,10.3,9.89,10.28,66372
2014-10-17,10.3,10.36,10.03,10.05,156225
2014-10-20,10.02,10.16,9.95,9.98,131584
2014-10-21,10.11,10.59,10.0,10.56,135995
2014-10-22,10.5,10.55,10.22,10.44,154220
2014-10-23,10.42,10.5,9.98,9.98,301443
2014-10-24,10.0,10.2,9.52,9.77,167971
2014-10-27,9.77,9.77,8.77,9.01,286042
2014-10-28,9.0,9.37,9.0,9.34,114574
2014-10-29,9.38,9.38,9.01,9.03,103993
2014-10-30,9.08,9.09,8.8,8.84,141770
2014-10-31,8.9,9.29,8.8,9.0,164906
2014-11-03,9.15,9.3,9.02,9.22,136666
2014-11-04,9.15,10.0,9.15,9.82,216364
2014-11-05,9.81,10.13,9.47,9.62,174478
2014-11-06,9.57,9.64,9.42,9.53,47724
2014-11-07,9.82,9.82,9.48,9.65,126783
2014-11-10,9.8,9.98,9.66,9.87,124613
2014-11-11,9.86,9.98,9.5,9.7,76737
2014-11-12,9.7,9.86,9.68,9.8,62536
2014-11-13,9.76,9.8,9.56,9.65,66884
2014-11-14,9.68,10.29,9.64,10.14,123075
2014-11-17,10.08,10.66,10.08,10.39,175534
2014-11-18,10.36,10.72,10.26,10.48,88161
2014-11-19,10.42,10.99,10.29,10.77,139977
2014-11-20,10.75,10.9,9.81,9.93,227171
2014-11-21,9.9,10.6,9.57,9.72,203806
2014-11-24,9.85,9.89,9.25,9.54,157096
2014-11-25,9.54,9.54,9.21,9.24,261888
2014-11-26,9.15,9.15,8.42,8.59,431949
2014-11-28,8.7,8.73,8.28,8.67,157008
2014-12-01,8.62,8.83,8.38,8.55,123967
2014-12-02,8.51,8.8,8.5,8.57,154074
2014-12-03,8.61,8.84,8.4,8.73,87513
2014-12-04,8.76,8.82,8.3,8.31,169052
2014-12-05,8.3,8.49,7.91,8.06,522100
2014-12-08,7.8,8.16,7.5,7.55,293077
2014-12-09,7.48,7.49,7.06,7.25,271820
2014-12-10,7.28,7.43,7.01,7.04,146496
2014-12-11,7.0,7.52,7.0,7.33,230588
2014-12-12,7.35,7.83,7.03,7.53,698597
2014-12-15,7.53,7.84,7.41,7.8,379274
2014-12-16,7.74,7.83,7.5,7.69,121962
2014-12-17,7.72,7.77,7.12,7.14,107001
2014-12-18,7.22,7.36,7.0,7.03,631518
2014-12-19,7.03,7.11,6.56,6.6,908840
2014-12-22,6.89,7.9,6.83,7.89,502326
2014-12-23,7.2,7.85,6.81,7.1,516864
2014-12-24,7.02,7.34,7.02,7.31,171004
2014-12-26,7.08,7.44,7.05,7.19,158327
2014-12-29,7.0,7.29,6.95,7.13,143375
2014-12-30,7.05,7.46,6.98,7.32,243532
2014-12-31,7.25,7.37,7.2,7.3,95748
2015-01-02,7.36,8.06,7.34,8.0,135656
2015-01-05,7.98,8.4,7.78,8.34,166362
2015-01-06,8.33,8.66,8.0,8.17,166697
2015-01-07,7.77,8.54,7.77,8.47,372461
2015-01-08,8.3,8.63,8.12,8.3,445914
2015-01-09,8.24,8.59,8.17,8.46,331053
2015-01-12,8.32,8.55,8.05,8.41,234109
2015-01-13,8.35,8.41,7.9,8.19,155211
2015-01-14,8.12,8.34,8.12,8.27,164765
2015-01-15,8.26,8.36,7.81,7.92,106519
