Date,Open,High,Low,Close,Volume
2000-06-30,19.0,20.75,18.5,20.25,9326500
2000-07-03,20.5,20.54,19.81,20.38,2391700
2000-07-05,20.38,20.56,19.88,20.25,3781200
2000-07-06,20.12,20.19,19.5,19.69,2511000
2000-07-07,19.88,20.38,19.75,20.25,4905600
2000-07-10,20.31,20.56,20.0,20.38,2722800
2000-07-11,20.38,20.44,19.75,20.12,2583600
2000-07-12,19.75,20.12,19.69,19.75,3436800
2000-07-13,19.94,20.0,19.81,20.0,2204500
2000-07-14,19.94,20.38,19.75,20.38,3902000
2000-07-17,20.0,20.12,19.75,19.88,2700500
2000-07-18,19.94,19.94,19.06,19.12,4429900
2000-07-19,19.19,19.25,18.69,18.88,3873400
2000-07-20,18.88,19.44,18.75,19.38,3469600
2000-07-21,19.38,19.44,18.88,18.94,2300500
2000-07-24,18.94,19.0,18.56,18.81,2850000
2000-07-25,18.56,18.62,18.0,18.19,4817800
2000-07-26,17.0,17.0,14.75,15.0,32830600
2000-07-27,15.5,15.56,14.75,14.88,14450600
2000-07-28,15.0,15.0,14.56,14.94,8549300
2000-07-31,15.06,15.44,14.81,15.06,7628900
2000-08-01,14.94,15.44,14.94,15.38,7037700
2000-08-02,15.38,15.41,15.12,15.25,5891200
2000-08-03,15.25,15.25,15.0,15.12,4639600
2000-08-04,15.12,15.62,15.06,15.62,4633000
2000-08-07,15.75,16.31,15.69,16.06,5161600
2000-08-08,16.0,17.56,15.75,16.81,7617100
2000-08-09,17.0,17.0,16.0,16.31,5458700
2000-08-10,16.31,17.12,16.0,17.0,4686600
2000-08-11,17.0,17.25,16.56,16.69,3141500
2000-08-14,16.94,17.19,16.56,16.69,3406900
2000-08-15,16.75,16.81,16.12,16.12,4182500
2000-08-16,16.38,16.62,16.31,16.44,2257200
2000-08-17,16.56,16.62,16.44,16.5,1846400
2000-08-18,16.38,16.44,16.06,16.25,3045500
2000-08-21,16.5,16.62,16.25,16.56,2092000
2000-08-22,16.62,17.0,16.5,16.62,3355000
2000-08-23,16.69,16.69,16.44,16.5,3175800
2000-08-24,16.5,16.75,16.31,16.44,3669600
2000-08-25,16.31,16.62,16.31,16.56,3363400
2000-08-28,0.0,17.19,16.5,17.12,3622200
2000-08-29,16.75,17.19,16.75,17.0,7823500
2000-08-30,16.94,16.94,16.25,16.44,3744300
2000-08-31,16.62,16.75,16.0,16.06,4577300
2000-09-01,16.25,16.25,15.88,16.25,4366700
2000-09-05,16.19,16.19,15.81,15.88,3032200
2000-09-06,16.12,16.19,15.94,16.0,7873100
2000-09-07,16.0,16.06,15.81,15.94,4090000
2000-09-08,15.94,16.0,15.19,15.56,3732300
2000-09-11,15.44,15.62,15.25,15.38,2294200
2000-09-12,15.38,15.75,15.19,15.31,2744100
2000-09-13,15.56,16.0,15.38,15.62,3421900
2000-09-14,15.94,16.38,15.62,16.0,8716900
2000-09-15,17.0,18.5,16.56,18.0,27614800
2000-09-18,17.75,17.81,16.5,17.25,6238300
2000-09-19,17.0,17.06,16.31,16.44,3909800
2000-09-20,16.88,17.25,16.62,17.0,5778500
2000-09-21,16.88,16.88,16.19,16.25,2749100
2000-09-22,16.25,16.69,15.94,16.56,3511200
2000-09-25,16.69,16.75,15.94,15.94,2232100
2000-09-26,16.0,16.06,15.31,15.44,4346500
2000-09-27,15.5,15.5,14.88,15.0,5824400
2000-09-28,14.94,15.38,14.81,15.25,3814700
2000-09-29,15.31,15.31,14.88,15.0,3350700
2000-10-02,15.06,15.38,14.88,15.31,3434700
2000-10-03,12.38,13.06,10.94,11.38,40347100
2000-10-04,11.25,11.31,10.5,10.81,19018200
2000-10-05,11.0,11.19,10.69,10.88,10744600
2000-10-06,10.81,10.94,10.5,10.88,6839100
2000-10-09,10.88,10.94,10.19,10.44,5241600
2000-10-10,10.81,11.06,10.56,11.0,7850900
2000-10-11,10.69,11.0,10.62,10.94,9222000
2000-10-12,11.0,11.25,10.92,11.25,6982200
2000-10-13,10.62,10.81,10.0,10.44,9904000
2000-10-16,10.44,10.5,6.75,7.75,31647400
2000-10-17,7.94,8.12,7.31,7.56,25483700
2000-10-18,7.5,7.94,6.75,6.75,15222600
2000-10-19,7.25,7.62,6.88,7.62,14351300
2000-10-20,7.88,8.75,7.81,8.62,20866500
2000-10-23,8.88,9.5,8.62,9.25,13089900
2000-10-24,9.25,9.62,8.44,8.94,12127200
2000-10-25,8.81,8.88,8.19,8.38,7178000
2000-10-26,8.5,8.5,7.88,8.12,6151600
2000-10-27,8.19,8.38,8.12,8.25,3642400
2000-10-30,8.25,8.5,8.19,8.38,4811800
2000-10-31,8.5,8.62,8.25,8.25,7137100
2000-11-01,8.38,8.56,8.38,8.56,4471600
2000-11-02,8.69,8.81,8.5,8.5,5955000
2000-11-03,8.62,9.56,8.62,9.5,12717600
2000-11-06,9.56,9.88,9.38,9.75,6468100
2000-11-07,9.62,9.88,9.38,9.81,4393600
2000-11-08,9.75,9.94,9.25,9.5,3252800
2000-11-09,9.25,9.38,8.56,8.81,3934500
2000-11-10,8.5,8.62,7.94,8.0,7045300
2000-11-13,7.94,8.56,7.88,8.56,7724800
2000-11-14,8.44,9.25,8.38,8.88,6082800
2000-11-15,8.94,9.12,8.62,8.62,3682900
2000-11-16,8.88,8.94,8.38,8.38,2873300
2000-11-17,8.5,8.56,8.25,8.31,3382900
2000-11-20,8.0,8.06,7.0,7.0,5013200
2000-11-21,7.69,7.75,7.0,7.19,9819100
2000-11-22,7.12,7.31,6.94,7.19,7929400
2000-11-24,7.44,7.44,7.25,7.38,2114300
2000-11-27,7.5,7.69,7.12,7.25,4442900
2000-11-28,7.19,7.31,7.0,7.19,5575200
2000-11-29,7.12,7.19,6.68,6.81,5062500
2000-11-30,6.75,7.0,6.56,6.81,5063700
2000-12-01,7.12,7.19,6.19,6.25,6814600
2000-12-04,6.0,6.06,4.75,5.0,21208600
2000-12-05,5.12,5.19,3.75,4.75,25400600
2000-12-06,4.75,5.0,4.56,4.62,10459900
2000-12-07,4.75,4.75,4.25,4.5,10449000
2000-12-08,4.5,4.81,4.5,4.75,8179100
2000-12-11,4.88,5.69,4.81,5.56,11028200
2000-12-12,5.94,5.94,5.5,5.5,8576900
2000-12-13,5.5,5.69,5.38,5.69,7560000
2000-12-14,5.81,6.62,5.81,6.31,11975200
2000-12-15,6.06,7.0,5.88,6.25,7362900
2000-12-18,6.25,6.44,6.19,6.38,5859100
2000-12-19,6.31,6.81,6.25,6.62,7383100
2000-12-20,6.25,6.38,5.75,6.0,8407300
2000-12-21,5.38,5.81,4.75,4.81,16128900
2000-12-22,4.81,5.12,4.75,5.06,11465500
2000-12-26,5.0,5.06,4.81,4.88,7643000
2000-12-27,4.81,5.06,4.81,5.0,11524800
2000-12-28,4.88,5.0,4.81,5.0,11780300
2000-12-29,4.88,4.94,4.56,4.62,17000700
2001-01-02,4.75,5.19,4.69,5.12,6924800
2001-01-03,5.06,5.38,4.81,5.25,8442100
2001-01-04,5.38,6.19,5.06,6.12,9285800
2001-01-05,6.44,6.44,5.88,5.94,5517100
2001-01-08,6.0,6.44,5.75,6.38,3862400
2001-01-09,6.25,6.25,5.62,5.88,9107800
2001-01-10,6.0,7.12,5.88,7.12,13708000
2001-01-11,7.19,7.25,6.75,6.81,6279200
2001-01-12,7.06,7.81,6.94,7.81,9551100
2001-01-16,8.0,8.06,7.0,7.38,7039500
2001-01-17,7.62,7.94,7.56,7.75,3707400
2001-01-18,7.75,7.81,7.31,7.44,3534600
2001-01-19,7.5,7.56,7.38,7.56,2503500
2001-01-22,7.5,7.56,7.06,7.06,3386400
2001-01-23,7.19,7.56,7.12,7.38,3531700
2001-01-24,7.5,7.69,7.44,7.56,2735200
2001-01-25,7.5,7.62,7.06,7.5,3017200
2001-01-26,7.38,7.56,6.75,6.88,4148700
2001-01-29,7.0,8.0,6.87,7.94,7494200
2001-01-30,7.99,8.4,7.9,8.02,10570100
2001-01-31,8.05,8.4,8.02,8.17,4534800
2001-02-01,8.17,8.49,8.03,8.43,3052100
2001-02-02,8.48,8.65,8.07,8.26,3786600
2001-02-05,8.26,8.32,7.7,7.92,3320300
2001-02-06,7.71,7.71,7.35,7.39,4358000
2001-02-07,7.23,7.25,6.7,6.91,4755300
2001-02-08,6.92,7.26,6.92,7.02,2665000
2001-02-09,7.0,7.0,6.67,6.95,2834600
2001-02-12,6.95,6.99,6.74,6.75,2287200
2001-02-13,6.8,7.12,6.77,6.87,2239600
2001-02-14,6.87,7.73,6.85,7.45,4508000
2001-02-15,7.55,7.62,7.24,7.24,2037200
2001-02-16,7.25,7.25,7.0,7.15,2650300
2001-02-20,7.11,7.2,6.9,6.96,2236700
2001-02-21,6.95,6.98,6.74,6.75,1321000
2001-02-22,6.6,6.65,6.4,6.55,3016100
2001-02-23,6.65,6.65,6.12,6.16,3577800
2001-02-26,6.26,6.3,6.11,6.13,3215900
2001-02-27,6.15,6.48,6.03,6.07,4165800
2001-02-28,6.0,6.07,5.9,6.04,4169400
2001-03-01,5.95,5.99,5.64,5.74,6405000
2001-03-02,6.1,6.98,6.1,6.7,5653800
2001-03-05,6.53,6.98,6.51,6.76,2541800
2001-03-06,6.87,7.1,6.87,6.91,2917200
2001-03-07,6.97,7.39,6.86,7.32,3827500
2001-03-08,7.5,7.54,7.0,7.03,2961200
2001-03-09,7.03,7.03,6.57,6.7,2599800
2001-03-12,6.53,6.53,6.15,6.17,3166700
2001-03-13,6.1,6.1,5.65,5.65,4851100
2001-03-14,5.65,5.95,5.58,5.85,3944100
2001-03-15,5.76,5.85,5.45,5.45,6055500
2001-03-16,5.46,5.46,5.03,5.03,5365800
2001-03-19,5.2,5.5,5.16,5.41,3414900
2001-03-20,5.55,6.34,5.5,5.8,6494700
2001-03-21,5.9,6.25,5.75,5.88,4423800
2001-03-22,6.1,6.1,5.53,5.59,2763200
2001-03-23,5.7,5.98,5.64,5.94,2832600
2001-03-26,6.04,6.07,5.64,5.64,4671300
2001-03-27,5.8,5.89,5.67,5.72,2840300
2001-03-28,5.78,6.25,5.76,6.25,5276900
2001-03-29,6.05,6.11,5.75,5.82,1850000
2001-03-30,5.83,6.05,5.68,5.99,2099400
2001-04-02,6.0,6.0,5.52,6.0,2465300
2001-04-03,5.55,5.55,4.75,4.95,7968300
2001-04-04,4.95,5.3,4.73,5.3,7037200
2001-04-05,5.53,5.55,5.17,5.26,2577700
2001-04-06,5.16,5.2,4.91,5.2,3238000
2001-04-09,5.11,5.27,5.1,5.27,2002900
2001-04-10,5.27,5.5,5.22,5.44,2387600
2001-04-11,5.44,5.74,5.44,5.62,2730300
2001-04-12,5.71,5.83,5.58,5.81,2002600
2001-04-16,5.8,5.82,5.66,5.79,1501800
2001-04-17,5.69,6.18,5.68,6.14,2676700
2001-04-18,6.25,6.53,6.18,6.4,4360200
2001-04-19,7.5,9.25,7.5,8.9,24524100
2001-04-20,8.68,9.1,8.47,8.6,10751200
2001-04-23,8.5,8.55,7.6,7.6,6234200
2001-04-24,7.75,8.18,7.65,8.09,3705700
2001-04-25,8.19,8.42,8.1,8.18,3451200
2001-04-26,8.18,8.4,7.93,8.01,3443100
2001-04-27,8.21,8.85,8.2,8.82,4332300
2001-04-30,8.85,9.1,8.85,9.04,4735300
2001-05-01,9.0,9.9,9.0,9.9,6318400
2001-05-02,10.0,10.21,9.52,9.55,6903000
2001-05-03,9.45,9.95,9.19,9.92,5230300
2001-05-04,9.7,9.87,9.57,9.84,3282200
2001-05-07,9.83,10.01,9.76,9.92,2138300
2001-05-08,10.05,10.16,9.51,9.8,3045300
2001-05-09,9.55,10.0,9.55,10.0,2559000
2001-05-10,10.05,10.3,9.77,9.98,2281000
2001-05-11,10.01,10.14,9.95,10.14,3677800
2001-05-14,10.0,10.22,9.96,10.0,2136500
2001-05-15,10.0,10.65,9.93,10.65,3822000
2001-05-16,10.4,11.25,10.3,10.83,4402900
2001-05-17,10.7,11.09,10.62,10.87,3358600
2001-05-18,10.81,10.91,10.61,10.91,2667900
2001-05-21,10.9,11.35,10.85,11.35,3379400
2001-05-22,11.0,11.0,10.35,10.75,7438700
2001-05-23,10.5,10.65,10.0,10.55,3279400
2001-05-24,10.45,10.5,10.22,10.33,2440600
2001-05-25,10.33,10.34,9.6,9.99,5031500
2001-05-29,9.6,9.75,9.42,9.45,4341300
2001-05-30,9.35,9.37,8.98,9.03,5111600
2001-05-31,9.6,10.7,9.6,9.91,8158300
