Date,Open,High,Low,Close,Volume
2014-06-13,35.16,38.28,35.0,37.0,15448766
2014-06-16,37.0,37.48,36.11,36.52,1702191
2014-06-17,36.47,36.8,35.54,36.5,1099084
2014-06-18,35.8,37.0,35.65,36.9,479811
2014-06-19,36.75,37.56,36.58,37.36,496376
2014-06-20,37.7,40.61,37.37,40.0,1064078
2014-06-23,40.0,40.0,38.22,39.22,525087
2014-06-24,38.36,39.1,37.58,38.4,306149
2014-06-25,38.07,38.98,36.51,38.23,286090
2014-06-26,38.15,38.6,37.47,38.16,264740
2014-06-27,37.94,38.25,37.52,38.07,261363
2014-06-30,38.32,38.46,37.18,37.82,206657
2014-07-01,38.0,38.12,37.22,37.39,928227
2014-07-02,37.3,37.82,36.56,37.3,407561
2014-07-03,37.65,38.1,37.01,37.27,327437
2014-07-07,37.5,37.75,37.17,37.39,950084
2014-07-08,38.05,38.98,37.25,37.4,667665
2014-07-09,37.46,37.51,37.2,37.38,215273
2014-07-10,37.45,37.5,37.14,37.42,358226
2014-07-11,37.65,37.7,37.37,37.46,222584
2014-07-14,37.69,39.55,37.55,38.63,1093386
2014-07-15,38.79,39.46,38.24,39.22,1116591
2014-07-16,39.68,40.56,39.57,40.38,746016
2014-07-17,40.38,40.64,39.98,40.13,297825
2014-07-18,39.96,40.16,39.8,39.9,192521
2014-07-21,39.62,40.47,39.6,40.31,340836
2014-07-22,40.98,40.98,39.48,39.69,426530
2014-07-23,39.66,40.2,38.71,39.79,313652
2014-07-24,39.54,40.54,39.54,40.07,300712
2014-07-25,40.07,40.7,39.6,39.8,1034410
2014-07-28,40.0,40.17,38.85,39.34,191460
2014-07-29,39.02,39.02,38.2,38.87,347327
2014-07-30,39.0,39.0,37.48,37.83,455410
2014-07-31,37.5,37.96,35.72,36.18,736276
2014-08-01,35.55,36.39,35.55,36.14,383503
2014-08-04,36.38,36.64,36.03,36.5,185244
2014-08-05,36.11,36.33,35.61,36.17,219992
2014-08-06,36.11,36.48,34.3,34.93,272375
2014-08-07,35.0,35.47,33.87,34.52,500550
