Date,Open,High,Low,Close,Volume
2000-06-29,10.29,10.29,9.79,9.79,2799
2000-06-30,9.79,10.23,9.79,10.23,4201
2000-07-03,9.84,9.84,9.84,9.84,99
2000-07-05,10.01,10.07,10.01,10.07,4000
2000-07-06,9.84,10.01,9.79,9.87,12699
2000-07-07,10.01,10.12,9.79,10.12,6700
2000-07-10,9.9,10.01,9.57,10.01,4900
2000-07-11,9.79,10.12,9.65,10.12,2200
2000-07-12,9.79,10.18,9.68,9.79,5499
2000-07-13,9.9,9.9,9.9,9.9,99
2000-07-14,10.07,10.23,10.07,10.23,10501
2000-07-17,10.01,10.12,9.9,9.95,6001
2000-07-18,10.12,10.23,10.12,10.23,4599
2000-07-19,10.01,10.01,10.01,10.01,900
2000-07-20,10.04,10.04,9.79,9.79,14499
2000-07-21,10.12,10.12,9.7,9.9,23499
2000-07-24,10.01,10.01,9.82,9.82,13000
2000-07-25,10.12,10.23,10.01,10.01,3100
2000-07-26,10.01,10.07,10.01,10.07,601
2000-07-27,10.01,10.01,9.79,9.79,8199
2000-07-28,10.04,10.04,9.79,9.79,12100
2000-07-31,9.79,10.23,9.79,10.12,8500
2000-08-01,10.12,10.12,10.01,10.12,5101
2000-08-02,10.23,10.23,10.12,10.12,4900
2000-08-03,9.95,10.01,9.84,10.01,2799
2000-08-04,9.9,10.34,9.9,10.23,2799
2000-08-07,10.23,10.23,10.04,10.07,5101
2000-08-08,10.2,10.4,10.2,10.4,73300
2000-08-09,10.4,10.79,10.34,10.34,12699
2000-08-10,10.79,10.79,10.79,10.79,99
2000-08-11,11.12,11.12,10.9,10.9,8500
2000-08-14,10.68,10.68,10.62,10.62,1300
2000-08-15,10.45,10.51,10.18,10.51,4000
2000-08-16,10.57,10.65,10.26,10.45,9099
2000-08-17,10.45,10.45,10.45,10.45,13500
2000-08-18,10.45,11.14,10.45,11.12,12100
2000-08-21,11.34,11.34,10.45,10.45,8199
2000-08-22,10.34,10.45,10.23,10.23,16299
2000-08-23,10.34,10.45,10.23,10.23,7299
2000-08-24,10.34,10.34,10.23,10.34,1800
2000-08-25,10.23,10.34,10.23,10.23,2401
2000-08-28,0.0,10.34,10.23,10.23,2799
2000-08-29,10.23,10.23,10.12,10.23,5101
2000-08-30,10.23,10.23,10.12,10.12,2799
2000-08-31,10.23,10.34,10.23,10.34,1300
2000-09-01,10.18,10.18,10.18,10.18,999
2000-09-05,10.18,10.18,10.01,10.07,10800
2000-09-06,,,,10.07,0
2000-09-07,10.18,10.23,10.01,10.01,27999
2000-09-08,10.01,10.23,10.01,10.23,5101
2000-09-11,10.07,10.37,10.07,10.26,6399
2000-09-12,10.26,10.4,10.26,10.4,11401
2000-09-13,10.29,10.45,10.29,10.29,5101
2000-09-14,10.26,10.26,10.26,10.26,10300
2000-09-15,10.34,10.4,10.26,10.29,3600
2000-09-18,10.29,10.45,10.29,10.45,601
2000-09-19,10.29,10.29,10.29,10.29,999
2000-09-20,10.29,10.29,10.29,10.29,900
2000-09-21,10.29,10.29,10.29,10.29,1899
2000-09-22,10.45,10.68,10.4,10.4,7200
2000-09-25,10.4,10.57,10.34,10.34,9400
2000-09-26,10.34,10.34,10.23,10.29,17701
2000-09-27,10.34,10.34,10.29,10.29,6700
2000-09-28,10.29,10.29,10.26,10.26,2200
2000-09-29,10.26,10.4,10.26,10.4,1501
2000-10-02,10.29,10.62,10.26,10.62,3699
2000-10-03,10.29,10.29,10.23,10.23,4000
2000-10-04,10.29,10.29,10.23,10.29,32800
2000-10-05,10.23,10.34,10.23,10.23,1800
2000-10-06,10.45,10.45,10.23,10.34,14499
2000-10-09,,,,10.34,0
2000-10-10,10.23,10.23,10.23,10.23,1300
2000-10-11,10.23,10.23,10.23,10.23,601
2000-10-12,10.23,10.34,10.23,10.23,2799
2000-10-13,10.29,10.29,10.23,10.23,3699
2000-10-16,,,,10.23,0
2000-10-17,,,,10.23,0
2000-10-18,,,,10.23,0
2000-10-19,10.12,10.12,10.12,10.12,1300
2000-10-20,10.01,10.07,10.01,10.07,2799
2000-10-23,,,,10.07,0
2000-10-24,10.04,10.04,10.04,10.04,601
2000-10-25,10.04,10.04,10.04,10.04,99
2000-10-26,,,,10.04,0
2000-10-27,10.04,10.04,10.04,10.04,5499
2000-10-30,10.01,10.12,10.01,10.12,3301
2000-10-31,10.07,10.12,10.01,10.12,7299
2000-11-01,10.04,10.04,10.04,10.04,99
2000-11-02,10.04,10.04,10.04,10.04,4500
2000-11-03,10.23,10.23,10.23,10.23,400
2000-11-06,10.01,10.23,9.57,9.68,35701
2000-11-07,10.23,10.23,10.23,10.23,2200
2000-11-08,10.34,10.34,10.34,10.34,900
2000-11-09,10.04,10.34,9.93,9.93,10800
2000-11-10,9.93,10.01,9.93,10.01,2200
2000-11-13,10.01,10.18,10.01,10.18,1300
2000-11-14,10.01,10.01,9.84,9.84,7600
2000-11-15,10.07,10.12,9.95,9.95,3100
2000-11-16,10.18,10.18,9.93,9.95,13201
2000-11-17,9.98,10.12,9.95,9.95,11700
2000-11-20,9.95,10.12,9.93,10.01,16801
2000-11-21,9.93,10.04,9.93,10.04,9601
2000-11-22,9.95,10.01,9.84,10.01,8701
2000-11-24,9.84,9.84,9.84,9.84,999
2000-11-27,10.34,10.34,10.12,10.12,5400
2000-11-28,10.12,10.12,9.95,9.95,1800
2000-11-29,9.95,9.95,9.95,9.95,3699
2000-11-30,10.12,10.34,10.04,10.07,11700
2000-12-01,10.23,10.23,9.9,9.9,1800
2000-12-04,10.29,10.34,10.29,10.34,3699
