Date,Open,High,Low,Close,Volume
2000-06-29,17.51,18.18,17.51,17.84,10900
2000-06-30,17.84,17.84,17.84,17.84,1500
2000-07-03,17.84,18.18,17.84,18.01,4000
2000-07-05,18.18,21.68,18.18,19.09,23100
2000-07-06,18.68,19.34,18.68,19.18,23700
2000-07-07,19.18,19.18,18.84,18.93,2200
2000-07-10,19.09,20.68,19.09,19.59,14700
2000-07-11,20.01,20.51,19.34,19.68,12700
2000-07-12,19.01,19.84,19.01,19.84,1300
2000-07-13,19.18,20.01,18.51,19.26,29400
2000-07-14,20.68,21.68,20.09,21.09,92100
2000-07-17,20.34,22.01,20.05,22.01,51700
2000-07-18,21.68,22.01,21.09,22.01,16200
2000-07-19,21.72,22.01,20.59,21.01,13200
2000-07-20,21.05,21.93,21.05,21.93,11700
2000-07-21,21.18,22.68,21.18,22.55,22500
2000-07-24,22.59,23.34,22.01,22.01,13200
2000-07-25,22.18,22.43,22.18,22.18,12400
2000-07-26,22.26,22.26,21.68,21.68,3600
2000-07-27,21.84,21.84,21.34,21.51,4800
2000-07-28,21.51,21.68,21.01,21.68,9400
2000-07-31,21.01,21.34,20.01,20.68,2800
2000-08-01,20.39,22.01,20.39,21.18,12400
2000-08-02,21.18,22.26,21.18,22.26,4200
2000-08-03,21.01,21.09,20.01,20.34,7300
2000-08-04,21.51,21.51,20.76,20.76,1300
2000-08-07,21.34,21.51,21.34,21.43,3000
2000-08-08,21.43,21.68,21.34,21.34,14100
2000-08-09,21.34,21.68,21.34,21.34,2700
2000-08-10,,,,21.34,0
2000-08-11,21.34,21.34,21.01,21.34,4800
2000-08-14,21.26,21.26,20.68,20.69,3700
2000-08-15,20.34,20.64,19.34,20.64,16200
2000-08-16,20.68,21.01,20.68,20.84,4000
2000-08-17,20.76,20.84,20.34,20.34,6000
2000-08-18,20.43,20.84,20.34,20.68,3300
2000-08-21,20.68,20.84,20.51,20.84,11100
2000-08-22,20.18,20.68,19.93,20.34,14500
2000-08-23,20.18,20.68,19.84,20.18,9900
2000-08-24,20.01,20.51,20.01,20.34,2800
2000-08-25,20.43,20.51,20.01,20.51,6600
2000-08-28,0.0,20.68,20.01,20.68,9900
2000-08-29,20.34,20.51,20.34,20.34,2500
2000-08-30,20.09,20.09,19.68,19.68,2400
2000-08-31,19.68,19.68,18.72,19.01,10600
2000-09-01,19.34,19.51,19.18,19.34,4900
2000-09-05,19.34,20.01,19.18,19.51,6600
2000-09-06,19.51,20.18,19.51,20.18,1000
2000-09-07,20.18,20.68,19.68,20.34,7000
2000-09-08,20.68,20.68,20.51,20.51,700
2000-09-11,19.84,20.68,19.68,20.01,4300
2000-09-12,20.68,20.76,20.01,20.76,6300
2000-09-13,20.26,20.43,20.01,20.43,3100
2000-09-14,20.43,21.01,20.01,20.34,19600
2000-09-15,20.93,22.09,20.93,21.59,24400
2000-09-18,22.09,23.51,20.93,22.59,37800
2000-09-19,22.18,22.34,21.51,21.51,6000
2000-09-20,21.97,21.97,21.01,21.3,7500
2000-09-21,21.09,21.47,21.01,21.47,3100
2000-09-22,21.34,21.68,21.34,21.34,2400
2000-09-25,21.43,22.01,21.01,21.93,12600
2000-09-26,21.59,21.93,21.01,21.76,9600
2000-09-27,21.76,21.76,21.51,21.68,3700
2000-09-28,21.68,21.68,21.68,21.68,2200
2000-09-29,21.76,21.84,21.51,21.51,4200
2000-10-02,21.68,21.84,20.84,21.34,6000
2000-10-03,21.51,21.68,20.68,21.34,7600
2000-10-04,21.34,21.51,21.01,21.43,3300
2000-10-05,21.51,21.68,21.51,21.64,2200
2000-10-06,21.51,21.59,20.68,20.84,13800
2000-10-09,21.18,21.18,20.51,20.51,9600
2000-10-10,21.34,21.59,21.01,21.09,4500
2000-10-11,21.09,21.18,20.84,21.09,7200
2000-10-12,21.01,21.34,21.01,21.01,1300
2000-10-13,21.01,21.18,20.68,21.18,2800
2000-10-16,21.09,21.18,20.68,20.84,2200
2000-10-17,20.84,20.84,20.34,20.76,7300
2000-10-18,20.34,20.68,19.34,20.01,8700
2000-10-19,20.51,20.51,20.01,20.01,2100
2000-10-20,20.26,20.26,20.26,20.26,300
2000-10-23,20.34,20.34,20.18,20.34,1300
2000-10-24,20.34,20.34,20.01,20.22,3700
2000-10-25,20.01,20.34,20.01,20.34,3400
2000-10-26,20.09,20.43,20.09,20.43,400
2000-10-27,20.47,20.68,20.43,20.43,4200
2000-10-30,20.64,20.68,20.34,20.34,11400
2000-10-31,20.51,20.51,19.68,19.68,10800
2000-11-01,20.18,20.51,20.18,20.34,4600
2000-11-02,20.34,20.51,20.01,20.34,16900
2000-11-03,20.3,20.43,19.8,19.97,4500
2000-11-06,19.84,20.34,19.84,20.18,9400
2000-11-07,19.84,20.18,19.84,20.18,3400
2000-11-08,20.09,20.18,20.01,20.18,8100
2000-11-09,20.18,20.18,20.01,20.01,2700
2000-11-10,19.89,19.93,19.72,19.93,5700
2000-11-13,20.01,20.09,19.72,19.72,2500
2000-11-14,19.89,19.93,19.43,19.84,8400
2000-11-15,19.93,19.93,19.51,19.59,6700
2000-11-16,19.84,20.01,19.34,19.51,3700
2000-11-17,19.68,20.14,19.64,20.14,4000
2000-11-20,20.01,20.01,19.34,19.34,3700
2000-11-21,19.84,19.93,19.64,19.93,8500
2000-11-22,19.93,19.93,19.01,19.59,12900
2000-11-24,19.84,19.84,19.51,19.84,6100
2000-11-27,19.68,19.68,19.34,19.51,9300
2000-11-28,19.68,20.18,19.51,19.84,4800
2000-11-29,19.68,20.09,19.68,19.68,6000
2000-11-30,19.68,20.01,19.68,19.76,3000
2000-12-01,19.68,20.01,19.68,20.01,2400
2000-12-04,20.09,20.18,19.76,20.14,11500
2000-12-05,20.14,20.72,20.14,20.43,11200
2000-12-06,20.43,20.68,20.43,20.59,900
2000-12-07,,,,20.59,0
2000-12-08,20.68,20.68,20.43,20.68,14500
2000-12-11,21.01,21.01,20.39,20.39,10800
2000-12-12,20.68,20.89,20.51,20.51,7800
2000-12-13,20.68,20.68,20.26,20.43,11400
2000-12-14,20.68,20.68,20.18,20.18,2400
2000-12-15,20.34,20.34,20.34,20.34,300
2000-12-18,20.51,21.26,20.51,21.14,23500
2000-12-19,21.34,21.34,20.97,20.97,2800
2000-12-20,21.01,21.01,18.68,19.34,8500
2000-12-21,19.34,20.01,18.76,19.84,9000
2000-12-22,19.59,19.93,19.09,19.51,19300
2000-12-26,19.18,20.01,19.18,19.55,13000
2000-12-27,19.84,20.01,19.51,19.51,9900
2000-12-28,19.43,19.84,19.43,19.84,4900
2000-12-29,19.84,20.43,19.43,20.43,3300
2001-01-02,19.93,20.01,19.55,19.93,5800
2001-01-03,19.93,21.51,19.84,20.34,9400
2001-01-04,21.34,21.34,19.51,19.51,10200
2001-01-05,20.01,20.01,19.51,19.55,3700
2001-01-08,20.01,20.09,19.76,19.8,17400
2001-01-09,20.43,20.43,19.84,20.01,4300
2001-01-10,20.01,20.43,20.01,20.18,6100
2001-01-11,19.93,19.93,19.76,19.76,3000
2001-01-12,19.84,20.34,19.84,20.34,6000
2001-01-16,20.26,20.51,19.84,19.84,10800
2001-01-17,19.93,20.18,19.93,20.01,5400
2001-01-18,19.76,20.51,19.76,20.26,15300
2001-01-19,20.26,20.51,19.84,19.84,3700
2001-01-22,19.72,20.34,19.72,19.89,2700
2001-01-23,20.14,20.34,19.93,19.93,1000
2001-01-24,19.93,20.26,19.68,19.68,25200
2001-01-25,20.01,20.01,19.51,19.51,1800
2001-01-26,19.51,20.18,19.51,20.18,1200
2001-01-29,19.68,20.34,19.68,20.34,2700
2001-01-30,20.09,20.68,20.09,20.18,12100
2001-01-31,20.34,20.34,20.18,20.34,2400
2001-02-01,20.18,20.18,19.68,19.68,1800
2001-02-02,20.01,20.43,20.01,20.18,22200
2001-02-05,19.93,20.01,19.68,19.68,5800
2001-02-06,19.68,20.01,19.68,19.68,5100
2001-02-07,19.68,20.18,19.68,19.76,4600
2001-02-08,20.09,20.09,19.76,19.76,2200
2001-02-09,20.09,20.09,19.68,20.09,4500
2001-02-12,20.05,20.05,19.76,19.76,2400
2001-02-13,20.09,20.26,19.89,19.89,7900
2001-02-14,20.01,20.05,20.01,20.05,900
2001-02-15,19.93,20.01,19.8,20.01,7000
2001-02-16,19.7,20.01,19.7,20.01,3400
2001-02-20,19.76,20.01,19.51,20.01,3400
2001-02-21,19.84,20.01,19.84,19.89,4900
2001-02-22,19.89,19.89,19.76,19.84,1800
2001-02-23,19.99,20.01,19.76,19.8,2800
2001-02-26,20.01,20.01,19.84,20.01,3100
2001-02-27,20.01,20.01,19.68,19.93,3900
2001-02-28,19.93,19.93,19.59,19.59,3400
2001-03-01,19.84,20.01,19.59,19.84,10300
2001-03-02,19.84,20.01,19.84,20.01,6700
2001-03-05,20.51,20.68,20.3,20.68,23400
2001-03-06,20.27,21.01,20.26,20.64,16500
2001-03-07,20.64,20.97,20.59,20.76,16600
2001-03-08,21.01,21.01,20.59,20.88,8200
2001-03-09,20.76,20.76,20.26,20.26,5100
2001-03-12,20.34,21.01,20.34,21.01,11200
2001-03-13,20.68,21.01,20.01,21.01,5400
2001-03-14,20.01,20.55,20.01,20.43,2400
2001-03-15,20.18,22.01,20.01,21.68,19800
2001-03-16,21.68,21.84,21.01,21.84,5500
2001-03-19,21.01,22.64,21.01,22.51,11400
2001-03-20,21.26,21.26,21.09,21.09,1500
2001-03-21,21.64,22.68,21.09,22.68,1900
2001-03-22,21.09,21.76,20.59,20.59,3300
2001-03-23,20.43,21.34,20.43,20.84,3700
2001-03-26,20.51,20.93,20.09,20.09,5200
2001-03-27,20.09,20.93,20.01,20.76,2700
2001-03-28,20.76,20.84,20.39,20.76,16000
2001-03-29,20.76,20.76,20.47,20.51,9300
2001-03-30,20.68,22.01,20.51,22.01,10800
2001-04-02,22.26,22.51,21.05,21.97,7000
2001-04-03,21.34,21.34,20.84,21.34,2500
2001-04-04,21.3,22.18,21.01,22.01,12600
2001-04-05,21.72,22.34,21.51,22.34,4600
2001-04-06,22.34,22.68,21.68,22.68,12700
2001-04-09,22.68,22.68,21.51,22.68,2500
2001-04-10,21.68,22.51,20.18,22.01,8400
2001-04-11,20.68,22.01,20.68,21.68,2700
2001-04-12,21.18,21.68,21.18,21.68,700
2001-04-16,21.18,21.84,21.18,21.18,3700
2001-04-17,21.84,22.68,21.68,22.68,6400
2001-04-18,22.68,22.68,21.84,22.18,7600
2001-04-19,22.18,22.18,21.74,22.17,4600
2001-04-20,21.86,22.17,21.86,22.17,8400
2001-04-23,22.17,22.17,21.71,21.75,1500
2001-04-24,21.76,22.01,21.76,22.01,2100
2001-04-25,22.01,22.08,21.75,22.01,3000
2001-04-26,22.01,22.17,21.64,22.17,4500
2001-04-27,22.17,22.17,21.6,21.6,1500
2001-04-30,21.6,22.17,21.6,22.17,11100
2001-05-01,22.17,22.17,21.6,22.17,5200
2001-05-02,21.6,22.17,21.6,22.17,4500
2001-05-03,21.6,22.17,21.52,22.17,3400
2001-05-04,22.17,22.17,21.52,22.17,1800
2001-05-07,21.68,22.68,21.68,22.18,18000
2001-05-08,22.18,22.68,22.18,22.67,14800
2001-05-09,22.52,24.08,22.52,23.51,23500
2001-05-10,23.68,24.71,23.51,24.68,26700
2001-05-11,23.51,24.85,23.51,24.38,54000
2001-05-14,24.68,24.68,23.34,23.85,21900
2001-05-15,24.18,25.48,23.84,25.48,14700
2001-05-16,24.01,25.51,24.01,25.35,18900
2001-05-17,25.35,25.58,24.01,24.01,14700
2001-05-18,25.35,25.35,23.68,25.18,6700
2001-05-21,24.68,25.51,24.68,25.1,16300
2001-05-22,24.97,25.25,24.68,24.93,4600
2001-05-23,24.58,24.85,24.01,24.51,9400
2001-05-24,24.51,25.25,24.51,24.79,18400
2001-05-25,24.71,25.01,24.28,24.28,7600
2001-05-29,24.45,25.38,24.45,25.38,15000
2001-05-30,25.38,25.95,25.38,25.91,22500
2001-05-31,26.01,26.66,25.58,25.81,25200
2001-06-01,25.25,25.85,25.09,25.84,15700
2001-06-04,25.34,26.42,24.95,26.01,11700
2001-06-05,26.01,26.01,24.35,25.17,17200
2001-06-06,24.52,25.18,23.51,25.08,18400
2001-06-07,25.08,26.01,24.93,26.01,10300
2001-06-08,26.31,27.17,25.93,26.11,33900
2001-06-11,25.98,25.98,25.35,25.35,30100
2001-06-12,25.91,25.91,24.94,25.35,9100
2001-06-13,24.94,25.68,24.94,25.22,8800
2001-06-14,25.68,26.18,25.08,25.35,16500
2001-06-15,25.15,26.48,25.01,26.01,105500
2001-06-18,25.68,25.68,22.04,23.14,133900
2001-06-19,23.18,23.34,22.21,22.94,17100
2001-06-20,23.14,23.14,22.11,22.14,11500
2001-06-21,22.18,22.47,22.11,22.42,6900
2001-06-22,23.01,23.18,22.28,22.68,9100
2001-06-25,23.33,24.68,22.68,23.68,14400
2001-06-26,23.88,24.68,23.76,24.08,13800
2001-06-27,23.9,24.67,23.1,23.8,17200
2001-06-28,23.81,24.31,22.37,23.01,12600
2001-06-29,22.01,23.64,22.01,23.06,62700
2001-07-02,23.61,24.18,22.91,23.64,19300
2001-07-03,24.01,24.01,23.05,23.68,8700
2001-07-05,24.01,24.13,23.44,23.44,4800
2001-07-06,23.42,24.35,23.42,23.88,9000
2001-07-09,23.85,24.35,23.78,24.23,9900
2001-07-10,24.35,25.18,24.01,25.03,26200
2001-07-11,24.36,24.87,24.01,24.34,10300
2001-07-12,24.85,25.01,24.25,25.01,11700
2001-07-13,24.68,25.31,23.89,24.85,24300
2001-07-16,25.07,25.15,24.2,24.95,10300
2001-07-17,24.21,25.11,23.73,25.1,5700
2001-07-18,24.85,24.85,24.14,24.24,7000
2001-07-19,24.01,24.68,24.01,24.34,5400
2001-07-20,24.28,24.68,24.28,24.68,4900
2001-07-23,24.25,24.68,23.69,23.91,5400
2001-07-24,23.85,24.47,23.85,24.21,4600
2001-07-25,24.18,24.18,23.85,24.13,5100
2001-07-26,24.18,24.18,23.86,24.17,7800
2001-07-27,24.18,24.18,23.89,23.89,1900
2001-07-30,23.58,23.78,23.51,23.51,15100
2001-07-31,23.52,24.11,23.49,24.01,6000
2001-08-01,23.11,24.2,23.11,23.97,9000
2001-08-02,23.61,24.82,23.61,24.53,11200
2001-08-03,24.11,26.48,24.11,25.68,9600
2001-08-06,25.4,25.85,25.21,25.35,9900
2001-08-07,25.34,25.34,24.9,24.9,4500
2001-08-08,24.45,25.35,24.23,25.35,6600
2001-08-09,24.08,24.82,23.95,24.14,4200
2001-08-10,24.8,24.8,23.81,24.28,9900
2001-08-13,23.88,24.27,23.71,24.19,4500
2001-08-14,24.34,26.01,24.34,25.03,7500
2001-08-15,26.01,26.01,25.18,25.18,10900
2001-08-16,25.67,25.68,25.21,25.21,15100
2001-08-17,25.5,25.51,25.27,25.35,13500
2001-08-20,25.35,25.82,24.68,24.68,24100
2001-08-21,25.67,25.68,24.88,24.95,8700
2001-08-22,24.95,25.48,24.68,25.48,9900
2001-08-23,25.51,25.58,24.72,25.58,9400
