Date,Open,High,Low,Close,Volume
2015-05-15,23.8,26.73,23.8,24.37,215397
2015-05-18,24.85,25.07,22.8,23.7,590743
2015-05-19,24.44,24.44,23.52,23.79,975752
2015-05-20,23.74,23.95,23.38,23.59,395154
2015-05-21,23.85,23.85,23.39,23.58,423076
2015-05-22,23.47,24.04,23.07,23.91,807415
2015-05-26,24.8,24.8,23.94,24.56,884499
2015-05-27,24.95,25.68,24.3,25.56,1204252
2015-05-28,25.62,26.95,25.08,26.34,1252704
2015-05-29,26.43,26.77,26.02,26.5,717749
2015-06-01,26.57,26.82,26.07,26.12,692433
2015-06-02,26.56,26.77,25.67,26.23,440816
2015-06-03,26.68,26.68,25.89,26.2,413127
2015-06-04,26.16,26.28,25.45,25.95,354756
2015-06-05,25.89,26.4,25.63,25.98,394498
2015-06-08,25.82,26.37,25.44,25.75,233898
2015-06-09,26.0,26.13,24.79,25.35,558991
2015-06-10,25.02,25.95,25.02,25.24,362908
2015-06-11,25.25,25.59,24.69,25.16,311844
2015-06-12,24.93,25.15,24.52,24.73,402854
2015-06-15,24.72,24.72,24.42,24.51,429642
2015-06-16,24.26,24.67,24.04,24.47,440594
2015-06-17,24.47,24.88,24.44,24.62,509251
2015-06-18,24.7,25.14,24.21,24.37,679896
2015-06-19,24.54,25.07,24.34,24.4,712717
2015-06-22,24.86,24.93,24.3,24.44,461006
2015-06-23,24.24,24.57,22.58,22.6,1037552
2015-06-24,21.9,23.59,21.9,23.42,1286230
2015-06-25,23.42,23.65,22.79,23.53,716294
2015-06-26,23.63,23.72,22.8,23.0,1128931
2015-06-29,23.0,23.1,22.06,22.15,606615
2015-06-30,22.18,22.35,21.84,21.99,510296
2015-07-01,22.43,22.49,21.48,21.5,896345
2015-07-02,21.69,21.96,21.51,21.8,706813
2015-07-06,21.89,22.07,21.61,22.07,477084
2015-07-07,22.06,22.54,21.67,22.4,424014
2015-07-08,22.3,22.49,21.84,22.11,268737
2015-07-09,22.39,22.39,21.78,21.95,337350
2015-07-10,22.07,22.31,21.82,22.1,350861
2015-07-13,22.16,22.26,21.86,22.26,257753
2015-07-14,22.29,22.32,21.74,21.95,278125
2015-07-15,21.84,21.96,21.26,21.35,398998
2015-07-16,21.46,21.8,21.35,21.42,341683
2015-07-17,21.36,21.51,20.39,20.41,461851
2015-07-20,20.47,20.58,19.47,19.56,478880
2015-07-21,19.6,19.73,19.35,19.51,373221
2015-07-22,19.39,19.65,19.28,19.48,647686
2015-07-23,19.52,19.82,19.27,19.53,342349
2015-07-24,19.55,19.55,18.86,19.08,380143
2015-07-27,19.05,19.88,19.03,19.82,495005
2015-07-28,20.02,20.03,19.57,19.64,395217
2015-07-29,19.34,19.7,19.23,19.33,536564
2015-07-30,19.29,19.59,19.16,19.47,417619
2015-07-31,19.62,20.41,19.53,19.71,568842
2015-08-03,19.79,19.89,18.9,19.02,513831
2015-08-04,18.66,18.77,16.03,16.2,1479028
2015-08-05,16.28,17.25,15.97,16.77,1461165
2015-08-06,16.7,16.7,15.5,15.66,748282
2015-08-07,15.49,16.13,15.49,15.99,645848
2015-08-10,16.04,16.11,15.6,15.95,550825
2015-08-11,15.85,15.92,15.6,15.73,426957
2015-08-12,15.53,16.29,15.5,15.97,943369
2015-08-13,16.03,16.74,15.88,16.43,356280
2015-08-14,16.4,16.75,16.16,16.75,286658
2015-08-17,16.75,16.99,16.44,16.93,393390
2015-08-18,16.96,17.03,16.72,16.87,264437
2015-08-19,16.75,17.0,16.62,16.93,618019
2015-08-20,16.9,17.04,16.63,16.75,957309
2015-08-21,16.48,16.7,16.06,16.23,450451
2015-08-24,15.2,16.42,14.98,15.81,548391
2015-08-25,16.3,16.3,15.64,15.71,504808
2015-08-26,15.99,15.99,15.15,15.76,667665
2015-08-27,16.05,16.34,15.68,16.06,412258
2015-08-28,15.71,16.32,15.23,15.84,576536
2015-08-31,15.73,15.87,15.42,15.73,483547
2015-09-01,15.4,15.6,15.05,15.19,492368
2015-09-02,15.36,15.6,15.14,15.55,677859
2015-09-03,15.55,15.87,15.38,15.65,334446
2015-09-04,15.43,15.73,15.23,15.26,595873
2015-09-08,15.43,15.75,15.12,15.18,416497
2015-09-09,15.32,15.42,14.75,14.84,583829
2015-09-10,14.73,14.92,14.38,14.45,535931
2015-09-11,14.33,14.44,13.85,14.08,636961
2015-09-14,14.13,14.22,13.82,13.92,410716
2015-09-15,14.01,14.4,14.01,14.39,449226
2015-09-16,14.42,14.94,14.33,14.79,525805
2015-09-17,14.84,15.35,14.77,14.87,578858
2015-09-18,14.69,15.3,14.59,15.24,875705
2015-09-21,15.37,15.43,14.51,14.68,463420
2015-09-22,14.6,14.6,13.94,14.02,639156
2015-09-23,13.99,14.19,13.38,13.55,441918
2015-09-24,13.4,13.49,12.87,13.05,890350
2015-09-25,13.23,13.23,12.29,12.34,480863
2015-09-28,12.34,12.5,11.73,11.8,638401
2015-09-29,11.85,11.85,10.95,11.09,574815
2015-09-30,10.96,11.45,10.44,11.15,1926191
2015-10-01,10.87,11.17,10.55,10.98,1708779
2015-10-02,10.5,12.33,10.5,12.24,1913866
2015-10-05,12.31,13.66,12.25,13.52,1148137
2015-10-06,13.43,13.83,13.3,13.63,1006139
2015-10-07,13.6,13.97,13.49,13.97,579082
2015-10-08,13.62,14.38,13.62,14.22,443411
2015-10-09,14.18,14.48,13.78,14.19,731054
2015-10-12,14.06,14.27,13.11,13.3,450227
2015-10-13,13.22,13.65,13.14,13.2,583710
2015-10-14,13.06,13.51,13.06,13.39,442934
2015-10-15,13.34,14.04,13.12,14.01,374442
2015-10-16,14.01,14.12,13.29,13.63,327017
2015-10-19,13.55,13.88,13.37,13.66,288525
2015-10-20,13.73,14.11,13.52,13.94,430548
2015-10-21,13.7,13.82,13.19,13.46,479424
2015-10-22,13.55,14.16,13.36,13.71,368217
2015-10-23,13.69,13.75,13.01,13.36,543582
2015-10-26,13.24,13.63,12.92,13.03,625888
2015-10-27,13.0,13.11,12.52,12.65,437864
2015-10-28,12.61,13.24,12.59,13.13,390705
2015-10-29,13.04,13.75,13.04,13.61,354986
2015-10-30,13.56,13.83,13.44,13.73,507373
2015-11-02,13.66,14.36,13.51,14.32,381878
2015-11-03,14.2,14.84,14.2,14.6,467299
2015-11-04,14.7,15.37,14.37,15.26,644958
2015-11-05,15.18,16.04,15.17,15.53,722141
2015-11-06,15.39,16.05,15.04,15.93,451339
2015-11-09,15.78,16.11,15.67,15.82,484659
2015-11-10,15.75,15.85,15.55,15.75,363048
2015-11-11,15.83,15.93,14.89,15.13,298880
2015-11-12,15.0,15.18,14.31,14.48,608330
2015-11-13,14.35,14.64,14.07,14.2,260066
2015-11-16,14.07,14.82,14.05,14.78,252433
2015-11-17,14.64,14.78,13.8,14.12,453055
2015-11-18,14.13,14.37,13.7,14.3,279218
2015-11-19,14.4,14.53,14.05,14.21,357918
2015-11-20,14.2,14.38,13.6,13.83,339785
2015-11-23,13.71,14.21,13.51,13.94,284833
2015-11-24,13.94,14.83,13.73,14.6,363836
2015-11-25,14.41,14.54,14.0,14.17,217325
2015-11-27,13.79,13.83,12.95,13.23,203303
2015-11-30,13.16,13.8,13.15,13.59,473222
2015-12-01,13.5,13.94,13.26,13.35,358140
2015-12-02,13.23,13.44,12.38,12.46,532020
2015-12-03,12.48,13.2,12.48,12.58,458208
2015-12-04,12.49,12.74,12.04,12.12,895831
2015-12-07,11.91,11.98,11.14,11.41,507360
2015-12-08,11.44,11.74,11.03,11.73,408903
2015-12-09,11.74,12.68,11.72,12.41,425153
2015-12-10,12.39,12.77,12.18,12.39,299318
2015-12-11,12.16,12.17,11.6,11.77,386858
2015-12-14,11.81,11.83,10.76,11.06,410695
2015-12-15,11.37,11.77,11.15,11.7,381032
2015-12-16,11.79,13.1,11.62,13.03,638286
2015-12-17,13.11,13.81,13.1,13.77,489378
2015-12-18,13.69,13.99,13.19,13.81,588088
2015-12-21,13.87,13.99,13.22,13.49,401616
2015-12-22,13.51,14.28,13.31,14.04,322649
2015-12-23,14.13,14.63,14.05,14.14,323138
2015-12-24,14.15,14.48,13.85,14.18,153561
2015-12-28,14.02,14.24,13.77,13.99,187616
2015-12-29,14.05,14.21,13.6,13.84,292940
2015-12-30,13.65,13.98,13.46,13.68,266490
2015-12-31,13.54,14.05,13.15,13.91,282572
2016-01-04,13.61,14.06,13.5,13.93,317708
2016-01-05,13.81,14.08,13.5,13.73,290873
2016-01-06,13.46,13.52,13.12,13.3,313311
2016-01-07,12.92,13.06,12.46,12.53,218767
2016-01-08,12.38,12.7,12.35,12.42,415217
2016-01-11,12.5,12.8,12.4,12.69,261817
2016-01-12,12.79,12.85,11.86,12.22,258470
2016-01-13,12.28,12.59,11.38,11.64,216647
2016-01-14,11.42,12.59,11.42,12.35,284783
2016-01-15,11.98,12.25,11.11,11.85,279471
2016-01-19,11.95,11.99,11.34,11.36,360610
2016-01-20,11.1,11.35,10.17,11.25,430364
