,Datetime,Close,High,Low,Open,Volume
0,2016-04-17 17:05:00,3565,3585,3520,3520,5139
1,2016-04-17 17:10:00,3550,3565,3535,3565,2540
2,2016-04-17 17:15:00,3550,3550,3535,3550,3219
3,2016-04-17 17:20:00,3555,3565,3540,3555,2864
4,2016-04-17 17:25:00,3540,3550,3540,3550,2005
5,2016-04-17 17:30:00,3545,3545,3530,3545,10074
6,2016-04-17 17:35:00,3540,3540,3535,3535,3291
7,2016-04-17 17:40:00,3545,3550,3540,3540,6390
8,2016-04-17 17:45:00,3550,3550,3545,3545,918
9,2016-04-17 17:50:00,3545,3550,3545,3545,2891
10,2016-04-17 17:55:00,3560,3560,3550,3550,2709
11,2016-04-17 18:00:00,3555,3555,3545,3555,694
12,2016-04-17 18:05:00,3555,3565,3555,3555,1677
13,2016-04-17 18:10:00,3565,3570,3550,3555,3943
14,2016-04-17 18:15:00,3575,3590,3565,3570,17740
15,2016-04-17 18:20:00,3560,3575,3555,3570,5967
16,2016-04-17 18:25:00,3545,3565,3545,3555,4296
17,2016-04-17 18:30:00,3550,3555,3550,3550,3103
18,2016-04-17 18:35:00,3560,3560,3550,3550,3825
19,2016-04-17 18:40:00,3555,3555,3555,3555,507
20,2016-04-17 18:45:00,3565,3565,3555,3555,4593
21,2016-04-17 18:50:00,3580,3580,3555,3565,13644
22,2016-04-17 18:55:00,3575,3585,3560,3575,3718
23,2016-04-17 19:00:00,3595,3595,3575,3575,8424
24,2016-04-17 19:05:00,3615,3685,3590,3590,91625
25,2016-04-17 19:10:00,3590,3635,3570,3615,15453
26,2016-04-17 19:15:00,3600,3615,3580,3580,6804
27,2016-04-17 19:20:00,3610,3610,3605,3610,1540
28,2016-04-17 19:25:00,3605,3615,3600,3615,789
29,2016-04-17 19:30:00,3590,3600,3590,3600,4745
30,2016-04-17 19:35:00,3580,3590,3580,3590,191
31,2016-04-17 19:40:00,3595,3595,3590,3590,150
32,2016-04-17 19:45:00,3595,3595,3595,3595,2564
33,2016-04-17 19:50:00,3600,3600,3595,3600,3675
34,2016-04-17 19:55:00,3590,3600,3590,3600,2090
35,2016-04-17 20:00:00,3600,3600,3590,3590,3189
36,2016-04-17 20:05:00,3595,3600,3595,3600,3166
37,2016-04-17 20:10:00,3580,3590,3580,3590,12002
38,2016-04-17 20:15:00,3590,3590,3575,3580,2474
39,2016-04-17 20:20:00,3595,3595,3580,3580,95
40,2016-04-17 20:25:00,3595,3595,3580,3595,143
41,2016-04-17 20:30:00,3590,3595,3590,3595,1086
42,2016-04-17 20:35:00,3595,3595,3590,3595,1007
43,2016-04-17 20:40:00,3590,3595,3590,3595,2073
44,2016-04-17 20:45:00,3620,3620,3590,3595,7592
45,2016-04-17 20:50:00,3620,3625,3610,3620,3525
