,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 06:30:00,18.09,18.09,18.09,18.09,2506
1,2016-04-15 06:35:00,17.98,18.19,17.81,18,7591
2,2016-04-15 06:40:00,18.055,18.06,18.055,18.06,550
3,2016-04-15 06:45:00,18.05,18.1,18.03,18.06,1150
4,2016-04-15 06:50:00,17.92,18.04,17.92,17.965,300
5,2016-04-15 06:55:00,17.92,18.05,17.89,17.89,1300
6,2016-04-15 07:05:00,17.98,18.03,17.955,17.955,700
7,2016-04-15 07:10:00,17.83,17.97,17.83,17.95,800
8,2016-04-15 07:15:00,18.03,18.09,17.92,17.92,3738
9,2016-04-15 07:20:00,18.15,18.15,17.9,18.03,2400
10,2016-04-15 07:25:00,18.17,18.18,18.13,18.15,500
11,2016-04-15 07:30:00,18.12,18.12,17.9601,18.11,4270
12,2016-04-15 07:35:00,18.19,18.19,18.14,18.14,200
13,2016-04-15 07:40:00,18.2,18.28,18.19,18.19,1700
14,2016-04-15 07:45:00,18.18,18.2,18.135,18.16,2500
15,2016-04-15 07:50:00,18.11,18.16,18.09,18.125,1200
16,2016-04-15 07:55:00,18.11,18.13,18.05,18.11,3300
17,2016-04-15 08:00:00,18.14,18.17,18.12,18.15,2000
18,2016-04-15 08:05:00,18.2,18.24,18.12,18.13,2600
19,2016-04-15 08:10:00,18.21,18.21,18.19,18.19,800
20,2016-04-15 08:15:00,18.25,18.25,18.22,18.23,1400
21,2016-04-15 08:20:00,18.26,18.27,18.22,18.25,3500
22,2016-04-15 08:25:00,18.285,18.3,18.23,18.25,2000
23,2016-04-15 08:30:00,18.26,18.285,18.26,18.28,2900
24,2016-04-15 08:35:00,18.26,18.28,18.25,18.28,900
25,2016-04-15 08:40:00,18.23,18.27,18.22,18.25,1600
26,2016-04-15 08:45:00,18.1901,18.25,18.1901,18.25,2225
27,2016-04-15 08:50:00,18.27,18.27,18.2,18.2,800
28,2016-04-15 08:55:00,18.2038,18.2395,18.15,18.19,2400
29,2016-04-15 09:00:00,18.19,18.21,18.16,18.17,2900
30,2016-04-15 09:05:00,18.25,18.28,18.19,18.2,1800
31,2016-04-15 09:10:00,18.21,18.24,18.21,18.22,900
32,2016-04-15 09:15:00,18.2,18.22,18.19,18.2,1893
33,2016-04-15 09:20:00,18.23,18.25,18.19,18.19,4555
34,2016-04-15 09:25:00,18.25,18.25,18.23,18.25,2300
35,2016-04-15 09:30:00,18.28,18.28,18.28,18.28,1000
36,2016-04-15 09:35:00,18.27,18.27,18.2,18.2,200
37,2016-04-15 09:40:00,18.2,18.2,18.19,18.19,200
38,2016-04-15 09:45:00,18.295,18.33,18.23,18.23,10900
39,2016-04-15 09:50:00,18.29,18.29,18.28,18.28,600
40,2016-04-15 09:55:00,18.22,18.24,18.22,18.24,600
41,2016-04-15 10:00:00,18.26,18.26,18.17,18.17,1400
42,2016-04-15 10:05:00,18.24,18.24,18.17,18.18,1700
43,2016-04-15 10:10:00,18.22,18.25,18.21,18.25,1400
44,2016-04-15 10:15:00,18.2,18.24,18.19,18.19,2400
45,2016-04-15 10:20:00,18.22,18.25,18.2,18.2,1711
46,2016-04-15 10:25:00,18.17,18.23,18.16,18.2,1900
